,Concept_ID,lt,ka
0,Auge::N,akis,თვალი
1,Ohr::N,ausis,ყური
2,Nase::N,nosis,ცხვირი
3,Mund::N,burna,პირი
4,Zahn::N,dantis,კბილი
5,Zunge::N,liežuvis,ენა
6,Lippe::N,lūpa,ბაგე
7,Wange::N,žandas,ლოყა
8,Wange::N,skruostas,ლოყა
9,Gesicht::N,veidas,სახე
10,Stirn::N,kakta,შუბლი
11,Haar::N,plaukai,თმა
12,Schnurrbart::N,ūsai,ულვაში
13,Bart::N,barzda,წვერი
14,Kinn::N,smakras,ნიკაპი
15,Kiefer[Anatomie]::N,žandikaulis,ყბა
16,Kehle::N,gerklė,ყელი
17,Hals::N,kaklas,ყელი
18,Hals::N,kaklas,კისერი
19,Genick::N,sprandas,კეფა
20,Kopf::N,galva,თავი
21,Rücken::N,nugara,ზურგი
22,Bauch::N,pilvas,მუცელი
23,Nabel::N,bamba,ჭიპი
24,Busen::N,krūtinė,ძუძუ
25,Brust::N,krūtis,მკერდი
26,Schulter::N,petys,მხარი
27,Schulter::N,petys,მკლავი
28,Arm::N,ranka,ხელი
29,Ellenbogen::N,alkūnė,იდაყვი
30,Hand::N,ranka,ხელი
31,Hand::N,plaštaka,ხელი
32,Handfläche::N,delnas,ნები
33,Handfläche::N,delnas,ხელისგული
34,Handfläche::N,plaštaka,ნები
35,Handfläche::N,plaštaka,ხელისგული
36,Finger::N,pirštas,თითი
37,Fingernagel::N,nagas,ფრჩხილი
38,Nagel[Anatomie]::N,nagas,ფრჩხილი
39,Zeh::N,pirštas,ფეხის თითი
40,Fuß::N,pėda,ტერფი
41,Fuß::N,pėda,ფეხისგული
42,Ferse::N,kulnas,ქუსლი
43,Knie::N,kelis,მუხლი
44,Oberschenkel::N,kulšis,ბარძაყი
45,Oberschenkel::N,šlaunis,ბარძაყი
46,Bein::N,koja,ფეხი
47,Körper::N,kūnas,ტანი
48,Körper::N,kūnas,სხეული
49,Haut::N,oda,კანი
50,Blut::N,kraujas,სისხლი
51,Ader::N,kraujagyslė,ძარღვი
52,Sehne::N,sausgyslė,მყესი
53,Knochen::N,kaulas,ძვალი
54,Gehirn::N,smegenys,ტვინი
55,Herz::N,širdis,გული
56,Magen::N,skrandis,კუჭი
57,Leber::N,kepenys,ღვიძლი
58,Atem::N,kvapas,სუნთქვა
59,Hunger::N,badas,შიმშილი
60,Hunger::N,alkis,შიმშილი
61,Träne::N,ašara,ცრემლი
62,Geschmack::N,skonis,გემო
63,Geruch::N,kvapas,სუნი
64,Schlaf::N,miegas,ძილი
65,Traum::N,sapnas,სიზმარი
66,Himmel::N,dangus,ცა
67,Sonne::N,saulė,მზე
68,Mond::N,mėnulis,მთვარე
69,Stern::N,žvaigždė,ვარსკვლავი
70,Luft::N,oras,ჰაერი
71,Wind::N,vėjas,ქარი
72,Welle::N,banga,ტალღა
73,Welle::N,vilnis,ტალღა
74,Wasser::N,vanduo,წყალი
75,Stein::N,akmuo,ქვა
76,Boden::N,žemė,მიწა
77,Boden::N,dugnas,მიწა
78,Erde::N,žemė,ნიადაგი
79,Staub::N,dulkės,მტვერი
80,Rauch::N,dūmai,ბოლი
81,Rauch::N,dūmai,კვამლი
82,Funke::N,kibirkštis,ნაკვესი
83,Feuer::N,ugnis,ცეცხლი
84,Licht::N,šviesa,შუქი
85,Licht::N,šviesa,სინათლე
86,Schatten::N,paūksmė,ლანდი
87,Schatten::N,paūksmė,ჩრდილი
88,Wetter::N,oras,ამინდი
89,Nebel::N,migla,ნისლი
90,Nebel::N,rūkas,ნისლი
91,Wolke::N,debesis,ღრუბელი
92,Regen::N,lietus,წვიმა
93,Schnee::N,sniegas,თოვლი
94,Eis::N,ledas,თოში
95,Eis::N,ledas,ყინული
96,Frost::N,šalna,ყინვა
97,Kälte::N,šaltis,სიცივე
98,Hitze::N,karštis,სიცხე
99,Raureif::N,šerkšnas,ჭირხლი
100,Raureif::N,šerkšnas,თრთვილი
101,Regenbogen::N,vaivorykštė,ცისარტყელა
102,Donner::N,perkūnas,ქუხილი
103,Donner::N,griaustinis,ქუხილი
104,Strömung::N,tėkmė,დინება
105,Tropfen::N,lašas,წვეთი
106,Schaum::N,putos,ქაფი
107,Schaum::N,putos,დორბლი
108,Schmutz::N,purvas,ჭუჭყი
109,Schmutz::N,purvas,ტალახი
110,See::N,ežeras,ტბა
111,Sumpf::N,klampynė,ჭაობი
112,Sumpf::N,liūnas,ჭაობი
