,Concept_ID,zh,no
0,Auge::N,眼睛,øye
1,Ohr::N,耳朵,øre
2,Nase::N,鼻子,nese
3,Mund::N,嘴,munn
4,Zahn::N,牙齿,tann
5,Zunge::N,舌头,tunge
6,Lippe::N,嘴唇,leppe
7,Wange::N,面颊,kinn
8,Gesicht::N,脸,fjes
9,Gesicht::N,脸,ansikt
10,Stirn::N,额,panne
11,Haar::N,头发,hår
12,Schnurrbart::N,髭须,bart
13,Bart::N,胡子,skjegg
14,Kinn::N,下巴,hake
15,Kiefer[Anatomie]::N,颌,kjeve
16,Kehle::N,嗓子,strupe
17,Hals::N,颈,hals
18,Genick::N,后颈,nakke
19,Kopf::N,头,hode
20,Rücken::N,背,rygg
21,Bauch::N,肚子,buk
22,Bauch::N,肚子,mage
23,Nabel::N,肚脐,navle
24,Busen::N,胸脯,barm
25,Brust::N,胸,bryst
26,Schulter::N,肩膀,skulder
27,Arm::N,臂膀,arm
28,Ellenbogen::N,肘,albue
29,Hand::N,手,hånd
30,Handfläche::N,手掌,håndflate
31,Finger::N,手指,finger
32,Fingernagel::N,指甲,fingernegl
33,Nagel[Anatomie]::N,指甲,negl
34,Zeh::N,脚趾,tå
35,Fuß::N,脚,fot
36,Ferse::N,后跟,hæl
37,Knie::N,膝,kne
38,Oberschenkel::N,大腿,lår
39,Bein::N,腿,bein
40,Körper::N,身体,kropp
41,Körper::N,身体,legeme
42,Haut::N,皮肤,hud
43,Haut::N,皮肤,skinn
44,Blut::N,血,blod
45,Ader::N,血管,åre
46,Sehne::N,腱,sene
47,Knochen::N,骨,bein
48,Knochen::N,骨,knokkel
49,Gehirn::N,脑,hjerne
50,Herz::N,心,hjerte
51,Magen::N,胃,mage
52,Leber::N,肝,lever
53,Atem::N,呼吸,pust
54,Hunger::N,饿,sult
55,Träne::N,眼泪,tåre
56,Geschmack::N,味道,smak
57,Geruch::N,气味,lukt
58,Schlaf::N,睡眠,søvn
59,Traum::N,梦,drøm
60,Himmel::N,天空,himmel
61,Sonne::N,太阳,sol
62,Mond::N,月亮,måne
63,Stern::N,星,stjerne
64,Luft::N,空气,luft
65,Wind::N,风,vind
66,Welle::N,波,bølge
67,Wasser::N,水,vann
68,Stein::N,石头,stein
69,Boden::N,地面,bakke
70,Erde::N,地,jord
71,Staub::N,灰尘,støv
72,Rauch::N,烟,røyk
73,Funke::N,火花,gnist
74,Feuer::N,火,ild
75,Licht::N,光,lys
76,Schatten::N,影子,skygge
77,Wetter::N,天气,vær
78,Nebel::N,雾,tåke
79,Wolke::N,云,sky
80,Regen::N,雨,regn
81,Schnee::N,雪,snø
82,Eis::N,冰,is
83,Frost::N,霜冻,frost
84,Kälte::N,寒冷,kulde
85,Hitze::N,炎热,hete
86,Raureif::N,霜,rimfrost
87,Regenbogen::N,虹,regnbue
88,Donner::N,雷,torden
89,Strömung::N,水流,strømning
90,Tropfen::N,滴,dråpe
91,Schaum::N,泡沫,skum
92,Schmutz::N,赃物,søl
93,Schmutz::N,赃物,skitt
94,See::N,湖,sjø
95,Sumpf::N,沼泽,sump
96,Sumpf::N,沼泽,myrlende
97,Moor::N,沼泽,myr
98,Moor::N,沼泽,myrhei
99,Wiese::N,草地,eng
100,Wald::N,森林,skog
101,Hügel::N,丘陵,haug
102,Hügel::N,丘陵,bakke
103,Anhöhe::N,山丘,haug
104,Anhöhe::N,山丘,bakke
105,Berg::N,山,berg
106,Berg::N,山,fjell
107,Gipfel::N,峰,topp
108,Höhle::N,洞穴,hule
109,Abhang::N,斜坡,li
110,Abhang::N,斜坡,skråning
111,Quelle::N,泉,kilde
112,Bach::N,溪,bekk
113,Fluss::N,河流,elv
114,Ufer::N,岸,bredd
115,Küste::N,海岸,kyst
116,Festland::N,大陆,fastland
117,Meer::N,海,hav
118,Bucht::N,海湾,bukt
119,Insel::N,岛,øy
120,Blume::N,花,blomst
121,Gras::N,草,gress
122,Wurzel::N,根,rot
123,Baum::N,树,tre
124,Stamm::N,树干,stamme
125,Rinde::N,树皮,bark
126,Ast::N,树枝,gren
127,Zweig::N,树枝,kvist
128,Blatt::N,叶子,blad
129,Birke::N,桦木,bjørk
130,Kiefer[Baum]::N,松树,furu
131,Weide[Baum]::N,柳树,selje
132,Weide[Baum]::N,柳树,piletre
133,Tanne::N,冷杉,gran
134,Horn::N,角,horn
135,Feder::N,羽毛,fjær
136,Fell::N,皮毛,skinn
137,Flügel::N,翅膀,vinge
138,Klaue::N,爪子,klauv
139,Kralle::N,爪子,klo
140,Schwanz::N,尾巴,hale
141,Ei::N,蛋,egg
142,Nest::N,巢,rede
143,Bau::N,穴,hi
144,Tier::N,动物,dyr
145,Herde::N,群,flokk
146,Kuh::N,母牛,ku
147,Bulle::N,公牛,tyr
148,Pferd::N,马,hest
149,Schaf::N,羊,får
150,Schwein::N,猪,gris
151,Hund::N,狗,hund
152,Katze::N,猫,katt
153,Bär::N,熊,bjørn
154,Eichhörnchen::N,松鼠,ekorn
155,Elch::N,麋鹿,elg
156,Fuchs::N,狐狸,rev
157,Hase::N,兔子,hare
158,Maus::N,老鼠,mus
159,Wolf::N,狼,ulv
160,Wolf::N,狼,varg
161,Vogel::N,鸟,fugl
162,Schwarm::N,群,sverm
163,Huhn::N,鸡,høne
164,Hahn::N,公鸡,hane
165,Gans::N,鹅,gås
166,Adler::N,鹰,ørn
167,Ente::N,鸭,and
168,Eule::N,猫头鹰,ugle
169,Kranich::N,鹤,trane
170,Krähe::N,乌鸦,kråke
171,Kuckuck::N,布谷鸟,gjøk
172,Schwan::N,天鹅,svane
173,Fisch::N,鱼,fisk
174,Barsch::N,鲈鱼,abbor
175,Hecht::N,狗鱼,gjedde
176,Schlange[Tier]::N,蛇,orm
177,Schlange[Tier]::N,蛇,slange
178,Wurm::N,蠕虫,orm
179,Wurm::N,蠕虫,mark
180,Spinne::N,蜘蛛,edderkopp
181,Ameise::N,蚂蚁,maur
182,Laus::N,虱子,lus
183,Mücke::N,蚊子,mygg
184,Fliege::N,苍蝇,flue
185,Schmetterling::N,蝴蝶,sommerfugl
186,Beere::N,将果,bær
187,Apfel::N,苹果,eple
188,Pilz::N,蘑菇,sopp
189,Zwiebel::N,洋葱,løk
190,Saat::N,种子,sæd
191,Korn::N,谷粒,korn
192,Heu::N,干草,høy
193,Schale::N,壳,skall
194,Grube::N,坑,grop
195,Falle::N,圈套,felle
196,Schlinge::N,活扣,snare
197,Spur::N,踪迹,spor
198,Asche::N,灰烬,aske
199,Dreck::N,污垢,møkk
200,Dreck::N,污垢,skitt
201,Eisen::N,铁,jern
202,Gold::N,金子,gull
203,Silber::N,银,sølv
204,Kohle::N,煤,kol
205,Kohle::N,煤,kull
206,Glas::N,玻璃,glass
207,Lehm::N,粘土,leire
208,Sand::N,沙,sand
209,Mensch::N,人,menneske
210,Mann::N,男子,mann
211,Frau::N,妇女,kvinne
212,Kind::N,小孩,barn
213,Junge::N,男孩,gutt
214,Mädchen::N,女孩,pike
215,Mädchen::N,女孩,jente
216,Familie::N,家庭,familie
217,Großvater::N,祖父,bestefar
218,Großmutter::N,祖母,bestemor
219,Eltern::N,父母,foreldre
220,Vater::N,父亲,far
221,Mutter::N,母亲,mor
222,Sohn::N,儿子,sønn
223,Tochter::N,女儿,datter
224,Bruder::N,兄弟,bror
225,Schwester::N,姐妹,søster
226,Onkel::N,伯父,onkel
227,Tante::N,阿姨,tante
228,Ehemann::N,丈夫,ektemann
229,Ehefrau::N,妻子,hustru
230,Freude::N,愉快,glede
231,Gelächter::N,大笑,latter
232,Glück::N,运气,lykke
233,Kummer::N,苦恼,sorg
234,Wunsch::N,愿望,ønske
235,Lust::N,乐趣,lyst
236,Geist::N,精神,ånd
237,Gedanke::N,思想,tanke
238,Gedächtnis::N,记性,minne
239,Gedächtnis::N,记性,hukommelse
240,Verstand::N,理智,forstand
241,Sinn::N,感觉,mening
242,Sinn::N,感觉,betydning
243,Grund::N,理由,grunn
244,Wahrheit::N,真理,sannhet
245,Gespräch::N,谈话,samtale
246,Märchen::N,童话,eventyr
247,Erzählung::N,故事,fortelling
248,Nachricht::N,消息,melding
249,Neuigkeit::N,新闻,nyhet
250,Name::N,名字,navn
251,Rätsel::N,谜语,gåte
252,Rede::N,讲话,tale
253,Sprache::N,语言,språk
254,Stimme::N,声音,stemme
255,Wort::N,词,ord
256,Zeichen::N,标记,tegn
257,Ruf::N,呼喊,rop
258,Lärm::N,噪音,bråk
259,Laut::N,响声,lyd
260,Ton::N,声音,tone
261,Lied::N,歌曲,vise
262,Ruhe::N,安静,ro
263,Leute::N,人们,folk
264,Volk::N,人民,folk
265,Arbeit::N,劳动,arbeid
266,Gast::N,客人,gjest
267,Geschenk::N,礼物,gave
268,Spiel::N,游戏,lek
269,Spiel::N,游戏,spill
270,Gesellschaft::N,陪同,selskap
271,Hilfe::N,帮助,hjelp
272,Freund::N,朋友,venn
273,Kamerad::N,同志,kamerat
274,Angelegenheit::N,事情,sak
275,Angelegenheit::N,事情,anliggende
276,Anzahl::N,数目,antall
277,Art::N,种类,art
278,Art::N,种类,slag
279,Stück::N,块,stykke
280,Teil::N,部分,del
281,Hälfte::N,一半,halvdel
282,Kreis::N,圆,ring
283,Kreis::N,圆,sirkel
284,Kreuz::N,十字架,kors
285,Kreuz::N,十字架,kryss
286,Linie::N,线条,linje
287,Strich::N,划,strek
288,Abstand::N,距离,avstand
289,Entfernung::N,距离,avstand
290,Gegend::N,地区,strøk
291,Platz::N,场所,plass
292,Ort::N,地点,sted
293,Seite::N,面,side
294,Mitte::N,中间,midte
295,Gegenstand::N,物品,gjenstand
296,Sache::N,物,sak
297,Rand::N,边,rand
298,Kante::N,棱,kant
299,Ecke::N,角,hjørne
300,Spitze::N,尖,spiss
301,Ende::N,结尾,ende
302,Loch::N,洞,hull
303,Winkel::N,角度,vinkel
304,Muster::N,模型,mønster
305,Größe::N,大小,størrelse
306,Länge::N,长度,lengde
307,Höhe::N,高度,høyde
308,Gewicht::N,重量,vekt
309,Menge::N,数量,mengde
310,Haufen::N,堆,haug
311,Haufen::N,堆,bunke
312,Reihe::N,行,rekke
313,Boot::N,小船,båt
314,Ruder::N,奖,åre
315,Schlitten::N,雪橇,slede
316,Schlitten::N,雪橇,kjelke
317,Ski::N,雪板,ski
318,Lagerfeuer::N,营火,leirbål
319,Last::N,负担,bør
320,Last::N,负担,last
321,Gang::N,行走,gang
322,Schritt::N,步伐,steg
323,Schritt::N,步伐,skritt
324,Norden::N,北,nord
325,Süden::N,南,sør
326,Westen::N,西,vest
327,Osten::N,东,øst
328,Holz::N,木材,tre
329,Brett::N,木板,fjøl
