,Concept_ID,tt,kk
0,Auge::N,күз,көз
1,Ohr::N,колак,құлақ
2,Nase::N,борын,мұрын
3,Mund::N,авыз,ауыз
4,Mund::N,тамак,ауыз
5,Zahn::N,теш,тіс
6,Zunge::N,тел,тіл
7,Lippe::N,ирен,ерін
8,Wange::N,яңак,ұрт
9,Gesicht::N,йөз,бет-аузы
10,Stirn::N,маңгай,маңдай
11,Haar::N,чәч,қыл
12,Schnurrbart::N,мыек,мұрт
13,Bart::N,сакал,сақал
14,Kinn::N,ияк,иек
15,Kiefer[Anatomie]::N,казналык,жақ
16,Kehle::N,тамак,алқым
17,Hals::N,бугаз,мойын
18,Genick::N,җилкә,желке
19,Kopf::N,баш,кәллә
20,Rücken::N,сырт,арқа
21,Bauch::N,корсак,қарын
22,Nabel::N,кендек,кіндік
23,Busen::N,түш,омырау
24,Brust::N,имчәк,кеуде
25,Brust::N,күкрәк,кеуде
26,Schulter::N,иңбаш,иық
27,Schulter::N,кулбаш,иық
28,Arm::N,кул,қол
29,Ellenbogen::N,терсәк,шынтақ
30,Hand::N,кул,қол
31,Handfläche::N,уч,алақан
32,Finger::N,бармак,саусақ
33,Fingernagel::N,тырнак,тырнақ
34,Nagel[Anatomie]::N,тырнак,тырнақ
35,Zeh::N,бармак,тырнақ
36,Zeh::N,бармак,тұяқ
37,Fuß::N,табан,аяқ-басы
38,Ferse::N,үкчә,өкше
39,Ferse::N,үкчә,өкшелік
40,Knie::N,тез,тізе
41,Oberschenkel::N,бот,жамбас
42,Bein::N,аяк,аяқ
43,Körper::N,тән,дене
44,Körper::N,җисем,дене
45,Haut::N,тире,тері
46,Blut::N,кан,қан
47,Ader::N,тамыр,көктамыр
48,Ader::N,тамыр,күретамыр
49,Sehne::N,сеңер,сіңір
50,Knochen::N,сөяк,жілік
51,Gehirn::N,ми,ми
52,Herz::N,йөрәк,жүрек
53,Magen::N,ашказаны,асқазан
54,Leber::N,бавыр,бауыр
55,Atem::N,сулыш,леп
56,Hunger::N,ачлык,ашаршылық
57,Träne::N,яшь,жас
58,Geschmack::N,тәм,дәм
59,Geschmack::N,тәм,татым
60,Geschmack::N,тәм,талғам
61,Geschmack::N,зәвык,дәм
62,Geschmack::N,зәвык,татым
63,Geschmack::N,зәвык,талғам
64,Geruch::N,ис,иіс
65,Schlaf::N,йокы,ұйқы
66,Schlaf::N,йокы,ұйықтау
67,Traum::N,төш,түс
68,Himmel::N,күк,аспан
69,Himmel::N,күк,көқ
70,Himmel::N,күк,таңдай
71,Sonne::N,кояш,күн
72,Mond::N,ай,ай
73,Stern::N,йолдыз,жұлдыз
74,Luft::N,һава,әуе
75,Wind::N,җил,жел
76,Welle::N,дулкын,толқын
77,Wasser::N,су,су
78,Stein::N,таш,тас
79,Boden::N,туфрак,қыртыс
80,Erde::N,җир,топырақ
81,Staub::N,тузан,шаң
82,Rauch::N,төтен,түтін
83,Funke::N,очкын,ұшқын
84,Feuer::N,ут,алау
85,Licht::N,якты,шұғыла
86,Schatten::N,күләгә,көлеңке
87,Wetter::N,һава,ауа райы
88,Nebel::N,томан,тұман
89,Wolke::N,болыт,бұлт
90,Regen::N,яңгыр,жаңбыр
91,Schnee::N,кар,қар
92,Eis::N,боз,мұз
93,Frost::N,суык,суық
94,Frost::N,салкын,суық
95,Kälte::N,суык,ызғар
96,Kälte::N,суык,суықтық
97,Kälte::N,салкын,ызғар
