,Concept_ID,ja,mhr
0,Auge::N,目,шинча́
1,Ohr::N,耳,пы́лыш
2,Nase::N,鼻,нер
3,Mund::N,口,умша́
4,Zahn::N,歯,пӱй
5,Zunge::N,舌,йы́лме
6,Lippe::N,唇,тӱ́рвӧ
7,Wange::N,頬,шӱ́ргӧ
8,Gesicht::N,顔,чури́й
9,Stirn::N,額,саҥга́
10,Haar::N,髪,ӱп
11,Schnurrbart::N,口髭,ӧ́рыш
12,Bart::N,髭,понда́ш
13,Kinn::N,顎,оҥыла́ш
14,Kiefer[Anatomie]::N,顎,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,顎,пӱйората́
16,Kehle::N,喉,лога́р
17,Hals::N,首,шӱй
18,Genick::N,首,шӱйло́дыш
19,Kopf::N,頭,вуй
20,Rücken::N,背中,туп
21,Bauch::N,腹,мӱ́шкыр
22,Bauch::N,お腹,мӱ́шкыр
23,Nabel::N,へそ,кы́лымде
24,Busen::N,乳房,чы́зе
25,Brust::N,胸,оҥ
26,Schulter::N,肩,ва́че
27,Arm::N,腕,кид
28,Ellenbogen::N,肘,кынерву́й
29,Hand::N,手,кид
30,Hand::N,手,копа́
31,Handfläche::N,手のひら,со́во
32,Finger::N,指,парня́
33,Fingernagel::N,爪,кидкӱ́ч
34,Fingernagel::N,爪,парнягӱ́ч
35,Nagel[Anatomie]::N,爪,кӱч
36,Zeh::N,足の指,йолварня́
37,Fuß::N,足,йол
38,Fuß::N,足,йолкопа́
39,Ferse::N,かかと,тага́н
40,Knie::N,膝,пулву́й
41,Oberschenkel::N,上腿,э́рде
42,Bein::N,足,йол
43,Körper::N,体,кап
44,Haut::N,皮膚,кова́ште
45,Blut::N,血,вӱр
46,Ader::N,血管,шӧн
47,Sehne::N,腱,шӧн
48,Sehne::N,腱,кӱсе́н
49,Knochen::N,骨,лу
50,Gehirn::N,脳,вем
51,Gehirn::N,脳,вуйве́м
52,Herz::N,心,шӱм
53,Herz::N,心臓,шӱм
54,Magen::N,胃,пага́р
55,Leber::N,肝臓,мокш
56,Atem::N,息,шӱ́лыш
57,Atem::N,呼吸,шӱ́лыш
58,Hunger::N,空腹,шужыма́ш
59,Träne::N,涙,шинчавӱ́д
60,Geschmack::N,味,там
61,Geruch::N,匂い,пуш
62,Schlaf::N,睡眠,о́мо
63,Traum::N,夢,йӱдо́мо
64,Himmel::N,空,кава́
65,Sonne::N,太陽,ке́че
66,Mond::N,月,ты́лзе
67,Stern::N,星,шӱ́дыр
68,Luft::N,空気,юж
69,Wind::N,風,марде́ж
70,Welle::N,波,то́лкын
71,Wasser::N,水,вӱд
72,Stein::N,石,кӱ
73,Boden::N,土地,рок
74,Erde::N,土,мла́нде
75,Staub::N,埃,пура́к
76,Rauch::N,煙,шикш
77,Funke::N,火花,сеске́м
78,Funke::N,火花,тулйы́п
79,Feuer::N,火,тул
80,Licht::N,光,со́то
81,Schatten::N,陰,ӱ́мыл
82,Wetter::N,天気,иге́че
83,Nebel::N,霧,тӱтыра́
84,Wolke::N,雲,пыл
85,Regen::N,雨,йӱр
86,Schnee::N,雪,лум
87,Eis::N,氷,ий
88,Frost::N,霜,чатлама́
89,Kälte::N,寒さ,йӱ́штӧ
90,Hitze::N,暑さ,шо́кшо
91,Raureif::N,霧氷,пӧрш
92,Raureif::N,霧氷,по́кшым
93,Regenbogen::N,虹,шонанпы́л
94,Donner::N,雷,кӱ́дырчӧ
95,Strömung::N,流れ,йо́гын
96,Tropfen::N,滴,чӱча́лтыш
97,Schaum::N,泡,шоҥ
98,Schmutz::N,汚れ,лавыра́
99,See::N,湖,ер
100,Sumpf::N,沼,лӱ́кӧ
101,Moor::N,湿原,куп
102,Wiese::N,草原,о́лык
103,Wald::N,森,чодыра́
104,Hügel::N,丘,арка́
105,Anhöhe::N,高み,тӧва́
106,Anhöhe::N,高み,кӱкшака́
107,Berg::N,山,ку́рык
108,Gipfel::N,頂上,чаҥга́
109,Gipfel::N,頂上,курыкву́й
110,Höhle::N,洞窟,пеще́р
111,Höhle::N,洞窟,курыкпо́мыш
112,Abhang::N,斜面,та́йыл
113,Quelle::N,泉,важ
114,Quelle::N,泉,вӱдшинча́
115,Bach::N,小川,изэҥе́р
116,Fluss::N,川,эҥе́р
117,Ufer::N,岸,сер
118,Küste::N,海岸,вӱдтӱ́р
119,Festland::N,陸,мла́нде
120,Meer::N,海,те́ҥыз
121,Bucht::N,湾,икса́
122,Insel::N,島,отро́
123,Blume::N,花,пеле́дыш
124,Gras::N,草,шу́до
125,Wurzel::N,根,вож
126,Baum::N,木,пуше́ҥге
127,Stamm::N,幹,йы́тыр
128,Rinde::N,皮層,шӱм
129,Ast::N,枝,укш
130,Zweig::N,小枝,торма́к
131,Blatt::N,葉,лышта́ш
132,Birke::N,樺,куэ́
133,Kiefer[Baum]::N,松,пӱ́нчӧ
134,Weide[Baum]::N,柳,уа́
135,Tanne::N,樅,кож
136,Horn::N,角,шур
137,Feder::N,羽根,пы́стыл
138,Fell::N,毛皮,кова́ште
139,Flügel::N,羽,шу́лдыр
140,Klaue::N,鉤爪,кӱч
141,Kralle::N,爪,ла́па
142,Kralle::N,爪,копа́
143,Schwanz::N,尻尾,поч
144,Ei::N,卵,му́но
145,Nest::N,巣,пыжа́ш
146,Bau::N,穴,пыжа́ш
147,Tier::N,動物,я́нлык
148,Tier::N,動物,живо́тный
149,Herde::N,群れ,кӱ́тӱ
150,Herde::N,群れ,тӱшка́
151,Kuh::N,牛,ушка́л
152,Bulle::N,雄牛,ӱ́шкыж
153,Pferd::N,馬,и́мне
154,Schaf::N,羊,шо́рык
155,Schwein::N,豚,сӧсна́
156,Hund::N,犬,пий
157,Katze::N,猫,пы́рыс
158,Bär::N,熊,маска́
159,Eichhörnchen::N,栗鼠,ур
160,Elch::N,ヘラジカ,шо́рдо
161,Fuchs::N,狐,ры́выж
162,Hase::N,兎,мера́ҥ
163,Maus::N,鼠,коля́
164,Wolf::N,狼,пи́ре
165,Vogel::N,鳥,ка́йык
166,Schwarm::N,群れ,каша́к
167,Huhn::N,鶏,чы́ве
168,Hahn::N,雄鶏,агыта́н
169,Gans::N,ガチョウ,ко́мбо
