,Concept_ID,et,sv
0,Auge::N,silm,öga
1,Ohr::N,kõrv,öra
2,Nase::N,nina,näsa
3,Mund::N,suu,mun
4,Zahn::N,hammas,tand
5,Zunge::N,keel,tunga
6,Lippe::N,huul,läpp
7,Wange::N,põsk,kind
8,Gesicht::N,nägu,syn
9,Gesicht::N,nägu,ansikte
10,Stirn::N,otsmik,panna
11,Haar::N,juus,hår
12,Schnurrbart::N,vurrud,mustasch
13,Schnurrbart::N,vuntsid,mustasch
14,Bart::N,habe,skägg
15,Kinn::N,lõug,haka
16,Kiefer[Anatomie]::N,lõualuu,käke
17,Kehle::N,kõri,strupe
18,Hals::N,kael,hals
19,Genick::N,kukal,nacke
20,Kopf::N,pea,huvud
21,Rücken::N,selg,rygg
22,Bauch::N,kõht,buk
23,Bauch::N,kõht,mage
24,Nabel::N,naba,navel
25,Busen::N,rind,barm
26,Brust::N,rind,bröst
27,Schulter::N,õlg,skuldra
28,Arm::N,käsivars,arm
29,Ellenbogen::N,küünarnukk,armbåge
30,Hand::N,käsi,hand
31,Handfläche::N,pihk,handflata
32,Finger::N,sõrm,finger
33,Fingernagel::N,küüs,fingernagel
34,Nagel[Anatomie]::N,küüs,nagel
35,Zeh::N,varvas,tå
36,Fuß::N,jalg,fot
37,Ferse::N,kand,häl
38,Knie::N,põlv,knä
39,Oberschenkel::N,reis,lår
40,Bein::N,jalg,ben
41,Körper::N,ihu,kropp
42,Körper::N,keha,kropp
43,Haut::N,nahk,hud
44,Haut::N,nahk,skinn
45,Blut::N,veri,blod
46,Ader::N,veen,åder
47,Sehne::N,kõõlus,sena
48,Knochen::N,luu,ben
49,Gehirn::N,aju,hjärna
50,Herz::N,süda,hjärta
51,Magen::N,magu,mage
52,Leber::N,maks,lever
53,Atem::N,hingeõhk,anda
54,Atem::N,hingeõhk,andedräkt
55,Atem::N,hingamine,anda
56,Atem::N,hingamine,andedräkt
57,Hunger::N,nälg,svält
58,Hunger::N,nälg,hunger
59,Träne::N,pisar,tår
60,Geschmack::N,maitse,smak
61,Geruch::N,lõhn,lukt
62,Schlaf::N,uni,sömn
63,Traum::N,unenägu,dröm
64,Himmel::N,taevas,himmel
65,Sonne::N,päike,sol
66,Mond::N,kuu,måne
67,Stern::N,täht,stjärna
68,Luft::N,õhk,luft
69,Wind::N,tuul,vind
70,Welle::N,laine,våg
71,Welle::N,laine,bölja
72,Wasser::N,vesi,vatten
73,Stein::N,kivi,sten
74,Boden::N,maa,mark
75,Boden::N,pinnas,mark
76,Erde::N,maa,jord
77,Staub::N,põrm,damm
78,Rauch::N,suits,rök
79,Funke::N,säde,gnista
80,Feuer::N,tuli,eld
81,Licht::N,valgus,ljus
82,Schatten::N,vari,skugga
83,Wetter::N,ilm,väder
84,Nebel::N,udu,dimma
85,Nebel::N,udu,töcken
86,Wolke::N,pilv,sky
87,Wolke::N,pilv,moln
88,Regen::N,sadu,regn
89,Schnee::N,lumi,snö
90,Eis::N,jää,is
91,Frost::N,pakane,frost
92,Kälte::N,külm,köld
93,Kälte::N,külmus,köld
94,Hitze::N,kuumus,hetta
95,Hitze::N,palavus,hetta
96,Raureif::N,härmatis,rimfrost
97,Regenbogen::N,vikerkaar,regnbåge
98,Donner::N,kõu,åska
99,Donner::N,kõu,dunder
100,Donner::N,müristamine,åska
101,Donner::N,müristamine,dunder
102,Strömung::N,voolus,strömning
103,Strömung::N,jõevool,strömning
104,Tropfen::N,tilk,dropper
105,Schaum::N,vaht,skum
106,Schmutz::N,pori,lort
107,Schmutz::N,pori,smuts
108,Schmutz::N,mustus,lort
109,Schmutz::N,mustus,smuts
110,See::N,järv,sjö
111,Sumpf::N,soo,träsk
112,Moor::N,raba,myr
113,Moor::N,raba,mosse
114,Wiese::N,aas,äng
115,Wiese::N,nurm,äng
116,Wald::N,mets,skog
117,Hügel::N,küngas,höjd
118,Hügel::N,küngas,kulle
119,Anhöhe::N,küngas,höjd
120,Anhöhe::N,küngas,backe
121,Berg::N,mägi,berg
122,Berg::N,mägi,fjäll
123,Gipfel::N,mäetipp,topp
124,Höhle::N,koobas,håla
125,Höhle::N,koobas,grotta
126,Abhang::N,nõlvak,slänt
127,Abhang::N,nõlvak,sluttning
128,Quelle::N,allikas,källa
129,Bach::N,oja,bäck
130,Fluss::N,jõgi,älv
131,Fluss::N,jõgi,flod
132,Ufer::N,kallas,strand
133,Küste::N,rannik,kust
134,Festland::N,mander,fastland
135,Festland::N,maismaa,fastland
136,Meer::N,meri,hav
137,Bucht::N,laht,vik
138,Bucht::N,laht,bukt
139,Insel::N,saar,ö
140,Blume::N,lill,blomma
141,Blume::N,lill,blomster
142,Gras::N,rohi,gräs
143,Wurzel::N,juur,rot
144,Baum::N,puu,träd
145,Stamm::N,tüvi,stam
146,Rinde::N,koor,bark
147,Ast::N,oks,gren
148,Zweig::N,oks,kvist
149,Blatt::N,leht,löv
150,Blatt::N,leht,blad
151,Birke::N,kask,björk
152,Kiefer[Baum]::N,mänd,tall
153,Weide[Baum]::N,paju,pil
154,Weide[Baum]::N,paju,vide
155,Tanne::N,nulg,gran
156,Horn::N,sarv,horn
157,Feder::N,sulg,fjäder
158,Fell::N,karvkate,fäll
159,Fell::N,karvkate,skinn
160,Fell::N,karusnahk,fäll
161,Fell::N,karusnahk,skinn
162,Flügel::N,tiib,vinge
163,Flügel::N,tiivik,vinge
164,Klaue::N,küüs,klöv
165,Kralle::N,küünis,klo
166,Schwanz::N,saba,svans
167,Schwanz::N,saba,stjärt
168,Ei::N,muna,ägg
169,Nest::N,pesa,rede
170,Nest::N,pesa,näste
171,Bau::N,urg,bo
172,Tier::N,loom,djur
173,Herde::N,kari,flock
174,Kuh::N,lehm,ko
175,Bulle::N,pull,tjur
176,Pferd::N,hobune,häst
177,Schaf::N,lammas,får
178,Schwein::N,siga,svin
179,Hund::N,koer,hund
180,Katze::N,kass,katt
181,Bär::N,karu,björn
182,Eichhörnchen::N,orav,ekorre
183,Elch::N,põder,älg
184,Fuchs::N,rebane,räv
185,Hase::N,jänes,hare
186,Maus::N,hiir,mus
187,Wolf::N,hunt,varg
188,Vogel::N,lind,fågel
189,Schwarm::N,parv,svärm
190,Huhn::N,kana,höns
191,Hahn::N,kukk,tupp
192,Gans::N,hani,gås
193,Adler::N,kotkas,örn
194,Ente::N,part,anka
