,Concept_ID,kn,kv
0,Auge::N,ಕಣ್ಣು,син
1,Ohr::N,ಕಿವಿ,пель
2,Nase::N,ಮೂಗು,ныр
3,Mund::N,ಬಾಯಿ,ӧм
4,Zahn::N,ಹಲ್ಲು,пинь
5,Zunge::N,ನಾಲಿಗೆ,кыв
6,Lippe::N,ತುಟಿ,тырп
7,Wange::N,ಗಲ್ಲ,рожабан
8,Gesicht::N,ಮುಖ,бан
9,Stirn::N,ಹಣೆ,кымӧс
10,Haar::N,ಕೂದಲು,юрси
11,Schnurrbart::N,ಮೀಸೆ,уссэз
12,Bart::N,ಗಡ್ಡ,тош
13,Kinn::N,ಗದ್ದ,тшӧка
14,Kiefer[Anatomie]::N,ದವಡೆ,ан
15,Kehle::N,ಗಂಟಲು,юан
16,Hals::N,ಕೊರಳು,юан
17,Genick::N,ಹಿಂಗತ್ತು,юр бӧр
18,Kopf::N,ತಲೆ,юр
19,Rücken::N,ಬೆನ್ನು,мышк
20,Bauch::N,ಹೊಟ್ಟೆ,кынӧм
21,Nabel::N,ಹೊಕ್ಕುಳು,гӧг
22,Busen::N,ಸ್ತನ,морос
23,Brust::N,ಎದೆ,морос
24,Schulter::N,ಭುಜ,пельпон
25,Arm::N,ತೋಳು,ки
26,Ellenbogen::N,ಮೊಣಕೈ,гырдзза
27,Hand::N,ಕೈ,кикар
28,Handfläche::N,ಅಂಗೈ,ки пыдӧс
29,Finger::N,ಕೈಬೆರಳು,чунь
30,Fingernagel::N,ಉಗುರು,гыж
31,Nagel[Anatomie]::N,ಉಗುರು,гыж
32,Zeh::N,ಕಾಲ್ಬೆರಳು,чунь
33,Fuß::N,ಪಾದ,кокпыдӧс
34,Ferse::N,ಹಿಮ್ಮಡಿ,кокдзир
35,Knie::N,ಮಂಡಿ,пидзӧс
36,Oberschenkel::N,ತೊಡೆ,лядьбей
37,Bein::N,ಕಾಲು,кок
38,Körper::N,ದೇಹ,вывтыр
39,Haut::N,ಚರ್ಮ,кучик
40,Blut::N,ರಕ್ತ,вир
41,Ader::N,ನರ,сӧн
42,Sehne::N,ನರ,жила
43,Knochen::N,ಮೂಳೆ,коска
44,Gehirn::N,ಮಿದುಳು,вем
45,Herz::N,ಹೃದಯ,сьӧлӧм
46,Magen::N,ಉದರ,жӧвдӧк
47,Leber::N,ಯಕೃತ್ತು,мус
48,Atem::N,ಉಸಿರು,лолалӧм
49,Hunger::N,ಹಸಿವು,тшыг
50,Träne::N,ಕಣ್ಣೀರು,синва
51,Geschmack::N,ರುಚಿ,кӧр
52,Geruch::N,ವಾಸನೆ,дук
53,Schlaf::N,ನಿದ್ರೆ,он
54,Traum::N,ಕನಸು,вӧт
55,Himmel::N,ಬಾನು,небо
56,Sonne::N,ಸೂರ್ಯ,шондi
57,Mond::N,ಚಂದ್ರ,тӧлiсь
58,Stern::N,ಚುಕ್ಕಿ,кӧдзыв
59,Luft::N,ವಾಯು,ру
60,Wind::N,ಗಾಳಿ,тӧв
61,Welle::N,ಅಲೆ,гы
62,Wasser::N,ನೀರು,ва
63,Stein::N,ಕಲ್ಲು,из
64,Boden::N,ನೆಲ,му
65,Erde::N,ಭೂಮಿ,му
66,Staub::N,ದೂಳು,бус
67,Rauch::N,ಹೊಗೆ,тшын
68,Funke::N,ಕಿಡಿ,бичир
69,Feuer::N,ಬೆಂಕಿ,би
70,Licht::N,ಬೆಳಕು,би
71,Schatten::N,ನೆರಳು,вуджӧр
72,Wetter::N,ಹವ,погоддя
73,Nebel::N,ಮಂಜು,туман
74,Wolke::N,ಮೋಡ,кымӧр
75,Regen::N,ಮಳೆ,зэр
76,Schnee::N,ಹಿಮ,лым
77,Eis::N,ಮಂಜುಗಡ್ಡೆ,йы
78,Frost::N,ಮಂಜು,мороз
79,Kälte::N,ಹಿಮ,кӧдзыт
80,Hitze::N,ಉಷ್ಣ,ӧд
81,Raureif::N,ಇಬ್ಬನಿ,кижа
82,Regenbogen::N,ಇಂದ್ರಚಾಪ,енӧшка
83,Donner::N,ಗುಡುಗು,гым
84,Strömung::N,ಪ್ರವಾಹ,визывтӧм
85,Tropfen::N,ತೊಟ್ಟು,тёп
86,Schaum::N,ನೊರೆ,быг
87,Schmutz::N,ಕಸ,нять
88,See::N,ಸರೋವರ,ты
89,Sumpf::N,ಜೌಗುಸ್ಥಳ,арай
90,Moor::N,ಬಂಜರು ಭೂಮಿ,нюр
91,Wiese::N,ಹುಲ್ಲುಗಾವಲು,видз
92,Wald::N,ಕಾಡು,вӧр
93,Hügel::N,ಗುಡ್ಡೆ,мыльк
94,Anhöhe::N,ದಿಬ್ಬ,вывтас
95,Anhöhe::N,ದಿಬ್ಬ,вылынін
96,Berg::N,ಮಲೆ,керӧс
97,Berg::N,ಪರ್ವತ,керӧс
98,Gipfel::N,ಶೃಂಗ,йыв
99,Höhle::N,ಗುಹೆ,нора
100,Abhang::N,ಇಳಿಜಾರು,покат
101,Quelle::N,ಮೂಲ,больган
102,Bach::N,ತೊರೆ,шор
103,Fluss::N,ನದಿ,ю
104,Ufer::N,ತೀರ,берег
105,Küste::N,ದಂಡೆ,берег
106,Festland::N,ಭೂಮಿ,му
107,Meer::N,ಕಡಲು,море
108,Bucht::N,ಖಾರಿ,курья
109,Insel::N,ದ್ವೀಪ,
110,Blume::N,ಸುಮ,цветок
111,Gras::N,ಹುಲ್ಲು,турун
112,Wurzel::N,ಬೇರು,вуж
113,Baum::N,ಮರ,пу
114,Stamm::N,ಕಾಂಡ,мыр
115,Stamm::N,ಕಾಂಡ,кер
116,Rinde::N,ತೂಗಟಿ,кач
117,Ast::N,ಶಾಖೆ,ув
118,Zweig::N,ರೆಂಬೆ,ув
119,Blatt::N,ಎಲೆ,лист
120,Birke::N,ಬರ್ಚ್ ಮರ,кыдз
121,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,пожум
122,Weide[Baum]::N,ವಿಲೋಮರ,бадь
123,Tanne::N,ಭದ್ರದಾರು,кӧз
124,Horn::N,ಕೊಂಬು,сюр
125,Feder::N,ಪುಕ್ಕ,гӧн
126,Fell::N,ರೋಮ,кучик
127,Flügel::N,ರೆಕ್ಕೆ,борд
128,Klaue::N,ಪಂಜ,гыж
129,Kralle::N,ಉಗುರು,кабыр
130,Schwanz::N,ಬಾಲ,бӧж
131,Ei::N,ಮೊಟ್ಟೆ,кольть
132,Nest::N,ಗೂಡು,поз
133,Bau::N,ಅಡಗುದಾಣ,осьта
134,Bau::N,ಅಡಗುದಾಣ,нора
135,Tier::N,ಪ್ರಾಣಿ,зверь
136,Herde::N,ಗುಂಪು,гурт
137,Kuh::N,ಹಸು,мӧс
138,Bulle::N,ಗೂಳಿ,ӧшка
139,Pferd::N,ಕುದುರೆ,вӧв
140,Schaf::N,ಕುರಿ,баля
141,Schwein::N,ಹಂದಿ,порсь
142,Hund::N,ನಾಯಿ,пон
143,Katze::N,ಬೆಕ್ಕು,кань
144,Bär::N,ಕರಡಿ,ош
