,Concept_ID,kl,sq
0,Auge::N,isi,sy
1,Ohr::N,siut,vesh
2,Mund::N,paaq,gojë
3,Mund::N,qaneq,gojë
4,Zahn::N,kigut,dhëmb
5,Zunge::N,oqaq,gjuhë
6,Lippe::N,qarloq,buzë
7,Wange::N,ersaq,faqe
8,Wange::N,ersaq,mollëz
9,Gesicht::N,kiinaq,fytyrë
10,Stirn::N,qaaq,ballë
11,Haar::N,meqqoq,flokë
12,Bart::N,umik,mjekër
13,Kinn::N,talloq,mjekër
14,Kiefer[Anatomie]::N,alleroq,nofull
15,Kehle::N,malaq,fyt
16,Kehle::N,malaq,grykë
17,Hals::N,qungaseq,qafë
18,Genick::N,pukusuk,arrëz
19,Kopf::N,niaqoq,kokë
20,Rücken::N,qimerlut,kurriz
21,Bauch::N,naaq,bark
22,Nabel::N,qalaseq,kërthizë
23,Busen::N,iviangeq,gji
24,Brust::N,iviangeq,gjoks
25,Brust::N,iviangeq,kraharor
26,Schulter::N,ersik,sup
27,Schulter::N,ersik,krah
28,Schulter::N,assaqqoq,sup
29,Schulter::N,assaqqoq,krah
30,Arm::N,taleq,krah
31,Ellenbogen::N,ikusik,bërryl
32,Hand::N,assak,dorë
33,Handfläche::N,itumak,pëllëmbë
34,Finger::N,inuak,gisht
35,Fingernagel::N,kikiak,thua
36,Nagel[Anatomie]::N,kukik,thua
37,Zeh::N,isigak,gisht i këmbës
38,Ferse::N,kimmik,thembër
39,Knie::N,seeqqoq,gju
40,Oberschenkel::N,uppat,kofshë
41,Oberschenkel::N,quttoraq,kofshë
42,Bein::N,isigak,këmbë
43,Körper::N,timi,trup
44,Haut::N,mattak,lëkurë
45,Blut::N,aak,gjak
46,Ader::N,taqaq,venë
47,Sehne::N,ujalu,dell
48,Sehne::N,ujaloq,dell
49,Knochen::N,saanikut,asht
50,Knochen::N,saanikut,kockë
51,Gehirn::N,qarasaq,tru
52,Herz::N,uummat,zemër
53,Magen::N,aqajaroq,stomak
54,Leber::N,tinguk,mëlçi
55,Atem::N,anerneq,frymë
56,Hunger::N,kaanneq,uri
57,Träne::N,qia,lot
58,Träne::N,qiak,lot
59,Geschmack::N,qilanaartuut,shije
60,Geruch::N,tipi,erë
61,Geruch::N,tipik,erë
62,Traum::N,sinnattoq,ëndërr
63,Traum::N,sinnattugaq,ëndërr
64,Himmel::N,qilak,qiell
65,Sonne::N,seqineq,diell
66,Mond::N,qaammat,hënë
67,Stern::N,ulloriaq,yll
68,Luft::N,silaannaq,ajër
69,Wind::N,anori,erë
70,Wind::N,anorsarik,erë
71,Welle::N,aalappaa,valë
72,Welle::N,aalappaa,dallgë
73,Wasser::N,imeq,ujë
74,Stein::N,ujarak,gur
75,Boden::N,nateq,tokë
76,Boden::N,nateq,truall
77,Erde::N,issoq,dhe
78,Erde::N,issoq,baltë
79,Staub::N,pujualanerit,pluhur
80,Staub::N,pujoralanerit,pluhur
81,Rauch::N,iseq,tym
82,Rauch::N,pujoq,tym
83,Funke::N,illoorneq,xixë
84,Funke::N,illoorneq,shkëndijë
85,Feuer::N,inneq,zjarr
86,Licht::N,qaamaneq,dritë
87,Schatten::N,tarraq,hije
88,Wetter::N,sila,mot
89,Nebel::N,pujoq,mjegull
90,Wolke::N,nuia,re
91,Regen::N,sialuk,shi
92,Schnee::N,aput,borë
93,Eis::N,siku,akull
94,Frost::N,issi,ngricë
95,Frost::N,issik,ngricë
96,Kälte::N,issi,të ftohtë
97,Hitze::N,kianneq,vapë
98,Hitze::N,kianneq,nxehtësi
99,Hitze::N,kiassuseq,vapë
100,Hitze::N,kiassuseq,nxehtësi
101,Raureif::N,kaneq,cikmë
102,Regenbogen::N,neriusaaq,ylber
103,Donner::N,kalleq,gjëmim
104,Donner::N,kalleq,bubullimë
105,Tropfen::N,kuseriarneq,pikë
106,Schaum::N,qapuk,shkumë
107,Schmutz::N,minguk,baltë
108,See::N,taseq,liqen
109,Sumpf::N,maqulluk,batak
110,Wiese::N,masarsuk,livadh
111,Hügel::N,qattuneq,kodër
112,Hügel::N,majuariaq,kodër
113,Hügel::N,majorajaaq,kodër
114,Hügel::N,qaqqannguaq,kodër
115,Berg::N,qaqqaq,mal
116,Höhle::N,qaarusuk,shpellë
117,Höhle::N,qaarusuk,zgafelle
118,Abhang::N,ippik,shpat
119,Abhang::N,ippik,tatëpjetë
120,Abhang::N,sivinganeq,shpat
121,Abhang::N,sivinganeq,tatëpjetë
122,Abhang::N,sivingajaaq,shpat
123,Abhang::N,sivingajaaq,tatëpjetë
124,Abhang::N,kussangajaaq,shpat
125,Abhang::N,kussangajaaq,tatëpjetë
126,Bach::N,kuunnguaq,virua
127,Fluss::N,kuuk,lumë
128,Ufer::N,sissap sinaa,breg
129,Küste::N,sineriak,anëdet
130,Küste::N,sineriak,bregdet
131,Meer::N,imaq,det
132,Bucht::N,ikeq,gji deti
133,Bucht::N,kangerluk,gji deti
134,Bucht::N,kangerliumaneq,gji deti
135,Insel::N,qeqertaq,ishull
136,Insel::N,qeqertaq,ujdhesë
137,Blume::N,naasoq,lule
138,Gras::N,ivigaq,bar
139,Wurzel::N,niulutaq,rrënjë
140,Baum::N,orpik,pemë
141,Stamm::N,kanaartaq,trung
142,Rinde::N,ameraq,lëvore
143,Ast::N,avalequt,degë
144,Zweig::N,avalequt,bisk
145,Blatt::N,pilutaq,fletë
146,Blatt::N,pilutaq,gjethe
147,Birke::N,patitsit,mështekën
148,Weide[Baum]::N,palleq,shelg
149,Tanne::N,orsuerneq,bredh
150,Horn::N,nassuk,bri
151,Feder::N,suluk,pupël
152,Fell::N,ameq,lëkurë
153,Flügel::N,suluk,krah
154,Flügel::N,suluk,fletë
155,Flügel::N,isaroq,krah
156,Flügel::N,isaroq,fletë
157,Klaue::N,kukik,kthetër
158,Kralle::N,kukik,thua
159,Kralle::N,kukik,kthetër
160,Schwanz::N,pamioq,bisht
161,Schwanz::N,paperuusaq,bisht
162,Ei::N,mannik,vezë
163,Nest::N,ullut,fole
164,Bau::N,ini,strofkë
165,Tier::N,uumasoq,kafshë
166,Herde::N,unguukkat,kope
167,Herde::N,unguukkat,grigjë
168,Kuh::N,ussik,lopë
169,Bulle::N,angukulak,dem
170,Bulle::N,anguteralak,dem
171,Bulle::N,angutikulooq,dem
172,Schaf::N,sava,dele
173,Schwein::N,puuluki,derr
174,Hund::N,qimmeq,qen
175,Katze::N,puisaaq,mace
176,Bär::N,allaq,ari
177,Eichhörnchen::N,sissinnguaq,ketër
178,Fuchs::N,terianniaq,dhelpër
179,Hase::N,ukaleq,lepur
180,Maus::N,teriannguaq,mi
181,Wolf::N,amaroq,ujk
182,Vogel::N,timmiaq,zog
183,Vogel::N,timmiaq,shpend
184,Huhn::N,kukkukooq,pulë
185,Huhn::N,marloraaqaaq,pulë
186,Hahn::N,kiasiusaq,gjel
187,Hahn::N,kiasiusaq,këndes
188,Gans::N,nerleq,patë
189,Adler::N,nattoralik,shqiponjë
190,Eule::N,uppik,buf
191,Kranich::N,qorlorfik,lejlek
192,Kranich::N,qorlorfik,kurrillë
193,Krähe::N,tuluatsiaq,sorrë
194,Kuckuck::N,kukkooq,qyqe
195,Schwan::N,qussuk,mjellmë
196,Fisch::N,aalisagaq,peshk
197,Schlange[Tier]::N,pulateriarsuk,gjarpër
198,Schlange[Tier]::N,pulateriaarsuk,gjarpër
199,Spinne::N,aasiaq,marimangë
200,Spinne::N,nissavaarsuk,marimangë
201,Ameise::N,uniaaluk,thnegël
202,Ameise::N,uniaaluk,milingonë
203,Laus::N,kumak,morr
204,Mücke::N,ippernaq,kunup
205,Mücke::N,ippernaq,mushkonjë
206,Fliege::N,ippernaq,mizë
207,Schmetterling::N,paluaq,flutur
208,Schmetterling::N,pakkaluaq,flutur
209,Schmetterling::N,utsuppaluaq,flutur
210,Schmetterling::N,taqaleqisaaq,flutur
211,Beere::N,paarmaq,frutë
212,Beere::N,paarmaq,manaferrë
213,Beere::N,paarngaq,frutë
214,Beere::N,paarngaq,manaferrë
215,Apfel::N,iipili,mollë
216,Pilz::N,anngiusaq,kërpudhë
217,Zwiebel::N,uanitsoq,qepë
218,Saat::N,naatsiiassaq,farë
219,Korn::N,maannineq,grurë
220,Korn::N,maannineq,kokërr
221,Schale::N,niutsivik,lëkurë
222,Schale::N,ilulissaq qaartussaq,lëkurë
223,Grube::N,itersaq,gropë
224,Falle::N,pualavoq,kurth
225,Falle::N,pualavoq,grackë
226,Schlinge::N,orseq,nyjë
227,Schlinge::N,norloq,nyjë
228,Spur::N,tumaa,gjurmë
229,Asche::N,arsat,hi
230,Dreck::N,minguk,baltë
231,Eisen::N,savimineq,hekur
232,Eisen::N,saffiugassaq,hekur
233,Gold::N,kuulti,ar
234,Gold::N,kuulti,flori
235,Silber::N,siilviuvoq,argjend
236,Kohle::N,aamarsuit aamaruutissat,qymyr
237,Glas::N,igalaaq,qelq
238,Glas::N,imertarfik,qelq
239,Glas::N,igalaamineq,qelq
240,Lehm::N,marraq,argjilë
241,Sand::N,sioqqat,rërë
242,Mensch::N,inuk,njeri
243,Mensch::N,silamiu,njeri
244,Mann::N,angut,burrë
245,Mann::N,angut,mashkull
246,Frau::N,arnaq,grua
247,Frau::N,arnaq,femër
248,Kind::N,meeraq,kalama
249,Junge::N,nukappiaraq,djalë
250,Mädchen::N,arnannguaq,gocë
251,Mädchen::N,arnannguaq,vajzë
252,Familie::N,ilaqutakka,familje
253,Familie::N,ilaqutariit,familje
254,Großvater::N,aatak,gjysh
255,Großmutter::N,aanaq,gjyshe
256,Eltern::N,angajoqqaat,prindër
257,Vater::N,ataata,atë
258,Vater::N,ataataq,atë
259,Mutter::N,anaana,nënë
260,Sohn::N,erneq,bir
261,Tochter::N,panik,bijë
262,Bruder::N,ani,vëlla
263,Bruder::N,aqqaluk,vëlla
264,Bruder::N,qatanngut,vëlla
265,Schwester::N,naja,motër
266,Schwester::N,aleqa,motër
267,Schwester::N,qatanngut,motër
268,Onkel::N,akkak,dajë
269,Onkel::N,akkak,xhaxha
270,Tante::N,aja,teze
271,Tante::N,aja,hallë
272,Tante::N,ajak,teze
273,Tante::N,ajak,hallë
274,Tante::N,atsak,teze
275,Tante::N,atsak,hallë
276,Ehemann::N,ui,burrë
277,Ehemann::N,ui,bashkëshort
278,Ehefrau::N,nuliaq,grua
279,Ehefrau::N,nuliaq,bashkëshorte
280,Freude::N,tipaatsussuseq,gaz
281,Freude::N,tipaatsussuseq,gëzim
282,Gelächter::N,illaq,qeshje
283,Glück::N,usornaat,lumturi
284,Glück::N,usornarsuseq,lumturi
285,Wunsch::N,kissaat,dëshirë
286,Lust::N,illigussuseq,epsh
287,Lust::N,illigussuseq,dashuri
288,Lust::N,piummaseq,epsh
289,Lust::N,piummaseq,dashuri
290,Geist::N,anerneq,frymë
291,Geist::N,anerneq,shpirt
292,Geist::N,toornaq,frymë
293,Geist::N,toornaq,shpirt
294,Gedanke::N,isumassaq,ide
295,Gedanke::N,isumassaq,mendim
296,Gedächtnis::N,eqqaamannissuseq,kujtesë
297,Verstand::N,isuma,mend
298,Verstand::N,sianissut,mend
299,Verstand::N,misigissut,mend
300,Verstand::N,sianissuseq,mend
301,Verstand::N,silaqassuseq,mend
302,Sinn::N,isuma,kuptim
303,Grund::N,patsit,arsye
304,Wahrheit::N,sallusuissut,vërtetë
305,Märchen::N,oqalualaarut,përrallë
306,Märchen::N,oqaluasaaq,përrallë
307,Erzählung::N,oqaluttuaq,tregim
308,Nachricht::N,oqaassut,lajm
309,Nachricht::N,oqqersuut,lajm
310,Neuigkeit::N,tusarnartaq,risi
311,Name::N,ateq,emër
312,Rätsel::N,nalorsitsaarut,gjëzë
313,Rätsel::N,nalorsitsaarut,gjëegjëzë
314,Rede::N,oqaluuseq,fjalim
315,Sprache::N,oqaatsit,gjuhë
316,Stimme::N,erinaq,zë
317,Stimme::N,qarluuseq,zë
318,Wort::N,oqaasii,fjalë
319,Zeichen::N,nalunaaqqut,shenjë
320,Ruf::N,qaaqqussut,thirrmë
321,Lärm::N,perpaluk,zhurmë
322,Laut::N,torsukattak,tingull
323,Ton::N,erinaq,ton
324,Lied::N,taalliaq,këngë
325,Lied::N,erinarsuut,këngë
326,Ruhe::N,qatsunganeq,qetësi
327,Leute::N,inuiak,botë
328,Leute::N,inuiak,njerëz
329,Leute::N,inuiaqatigiit,botë
330,Leute::N,inuiaqatigiit,njerëz
331,Volk::N,inuiaat,popull
332,Arbeit::N,suliaq,punë
333,Gast::N,qaaqqusaq,mik
334,Gast::N,qaaqqusaq,mysafir
335,Geschenk::N,pajugut,dhuratë
336,Geschenk::N,pajugut,peshqesh
337,Hilfe::N,annertoqqut,ndihmë
338,Freund::N,tiliaq,mik
339,Freund::N,ikinngut,mik
340,Kamerad::N,tiliaq,shok
341,Kamerad::N,ikinngut,shok
342,Art::N,ileqquuseq,lloj
343,Stück::N,nakkaalaniku,copë
344,Teil::N,tassiaasat,pjesë
345,Hälfte::N,affaq,gjysmë
346,Kreis::N,kaajaluinneq or kaajaluitsoq,qark
347,Kreis::N,kaajaluinneq or kaajaluitsoq,rreth
348,Kreuz::N,sanningasulik,kryq
349,Linie::N,tittaq,vijë
350,Linie::N,titarneq,vijë
351,Abstand::N,aku,distancë
352,Abstand::N,ikiaq,distancë
353,Entfernung::N,asi,largim
354,Gegend::N,nuna,vise
355,Gegend::N,nuna,krahinë
356,Platz::N,ini,shesh
357,Platz::N,inissaq,shesh
358,Ort::N,sumiiffik,vend
359,Seite::N,saneraq,anë
360,Mitte::N,qiteq,mes
361,Sache::N,pigisaq,gjë
362,Sache::N,pigisaq,send
363,Rand::N,sini,qoshe
364,Rand::N,akerfineq,qoshe
365,Kante::N,akerfineq,teh
366,Ecke::N,teqeqqoq,qoshe
367,Ecke::N,tikeqqoq,qoshe
368,Spitze::N,inngik,majë
369,Ende::N,isu,skaj
370,Ende::N,isu,bisht
371,Loch::N,putu,vrimë
372,Winkel::N,teqeqqorissaat,kënd
373,Muster::N,ilisserut,mostër
374,Größe::N,angissuseq,madhësi
375,Länge::N,takissuseq,gjatësi
376,Gewicht::N,oqimaalutaq,peshë
377,Menge::N,amerlassuseq,sasi
378,Haufen::N,eqimattat,grumbull
379,Reihe::N,allunaasaq,radhë
380,Reihe::N,allunaasaq,rresht
381,Boot::N,qajaq,barkë
382,Boot::N,qajaq,lundër
383,Boot::N,angallat,barkë
384,Boot::N,angallat,lundër
385,Boot::N,umiatsiaq,barkë
386,Boot::N,umiatsiaq,lundër
387,Ruder::N,iput,rrem
388,Schlitten::N,qamutit,sajë
389,Schlitten::N,qimusseq,sajë
390,Ski::N,ataarut,ski
391,Last::N,nammagaq,barrë
392,Schritt::N,allorneq,hap
393,Norden::N,avannaq,veri
394,Süden::N,qava,jug
395,Süden::N,kujat,jug
396,Süden::N,kujataa,jug
397,Westen::N,kitaa,perëndim
398,Osten::N,kangi,lindje
399,Holz::N,qisuk,dru
400,Brett::N,salliligaq,dërrasë
401,Platte::N,qaateq,pllakë
402,Stütze::N,ajagutaq,shtyllë
403,Stütze::N,ajagutaq,mbështetesë
404,Stütze::N,ajaagutaq,shtyllë
405,Stütze::N,ajaagutaq,mbështetesë
406,Stange::N,kaaviffik,shufër
407,Stock::N,ajaappissat,dajak
408,Stab::N,ajaappissat,shkop
409,Rohr::N,sullulik,tub
410,Haus::N,illu,shtëpi
411,Ofen::N,kissarsuut,sobë
412,Ofen::N,kissarsuut,stufë
413,Fußboden::N,nateq,dysheme
