,Concept_ID,lbe,ga
0,Auge::N,я,súil
1,Ohr::N,вичӏи,cluas
2,Nase::N,май,soc
3,Mund::N,кьацӏ,béal
4,Zahn::N,ккарччи,fiacail
5,Zunge::N,маз,teanga
6,Lippe::N,мурччи,liopa
7,Wange::N,чӏав,grua
8,Wange::N,чӏав,leiceann
9,Gesicht::N,лажин,éadan
10,Gesicht::N,лажин,aghaidh
11,Stirn::N,ненттабакӏ,baithis
12,Stirn::N,ненттабакӏ,clár éadain
13,Haar::N,чӏара,gruaig
14,Schnurrbart::N,ссирссилтту,croiméal
15,Bart::N,чӏири,féasóg
16,Kinn::N,лунттубакӏ,smig
17,Kiefer[Anatomie]::N,ххинчулул,giall
18,Kehle::N,кьакьари,scornach
19,Hals::N,ссурссу,muinéal
20,Genick::N,махъабакӏ,baic
21,Kopf::N,бакӏ,ceann
22,Rücken::N,ттиликӏ,droim
23,Bauch::N,лякьа,bolg
24,Nabel::N,цӏумуккутӏ,imleacán
25,Busen::N,ккукку,cíoch
26,Brust::N,хъазам,brollach
27,Schulter::N,хъачӏ,gualainn
28,Arm::N,ка,lámh
29,Ellenbogen::N,ссюрхъ,uillinn
30,Hand::N,бартка,lámh
31,Handfläche::N,хъат,bos
32,Handfläche::N,битӏянхъ,bos
33,Finger::N,кӏисса,méar
34,Fingernagel::N,михь,ionga
35,Nagel[Anatomie]::N,михь,ionga
36,Zeh::N,кӏисса,ladhar
37,Fuß::N,чӏанччан,cos
38,Fuß::N,чӏанччан,troigh
39,Ferse::N,никъа,sáil
40,Knie::N,ник,glúin
41,Oberschenkel::N,жира,ceathrú
42,Bein::N,ччан,cos
43,Körper::N,чурх,corp
44,Körper::N,чурх,colainn
45,Haut::N,бурчу,cneas
46,Haut::N,бурчу,craiceann
47,Blut::N,оь,fuil
48,Ader::N,тунну,
49,Sehne::N,хьхьа,teannán
50,Sehne::N,хьхьа,féitheog
51,Knochen::N,ттаркӏ,cnámh
52,Gehirn::N,ня,inchinn
53,Herz::N,дакӏ,croí
54,Herz::N,къюкӏ,croí
55,Magen::N,лякьа,bolg
56,Magen::N,лякьа,goile
57,Atem::N,ссихӏ ласаву,anáil
58,Atem::N,ссихӏ бигьаву,anáil
59,Hunger::N,ккаши,ocras
60,Träne::N,макь,deoir
61,Geschmack::N,тӏин,blas
62,Geschmack::N,тӏааьн,blas
63,Geruch::N,кьанкь,boladh
64,Schlaf::N,шану,suan
65,Schlaf::N,шану,codladh
66,Traum::N,макӏру,taibhreamh
67,Himmel::N,ссав,spéir
68,Sonne::N,баргъ,grian
69,Mond::N,барз,ré
70,Mond::N,барз,gealach
71,Stern::N,цӏуку,rinn
72,Stern::N,цӏуку,réalta
73,Luft::N,гьава,aer
74,Wind::N,марч,gaoth
75,Welle::N,щатӏи,tonn
76,Wasser::N,щин,uisce
77,Stein::N,чару,cloch
78,Boden::N,аьрщи,talamh
79,Erde::N,аьрщи,cré
80,Erde::N,аьрщи,ithir
81,Staub::N,ххит,dusta
82,Staub::N,ххит,deannach
83,Rauch::N,пуркӏу,toit
84,Rauch::N,пуркӏу,deatach
85,Funke::N,пиягь,drithle
86,Feuer::N,цӏу,tine
87,Licht::N,чани,solas
88,Schatten::N,ххют,scáth
89,Wetter::N,гьава,aimsir
90,Nebel::N,шархь ттурлу,ceo
91,Wolke::N,ттурлу,néal
92,Wolke::N,ттурлу,scamall
93,Regen::N,гъарал,báisteach
94,Regen::N,гъарал,fearthainn
95,Schnee::N,марххала,sneachta
96,Eis::N,микӏ,oighear
97,Frost::N,дяркъу,sioc
98,Frost::N,замгьар,sioc
99,Kälte::N,дяркъу,fuacht
100,Hitze::N,кӏиришиву,teas
101,Hitze::N,кӏиришиву,teocht
102,Raureif::N,сил,sioc bán
103,Raureif::N,бурса,sioc bán
104,Regenbogen::N,ссурул ккуртта,stua ceatha
105,Regenbogen::N,ссурул ккуртта,bogha báistí
106,Donner::N,къув,toirneach
107,Strömung::N,экьинанаву,sruth
108,Tropfen::N,кӏунтӏ,deoir
109,Schaum::N,хьама,cúr
110,Schmutz::N,кьяркьи,salachar
111,See::N,бяр,loch
112,Sumpf::N,кунцӏа,portach
113,Wiese::N,кьан,cluain
