,Concept_ID,ru,tr
0,Auge::N,глаз,göz
1,Ohr::N,ухо,kulak
2,Nase::N,нос,burun
3,Mund::N,рот,ağız
4,Zahn::N,зуб,diş
5,Zunge::N,язык,dil
6,Lippe::N,губа,dudak
7,Wange::N,щека,yanak
8,Gesicht::N,лицо,yüz
9,Stirn::N,лоб,alın
10,Haar::N,волос,saç
11,Haar::N,волосы,saç
12,Schnurrbart::N,ус,bıyık
13,Schnurrbart::N,усы,bıyık
14,Bart::N,борода,sakal
15,Kinn::N,подбородок,çene
16,Kiefer[Anatomie]::N,челюсть,çene
17,Kehle::N,горло,boğaz
18,Hals::N,шея,boyun
19,Hals::N,шея,gerdan
20,Genick::N,затылок,ense
21,Kopf::N,голова,baş
22,Kopf::N,голова,kafa
23,Rücken::N,спина,arka
24,Bauch::N,живот,karın
25,Nabel::N,пупок,göbek
26,Busen::N,женская грудь,koyun
27,Brust::N,грудь,göğüs
28,Schulter::N,плечо,omuz
29,Arm::N,рука,kol
30,Ellenbogen::N,локоть,dirsek
31,Hand::N,кисть,el
32,Handfläche::N,ладонь,avuç
33,Handfläche::N,ладонь,el ayası
34,Finger::N,палец,parmak
35,Fingernagel::N,ноготь,el tırnağı
36,Nagel[Anatomie]::N,ноготь,tırnak
37,Zeh::N,палец,ayak parmağı
38,Fuß::N,ступня,ayak
39,Ferse::N,пята,topuk
40,Ferse::N,пятка,topuk
41,Knie::N,колено,diz
42,Oberschenkel::N,бедро,uyluk
43,Bein::N,нога,bacak
44,Körper::N,тело,vücut
45,Haut::N,кожа,cilt
46,Blut::N,кровь,kan
47,Ader::N,вена,damar
48,Ader::N,сосуд,damar
49,Sehne::N,жила,kiriş
50,Sehne::N,тетива,kiriş
51,Sehne::N,сухожилие,kiriş
52,Knochen::N,кость,kemik
53,Gehirn::N,мозг,beyin
54,Herz::N,сердце,kalp
55,Herz::N,сердце,yürek
56,Magen::N,желудок,mide
57,Leber::N,печень,karaciğer
58,Atem::N,дух,nefes
59,Atem::N,дыхание,nefes
60,Hunger::N,голод,açlık
61,Träne::N,слеза,gözyaşı
62,Geschmack::N,вкус,tat
63,Geschmack::N,вкус,lezzet
