,Concept_ID,te,pt
0,Auge::N,కన్ను,olho
1,Ohr::N,చెవి,orelha
2,Nase::N,ముక్కు,nariz
3,Mund::N,నోరు,boca
4,Zahn::N,పల్లు,dente
5,Zunge::N,నాలుక,língua
6,Lippe::N,పెదవి,lábio
7,Wange::N,చెంప,face
8,Gesicht::N,ముఖము,cara
9,Gesicht::N,ముఖము,rosto
10,Stirn::N,నుదురు,testa
11,Haar::N,వెండ్రుక,cabelo
12,Schnurrbart::N,మీసము,bigode
13,Bart::N,గడ్డము,barba
14,Kinn::N,గడ్డము,queixo
15,Kiefer[Anatomie]::N,దౌడ,maxila
16,Kiefer[Anatomie]::N,దౌడ,mandíbula
17,Kehle::N,గొంతు,garganta
18,Hals::N,మెడ,colo
19,Hals::N,మెడ,pescoço
20,Genick::N,మూపు,nuca
21,Kopf::N,తల,cabeça
22,Rücken::N,వెన్ను,dorso
23,Rücken::N,వెన్ను,costas
24,Bauch::N,కడుపు,ventre
25,Bauch::N,కడుపు,barriga
26,Nabel::N,బొడ్డు,umbigo
27,Busen::N,స్తనము,seio
28,Brust::N,ఱొమ్ము,peito
29,Schulter::N,భుజము,ombro
30,Arm::N,చేయి,braço
31,Ellenbogen::N,మోచేయి,cotovelo
32,Hand::N,చేయి,mão
33,Handfläche::N,అరచేయు,palma
34,Handfläche::N,అరచేయు,palma da mão
35,Finger::N,చేతిప్రేలు,dedo
36,Fingernagel::N,గోరు,unha
37,Nagel[Anatomie]::N,గోరు,unha
38,Zeh::N,కాలిప్రేలు,dedo do pé
39,Fuß::N,అడుగు,pé
40,Ferse::N,మడమ,calcanhar
41,Knie::N,మోకాలు,joelho
42,Oberschenkel::N,తొడ,coxa
43,Bein::N,కాలు,perna
44,Körper::N,కాయము,corpo
45,Haut::N,చర్మము,pele
46,Blut::N,రక్తము,sangue
47,Ader::N,సిర,veia
48,Sehne::N,స్నాయువు,tendão
49,Knochen::N,ఎముక,osso
50,Gehirn::N,మెదడు,cérebro
51,Herz::N,హృదయము,coração
52,Magen::N,కడుపు,estômago
53,Leber::N,కాలేయము,fígado
54,Atem::N,ఉపిరి,fôlego
55,Hunger::N,ఆకలి,fome
56,Träne::N,కన్నీటిచుక్క,lágrima
57,Geschmack::N,రుచి,gosto
58,Geruch::N,వాసన,odor
59,Geruch::N,వాసన,cheiro
60,Schlaf::N,నిద్ర,sono
61,Traum::N,కల,sonho
62,Himmel::N,ఆకాశము,céu
63,Sonne::N,సూర్యుడు,sol
64,Mond::N,చంద్రుడు,lua
65,Stern::N,నక్షత్రము,estrela
66,Luft::N,గాలి,ar
67,Wind::N,వీచుచున్నగాలి,vento
68,Welle::N,అల,onda
69,Wasser::N,నీరు,água
70,Stein::N,ఱాయి,pedra
71,Boden::N,నేల,solo
72,Erde::N,మన్ను,terra
73,Staub::N,దుమ్ము,pó
74,Rauch::N,పొగ,fumo
75,Funke::N,అగ్నికణము,faísca
76,Funke::N,అగ్నికణము,centelha
77,Feuer::N,అగ్ని,fogo
78,Licht::N,కాంతి,luz
79,Schatten::N,నీడ,sombra
80,Wetter::N,వాతావరణ స్థితి,tempo
81,Nebel::N,పొగమంచు,nevoeiro
82,Wolke::N,మేఘము,nuvem
83,Regen::N,వాన,chuva
84,Schnee::N,హిమము,neve
85,Eis::N,మంచుగడ్డ,gelo
86,Frost::N,పేరిన మంచు,gelo
87,Frost::N,పేరిన మంచు,geada
88,Kälte::N,చలి,frio
89,Hitze::N,వేడిమి,ardor
90,Raureif::N,మంచు,geada
91,Regenbogen::N,ఇంద్రధనుస్సు,arco-iris
92,Donner::N,ఉరుము,trovão
93,Strömung::N,ప్రవాహము,corrente
94,Tropfen::N,చుక్క,gota
95,Schaum::N,నురుగు,espuma
96,Schmutz::N,మైల,sujidade
97,Schmutz::N,మైల,imundície
98,See::N,సరస్సు,lago
99,Sumpf::N,చిత్తడినేల,charco
100,Sumpf::N,చిత్తడినేల,pântano
101,Moor::N,చిత్తడినేల,pântano
102,Wiese::N,పచ్చిక బయలు,prado
103,Wald::N,అడవి,bosque
104,Wald::N,అడవి,floresta
