,Concept_ID,lv,de
0,Auge::N,син,Auge
1,Auge::N,acs,Auge
2,Ohr::N,пель,Ohr
3,Ohr::N,auss,Ohr
4,Nase::N,ныр,Nase
5,Nase::N,deguns,Nase
6,Mund::N,вом,Mund
7,Mund::N,mute,Mund
8,Zahn::N,пинь,Zahn
9,Zahn::N,zobs,Zahn
10,Zunge::N,кыв,Zunge
11,Zunge::N,mēle,Zunge
12,Lippe::N,вом дор,Lippe
13,Lippe::N,lūpa,Lippe
14,Wange::N,бан,Wange
15,Wange::N,vaigs,Wange
16,Gesicht::N,чужӧм,Gesicht
17,Gesicht::N,seja,Gesicht
18,Gesicht::N,ģīmis,Gesicht
19,Stirn::N,плеш,Stirn
20,Stirn::N,кымӧс,Stirn
21,Stirn::N,piere,Stirn
22,Haar::N,си,Haar
23,Haar::N,юрси,Haar
24,Haar::N,mats,Haar
25,Schnurrbart::N,ус,Schnurrbart
26,Schnurrbart::N,пыртсим,Schnurrbart
27,Schnurrbart::N,ūsas,Schnurrbart
28,Bart::N,тош,Bart
29,Bart::N,bārda,Bart
30,Kinn::N,тшӧка,Kinn
31,Kinn::N,zods,Kinn
32,Kinn::N,smakrs,Kinn
33,Kiefer[Anatomie]::N,черлы,Kiefer
34,Kiefer[Anatomie]::N,алака лы,Kiefer
35,Kiefer[Anatomie]::N,вомкӧтш лы,Kiefer
36,Kiefer[Anatomie]::N,žoklis,Kiefer
37,Kehle::N,голя,Kehle
38,Kehle::N,rīkle,Kehle
39,Hals::N,сьылі,Hals
40,Hals::N,kakls,Hals
41,Genick::N,юрбӧр,Genick
42,Genick::N,балябӧж,Genick
43,Genick::N,sprands,Genick
44,Kopf::N,юр,Kopf
45,Kopf::N,galva,Kopf
46,Rücken::N,мыш,Rücken
47,Rücken::N,mugura,Rücken
48,Bauch::N,рушку,Bauch
49,Bauch::N,vēders,Bauch
50,Nabel::N,гӧг,Nabel
51,Nabel::N,naba,Nabel
52,Busen::N,морӧс,Busen
53,Busen::N,krūts,Busen
54,Brust::N,морӧс,Brust
55,Brust::N,krūts,Brust
56,Schulter::N,пельпом,Schulter
57,Schulter::N,plecs,Schulter
58,Arm::N,ки,Arm
59,Arm::N,roka,Arm
60,Arm::N,delms,Arm
61,Ellenbogen::N,гырддза,Ellenbogen
62,Ellenbogen::N,elkonis,Ellenbogen
63,Hand::N,ки,Hand
64,Hand::N,roka,Hand
65,Hand::N,plauksta,Hand
66,Handfläche::N,ки пыдӧс,Handfläche
67,Handfläche::N,delna,Handfläche
68,Handfläche::N,plauksta,Handfläche
69,Finger::N,чунь,Finger
70,Finger::N,pirksts,Finger
71,Fingernagel::N,гыж,Fingernagel
72,Fingernagel::N,nags,Fingernagel
73,Nagel[Anatomie]::N,гыж,Nagel
74,Nagel[Anatomie]::N,nags,Nagel
75,Zeh::N,кок чунь,Zeh
76,Zeh::N,pirksts,Zeh
77,Fuß::N,кок,Fuß
78,Fuß::N,kāja,Fuß
79,Ferse::N,кокбӧр,Ferse
80,Ferse::N,papēdis,Ferse
81,Knie::N,пидзӧс,Knie
82,Knie::N,celis,Knie
83,Oberschenkel::N,лядьвей,Oberschenkel
84,Oberschenkel::N,бек,Oberschenkel
85,Oberschenkel::N,ciska,Oberschenkel
86,Oberschenkel::N,augšstilbs,Oberschenkel
87,Bein::N,кок,Bein
88,Bein::N,kāja,Bein
89,Körper::N,туша,Körper
90,Körper::N,вывтыр,Körper
91,Körper::N,miesa,Körper
92,Körper::N,ķermenis,Körper
93,Haut::N,ку,Haut
94,Haut::N,āda,Haut
95,Blut::N,вир,Blut
96,Blut::N,asins,Blut
97,Ader::N,сӧн,Ader
98,Ader::N,asinsvads,Ader
99,Sehne::N,вез,Sehne
100,Sehne::N,dzīsla,Sehne
101,Knochen::N,лы,Knochen
102,Knochen::N,kauls,Knochen
103,Gehirn::N,вем,Gehirn
104,Gehirn::N,smadzenes,Gehirn
105,Herz::N,сьӧлӧм,Herz
106,Herz::N,sirds,Herz
107,Magen::N,кынӧм,Magen
108,Magen::N,kuņģis,Magen
109,Leber::N,мус,Leber
110,Leber::N,aknas,Leber
111,Atem::N,лов,Atem
112,Atem::N,elpa,Atem
113,Hunger::N,тшыг,Hunger
114,Hunger::N,bads,Hunger
115,Hunger::N,izsalkums,Hunger
116,Träne::N,синва,Träne
117,Träne::N,asara,Träne
118,Geschmack::N,кӧр,Geschmack
119,Geschmack::N,чӧсмӧс,Geschmack
120,Geschmack::N,garša,Geschmack
121,Geruch::N,зын,Geruch
122,Geruch::N,дук,Geruch
123,Geruch::N,smaka,Geruch
124,Schlaf::N,узьӧм,Schlaf
125,Schlaf::N,miegs,Schlaf
126,Traum::N,вӧт,Traum
127,Traum::N,вӧтасьӧм,Traum
128,Traum::N,sapnis,Traum
129,Himmel::N,енэж,Himmel
130,Himmel::N,debess,Himmel
131,Sonne::N,шонді,Sonne
132,Sonne::N,saule,Sonne
133,Mond::N,тӧлысь,Mond
134,Mond::N,mēness,Mond
135,Stern::N,кодзув,Stern
136,Stern::N,zvaigzne,Stern
137,Luft::N,сынӧд,Luft
138,Luft::N,gaiss,Luft
139,Wind::N,тӧв,Wind
140,Wind::N,vējš,Wind
141,Welle::N,гы,Welle
142,Welle::N,vilnis,Welle
143,Wasser::N,ва,Wasser
144,Wasser::N,ūdens,Wasser
145,Stein::N,из,Stein
146,Stein::N,akmens,Stein
147,Boden::N,му,Boden
148,Boden::N,augsne,Boden
149,Erde::N,му,Erde
150,Erde::N,му-ва,Erde
151,Erde::N,zeme,Erde
152,Staub::N,бус,Staub
153,Staub::N,putekļi,Staub
154,Rauch::N,тшын,Rauch
155,Rauch::N,dūmi,Rauch
156,Funke::N,кинь,Funke
157,Funke::N,би кинь,Funke
158,Funke::N,dzirkstele,Funke
159,Feuer::N,би,Feuer
160,Feuer::N,uguns,Feuer
161,Licht::N,югӧр,Licht
162,Licht::N,gaisma,Licht
163,Schatten::N,вуджӧр,Schatten
164,Schatten::N,ēna,Schatten
165,Wetter::N,поводдя,Wetter
166,Wetter::N,laiks,Wetter
167,Nebel::N,ру,Nebel
168,Nebel::N,онь,Nebel
169,Nebel::N,migla,Nebel
170,Wolke::N,кымӧр,Wolke
171,Wolke::N,mākonis,Wolke
172,Regen::N,зэр,Regen
173,Regen::N,lietus,Regen
174,Schnee::N,лым,Schnee
175,Schnee::N,sniegs,Schnee
176,Eis::N,йи,Eis
177,Eis::N,ledus,Eis
178,Frost::N,кӧдзыд,Frost
179,Frost::N,sals,Frost
180,Kälte::N,кӧдзыд,Kälte
181,Kälte::N,saltums,Kälte
182,Kälte::N,aukstums,Kälte
183,Hitze::N,пӧсь,Hitze
184,Hitze::N,гожӧд,Hitze
185,Hitze::N,karstums,Hitze
186,Raureif::N,пуж,Raureif
187,Raureif::N,гыӧр,Raureif
188,Raureif::N,sarma,Raureif
189,Regenbogen::N,ӧшкамӧшка,Regenbogen
190,Regenbogen::N,varavīksne,Regenbogen
191,Donner::N,гым,Donner
192,Donner::N,pērkons,Donner
193,Strömung::N,ва ныр,Strömung
194,Strömung::N,визувтӧм,Strömung
195,Strömung::N,straume,Strömung
196,Strömung::N,strāvojums,Strömung
197,Tropfen::N,войт,Tropfen
198,Tropfen::N,lāse,Tropfen
199,Schaum::N,быг,Schaum
200,Schaum::N,быгзьӧм,Schaum
201,Schaum::N,putas,Schaum
202,Schmutz::N,няйт,Schmutz
203,Schmutz::N,dubļi,Schmutz
204,See::N,ты,See
205,See::N,ezers,See
206,Sumpf::N,гыбад,Sumpf
207,Sumpf::N,кад,Sumpf
208,Sumpf::N,dumbrājs,Sumpf
209,Sumpf::N,staignājs,Sumpf
210,Moor::N,нюр,Moor
211,Moor::N,purvs,Moor
212,Moor::N,muklājs,Moor
213,Wiese::N,видз,Wiese
214,Wiese::N,pļava,Wiese
215,Wald::N,вӧр,Wald
216,Wald::N,mežs,Wald
217,Hügel::N,дзиб,Hügel
218,Hügel::N,мыльк,Hügel
219,Hügel::N,нӧрыс,Hügel
220,Hügel::N,paugurs,Hügel
221,Anhöhe::N,мыльк,Anhöhe
222,Anhöhe::N,нӧрыс,Anhöhe
223,Anhöhe::N,paugurs,Anhöhe
224,Berg::N,чой,Berg
225,Berg::N,керӧс,Berg
226,Berg::N,kalns,Berg
227,Gipfel::N,чук,Gipfel
228,Gipfel::N,virsotne,Gipfel
229,Höhle::N,рудӧг,Höhle
230,Höhle::N,ala,Höhle
231,Abhang::N,ньывк,Abhang
232,Abhang::N,бокша,Abhang
233,Abhang::N,nogāze,Abhang
234,Quelle::N,ӧшмӧс,Quelle
235,Quelle::N,avots,Quelle
236,Bach::N,шор,Bach
237,Bach::N,urga,Bach
238,Bach::N,strauts,Bach
239,Fluss::N,ю,Fluss
240,Fluss::N,upe,Fluss
241,Ufer::N,вадор,Ufer
242,Ufer::N,krasts,Ufer
243,Küste::N,вадор,Küste
244,Küste::N,piekraste,Küste
245,Festland::N,му,Festland
246,Festland::N,sauszeme,Festland
247,Meer::N,саридз,Meer
248,Meer::N,jūra,Meer
249,Bucht::N,куръя,Bucht
250,Bucht::N,līcis,Bucht
251,Insel::N,ді,Insel
252,Insel::N,sala,Insel
253,Blume::N,дзоридз,Blume
254,Blume::N,puķe,Blume
255,Blume::N,zieds,Blume
256,Gras::N,турун,Gras
257,Gras::N,zāle,Gras
258,Wurzel::N,вуж,Wurzel
259,Wurzel::N,sakne,Wurzel
260,Baum::N,пу,Baum
261,Baum::N,koks,Baum
262,Stamm::N,пучер,Stamm
263,Stamm::N,stumbrs,Stamm
264,Rinde::N,кырсь,Rinde
265,Rinde::N,miza,Rinde
266,Ast::N,ув,Ast
267,Ast::N,zars,Ast
268,Zweig::N,вож,Zweig
269,Zweig::N,nozare,Zweig
270,Blatt::N,кор,Blatt
271,Blatt::N,lapa,Blatt
272,Birke::N,кыдз,Birke
273,Birke::N,bērzs,Birke
274,Kiefer[Baum]::N,пожӧм,Kiefer
275,Kiefer[Baum]::N,priede,Kiefer
276,Weide[Baum]::N,бадь,Weide
277,Weide[Baum]::N,kārkls,Weide
278,Tanne::N,коз,Tanne
279,Tanne::N,egle,Tanne
280,Horn::N,сюр,Horn
281,Horn::N,rags,Horn
282,Feder::N,гӧн,Feder
283,Feder::N,тывборд,Feder
284,Feder::N,spalva,Feder
285,Fell::N,ку,Fell
286,Fell::N,āda,Fell
287,Flügel::N,борд,Flügel
288,Flügel::N,spārns,Flügel
289,Klaue::N,гыж,Klaue
290,Klaue::N,nags,Klaue
291,Kralle::N,гыж,Kralle
292,Kralle::N,nags,Kralle
293,Schwanz::N,бӧж,Schwanz
294,Schwanz::N,ļipa,Schwanz
295,Ei::N,кольк,Ei
296,Ei::N,ola,Ei
297,Nest::N,поз,Nest
298,Nest::N,ligzda,Nest
299,Bau::N,горс,Bau
300,Bau::N,пырмӧс,Bau
301,Bau::N,гу,Bau
302,Bau::N,ala,Bau
303,Tier::N,пемӧс,Tier
304,Tier::N,dzīvnieks,Tier
305,Herde::N,стада,Herde
306,Herde::N,кельӧб,Herde
307,Herde::N,ganāmpulks,Herde
308,Kuh::N,мӧс,Kuh
309,Kuh::N,govs,Kuh
310,Bulle::N,ӧш,Bulle
311,Bulle::N,bullis,Bulle
312,Pferd::N,вӧв,Pferd
313,Pferd::N,zirgs,Pferd
314,Schaf::N,ыж,Schaf
315,Schaf::N,aita,Schaf
316,Schwein::N,порсь,Schwein
317,Schwein::N,cūka,Schwein
318,Hund::N,пон,Hund
319,Hund::N,suns,Hund
320,Katze::N,кань,Katze
321,Katze::N,kaķis,Katze
322,Bär::N,ош,Bär
323,Bär::N,lācis,Bär
324,Eichhörnchen::N,ур,Eichhörnchen
325,Eichhörnchen::N,vāvere,Eichhörnchen
326,Elch::N,йӧра,Elch
327,Elch::N,alnis,Elch
328,Fuchs::N,руч,Fuchs
329,Fuchs::N,lapsa,Fuchs
330,Hase::N,кӧч,Hase
331,Hase::N,zaķis,Hase
332,Maus::N,шыр,Maus
333,Maus::N,pele,Maus
334,Wolf::N,кӧин,Wolf
335,Wolf::N,vilks,Wolf
336,Vogel::N,кай,Vogel
337,Vogel::N,лэбач,Vogel
338,Vogel::N,putns,Vogel
339,Schwarm::N,чукӧр,Schwarm
340,Schwarm::N,spiets,Schwarm
341,Huhn::N,курӧг,Huhn
342,Huhn::N,vista,Huhn
343,Hahn::N,петук,Hahn
344,Hahn::N,gailis,Hahn
345,Gans::N,дзодзӧг,Gans
346,Gans::N,zoss,Gans
347,Adler::N,кутш,Adler
348,Adler::N,ērglis,Adler
349,Ente::N,утка,Ente
350,Ente::N,pīle,Ente
351,Eule::N,сюзь,Eule
352,Eule::N,pūce,Eule
353,Kranich::N,тури,Kranich
354,Kranich::N,dzērve,Kranich
355,Krähe::N,рака,Krähe
356,Krähe::N,vārna,Krähe
357,Kuckuck::N,кӧк,Kuckuck
358,Kuckuck::N,dzeguze,Kuckuck
359,Schwan::N,юсь,Schwan
360,Schwan::N,gulbis,Schwan
361,Fisch::N,чери,Fisch
362,Fisch::N,zivs,Fisch
363,Barsch::N,ёкыш,Barsch
364,Barsch::N,asaris,Barsch
365,Hecht::N,сир,Hecht
366,Hecht::N,līdaka,Hecht
367,Schlange[Tier]::N,кый,Schlange
368,Schlange[Tier]::N,čūska,Schlange
369,Wurm::N,номыр,Wurm
370,Wurm::N,tārps,Wurm
371,Spinne::N,черань,Spinne
372,Spinne::N,zirneklis,Spinne
373,Ameise::N,кодзувкот,Ameise
374,Ameise::N,skudra,Ameise
375,Laus::N,той,Laus
376,Laus::N,uts,Laus
377,Mücke::N,ном,Mücke
378,Mücke::N,ods,Mücke
379,Fliege::N,гут,Fliege
380,Fliege::N,muša,Fliege
381,Schmetterling::N,бобув,Schmetterling
382,Schmetterling::N,tauriņš,Schmetterling
