,Concept_ID,uz,es
0,Auge::N,ko'z,ojo
1,Ohr::N,quloq,oreja
2,Nase::N,burun,nariz
3,Mund::N,og'iz,boca
4,Zahn::N,tish,diente
5,Zunge::N,til,lengua
6,Lippe::N,dudoq,labio
7,Wange::N,bet,mejilla
8,Gesicht::N,yuz,cara
9,Stirn::N,manglay,frente
10,Haar::N,soch,cabello
11,Schnurrbart::N,mo'ylov,bigote
12,Bart::N,soqol,barba
13,Kinn::N,ängak,barbilla
14,Kiefer[Anatomie]::N,iyak,mandíbula
15,Kehle::N,bo'g'iz,garganta
16,Hals::N,bo'yin,cuello
17,Genick::N,gardan,nuca
18,Genick::N,gardan,cerviz
19,Kopf::N,bosh,cabeza
20,Rücken::N,orqa,espalda
21,Bauch::N,qorin,vientre
22,Nabel::N,kindik,ombligo
23,Busen::N,ämchak,pecho
24,Brust::N,ko'krak,pecho
25,Schulter::N,elka,hombro
26,Arm::N,bilak,brazo
27,Ellenbogen::N,tirsak,codo
28,Hand::N,qo'l,mano
29,Handfläche::N,kaft,palma
30,Finger::N,barmoq,dedo
31,Fingernagel::N,tirnoq,uña
32,Nagel[Anatomie]::N,tirnoq,uña
33,Zeh::N,oyoq barmog'i,dedo del pie
34,Fuß::N,oyoq,pie
35,Ferse::N,tovon,talón
36,Knie::N,tiz,rodilla
37,Oberschenkel::N,son,muslo
38,Bein::N,oyoq,pierna
39,Körper::N,badna,cuerpo
40,Haut::N,teri,piel
41,Blut::N,qon,sangre
42,Ader::N,qon tomir,vena
43,Sehne::N,tomir,tendón
44,Knochen::N,suyak,hueso
45,Gehirn::N,miya,cerebro
46,Gehirn::N,miya,encéfalo
47,Herz::N,qalb,corazón
48,Magen::N,oshqozon,estómago
49,Leber::N,bag'ir,hígado
50,Atem::N,dam,aliento
51,Hunger::N,ochlik,hambre
52,Träne::N,yosh,lágrima
53,Geschmack::N,tam,gusto
54,Geruch::N,jid,olor
55,Schlaf::N,uyqu,sueño
56,Traum::N,tush,sueño
57,Traum::N,tush,ensueño
58,Himmel::N,osmon,cielo
59,Sonne::N,quyosh,sol
60,Mond::N,oy,luna
61,Stern::N,yulduz,estrella
62,Luft::N,havo,aire
63,Wind::N,el,viento
64,Welle::N,to'lqin,ola
65,Welle::N,to'lqin,onda
66,Wasser::N,suv,agua
67,Stein::N,tosh,piedra
68,Boden::N,tuproq,suelo
69,Erde::N,er,tierra
70,Staub::N,chang,polvo
71,Rauch::N,tutun,humo
72,Funke::N,yalt,chispa
73,Feuer::N,o't,fuego
74,Licht::N,yorug',luz
75,Schatten::N,soya,sombra
76,Wetter::N,havo,tiempo
77,Nebel::N,tuman,niebla
78,Wolke::N,bulut,nube
79,Regen::N,yomg'ir,lluvia
80,Schnee::N,qor,nieve
81,Eis::N,muz,hielo
82,Frost::N,ajoz,helada
83,Kälte::N,ajoz,frío
84,Hitze::N,issiq,calor
85,Raureif::N,qirov,escarcha
86,Regenbogen::N,kamalak,arco iris
87,Donner::N,guldur,trueno
88,Strömung::N,oqim,corriente
89,Tropfen::N,tomchi,gota
90,Schaum::N,ko'pik,espuma
91,Schmutz::N,gard,suciedad
92,See::N,ko'l,lago
93,Sumpf::N,botqoq,pantano
94,Moor::N,qir-adir,turbera
95,Wiese::N,o'tzor,prado
96,Wiese::N,o'tzor,pradera
97,Wald::N,o'rmon,bosque
98,Hügel::N,tepa,colina
