,Concept_ID,fi,fr
0,Auge::N,silmä,œil
1,Ohr::N,korva,oreille
2,Nase::N,nenä,nez
3,Mund::N,suu,bouche
4,Zahn::N,hammas,dent
5,Zunge::N,kieli,langue
6,Lippe::N,huuli,lèvre
7,Wange::N,poski,joue
8,Gesicht::N,naama,face
9,Gesicht::N,naama,visage
10,Gesicht::N,kasvot,face
11,Gesicht::N,kasvot,visage
12,Stirn::N,otsa,front
13,Haar::N,hius,cheveu
14,Haar::N,tukka,cheveu
15,Schnurrbart::N,viikset,moustache
16,Bart::N,parta,barbe
17,Kinn::N,leuka,menton
18,Kiefer[Anatomie]::N,leukaluu,mâchoire
19,Kehle::N,kurkku,gorge
20,Hals::N,kaula,cou
21,Genick::N,niska,nuque
22,Kopf::N,pää,tête
23,Rücken::N,selkä,dos
24,Bauch::N,maha,ventre
25,Bauch::N,vatsa,ventre
26,Nabel::N,napa,nombril
27,Busen::N,rinta,sein
28,Brust::N,rinta,poitrine
29,Schulter::N,olka,épaule
30,Schulter::N,hartia,épaule
31,Schulter::N,olkapää,épaule
32,Arm::N,käsivarsi,bras
33,Ellenbogen::N,kyynärpää,coude
34,Hand::N,käsi,main
35,Handfläche::N,kämmen,paume
36,Finger::N,sormi,doigt
37,Fingernagel::N,kynsi,ongle
38,Nagel[Anatomie]::N,kynsi,ongle
39,Zeh::N,varvas,orteil
40,Zeh::N,varvas,doigt de pied
41,Fuß::N,jalka,pied
42,Ferse::N,kantapää,talon
43,Knie::N,polvi,genou
44,Oberschenkel::N,reisi,cuisse
45,Bein::N,jalka,jambe
46,Körper::N,keho,corps
47,Körper::N,ruumis,corps
48,Haut::N,iho,peau
49,Blut::N,veri,sang
50,Ader::N,suoni,veine
51,Sehne::N,jänne,tendon
52,Knochen::N,luu,os
53,Gehirn::N,aivot,cerveau
54,Herz::N,sydän,cœur
55,Magen::N,maha,estomac
56,Magen::N,vatsa,estomac
57,Leber::N,maksa,foie
58,Atem::N,henki,haleine
59,Atem::N,hengitys,haleine
60,Hunger::N,nälkä,faim
61,Träne::N,kyynel,larme
62,Geschmack::N,maku,goût
63,Geschmack::N,maku,saveur
64,Geruch::N,haju,odeur
65,Schlaf::N,uni,sommeil
66,Traum::N,uni,songe
67,Himmel::N,taivas,ciel
68,Sonne::N,aurinko,soleil
69,Mond::N,kuu,lune
70,Stern::N,tähti,étoile
71,Luft::N,ilma,air
72,Wind::N,tuuli,vent
73,Welle::N,aalto,vague
74,Wasser::N,vesi,eau
75,Stein::N,kivi,pierre
76,Boden::N,maa,sol
77,Boden::N,maa,terrain
78,Boden::N,maaperä,sol
79,Boden::N,maaperä,terrain
80,Erde::N,maa,terre
81,Staub::N,pöly,poussière
