,Concept_ID,ko,udm
0,Auge::N,눈,син
1,Ohr::N,귀,пель
2,Nase::N,코,ныр
3,Mund::N,입,ым
4,Zahn::N,이,пинь
5,Zunge::N,혀,кыл
6,Lippe::N,입술,ымдур
7,Wange::N,뺨,бам
8,Gesicht::N,얼굴,ымныр
9,Stirn::N,이마,кымес
10,Haar::N,털,йырси
11,Schnurrbart::N,윗수몀,мыйык
12,Schnurrbart::N,코밑수염,мыйык
13,Bart::N,수엄,туш
14,Kinn::N,아래턱,ангес
15,Kiefer[Anatomie]::N,턱,ан
16,Kiefer[Anatomie]::N,턱,анлы
17,Kehle::N,인후,гульым
18,Hals::N,목,чырты
19,Genick::N,먹덜이,йырбер
20,Kopf::N,머리,йыр
21,Rücken::N,든,мыш
22,Bauch::N,배,кӧт
23,Nabel::N,배꼽,гогы
24,Busen::N,가슴속,ноны
25,Brust::N,가슴,мӧля
26,Schulter::N,어깨,пельпум
27,Arm::N,팔,суй
28,Ellenbogen::N,팔쿰치,гырпум
29,Hand::N,손,ки
30,Handfläche::N,손바닥,ки пыдэс
31,Handfläche::N,손바닥,кырым пыдэс
32,Finger::N,속가락,чиньы
33,Fingernagel::N,손톱,гижы
34,Fingernagel::N,손톱,гиждӥнь
35,Nagel[Anatomie]::N,손톱,гижы
36,Zeh::N,발가락,пыдчиньы
37,Fuß::N,발,пыд
38,Ferse::N,발꿈치,пыдбер
39,Knie::N,무릎,пыдес
40,Oberschenkel::N,허벅다리,макес
41,Bein::N,다리,пыд
42,Körper::N,구간,мугор
43,Körper::N,구간,вылтыр
44,Haut::N,살갗,ку
45,Blut::N,피,вир
46,Ader::N,정맥,вирсэр
47,Sehne::N,현,вуж
48,Knochen::N,뼈,лы
49,Gehirn::N,뇌,вим
50,Gehirn::N,뇌수,вим
51,Herz::N,염통,сюлэм
52,Magen::N,위,ӝуш
53,Leber::N,간,мус
54,Atem::N,기식,лул
55,Atem::N,기식,шокан
56,Hunger::N,공복,кӧтсюман
57,Träne::N,눈물,синкыли
58,Geschmack::N,기호,шӧм
59,Geruch::N,냄새,зын
60,Schlaf::N,수면,вӧт
61,Traum::N,쿰,уйвӧт
62,Himmel::N,하늘,ин
63,Sonne::N,해,шунды
64,Mond::N,달,толэзь
65,Stern::N,별,кизили
66,Luft::N,동준,омыр
67,Luft::N,가스채,омыр
68,Wind::N,바람,тӧл
69,Welle::N,물결,тулкым
70,Wasser::N,물,ву
71,Stein::N,돌,из
72,Boden::N,바닥,музъем
73,Erde::N,흙,му
74,Staub::N,먼지,пыль
75,Rauch::N,연기,ӵын
76,Funke::N,불티,гизьы
77,Feuer::N,불,тыл
78,Licht::N,불,тыл
79,Schatten::N,어스레함,вужер
80,Wetter::N,기상,куазь
81,Nebel::N,안개,бус
82,Wolke::N,구름,пилем
83,Regen::N,비,зор
84,Schnee::N,눈,лымы
85,Eis::N,얼음,йӧ
86,Frost::N,혹한,кезьыт
87,Kälte::N,추위,кезьыт
88,Kälte::N,차가움,кезьыт
89,Hitze::N,고온,пӧсь
90,Hitze::N,더위,пӧсь
91,Regenbogen::N,무지개,вуюись
92,Donner::N,뇌명,гудыри
93,Strömung::N,유동,бызён
94,Tropfen::N,물방울,шапык
95,Schaum::N,포말,шукы
96,Schmutz::N,때,нӧд
97,Schmutz::N,때,дэри
98,See::N,호수,ты
99,Sumpf::N,습지,нюр
100,Moor::N,저습지,нюр
101,Wiese::N,목초지,возь
102,Wiese::N,목초지,возьвыл
103,Wald::N,숲,сик
104,Wald::N,숲,нюлэс
105,Hügel::N,언덕,выр
106,Hügel::N,언덕,вырйыл
107,Anhöhe::N,언덕,выр
108,Anhöhe::N,언덕,вырйыл
109,Berg::N,산,гурезь
110,Gipfel::N,졀졍,йыл
111,Höhle::N,공동,гу
112,Abhang::N,몰매,бам
113,Quelle::N,근원,ошмес
114,Bach::N,내,пичи шур
115,Fluss::N,강,шур
116,Ufer::N,강변,ярдур
117,Ufer::N,바닷가,ярдур
118,Küste::N,해변,вудур
119,Küste::N,해변가,вудур
120,Festland::N,본토,мувыр
121,Meer::N,바다,зарезь
122,Bucht::N,협만,вукож
123,Insel::N,섬,вумуӵ
124,Insel::N,섬,шормуӵ
125,Blume::N,꽃,сяська
126,Gras::N,풀,турын
127,Wurzel::N,뿌리,выжы
128,Baum::N,나무,пу
129,Stamm::N,대,модос
130,Rinde::N,나무껍질,сул
131,Ast::N,가지,ул
132,Zweig::N,가지,вай
133,Blatt::N,잎,куар
134,Birke::N,자작나무,кызьпу
135,Kiefer[Baum]::N,소나무,пужым
136,Weide[Baum]::N,쉬양버들,бадьпу
137,Tanne::N,전나무,кыз
138,Horn::N,뿔,сюр
139,Feder::N,깃털,тылы
140,Fell::N,피혁모피,ку
141,Flügel::N,날개,бурд
142,Klaue::N,갈고리 발톺,гижы
143,Kralle::N,발툭,пыд
144,Schwanz::N,꼬리,быж
145,Ei::N,알,пуз
146,Ei::N,알,кукей
147,Nest::N,보금자리,кар
148,Nest::N,보금자리,пузкар
149,Bau::N,굴,кар
150,Bau::N,굴,гу
151,Tier::N,짐승,пӧйшур
152,Herde::N,가축의떼,уллё
153,Kuh::N,암소,скал
154,Bulle::N,황소,ош
155,Bulle::N,황소,пороз
156,Pferd::N,말,вал
157,Schaf::N,양,ыж
158,Schwein::N,돼지,парсь
159,Hund::N,개,пуны
160,Katze::N,고양이,коӵыш
161,Bär::N,콤,гондыр
162,Eichhörnchen::N,다람쥐,коньы
163,Elch::N,고라니,койык
164,Fuchs::N,여우,ӟичы
165,Hase::N,토끼,кеч
166,Maus::N,쥐,шыр
167,Wolf::N,늑대,кион
168,Vogel::N,새,тылобурдо
169,Schwarm::N,뗴,уллё
170,Huhn::N,암탉,курег
171,Hahn::N,수탉,атас
172,Gans::N,거위,ӟазег
173,Adler::N,수리,ӧрзи
174,Ente::N,오리,ӵӧж
175,Eule::N,부엉이,кучыран
176,Kranich::N,두루미,тури
177,Krähe::N,까마귀,куака
178,Kuckuck::N,뻐꾸기,кикы
179,Schwan::N,배조,юсь
180,Fisch::N,물고기,чорыг
181,Barsch::N,농어,юш
182,Hecht::N,에속스,чипей
183,Schlange[Tier]::N,뱀,кый
184,Wurm::N,벌레,нумыр
185,Spinne::N,거미,чонари
186,Ameise::N,개미,кузьыли
187,Laus::N,이,тэй
188,Mücke::N,모기,нымы
189,Mücke::N,모기,чибинь
190,Fliege::N,날기,кут
191,Schmetterling::N,나비,бубыли
192,Beere::N,장과,узы-боры
193,Apfel::N,사과,яблок
194,Pilz::N,고방이,губи
195,Zwiebel::N,양파,сугон
196,Saat::N,씨,кидыс
197,Korn::N,알맹이,тысь
198,Heu::N,건초,турын
199,Schale::N,피상,кыд
200,Falle::N,함정,налик
201,Schlinge::N,올가미,гиӟ
202,Schlinge::N,올가미,герд
203,Schlinge::N,멜빵붕대,гиӟ
204,Schlinge::N,멜빵붕대,герд
205,Spur::N,발지국,пытьы
206,Spur::N,발지국,бервыл
207,Asche::N,재,пень
208,Dreck::N,똥,дэри
209,Dreck::N,오물,дэри
