,Concept_ID,lbe,myv
0,Auge::N,я,сельме
1,Ohr::N,вичӏи,пиле
2,Nase::N,май,судо
3,Mund::N,кьацӏ,курго
4,Zahn::N,ккарччи,пей
5,Zunge::N,маз,кель
6,Lippe::N,мурччи,турва
7,Wange::N,чӏав,чамабока
8,Wange::N,чӏав,чамаумарь
9,Gesicht::N,лажин,чама
10,Stirn::N,ненттабакӏ,коня
11,Haar::N,чӏара,черь
12,Schnurrbart::N,ссирссилтту,ус
13,Schnurrbart::N,ссирссилтту,муюк
14,Bart::N,чӏири,сакал
15,Kinn::N,лунттубакӏ,уло
16,Kiefer[Anatomie]::N,ххинчулул,пейпакар
17,Kiefer[Anatomie]::N,ххинчулул,пейловажа
18,Kehle::N,кьакьари,кирьгапарь
19,Hals::N,ссурссу,кирьга
20,Genick::N,махъабакӏ,човонь
21,Kopf::N,бакӏ,пря
22,Rücken::N,ттиликӏ,копорь
23,Bauch::N,лякьа,пеке
24,Nabel::N,цӏумуккутӏ,почо
25,Busen::N,ккукку,поте
26,Brust::N,хъазам,меште
27,Schulter::N,хъачӏ,лавтов
28,Arm::N,ка,кедь
29,Ellenbogen::N,ссюрхъ,кенерепакарь
30,Hand::N,бартка,кедь
31,Handfläche::N,хъат,кедькуншка
32,Handfläche::N,хъат,кедьлапушка
33,Handfläche::N,битӏянхъ,кедькуншка
34,Handfläche::N,битӏянхъ,кедьлапушка
35,Finger::N,кӏисса,сур
36,Fingernagel::N,михь,кенже
37,Nagel[Anatomie]::N,михь,кенже
38,Zeh::N,кӏисса,пильге сур
39,Fuß::N,чӏанччан,пильге
40,Ferse::N,никъа,кочкаря
41,Knie::N,ник,эле
42,Knie::N,ник,эзне
43,Knie::N,ник,кумажа
44,Oberschenkel::N,жира,качо
45,Bein::N,ччан,пильге
46,Körper::N,чурх,рунго
47,Haut::N,бурчу,киське
48,Blut::N,оь,верь
49,Ader::N,тунну,сан
50,Sehne::N,хьхьа,коське сан
51,Knochen::N,ттаркӏ,пакарь
52,Gehirn::N,ня,удем
53,Herz::N,дакӏ,седей
54,Herz::N,къюкӏ,седей
55,Magen::N,лякьа,пеке
56,Atem::N,ссихӏ ласаву,лексема
57,Atem::N,ссихӏ ласаву,оймень таргсема
58,Atem::N,ссихӏ бигьаву,лексема
59,Atem::N,ссихӏ бигьаву,оймень таргсема
60,Hunger::N,ккаши,вачочи
61,Träne::N,макь,селведь
62,Geschmack::N,тӏин,тансть
63,Geschmack::N,тӏааьн,тансть
64,Geruch::N,кьанкь,чине
65,Schlaf::N,шану,удома
66,Traum::N,макӏру,он
67,Himmel::N,ссав,менель
68,Sonne::N,баргъ,чи
69,Mond::N,барз,ков
70,Stern::N,цӏуку,теште
71,Luft::N,гьава,кошт
72,Wind::N,марч,варма
73,Welle::N,щатӏи,толкун
74,Wasser::N,щин,ведь
75,Stein::N,чару,кев
76,Boden::N,аьрщи,мода
77,Erde::N,аьрщи,мастор
78,Staub::N,ххит,пуль
79,Rauch::N,пуркӏу,качамо
80,Funke::N,пиягь,сятко
81,Feuer::N,цӏу,тол
82,Licht::N,чани,валдо
83,Schatten::N,ххют,сулей
84,Schatten::N,ххют,сулейкс
85,Wetter::N,гьава,ушо
86,Nebel::N,шархь ттурлу,сув
87,Wolke::N,ттурлу,пель
88,Regen::N,гъарал,пиземс
89,Schnee::N,марххала,лов
90,Eis::N,микӏ,эй
91,Frost::N,дяркъу,кельме
92,Frost::N,замгьар,кельме
93,Kälte::N,дяркъу,якшамо
94,Hitze::N,кӏиришиву,пси
95,Raureif::N,сил,лекш
96,Raureif::N,бурса,лекш
97,Regenbogen::N,ссурул ккуртта,пурьгинечирьке
98,Regenbogen::N,ссурул ккуртта,пурьгинеёнкс
99,Donner::N,къув,пурьгине
100,Strömung::N,экьинанаву,чудема
101,Strömung::N,экьинанаву,чудевкс
102,Tropfen::N,кӏунтӏ,петнявкс
103,Schaum::N,хьама,чов
104,Schmutz::N,кьяркьи,рудаз
105,See::N,бяр,эрьке
106,Sumpf::N,кунцӏа,чей
107,Wiese::N,кьан,луга
108,Wald::N,вацӏа,вирь
109,Hügel::N,бакӏу,губорь
110,Hügel::N,бакӏу,пандыне
111,Berg::N,зунтту,пандо
112,Gipfel::N,мицӏ,пря
113,Höhle::N,нух,пещера
114,Abhang::N,сун,пандочама
115,Quelle::N,дайдихьу,ушодкс
116,Quelle::N,бакӏ,ушодкс
117,Bach::N,чӏрир нех,чудикерькс
118,Fluss::N,нех,лей
119,Ufer::N,зума,чире
