,Concept_ID,kk,udm
0,Auge::N,көз,син
1,Ohr::N,құлақ,пель
2,Nase::N,мұрын,ныр
3,Mund::N,ауыз,ым
4,Zahn::N,тіс,пинь
5,Zunge::N,тіл,кыл
6,Lippe::N,ерін,ымдур
7,Wange::N,ұрт,бам
8,Gesicht::N,бет-аузы,ымныр
9,Stirn::N,маңдай,кымес
10,Haar::N,қыл,йырси
11,Schnurrbart::N,мұрт,мыйык
12,Bart::N,сақал,туш
13,Kinn::N,иек,ангес
14,Kiefer[Anatomie]::N,жақ,ан
15,Kiefer[Anatomie]::N,жақ,анлы
16,Kehle::N,алқым,гульым
17,Hals::N,мойын,чырты
18,Genick::N,желке,йырбер
19,Kopf::N,кәллә,йыр
20,Rücken::N,арқа,мыш
21,Bauch::N,қарын,кӧт
22,Nabel::N,кіндік,гогы
23,Busen::N,омырау,ноны
24,Brust::N,кеуде,мӧля
25,Schulter::N,иық,пельпум
26,Arm::N,қол,суй
27,Ellenbogen::N,шынтақ,гырпум
28,Hand::N,қол,ки
29,Handfläche::N,алақан,ки пыдэс
30,Handfläche::N,алақан,кырым пыдэс
31,Finger::N,саусақ,чиньы
32,Fingernagel::N,тырнақ,гижы
33,Fingernagel::N,тырнақ,гиждӥнь
34,Nagel[Anatomie]::N,тырнақ,гижы
35,Zeh::N,тырнақ,пыдчиньы
36,Zeh::N,тұяқ,пыдчиньы
37,Fuß::N,аяқ-басы,пыд
38,Ferse::N,өкше,пыдбер
39,Ferse::N,өкшелік,пыдбер
40,Knie::N,тізе,пыдес
41,Oberschenkel::N,жамбас,макес
42,Bein::N,аяқ,пыд
43,Körper::N,дене,мугор
44,Körper::N,дене,вылтыр
45,Haut::N,тері,ку
46,Blut::N,қан,вир
47,Ader::N,көктамыр,вирсэр
48,Ader::N,күретамыр,вирсэр
49,Sehne::N,сіңір,вуж
50,Knochen::N,жілік,лы
51,Gehirn::N,ми,вим
52,Herz::N,жүрек,сюлэм
53,Magen::N,асқазан,ӝуш
54,Leber::N,бауыр,мус
55,Atem::N,леп,лул
56,Atem::N,леп,шокан
57,Hunger::N,ашаршылық,кӧтсюман
58,Träne::N,жас,синкыли
59,Geschmack::N,дәм,шӧм
60,Geschmack::N,татым,шӧм
61,Geschmack::N,талғам,шӧм
62,Geruch::N,иіс,зын
63,Schlaf::N,ұйқы,вӧт
64,Schlaf::N,ұйықтау,вӧт
65,Traum::N,түс,уйвӧт
66,Himmel::N,аспан,ин
67,Himmel::N,көқ,ин
68,Himmel::N,таңдай,ин
69,Sonne::N,күн,шунды
70,Mond::N,ай,толэзь
71,Stern::N,жұлдыз,кизили
72,Luft::N,әуе,омыр
73,Wind::N,жел,тӧл
74,Welle::N,толқын,тулкым
75,Wasser::N,су,ву
76,Stein::N,тас,из
77,Boden::N,қыртыс,музъем
78,Erde::N,топырақ,му
79,Staub::N,шаң,пыль
80,Rauch::N,түтін,ӵын
81,Funke::N,ұшқын,гизьы
82,Feuer::N,алау,тыл
83,Licht::N,шұғыла,тыл
84,Schatten::N,көлеңке,вужер
85,Wetter::N,ауа райы,куазь
86,Nebel::N,тұман,бус
87,Wolke::N,бұлт,пилем
88,Regen::N,жаңбыр,зор
89,Schnee::N,қар,лымы
90,Eis::N,мұз,йӧ
91,Frost::N,суық,кезьыт
92,Kälte::N,ызғар,кезьыт
93,Kälte::N,суықтық,кезьыт
94,Hitze::N,аптап,пӧсь
