,Concept_ID,mrj,en
0,Auge::N,сӹнзӓ,eye
1,Ohr::N,пӹлӹш,ear
2,Nase::N,нер,nose
3,Mund::N,ышма,mouth
4,Zahn::N,пӱ,tooth
5,Zunge::N,йӹлмӹ,tongue
6,Lippe::N,тӹрвӹ,lip
7,Wange::N,шӹргӹ,cheek
8,Gesicht::N,лицӓ,face
9,Stirn::N,лепкӓ,forehead
10,Haar::N,ӱп,hair
11,Schnurrbart::N,öрш,moustache
12,Bart::N,пандаш,beard
13,Kinn::N,онгылаш,chin
14,Kiefer[Anatomie]::N,пӱ арата,jaw
15,Kehle::N,логер,throat
16,Hals::N,шӱ,neck
17,Genick::N,ланга,nape
18,Kopf::N,вуй,head
19,Rücken::N,туп,back
20,Rücken::N,туп,spine
21,Bauch::N,мӹшкӹр,belly
22,Nabel::N,кӹлӹмдӹ,navel
23,Busen::N,цӹзӹ,bosom
24,Brust::N,мел,chest
25,Brust::N,мел,breast
26,Schulter::N,ӹнгӹжӓ,shoulder
27,Arm::N,кид,arm
28,Ellenbogen::N,кӹнервуй,elbow
29,Hand::N,лапа,hand
30,Handfläche::N,кид лапа,palm
31,Finger::N,парня,finger
32,Fingernagel::N,кӹч,fingernail
33,Nagel[Anatomie]::N,кӹч,nail
34,Zeh::N,парня,toe
35,Fuß::N,ял лапа,foot
36,Ferse::N,ялгавал,heel
37,Ferse::N,ял кавал,heel
38,Knie::N,пылвуй,knee
39,Oberschenkel::N,ӓрдӹ,thigh
40,Bein::N,ял,leg
41,Körper::N,монгыр,body
42,Haut::N,кавашты,skin
43,Blut::N,вӹр,blood
44,Ader::N,вӹршӓр,vein
45,Sehne::N,кукшышӱн,sinew
46,Knochen::N,лу,bone
47,Gehirn::N,вим,brain
48,Herz::N,шӱм,heart
49,Magen::N,шӱм,stomach
50,Leber::N,мокш,liver
51,Atem::N,шӱлӹш,breath
52,Hunger::N,шужымаш,hunger
53,Träne::N,сӹнзӓвӹд,tear
54,Geschmack::N,тот,flavour
55,Geschmack::N,тот,flavor
56,Geruch::N,пыш,odour
57,Geruch::N,пыш,odor
58,Schlaf::N,ом,sleep
59,Traum::N,ом,dream
60,Himmel::N,пӹлгом,sky
61,Sonne::N,кечӹ,sun
62,Mond::N,тӹлзӹ,moon
63,Stern::N,шӹдӹр,star
64,Luft::N,юж,air
65,Luft::N,воздух,air
66,Wind::N,мардеж,wind
67,Welle::N,ко,wave
68,Welle::N,коэ,wave
69,Wasser::N,вӹд,water
70,Stein::N,кӱ,stone
71,Boden::N,рок,soil
72,Boden::N,рок,ground
73,Erde::N,свет,earth
74,Staub::N,пырак,dust
75,Rauch::N,шӹкш,smoke
76,Funke::N,ип,spark
77,Funke::N,тылип,spark
78,Feuer::N,тыл,fire
79,Licht::N,соты,light
80,Licht::N,валгыды,light
81,Schatten::N,ӹмӹл,shadow
82,Wetter::N,игечӹ,weather
83,Nebel::N,тӹтӹрӓ,fog
84,Wolke::N,пӹл,cloud
85,Regen::N,юр,rain
86,Schnee::N,лым,snow
87,Eis::N,и,ice
88,Frost::N,ӱштӹ,frost
89,Kälte::N,ӱштӹ,chill
90,Hitze::N,шокшы,heat
91,Raureif::N,пöрш,hoarfrost
92,Regenbogen::N,шанавӹл,rainbow
93,Donner::N,хӹдӹртӹш,thunder
94,Strömung::N,йогы,current
95,Tropfen::N,капльы,drop
96,Tropfen::N,капльык,drop
97,Schaum::N,шонг,foam
98,Schmutz::N,лявӹрӓ,dirt
99,See::N,йӓр,lake
100,Sumpf::N,лӱкӹ,swamp
101,Moor::N,куп,moor
102,Wiese::N,алык,meadow
103,Wald::N,шӹргӹ,forest
104,Hügel::N,пӱгӹрикӓ,hill
105,Anhöhe::N,кӱкшикӓ,elevation
106,Berg::N,кырык,mountain
107,Gipfel::N,неркӓ,summit
108,Höhle::N,ы́раж,cave
109,Abhang::N,полом,slope
110,Quelle::N,вӹдсӹнзӓ,source
111,Bach::N,ӓнгӹр,brook
112,Fluss::N,вӹд,river
113,Ufer::N,сир,shore
114,Küste::N,сир,coast
115,Festland::N,мӱлӓндӹ,land
116,Meer::N,тангыж,sea
117,Bucht::N,вӹдъял,cove
118,Insel::N,острок,island
119,Blume::N,пеледӹш,flower
120,Gras::N,шуды,grass
121,Wurzel::N,важ,root
122,Baum::N,пушӓнгӹ,tree
123,Stamm::N,пушӓнгӹ тӹнг,trunk
124,Rinde::N,каргыж,bark
125,Ast::N,укш,limb
126,Zweig::N,укш,branch
127,Blatt::N,листӹ,leaf
128,Birke::N,куги,birch
129,Kiefer[Baum]::N,йӓктӹ,pine
130,Weide[Baum]::N,уа,willow
131,Tanne::N,кож,fir
132,Horn::N,шур,horn
133,Feder::N,пын,feather
134,Fell::N,кавашты,fur
135,Flügel::N,шылдыр,wing
136,Klaue::N,кӹч,claw
137,Kralle::N,лапа,claw
138,Schwanz::N,пач,tail
139,Ei::N,мыны,egg
140,Nest::N,пӹжӓш,nest
141,Bau::N,ыраж,lair
142,Tier::N,во́льык,animal
143,Herde::N,кӹтö,flock
144,Kuh::N,ышкал,cow
145,Bulle::N,ӱшкӱж,bull
146,Pferd::N,имни,horse
147,Schaf::N,шарык,sheep
148,Schwein::N,сасна,pig
149,Hund::N,пи,dog
150,Katze::N,коти,cat
151,Bär::N,мöскӓ,bear
152,Eichhörnchen::N,ур,squirrel
153,Elch::N,шарды,elk
154,Fuchs::N,рӹвӹж,fox
155,Hase::N,морен,hare
156,Maus::N,каля,mouse
157,Wolf::N,пирӹ,wolf
158,Vogel::N,кек,bird
159,Schwarm::N,цуца,swarm
160,Huhn::N,цӹвӹ,chicken
161,Hahn::N,ӓптӓн,cock
162,Gans::N,комбы,goose
163,Adler::N,кучкыж,eagle
164,Ente::N,лыды,duck
165,Eule::N,тымана,owl
166,Kranich::N,тырня,crane
167,Kranich::N,тыртня,crane
168,Krähe::N,лудыгарак,crow
169,Kuckuck::N,куку,cuckoo
170,Schwan::N,йӱксӹ,swan
171,Fisch::N,кол,fish
172,Barsch::N,алангы,perch
173,Hecht::N,нуж,pike
174,Hecht::N,нужгол,pike
175,Schlange[Tier]::N,кӹшкы,snake
176,Wurm::N,шукш,worm
177,Spinne::N,ӓнгӹремшӹ,spider
178,Ameise::N,кыткы,ant
179,Laus::N,ти,louse
180,Mücke::N,кужнер,midge
181,Mücke::N,кужынер,midge
182,Fliege::N,шӹнгӓ,fly
183,Schmetterling::N,лӹпӹ,butterfly
184,Beere::N,мöр,berry
185,Apfel::N,олма,apple
186,Pilz::N,понгы,mushroom
187,Zwiebel::N,охыра,onion
188,Saat::N,нӱшмӹ,seed
189,Saat::N,нӱшмӱ,seed
190,Korn::N,пӹрцӹ,grain
191,Heu::N,шуды,hay
192,Schale::N,аваха,husk
193,Schale::N,карлангы,husk
194,Grube::N,йӓм,pit
195,Falle::N,лӱдӹ,trap
196,Falle::N,лӱдӹш,trap
197,Schlinge::N,онгы,noose
198,Spur::N,кишӓ,track
199,Asche::N,ломых,ashes
200,Asche::N,ломпыж,ashes
201,Dreck::N,лявӹрӓ,filth
202,Eisen::N,кӹртни,iron
203,Gold::N,шöртни,gold
204,Gold::N,шöртньӹ,gold
205,Silber::N,ши,silver
206,Kohle::N,шӱ,coal
207,Glas::N,охоница,glass
208,Lehm::N,шун,clay
209,Sand::N,ошма,sand
210,Mensch::N,эдем,human
211,Mann::N,пӱэргӹ,man
212,Frau::N,ӹдӹрӓмӓш,woman
213,Kind::N,ӓзӓ,child
214,Kind::N,шачшы,child
215,Junge::N,рвезӹ,boy
216,Junge::N,ӹрвезӹ,boy
217,Mädchen::N,ӹдӹрӓш,girl
218,Familie::N,йиш,family
219,Familie::N,семня,family
220,Großvater::N,тьоти,grandfather
221,Großmutter::N,папа,grandmother
222,Eltern::N,ӓтя-ӓвӓ,parents
223,Vater::N,ӓтя,father
224,Mutter::N,ӓвӓ,mother
225,Sohn::N,эргӹ,son
226,Tochter::N,ӹдӹр,daughter
227,Bruder::N,ӹза,brother
228,Schwester::N,ӓкӓ,sister
229,Onkel::N,кугуза,uncle
230,Tante::N,куака,aunt
231,Ehemann::N,мары,husband
232,Ehefrau::N,вӓтӹ,wife
233,Freude::N,ӹвӹртӹмӓш,joy
234,Gelächter::N,ваштылмаш,laughter
235,Glück::N,пиӓл,happiness
236,Kummer::N,ясы,grief
237,Wunsch::N,охата,wish
238,Wunsch::N,шанымаш,wish
239,Lust::N,шӓр,desire
240,Lust::N,охата,desire
241,Lust::N,шанымаш,desire
242,Geist::N,тух,spirit
243,Gedanke::N,шанымаш,thought
244,Gedächtnis::N,ӓш,memory
245,Verstand::N,ыш,mind
246,Sinn::N,кын,meaning
247,Grund::N,вир,reason
248,Wahrheit::N,тöр,truth
249,Gespräch::N,хытырымаш,talk
250,Märchen::N,ямак,fairy tale
251,Erzählung::N,шайыштмаш,story
252,Nachricht::N,увертӓрӹмӓш,message
253,Neuigkeit::N,увер,news
254,Name::N,лӹм,name
255,Rätsel::N,тышты,puzzle
256,Rede::N,шая,speech
257,Rede::N,шамак,speech
258,Sprache::N,йӹлмӹ,language
259,Stimme::N,юк,voice
260,Wort::N,шамак,word
261,Zeichen::N,палӹ,sign
262,Ruf::N,сӹгӹрӹмӓш,call
263,Lärm::N,юкланымащ,noise
264,Laut::N,юк,sound
265,Ton::N,юк,tone
266,Lied::N,мыры,song
267,Ruhe::N,тыр,calm
268,Leute::N,эдемвлӓ,people
269,Volk::N,халык,nation
270,Arbeit::N,пӓшӓ,work
271,Gast::N,хына,guest
272,Geschenk::N,подарка,gift
273,Spiel::N,мадыш,game
274,Gesellschaft::N,йӓл,company
275,Gesellschaft::N,йӓлвлӓ,company
276,Hilfe::N,палшык,help
277,Freund::N,тӓнг,friend
278,Kamerad::N,тос,companion
279,Angelegenheit::N,дела,matter
280,Angelegenheit::N,йела,matter
281,Angelegenheit::N,йыла,matter
282,Angelegenheit::N,пӓшӓ,matter
283,Anzahl::N,шот,count
284,Art::N,цӹре,sort
285,Stück::N,лаштык,piece
286,Teil::N,пай,part
287,Teil::N,часть,part
288,Hälfte::N,пел,half
289,Kreis::N,тӹртӹш,circle
290,Kreuz::N,крестӹ,cross
291,Abstand::N,ло,gap
292,Entfernung::N,ло,distance
293,Gegend::N,вӓр,area
294,Platz::N,вӓр,space
295,Ort::N,вӓр,place
296,Seite::N,öрдӹж,side
297,Mitte::N,ло,middle
298,Gegenstand::N,хӓдӹр,item
299,Sache::N,хӓдӹр,thing
300,Rand::N,шöр,fringe
301,Kante::N,шöр,edge
302,Ecke::N,лык,corner
303,Spitze::N,вуй,tip
304,Ende::N,вуй,end
305,Ende::N,мычаш,end
306,Loch::N,ыраж,hole
307,Winkel::N,лык,angle
308,Muster::N,тӹрлец,pattern
309,Größe::N,кӱкшӹц,size
310,Länge::N,кыт,length
311,Höhe::N,кӱкшӹц,height
312,Gewicht::N,нелӹц,weight
313,Menge::N,шот,amount
314,Haufen::N,ара,heap
315,Reihe::N,ряд,row
316,Boot::N,пыш,boat
317,Ruder::N,вешлӓ,oar
318,Schlitten::N,тир,sleigh
319,Ski::N,ечӹ,ski
320,Lagerfeuer::N,тыл,campfire
321,Last::N,нелӹц,load
322,Gang::N,ход,walk
323,Schritt::N,ашкыл,step
324,Norden::N,йыдпелвел,north
325,Süden::N,кечӹвӓлвел,south
326,Westen::N,кечӹ шӹцмӹ,west
327,Osten::N,ирвел,east
328,Osten::N,кечӹ лӱлтмӹ,east
329,Holz::N,пушӓнгӹ,wood
330,Brett::N,ханга,board
331,Platte::N,плитӓ,slab
332,Stütze::N,цӓрӓк,bracket
333,Stange::N,равы,pole
334,Stange::N,намаш,pole
335,Stock::N,панды,stick
336,Stab::N,равы,staff
337,Rohr::N,пыч,pipe
338,Haus::N,пöрт,house
339,Heim::N,пöрт,home
340,Ofen::N,камака,stove
341,Fußboden::N,седӹрӓ,floor
342,Tisch::N,стöл,table
343,Stuhl::N,пöкен,chair
344,Wiege::N,шипкӓ,cradle
345,Bett::N,койка,bed
346,Bett::N,кравать,bed
347,Regal::N,полицӓ,shelf
348,Kiste::N,шӱ́ндӹк,box
349,Fenster::N,окня,window
350,Tür::N,амаса,door
