,Concept_ID,os,kk
0,Auge::N,цӕст,көз
1,Ohr::N,хъус,құлақ
2,Nase::N,фындз,мұрын
3,Mund::N,дзых,ауыз
4,Zahn::N,дӕндаг,тіс
5,Zunge::N,ӕвзаг,тіл
6,Lippe::N,был,ерін
7,Wange::N,рус,ұрт
8,Wange::N,уадул,ұрт
9,Wange::N,ӕхсӕрфарс,ұрт
10,Gesicht::N,цӕсгом,бет-аузы
11,Stirn::N,ных,маңдай
12,Haar::N,хил,қыл
13,Schnurrbart::N,рихи,мұрт
14,Bart::N,зачъе,сақал
15,Kinn::N,роцъо,иек
16,Kiefer[Anatomie]::N,ӕфсӕр,жақ
17,Kehle::N,хъуыр,алқым
18,Hals::N,къубал,мойын
19,Genick::N,къӕбут,желке
20,Kopf::N,сӕр,кәллә
21,Rücken::N,фӕсонтӕ,арқа
22,Bauch::N,гуыбын,қарын
23,Nabel::N,бикъ,кіндік
24,Busen::N,дзидзи,омырау
25,Brust::N,риу,кеуде
26,Schulter::N,уӕхск,иық
27,Arm::N,цонг,қол
28,Ellenbogen::N,рæмбын,шынтақ
29,Hand::N,къух,қол
30,Handfläche::N,армытъӕпӕн,алақан
31,Finger::N,ӕнруылдз,саусақ
32,Fingernagel::N,ных,тырнақ
33,Nagel[Anatomie]::N,ных,тырнақ
34,Zeh::N,къух,тырнақ
35,Zeh::N,къух,тұяқ
36,Fuß::N,фад,аяқ-басы
37,Ferse::N,зӕвӕт,өкше
38,Ferse::N,зӕвӕт,өкшелік
39,Knie::N,уӕраг,тізе
40,Oberschenkel::N,агъд,жамбас
41,Bein::N,зӕнг,аяқ
42,Körper::N,буар,дене
43,Haut::N,царм,тері
44,Blut::N,туг,қан
45,Ader::N,дадзин,көктамыр
46,Ader::N,дадзин,күретамыр
47,Ader::N,тугдадзин,көктамыр
48,Ader::N,тугдадзин,күретамыр
49,Sehne::N,хъиутæ,сіңір
50,Sehne::N,нуар,сіңір
51,Knochen::N,стӕг,жілік
52,Gehirn::N,магъз,ми
53,Herz::N,зӕрдӕ,жүрек
54,Magen::N,ахсӕн,асқазан
55,Leber::N,игæр,бауыр
56,Atem::N,улӕфт,леп
57,Hunger::N,стонг,ашаршылық
58,Träne::N,цæссыг,жас
59,Geschmack::N,ад,дәм
60,Geschmack::N,ад,татым
61,Geschmack::N,ад,талғам
62,Geruch::N,смаг,иіс
63,Schlaf::N,хуыссӕг,ұйқы
64,Schlaf::N,хуыссӕг,ұйықтау
65,Traum::N,фын,түс
66,Himmel::N,арв,аспан
67,Himmel::N,арв,көқ
68,Himmel::N,арв,таңдай
69,Himmel::N,уӕларв,аспан
70,Himmel::N,уӕларв,көқ
71,Himmel::N,уӕларв,таңдай
72,Sonne::N,хур,күн
73,Mond::N,мӕй,ай
74,Stern::N,стъалы,жұлдыз
75,Luft::N,уӕлдӕф,әуе
76,Wind::N,дымгӕ,жел
77,Welle::N,уылӕн,толқын
78,Wasser::N,дон,су
79,Stein::N,дур,тас
80,Boden::N,зӕхх,қыртыс
81,Erde::N,сыджыт,топырақ
82,Staub::N,рыг,шаң
83,Rauch::N,фӕздӕг,түтін
84,Funke::N,цӕхӕр,ұшқын
85,Feuer::N,зынг,алау
86,Licht::N,рухс,шұғыла
87,Schatten::N,аууон,көлеңке
88,Wetter::N,боныхъӕд,ауа райы
89,Nebel::N,мигъ,тұман
90,Wolke::N,ӕврагъ,бұлт
91,Regen::N,уарын,жаңбыр
92,Schnee::N,мит,қар
93,Eis::N,их,мұз
94,Frost::N,ихæн,суық
95,Kälte::N,уазал,ызғар
96,Kälte::N,уазал,суықтық
97,Hitze::N,ӕнтӕф,аптап
98,Raureif::N,халас,қырау
99,Regenbogen::N,арвырон,кемпірқосақ
100,Regenbogen::N,арвырдын,кемпірқосақ
101,Donner::N,æрвнæрын,күн күркіреу
102,Strömung::N,цыд,ағын
103,Tropfen::N,æртах,тамшы
104,Schaum::N,фынк,көбік
105,Schmutz::N,цъыф,кір
106,See::N,цад,көл
107,Sumpf::N,цъыфдзаст,саз
108,Moor::N,цъыфдзаст,саз
109,Wiese::N,уыгӕрдӕн,шалғын
110,Wald::N,хъӕд,орман
111,Hügel::N,обау,төбе
112,Hügel::N,обау,белес
113,Hügel::N,обау,белес-белес
114,Hügel::N,къуыбыр,төбе
115,Hügel::N,къуыбыр,белес
116,Hügel::N,къуыбыр,белес-белес
117,Anhöhe::N,уæлвæз,дөң
118,Anhöhe::N,уæлвæз,адыр
119,Anhöhe::N,уæлвæз,қырат
120,Anhöhe::N,уæлхох,дөң
121,Anhöhe::N,уæлхох,адыр
122,Anhöhe::N,уæлхох,қырат
123,Berg::N,хох,тау
124,Gipfel::N,цъупп,төбе
125,Höhle::N,лӕгӕт,үңгір
126,Abhang::N,къул,бауыр
127,Quelle::N,суадон,қайнар
128,Bach::N,мӕсчъыдон,жылға
129,Fluss::N,дон,өзен
130,Fluss::N,цӕугӕдон,өзен
131,Ufer::N,был,жиек
132,Küste::N,донбыл,жиегі
133,Küste::N,донбыл,жағалау
134,Festland::N,сурзæхх,құрылық
135,Meer::N,денджыз,теңіз
136,Bucht::N,донбакæлæн,шығанақ
137,Insel::N,сакъадах,арал
