,Concept_ID,sah,os
0,Auge::N,харах,цӕст
1,Ohr::N,кулгаах,хъус
2,Nase::N,мурун,фындз
3,Mund::N,айах,дзых
4,Zahn::N,тиис,дӕндаг
5,Zunge::N,тыл,ӕвзаг
6,Lippe::N,уос,был
7,Wange::N,иэдэс,рус
8,Wange::N,иэдэс,уадул
9,Wange::N,иэдэс,ӕхсӕрфарс
10,Gesicht::N,сирэй,цӕсгом
11,Stirn::N,сүүс,ных
12,Haar::N,баттах,хил
13,Schnurrbart::N,уос бытыга,рихи
14,Bart::N,сэҥийэ бытыга,зачъе
15,Kinn::N,сэҥийэ,роцъо
16,Kiefer[Anatomie]::N,сыҥаах,ӕфсӕр
17,Kehle::N,тамах,хъуыр
18,Kehle::N,күөмэй,хъуыр
19,Hals::N,моой,къубал
20,Genick::N,кэтэх,къӕбут
21,Kopf::N,бас,сӕр
22,Rücken::N,көҕүс,фӕсонтӕ
23,Bauch::N,ис,гуыбын
24,Nabel::N,киин,бикъ
25,Busen::N,эмиий,дзидзи
26,Brust::N,түөс,риу
27,Schulter::N,сарын,уӕхск
28,Arm::N,илии,цонг
29,Ellenbogen::N,тоҕонох,рæмбын
30,Hand::N,илии,къух
31,Handfläche::N,ытыс,армытъӕпӕн
32,Finger::N,тарбах,ӕнруылдз
33,Fingernagel::N,тыҥырах,ных
34,Nagel[Anatomie]::N,тыҥырах,ных
35,Zeh::N,тарбах,къух
36,Fuß::N,уллуҥах,фад
37,Ferse::N,тилэх,зӕвӕт
38,Knie::N,тобук,уӕраг
39,Knie::N,дьилбэк,уӕраг
40,Oberschenkel::N,уллук,агъд
41,Oberschenkel::N,өттүк,агъд
42,Bein::N,атах,зӕнг
43,Körper::N,бэйэ,буар
44,Haut::N,тирии,царм
45,Blut::N,хаан,туг
46,Ader::N,вена,дадзин
47,Ader::N,вена,тугдадзин
48,Ader::N,күөх_тымыр,дадзин
49,Ader::N,күөх_тымыр,тугдадзин
50,Sehne::N,иҥиир,хъиутæ
51,Sehne::N,иҥиир,нуар
52,Knochen::N,уҥуох,стӕг
53,Knochen::N,уҥгуох,стӕг
54,Gehirn::N,мэйии,магъз
55,Herz::N,сүрэх,зӕрдӕ
56,Magen::N,куртах,ахсӕн
57,Leber::N,быар,игæр
58,Atem::N,тыын,улӕфт
59,Hunger::N,аас,стонг
60,Träne::N,харах уута,цæссыг
61,Geschmack::N,амтан,ад
62,Geruch::N,сыт,смаг
63,Schlaf::N,утуйуу,хуыссӕг
64,Traum::N,түүл,фын
65,Himmel::N,халлаан,арв
66,Himmel::N,халлаан,уӕларв
67,Sonne::N,күн,хур
68,Mond::N,ый,мӕй
69,Stern::N,сулус,стъалы
70,Luft::N,салгын,уӕлдӕф
71,Wind::N,тыал,дымгӕ
72,Welle::N,долгун,уылӕн
73,Welle::N,балхаан,уылӕн
74,Wasser::N,уу,дон
75,Stein::N,таас,дур
76,Boden::N,сир,зӕхх
77,Erde::N,буор,сыджыт
78,Staub::N,быыл,рыг
79,Rauch::N,буруо,фӕздӕг
80,Funke::N,кыым,цӕхӕр
81,Feuer::N,уот,зынг
82,Licht::N,уот,рухс
83,Schatten::N,күлүк,аууон
84,Wetter::N,күн-дьыл,боныхъӕд
85,Nebel::N,туман,мигъ
86,Wolke::N,былыт,ӕврагъ
87,Regen::N,самыыр,уарын
88,Schnee::N,хаар,мит
89,Eis::N,муус,их
90,Frost::N,тымныы,ихæн
91,Kälte::N,тымныы,уазал
92,Hitze::N,куйаас,ӕнтӕф
93,Raureif::N,кырыа,халас
94,Regenbogen::N,кустук,арвырон
95,Regenbogen::N,кустук,арвырдын
96,Donner::N,этиҥ,æрвнæрын
97,Strömung::N,сүүрүк,цыд
98,Tropfen::N,таммах,æртах
99,Tropfen::N,хааппыла,æртах
100,Schaum::N,күүгэн,фынк
101,Schmutz::N,кир,цъыф
102,See::N,күөл,цад
103,Sumpf::N,бадараан,цъыфдзаст
104,Moor::N,дьэбэрэ,цъыфдзаст
105,Wiese::N,ходуһа,уыгӕрдӕн
106,Wald::N,ойуур,хъӕд
107,Hügel::N,булгунньах,обау
108,Hügel::N,булгунньах,къуыбыр
109,Anhöhe::N,үрдэл,уæлвæз
110,Anhöhe::N,үрдэл,уæлхох
111,Berg::N,хайа,хох
112,Gipfel::N,чыпчаал,цъупп
113,Höhle::N,хайа_хаспаҕа,лӕгӕт
114,Höhle::N,көҥүс,лӕгӕт
115,Abhang::N,эниэ,къул
116,Quelle::N,дьүүктэ,суадон
117,Bach::N,үрүйэ,мӕсчъыдон
118,Fluss::N,өрүс,дон
119,Fluss::N,өрүс,цӕугӕдон
120,Ufer::N,биэрэк,был
121,Küste::N,кытыл,донбыл
122,Festland::N,кураанах сир,сурзæхх
123,Meer::N,муора,денджыз
124,Bucht::N,хомо,донбакæлæн
125,Bucht::N,бухта,донбакæлæн
126,Insel::N,арыы,сакъадах
127,Blume::N,сибэкки,дидинӕг
128,Gras::N,от,кӕрдӕг
129,Wurzel::N,силис,уидаг
130,Baum::N,мас,бӕлас
131,Stamm::N,умнас,хӕтӕл
132,Rinde::N,хатырык,цъар
133,Ast::N,мутук,арх
134,Zweig::N,лабаа,къалиу
135,Blatt::N,сэбирдэх,сыф
136,Birke::N,хатыҥ,бæрз
137,Kiefer[Baum]::N,бэс,нӕзы
138,Weide[Baum]::N,үөт,хӕрис
139,Weide[Baum]::N,талах,хӕрис
140,Tanne::N,харыйа,наз
141,Horn::N,муос,сыкъа
142,Feder::N,куорсун,сис
143,Fell::N,тирии,царм
144,Flügel::N,кынат,базыр
145,Klaue::N,тыҥырах,ных
146,Kralle::N,баппаҕай,дзӕмбы
147,Schwanz::N,кутурук,къӕдзил
148,Ei::N,сымыыт,айк
149,Nest::N,уйа,ахстон
150,Bau::N,хороон,хуынкъ
151,Tier::N,кыыл,сырд
152,Tier::N,кыыл,цӕрӕгой
153,Tier::N,харамай,сырд
154,Tier::N,харамай,цӕрӕгой
155,Herde::N,үөр,дзуг
156,Herde::N,үөр,рӕгъау
157,Kuh::N,ынах,хъуг
158,Bulle::N,оҕус,гал
159,Pferd::N,сылгы,бӕх
160,Schaf::N,овца,фыс
161,Schwein::N,сибиинньэ,хуы
162,Hund::N,ыт,куыдз
163,Katze::N,куоска,гӕды
164,Bär::N,эһэ,арс
165,Eichhörnchen::N,тииҥ,æхсæрæг
166,Elch::N,тайах,цæгатаг саг
167,Fuchs::N,саһыл,рувас
168,Hase::N,куобах,тæрхъус
169,Maus::N,кутуйах,мыст
170,Wolf::N,бөрө,бирӕгъ
171,Vogel::N,көтөр,цъиу
172,Vogel::N,көтөр,маргъ
173,Schwarm::N,бөлөх,бал
174,Huhn::N,куурусса,карк
175,Hahn::N,бөтүүк,уасӕг
176,Gans::N,хаас,хъаз
177,Adler::N,хотой,цӕргӕс
178,Ente::N,кус,ацц
179,Eule::N,мэкчиргэ, уыг
180,Eule::N,мэкчиргэ,сидахъ
181,Kranich::N,туруйа,зырнæг
182,Kranich::N,туруйа,хърихъупп
183,Krähe::N,тураах,халон
184,Kuckuck::N,кэҕэ,гаккук
185,Schwan::N,куба,доныхъаз
186,Fisch::N,балык,кӕсаг
187,Barsch::N,алыһар,окунь
188,Hecht::N,сордон,хихор кӕсаг
189,Schlange[Tier]::N,моҕой,калм
190,Schlange[Tier]::N,эриэн үөн,калм
191,Wurm::N,үөн,зулкъ
192,Wurm::N,үөн,къуыдыргалм
193,Spinne::N,ооҕуй,хӕлуарӕг
194,Ameise::N,кымырдаҕас,мæлдзыг
195,Laus::N,быт,сыст
196,Mücke::N,кумаар,къогъо
197,Fliege::N,сахсырҕа,бындз
198,Schmetterling::N,лыах,гæлæбу
199,Schmetterling::N,үрүмэччи,гæлæбу
200,Beere::N,отон,гагадыргъ
201,Apfel::N,яблоко,фӕткъуы
202,Pilz::N,тэллэй,зокъо
203,Pilz::N,тэллэй,къозо
204,Zwiebel::N,луук,хъӕдындз
205,Saat::N,сиэмэ,тауинаг
206,Saat::N,сиэмэ,мыггаг
207,Korn::N,сиэмэ,мыггаг
208,Korn::N,сиэмэ,тауинаг
209,Heu::N,от,хос
210,Schale::N,хах,цъар
211,Grube::N,дьаама,урм
