,Concept_ID,it,uz
0,Auge::N,occhio,ko'z
1,Ohr::N,orecchio,quloq
2,Nase::N,naso,burun
3,Mund::N,bocca,og'iz
4,Zahn::N,dente,tish
5,Zunge::N,lingua,til
6,Lippe::N,labbro,dudoq
7,Wange::N,guancia,bet
8,Gesicht::N,viso,yuz
9,Gesicht::N,faccia,yuz
10,Stirn::N,fronte,manglay
11,Haar::N,capello,soch
12,Schnurrbart::N,baffi,mo'ylov
13,Schnurrbart::N,mustacchi,mo'ylov
14,Bart::N,barba,soqol
15,Kinn::N,mento,ängak
16,Kiefer[Anatomie]::N,mascella,iyak
17,Kehle::N,gola,bo'g'iz
18,Hals::N,collo,bo'yin
19,Genick::N,nuca,gardan
20,Kopf::N,capo,bosh
21,Kopf::N,testa,bosh
22,Rücken::N,dorso,orqa
23,Rücken::N,schiena,orqa
24,Bauch::N,ventre,qorin
25,Nabel::N,ombelico,kindik
26,Busen::N,seno,ämchak
27,Brust::N,petto,ko'krak
28,Schulter::N,spalla,elka
29,Arm::N,braccio,bilak
30,Ellenbogen::N,gomito,tirsak
31,Hand::N,mano,qo'l
32,Handfläche::N,palma,kaft
33,Finger::N,dito,barmoq
34,Fingernagel::N,unghia,tirnoq
35,Nagel[Anatomie]::N,unghia,tirnoq
36,Zeh::N,dito del piede,oyoq barmog'i
37,Fuß::N,piede,oyoq
38,Ferse::N,tallone,tovon
39,Ferse::N,calcagno,tovon
40,Knie::N,ginocchio,tiz
41,Oberschenkel::N,fèmore,son
42,Bein::N,gamba,oyoq
43,Körper::N,corpo,badna
44,Haut::N,pelle,teri
45,Blut::N,sangue,qon
46,Ader::N,vena,qon tomir
47,Sehne::N,tèndine,tomir
48,Knochen::N,osso,suyak
49,Gehirn::N,cervello,miya
50,Herz::N,cuore,qalb
51,Magen::N,stòmaco,oshqozon
52,Leber::N,fegato,bag'ir
53,Atem::N,fiato,dam
54,Atem::N,respiro,dam
55,Hunger::N,fame,ochlik
56,Träne::N,làcrima,yosh
57,Geschmack::N,gusto,tam
58,Geschmack::N,sapore,tam
59,Geruch::N,odore,jid
60,Schlaf::N,sonno,uyqu
61,Traum::N,sogno,tush
62,Himmel::N,cielo,osmon
63,Sonne::N,sole,quyosh
64,Mond::N,luna,oy
65,Stern::N,stella,yulduz
66,Luft::N,aria,havo
67,Wind::N,vento,el
68,Welle::N,onda,to'lqin
69,Wasser::N,acqua,suv
70,Stein::N,sasso,tosh
71,Stein::N,pietra,tosh
72,Boden::N,suolo,tuproq
73,Boden::N,terreno,tuproq
74,Erde::N,terra,er
75,Staub::N,polvere,chang
76,Rauch::N,fumo,tutun
77,Funke::N,scintilla,yalt
78,Feuer::N,fuoco,o't
79,Licht::N,luce,yorug'
80,Schatten::N,ombra,soya
81,Wetter::N,tempo,havo
82,Nebel::N,nebbia,tuman
83,Wolke::N,nube,bulut
84,Wolke::N,nùvola,bulut
85,Regen::N,pioggia,yomg'ir
86,Schnee::N,neve,qor
