,Concept_ID,es,vep
0,Auge::N,ojo,sil'm
1,Ohr::N,oreja,korv
2,Nase::N,nariz,nena
3,Mund::N,boca,su
4,Zahn::N,diente,pi
5,Zahn::N,diente,hambaz
6,Zunge::N,lengua,kel'
7,Lippe::N,labio,hul'
8,Wange::N,mejilla,modpolišk
9,Gesicht::N,cara,mod
10,Stirn::N,frente,oc
11,Haar::N,cabello,tuk
12,Haar::N,cabello,hibuz
13,Schnurrbart::N,bigote,habinod
14,Bart::N,barba,bard
15,Kinn::N,barbilla,löug
16,Kiefer[Anatomie]::N,mandíbula,hambazlu
17,Kehle::N,garganta,kurk
18,Hals::N,cuello,kagl
19,Genick::N,nuca,tagarai
20,Genick::N,cerviz,tagarai
21,Kopf::N,cabeza,pä
22,Rücken::N,espalda,sel'g
23,Bauch::N,vientre,vac
24,Bauch::N,vientre,koht
25,Nabel::N,ombligo,naba
26,Busen::N,pecho,niža
27,Brust::N,pecho,rind
28,Schulter::N,hombro,oug
29,Arm::N,brazo,käzi
30,Ellenbogen::N,codo,künambruz
31,Hand::N,mano,käzi
32,Hand::N,mano,käzitera
33,Handfläche::N,palma,kämen
34,Finger::N,dedo,sor'm
35,Fingernagel::N,uña,künz'
36,Nagel[Anatomie]::N,uña,künz'
37,Zeh::N,dedo del pie,barbaz
38,Fuß::N,pie,jaug
39,Ferse::N,talón,kand
40,Knie::N,rodilla,komb
41,Knie::N,rodilla,pol'v
42,Oberschenkel::N,muslo,riiže
43,Bein::N,pierna,jaug
44,Körper::N,cuerpo,hibj
45,Haut::N,piel,nahk
46,Blut::N,sangre,čak
47,Blut::N,sangre,veri
48,Ader::N,vena,son'
49,Sehne::N,tendón,jände
50,Knochen::N,hueso,lu
51,Gehirn::N,cerebro,aivod
52,Gehirn::N,encéfalo,aivod
53,Herz::N,corazón,südäin
54,Magen::N,estómago,südäikoht
55,Leber::N,hígado,maks
56,Atem::N,aliento,hengaiduz
57,Hunger::N,hambre,näl'g
58,Träne::N,lágrima,kündal'
59,Geschmack::N,gusto,magu
60,Geruch::N,olor,haju
61,Schlaf::N,sueño,uni
62,Traum::N,sueño,unikuva
63,Traum::N,ensueño,unikuva
64,Himmel::N,cielo,taivaz
65,Sonne::N,sol,päiväine
66,Mond::N,luna,kudmaine
67,Stern::N,estrella,tähtaz
68,Luft::N,aire,il'm
69,Wind::N,viento,döl
70,Wind::N,viento,tullei
71,Welle::N,ola,ald
72,Welle::N,ola,laineh
73,Welle::N,onda,ald
74,Welle::N,onda,laineh
75,Wasser::N,agua,vezi
76,Stein::N,piedra,kivi
77,Boden::N,suelo,ma
78,Boden::N,suelo,pohj
79,Erde::N,tierra,ma
80,Staub::N,polvo,pölü
81,Rauch::N,humo,savu
82,Funke::N,chispa,kibin
83,Feuer::N,fuego,lämoi
84,Licht::N,luz,vauktuz
85,Schatten::N,sombra,pil'vez
86,Schatten::N,sombra,kuvahaine
87,Wetter::N,tiempo,sä
88,Nebel::N,niebla,sumeg
89,Wolke::N,nube,pil'v
90,Regen::N,lluvia,vihm
91,Schnee::N,nieve,lumi
92,Eis::N,hielo,jä
93,Frost::N,helada,hala
94,Frost::N,helada,pakaine
95,Kälte::N,frío,vilu
96,Hitze::N,calor,räk
97,Raureif::N,escarcha,hüde
98,Regenbogen::N,arco iris,jumalanbembel'
99,Donner::N,trueno,juru
100,Donner::N,trueno,jumalanjuru
101,Strömung::N,corriente,joksmuz
102,Tropfen::N,gota,tilkuine
103,Schaum::N,espuma,vaht
104,Schmutz::N,suciedad,redu
105,Schmutz::N,suciedad,pačak
106,See::N,lago,järv
107,Sumpf::N,pantano,so
108,Moor::N,turbera,so
109,Wiese::N,prado,nit
110,Wiese::N,pradera,nit
111,Wald::N,bosque,mec
112,Hügel::N,colina,kukaz
113,Anhöhe::N,cerro,kukaz
114,Berg::N,monte,mägi
115,Berg::N,montaña,mägi
116,Gipfel::N,cima,ladv
117,Gipfel::N,cumbre,ladv
118,Höhle::N,cueva,mägionduz
119,Höhle::N,caverna,mägionduz
120,Abhang::N,cuesta,paute
121,Abhang::N,declive,paute
122,Quelle::N,fuente,lähte
123,Quelle::N,manantial,lähte
124,Bach::N,arroyo,oja
125,Fluss::N,río,jogi
126,Ufer::N,orilla,rand
127,Küste::N,costa,randišt
128,Festland::N,tierra firme,kuivma
129,Meer::N,mar,meri
130,Bucht::N,cala,laht
131,Bucht::N,bahía,laht
132,Insel::N,isla,sar'
133,Blume::N,flor,änik
134,Gras::N,hierba,hein
135,Wurzel::N,raíz,jur'
136,Baum::N,árbol,pu
137,Stamm::N,tronco,tüvi
138,Rinde::N,corteza,kor'
139,Ast::N,rama,oks
140,Zweig::N,ramo,oks
141,Zweig::N,ramo,barb
142,Blatt::N,hoja,lehtez
143,Birke::N,abedul,koiv
144,Kiefer[Baum]::N,pino,pedai
145,Weide[Baum]::N,sauce,raid
146,Tanne::N,abeto,kuz'
147,Horn::N,asta,sar'v
148,Horn::N,cuerno,sar'v
149,Feder::N,pluma,höuneh
150,Fell::N,piel,nahk
151,Flügel::N,ala,suug
152,Klaue::N,garra,künz'
153,Kralle::N,uña,künz'
154,Kralle::N,garra,künz'
155,Schwanz::N,cola,händ
156,Ei::N,huevo,muna
157,Nest::N,nido,peza
158,Bau::N,madriguera,uru
159,Tier::N,animal,živat
160,Herde::N,rebaño,kogo
161,Kuh::N,vaca,lehm
162,Bulle::N,toro,härg
163,Pferd::N,caballo,hebo
164,Schaf::N,oveja,lambaz
165,Schwein::N,cerdo,siga
166,Hund::N,perro,koir
167,Katze::N,gato,kaži
168,Bär::N,oso,kondi
169,Eichhörnchen::N,ardilla,orav
170,Elch::N,alce,hirb'
171,Fuchs::N,zorro,reboi
172,Hase::N,liebre,jäniš
173,Maus::N,ratón,hir'
174,Wolf::N,lobo,händikaz
175,Vogel::N,ave,lind
176,Vogel::N,pájaro,lind
177,Schwarm::N,bandada,parveh
178,Huhn::N,gallina,kana
179,Hahn::N,gallo,kukoi
180,Gans::N,oca,hanh'
181,Gans::N,ganso,hanh'
182,Adler::N,águila,orl
183,Ente::N,pato,sorz
184,Eule::N,lechuza,hir'pulo
185,Kranich::N,grulla,kurg
186,Krähe::N,corneja,variš
187,Kuckuck::N,cuco,kägi
188,Schwan::N,cisne,joucen
189,Fisch::N,pez,kala
190,Barsch::N,perca,ahven
191,Hecht::N,lucio,haug'
192,Schlange[Tier]::N,serpiente,kü
193,Schlange[Tier]::N,serpiente,mado
194,Wurm::N,gusano,mado
195,Spinne::N,araña,hämähouk
196,Ameise::N,hormiga,murahaine
197,Laus::N,piojo,täi
198,Mücke::N,mosquito,säs'k
199,Fliege::N,mosca,kärbhaine
200,Schmetterling::N,mariposa,lipkaine
201,Beere::N,baya,marj
202,Apfel::N,manzana,jablok
203,Pilz::N,seta,sen'
204,Pilz::N,seta,babuk
205,Pilz::N,hongo,sen'
206,Pilz::N,hongo,babuk
207,Zwiebel::N,cebolla,lauk
208,Saat::N,siembra,semned
209,Korn::N,grano,jüvä
210,Korn::N,grano,vill'
211,Heu::N,heno,hein
212,Schale::N,cáscara,kor'
213,Grube::N,foso,kop
214,Falle::N,trampa,rida
215,Schlinge::N,lazo,rihm
216,Spur::N,huella,jäl'g
217,Asche::N,ceniza,tuhk
218,Dreck::N,suciedad,redu
219,Dreck::N,suciedad,pačak
220,Eisen::N,hierro,raud
221,Gold::N,oro,kuld
222,Silber::N,plata,hobed
223,Kohle::N,carbón,hil'
224,Glas::N,vidrio,stökol
225,Glas::N,cristal,stökol
226,Lehm::N,barro,savi
227,Sand::N,arena,lete
228,Mensch::N,hombre,mez'
229,Mensch::N,hombre,ristit
230,Mensch::N,ser humano,mez'
231,Mensch::N,ser humano,ristit
232,Mann::N,hombre,mez'
233,Frau::N,mujer,naine
234,Kind::N,niño,laps'
235,Junge::N,chico,poig
236,Junge::N,chico,prihaine
237,Junge::N,muchacho,poig
238,Junge::N,muchacho,prihaine
239,Mädchen::N,chica,neičukaine
240,Mädchen::N,muchacha,neičukaine
241,Familie::N,familia,kanz
242,Familie::N,familia,pereh
243,Großvater::N,abuelo,ded
244,Großmutter::N,abuela,bab
245,Eltern::N,padres,vanhembad
246,Eltern::N,padres,kazvatajad
247,Vater::N,padre,tat
248,Mutter::N,madre,mam
249,Sohn::N,hijo,poig
250,Tochter::N,hija,tütär
251,Bruder::N,hermano,veik
252,Bruder::N,hermano,vell'
253,Schwester::N,hermana,čiža
254,Schwester::N,hermana,sizar
255,Onkel::N,tío,däd'
256,Tante::N,tía,tädi
257,Ehemann::N,esposo,mužik
258,Ehefrau::N,esposa,ak
259,Freude::N,placer,ilo
260,Freude::N,placer,ihastuz
261,Freude::N,alegría,ilo
262,Freude::N,alegría,ihastuz
263,Gelächter::N,risa,nagr
264,Gelächter::N,carcajada,nagr
265,Glück::N,felicidad,oza
266,Kummer::N,pena,gor'a
267,Wunsch::N,deseo,taht
268,Lust::N,ganas,himo
269,Geist::N,mente,heng
270,Geist::N,espíritu,heng
271,Gedanke::N,idea,meletuz
272,Gedanke::N,pensamiento,meletuz
273,Gedächtnis::N,memoria,mušt
274,Verstand::N,razón,mel'
275,Verstand::N,entendimiento,mel'
276,Sinn::N,sentido,jüvä
277,Sinn::N,significado,jüvä
278,Grund::N,causa,sü
279,Wahrheit::N,verdad,tozi
280,Gespräch::N,conversación,lodu
281,Gespräch::N,conversación,pagin
282,Märchen::N,cuento,sarn
283,Erzählung::N,cuento,sanutez
284,Erzählung::N,narración,sanutez
285,Nachricht::N,mensaje,tedotuz
286,Neuigkeit::N,noticia,uzištuz
287,Name::N,nombre,nimi
288,Rätsel::N,acertijo,ozoitez
289,Rätsel::N,adivinanza,ozoitez
290,Rede::N,discurso,pagin
291,Rede::N,discurso,sanad
292,Sprache::N,lengua,kel'
293,Stimme::N,voz,än'
294,Wort::N,palabra,sana
295,Zeichen::N,señal,znam
296,Ruf::N,llamada,kida
297,Ruf::N,llamada,kucund
298,Lärm::N,ruido,judu
299,Lärm::N,barullo,judu
300,Laut::N,sonido,kulund
301,Ton::N,tono,kulund
302,Lied::N,canción,pajo
303,Ruhe::N,calma,lebu
304,Ruhe::N,silencio,lebu
305,Leute::N,gente,rahvaz
306,Volk::N,pueblo,rahvaz
307,Arbeit::N,trabajo,tö
308,Arbeit::N,trabajo,rad
309,Gast::N,huésped,adiv
310,Gast::N,invitado,adiv
311,Geschenk::N,regalo,lahj
312,Spiel::N,juego,vänd
313,Gesellschaft::N,compañía,sebr
314,Hilfe::N,ayuda,abu
315,Hilfe::N,socorro,abu
316,Freund::N,amigo,sebranik
317,Kamerad::N,camarada,sebranik
318,Kamerad::N,compañero,sebranik
319,Angelegenheit::N,asunto,azj
320,Anzahl::N,cantidad,lugu
321,Art::N,tipo,rod
322,Art::N,tipo,rodsugu
323,Art::N,clase,rod
324,Art::N,clase,rodsugu
325,Stück::N,pieza,pala
326,Stück::N,pieza,supal
327,Teil::N,parte,pala
328,Hälfte::N,mitad,pol'
329,Kreis::N,círculo,ümbruz
330,Kreis::N,círculo,kehkruz
331,Kreuz::N,cruz,rist
332,Linie::N,línea,pird
333,Strich::N,raya,pird
334,Strich::N,trazo,pird
335,Abstand::N,distancia,keskust
336,Entfernung::N,distancia,matk
337,Gegend::N,región,taho
338,Gegend::N,comarca,taho
339,Platz::N,espacio,avaruz'
340,Ort::N,sitio,koht
341,Seite::N,lado,pol'
342,Seite::N,lado,kül'g
343,Seite::N,costado,pol'
344,Seite::N,costado,kül'g
345,Mitte::N,medio,kesk
346,Mitte::N,centro,kesk
347,Gegenstand::N,objeto,kalu
348,Sache::N,cosa,azj
349,Rand::N,borde,röun
350,Kante::N,borde,röun
351,Ecke::N,esquina,saum
352,Spitze::N,punta,agjaine
353,Ende::N,cabo,agj
354,Ende::N,extremo,agj
355,Loch::N,agujero,reig
356,Loch::N,abertura,reig
357,Winkel::N,ángulo,čoga
358,Winkel::N,ángulo,saum
359,Muster::N,dibujo,kirjam
360,Größe::N,tamaño,suruz'
361,Länge::N,longitud,piduz
362,Höhe::N,altura,korktuz'
363,Höhe::N,altitud,korktuz'
364,Gewicht::N,peso,jügu
365,Gewicht::N,peso,vedäduz
366,Menge::N,cantidad,äjüz'
367,Haufen::N,montón,kogo
368,Reihe::N,fila,rivi
369,Boot::N,bote,veneh
370,Boot::N,barca,veneh
371,Ruder::N,remo,air
372,Schlitten::N,trineo,regi
373,Schlitten::N,trineo,regut
374,Ski::N,esquí,suks'
375,Lagerfeuer::N,hoguera,nodj
376,Lagerfeuer::N,hoguera,pažag
377,Last::N,carga,jüguz
378,Gang::N,marcha,astund
379,Schritt::N,paso,hašk
380,Norden::N,norte,pohjoine
381,Süden::N,sur,suvi
382,Westen::N,oeste,päivlaskm
383,Osten::N,este,päivnouzm
384,Holz::N,madera,pu
385,Brett::N,tabla,laud
386,Platte::N,placa,keitim
387,Platte::N,plancha,keitim
388,Stütze::N,sostén,tugi
389,Stütze::N,soporte,tugi
390,Stange::N,vara,arz'
391,Stange::N,percha,arz'
392,Stock::N,palo,kalu
393,Stock::N,bastón,kalu
394,Stab::N,vara,seibaz
395,Stab::N,bastón,seibaz
396,Rohr::N,tubo,torv
397,Haus::N,casa,pert'
398,Heim::N,hogar,kodi
399,Ofen::N,estufa,päč
400,Fußboden::N,suelo,lava
401,Tisch::N,mesa,laud
402,Tisch::N,mesa,stal'c
403,Stuhl::N,silla,ištim
404,Wiege::N,cuna,kätte
405,Bett::N,cama,sija
406,Bett::N,cama,magaduzsija
407,Regal::N,estantería,palič
408,Kiste::N,caja,mülütim
409,Fenster::N,ventana,ikun
410,Tür::N,puerta,uks'
411,Tor::N,puerta,verai
412,Zaun::N,valla,aid
413,Zaun::N,cercado,aid
414,Dach::N,techo,katuz
415,Dach::N,tejado,katuz
416,Leiter::N,escalera,pordhad
417,Besen::N,escoba,lud
418,Besen::N,escoba,vast
419,Spaten::N,pala,labid
420,Schaufel::N,pala,labid
421,Schaufel::N,paleta,labid
422,Gabel::N,tenedor,hangoine
423,Löffel::N,cuchara,luzik
424,Messer::N,cuchillo,veič
425,Nagel::N,clavo,nagl
426,Netz::N,red,verk
427,Haken::N,gancho,kouk
428,Haken::N,corchete,kouk
429,Griff::N,asa,kägä
430,Griff::N,asa,varz'
431,Griff::N,mango,kägä
432,Griff::N,mango,varz'
433,Schloss::N,cerradura,lukkol
434,Bild::N,imagen,kuva
435,Figur::N,figura,figur
436,Puppe::N,muñeca,tätüine
437,Beutel::N,bolsa,havad
438,Bündel::N,haz,toppaz
439,Bündel::N,haz,käč
440,Tasche::N,bolso,sumk
441,Eimer::N,cubo,vädr
442,Deckel::N,tapa,katuz
443,Deckel::N,tapadera,katuz
444,Geschirr::N,vajilla,astii
445,Sack::N,saco,havad
446,Tasse::N,taza,čašk
447,Topf::N,olla,pada
448,Topf::N,marmita,pada
449,Kessel::N,caldera,katil
450,Essen::N,comida,sönd
451,Nahrung::N,alimento,söm
452,Speise::N,plato,sömine
453,Fleisch::N,carne,liha
454,Getreide::N,cereales,vill'
455,Brei::N,puré,pudr
456,Brei::N,papilla,pudr
457,Brot::N,pan,leib
458,Scheibe::N,lonja,bibaleh
459,Scheibe::N,lonja,šlik
460,Scheibe::N,rebanada,bibaleh
461,Scheibe::N,rebanada,šlik
462,Fett::N,grasa,razv
463,Butter::N,mantequilla,voi
464,Öl::N,aceite,voi
465,Salz::N,sal,sol
466,Suppe::N,sopa,lem'
467,Suppe::N,sopa,keitoz
468,Honig::N,miel,mezi
469,Milch::N,leche,maid
470,Tee::N,té,čai
471,Leder::N,cuero,nahk
472,Wolle::N,lana,vill
473,Stoff::N,tela,kangaz
474,Stoff::N,tejido,kangaz
475,Nadel::N,aguja,negl
476,Faden::N,hilo,nit'
477,Knopf::N,botón,nübl'
478,Knoten::N,nudo,sol'm
479,Farbe::N,pintura,muju
480,Kleidung::N,ropa,sobad
481,Kleidung::N,vestidos,sobad
482,Hemd::N,camisa,paid
483,Kragen::N,cuello,kagluz
484,Ärmel::N,manga,hijam
485,Hose::N,pantalón,štanad
486,Gürtel::N,cinturón,vö
487,Mütze::N,gorro,šapuk
488,Schuh::N,zapato,keng'
489,Stiefel::N,bota,sapug
490,Ring::N,anillo,rengaz
491,Band::N,cinta,lentaine
492,Kamm::N,peine,suga
493,Spiegel::N,espejo,zerkol
494,Riemen::N,correa,vö
495,Schnur::N,cuerda,nor
496,Leine::N,correa,talutimnor
497,Decke::N,manta,sijakatuz
498,Kissen::N,almohada,pöluz
499,Tuch::N,pañuelo,paik
500,Handtuch::N,toalla,käzipaik
501,Kraft::N,fuerza,vägi
502,Stärke::N,fuerza,vahvuz'
503,Gesundheit::N,salud,tervhuz
504,Krankheit::N,enfermedad,läžund
505,Schmerz::N,dolor,kibu
506,Wunde::N,llaga,čapatez
507,Wunde::N,herida,čapatez
508,Fieber::N,fiebre,säru
509,Arznei::N,medicina,zel'l'
510,Arznei::N,medicamento,zel'l'
511,Brücke::N,puente,sild
512,Brunnen::N,pozo,kaiv
513,Weide::N,pasto,omaluine
514,Pfad::N,sendero,tehut
515,Weg::N,camino,te
516,Straße::N,vía,te
517,Straße::N,carretera,te
518,Dorf::N,aldea,külä
519,Dorf::N,pueblo,külä
520,Stadt::N,ciudad,lidn
521,Brief::N,carta,kirjeine
522,Buch::N,libro,kirj
523,Buchstabe::N,letra,kirjam
524,Buchstabe::N,carácter,kirjam
525,Zeitung::N,diario,lehtez
526,Zeitung::N,periódico,lehtez
527,Leben::N,vida,elo
528,Tod::N,muerte,surm
529,Grab::N,tumba,kaum
530,Grab::N,sepulcro,kaum
531,Kirche::N,iglesia,jumalanpert'
532,Sünde::N,pecado,grähk
533,Gott::N,dios,jumal
534,Arbeiter::N,obrero,radnik
535,Arbeiter::N,trabajador,radnik
536,Chef::N,jefe,pämez'
537,Meister::N,maestro,mastar
538,Arzt::N,médico,lekar'
539,Lehrer::N,profesor,opendai
540,Geld::N,dinero,rahad
541,Geschäft::N,negocio,biznes
542,Laden::N,tienda,lauk
543,Preis::N,precio,arv
544,Ware::N,mercancía,tavar
545,Nutzen::N,provecho,liža
546,Reichtum::N,riqueza,kodielo
547,Reichtum::N,riqueza,kal'huz'
548,Welt::N,mundo,mail'm
549,Land::N,país,ma
550,Staat::N,Estado,valdkund
551,König::N,rey,kunigaz
552,Macht::N,poder,vald
553,Macht::N,potencia,vald
554,Grenze::N,frontera,röun
555,Krieg::N,guerra,soda
556,Feind::N,enemigo,vihanik
557,Feind::N,enemigo,vastustai
558,Gewalt::N,violencia,vägivald
559,Kampf::N,lucha,tora
560,Kampf::N,combate,tora
561,Bogen[Waffe]::N,arco,taug
562,Pfeil::N,flecha,nol
563,Gewehr::N,fusil,oružj
564,Gewehr::N,escopeta,oružj
565,Fehler::N,error,viga
566,Lüge::N,mentira,kelastuz
567,Schaden::N,daño,pahuz'
568,Unglück::N,desgracia,bed
569,Unglück::N,desgracia,gor'a
570,Schuld::N,culpa,värhuz'
571,Alter::N,edad,igä
572,Schluss::N,fin,lop
573,Schluss::N,final,lop
574,Zeit::N,tiempo,aig
575,Tag::N,día,päiv
576,Morgen::N,mañana,homendez
577,Mittag::N,mediodía,keskpäiv
578,Abend::N,noche,eht
579,Nacht::N,noche,ö
580,Woche::N,semana,nedal'
581,Monat::N,mes,ku
582,Jahr::N,año,voz'
583,Frühling::N,primavera,keväz'
584,Sommer::N,verano,keza
585,Herbst::N,otoño,sügüz'
586,Winter::N,invierno,tal'v
587,Januar::N,enero,viluku
588,Februar::N,febrero,uhoku
589,März::N,marzo,keväz'ku
590,April::N,abril,sulaku
591,Mai::N,mayo,semendku
592,Juni::N,junio,kezaku
593,Juli::N,julio,heinku
594,August::N,agosto,eloku
595,September::N,septiembre,sügüz'ku
596,Oktober::N,octubre,reduku
597,November::N,noviembre,kül'mku
598,Dezember::N,diciembre,tal'vku
599,Montag::N,lunes,ezmärg
600,Dienstag::N,martes,tožnarg
601,Mittwoch::N,miércoles,koumanz'päiv
602,Donnerstag::N,jueves,nellänz'päiv
603,Freitag::N,viernes,pätnič
604,Freitag::N,viernes,videnz'päiv
605,Samstag::N,sábado,sobat
606,Sonntag::N,domingo,pühäpäiv
607,groß::A,grande,sur'
608,groß::A,grande,järed
609,klein::A,pequeño,pen'
610,klein::A,pequeño,pičuine
611,lang::A,largo,pit'k
612,kurz::A,corto,lühüd
613,breit::A,ancho,leved
614,schmal::A,estrecho,kaid
615,dicht::A,denso,tihed
616,dick[Gegenstand]::A,grueso,paks
617,dünn::A,fino,hoik
618,dünn::A,delgado,hoik
619,fein::A,fino,hen
620,fein::A,delicado,hen
621,fest::A,firme,luja
622,fest::A,firme,ninev
623,fest::A,sólido,luja
624,fest::A,sólido,ninev
625,flach::A,plano,lapak
626,glatt::A,liso,siled
627,hart::A,duro,kova
628,weich::A,muelle,pehmed
629,rund::A,redondo,kehker
630,spitz::A,agudo,nügu
631,spitz::A,agudo,terav
632,spitz::A,apuntado,nügu
633,spitz::A,apuntado,terav
634,scharf::A,agudo,terav
635,scharf::A,afilado,terav
636,stumpf::A,sin filo,tül'c
637,schwer::A,pesado,jüged
638,schön::A,bello,čoma
639,schön::A,hermoso,čoma
640,heiß::A,caluroso,räk
641,warm::A,cálido,läm'
642,warm::A,caliente,läm'
643,kalt::A,frío,vilu
644,kühl::A,fresco,raibak
645,kühl::A,fresco,viluhk
646,frisch::A,fresco,lahed
647,feucht::A,húmedo,neps
648,feucht::A,húmedo,toreh
649,nass::A,mojado,märg
650,trocken::A,seco,kuiv
651,voll::A,lleno,täuz'
652,leer::A,vacío,joudai
653,offen::A,abierto,avoin
654,offen::A,abierto,avol'jaine
655,geschlossen::A,cerrado,saubaline
656,sauber::A,limpio,puhtaz
657,schmutzig::A,sucio,redukaz
658,roh::A,crudo,rohk
659,roh::A,crudo,toreh
660,reif::A,maduro,küps
661,lecker::A,rico,magukaz
662,lecker::A,sabroso,magukaz
663,süß::A,dulce,maged
664,bitter::A,amargo,karged
665,sauer::A,agrio,muiged
666,hell::A,claro,kirkas
667,hell::A,claro,valgei
668,dunkel::A,oscuro,pimed
669,schwarz::A,negro,must
670,weiß::A,blanco,vauged
