,Concept_ID,xal,he
0,Auge::N,нүдн,עין
1,Ohr::N,чикн,אזן
2,Nase::N,хамр,אף
3,Nase::N,хамр,חטם
4,Mund::N,амн,פה
5,Zahn::N,шүдн,שן
6,Zunge::N,келн,לשון
7,Lippe::N,урл,שפה
8,Wange::N,халх,לחי
9,Gesicht::N,нүр,פנים
10,Stirn::N,маңна,מצח
11,Haar::N,үсн,שערה
12,Schnurrbart::N,сахл,שפם
13,Bart::N,сахл,זקן
14,Bart::N,өргнә сахл,זקן
15,Kinn::N,өргн,סנטר
16,Kiefer[Anatomie]::N,өргн,לסת
17,Kehle::N,хол,גרון
18,Hals::N,күзүн,צואר
19,Genick::N,гиҗг,ערף
20,Kopf::N,толһа,ראש
21,Rücken::N,нурһн,גב
22,Bauch::N,гесн,בטן
23,Nabel::N,киисн,טבור
24,Busen::N,көкн,שד
25,Brust::N,чееҗ,חזה
26,Schulter::N,ээм,כתף
27,Arm::N,һар,זרוע
28,Ellenbogen::N,тоха,מרפק
29,Hand::N,баһлцг,יד
30,Handfläche::N,альхн,כף יד
31,Finger::N,хурһн,אצבע
32,Finger::N,һарин хурһн,אצבע
33,Fingernagel::N,хумсн,צפרן
34,Nagel[Anatomie]::N,хумсн,צפרן
35,Zeh::N,хурһн,אצבע
36,Zeh::N,көлин хурһн,אצבע
37,Fuß::N,тавг,רגל
38,Ferse::N,өскә,עקב
39,Knie::N,өвдг,ברך
40,Oberschenkel::N,һуй,ירך
41,Bein::N,көл,רגל
42,Körper::N,махмуд,גוף
43,Haut::N,арсн,עור
44,Blut::N,цусн,דם
45,Ader::N,судцн,וריד
46,Sehne::N,шүрүсн,גיד
47,Knochen::N,ясн,עצם
48,Gehirn::N,экн,מוח
49,Herz::N,зүркн,לב
50,Magen::N,гесн,קבה
51,Leber::N,элкн,כבד
52,Atem::N,әмсхл,נשימה
53,Hunger::N,харһнлһн,רעב
54,Träne::N,нульмсн,דמעה
55,Geschmack::N,амтн,טעם
56,Geruch::N,үнр,ריח
57,Schlaf::N,нөр,שנה
58,Traum::N,зүүдн,חלום
59,Himmel::N,теңгр,שמים
60,Sonne::N,нарн,שמש
61,Mond::N,сар,ירח
62,Stern::N,одн,כוכב
63,Luft::N,аһар,אויר
64,Wind::N,салькн,רוח
65,Welle::N,дольган,גל
66,Wasser::N,усн,מים
67,Stein::N,чолун,אבן
68,Boden::N,Һазр,קרקע
69,Erde::N,Һазр,אדמה
70,Staub::N,тоосн,אבק
71,Rauch::N,утан,עשן
72,Funke::N,очн,ניצוץ
73,Feuer::N,һал,אש
74,Licht::N,герл,אור
75,Schatten::N,сүүдр,צל
76,Wetter::N,теңгр,מזג אויר
77,Nebel::N,будн,ערפל
78,Wolke::N,үүлн,ענן
79,Regen::N,хур,גשם
80,Schnee::N,цасн,שלג
81,Eis::N,мөсн,קרח
82,Frost::N,киитн,צנה
83,Kälte::N,киитн,קר
84,Hitze::N,халун,חם
85,Raureif::N,цаң,כפור
86,Raureif::N,кирү,כפור
87,Regenbogen::N,солңһ,קשת
88,Donner::N,оһтрһун дун,רעם
89,Strömung::N,урсхл,זרימה
90,Tropfen::N,дусал,טפה
91,Schaum::N,көөсн,קצף
92,Schmutz::N,кир,לכלוך
93,See::N,нур,אגם
94,Sumpf::N,унул,בצה
95,Moor::N,улм,בצה
96,Wiese::N,хадлһн,מרעה
97,Wald::N,ө-модн,יער
98,Hügel::N,толһа,תל
99,Anhöhe::N,хамр,מעלה
100,Berg::N,уул,הר
101,Gipfel::N,ора,פסגה
102,Höhle::N,хадин көндә,מערה
103,Abhang::N,ташу,מדרון
104,Abhang::N,ташу,שפוע
105,Quelle::N,булг,מעין
106,Bach::N,һооҗур,נחל
107,Fluss::N,һол,נהר
108,Ufer::N,көвә,גדה
109,Küste::N,көвә,חוף
110,Küste::N,теңгсин көвә,חוף
111,Festland::N,хүүрә һазр,יבשה
112,Meer::N,теңгс,ים
113,Bucht::N,цекә,מפרץ
114,Bucht::N,теңгсин цекә,מפרץ
115,Insel::N,арл,אי
116,Blume::N,цецг,פרח
117,Gras::N,ноһан,דשא
118,Wurzel::N,уңг,שרש
119,Baum::N,модн,עץ
120,Stamm::N,шилв,גזע
121,Stamm::N,һол модн,גזע
122,Rinde::N,көрсн,קלפת עץ
123,Ast::N,ац,ענף
124,Zweig::N,ац,ענף
125,Blatt::N,хамтхасн,עלה
126,Birke::N,хусм модн,שדר
127,Kiefer[Baum]::N,шар харһа,ארן
128,Weide[Baum]::N,удн,ערבה
129,Tanne::N,җөөлн цаһан модн,אשוח
130,Horn::N,өвр,קרן
131,Feder::N,өрвлг,נוצה
132,Fell::N,арсн,פרוה
133,Flügel::N,җивр,כנף
134,Klaue::N,хумсн,טלף
135,Kralle::N,тавг,טפר
136,Schwanz::N,сүл,זנב
137,Ei::N,өндгн,ביצה
138,Nest::N,үр,קן
139,Bau::N,нүкн,מחלה
140,Tier::N,мал,חיה
141,Herde::N,сүрг мал,עדר
142,Kuh::N,үкр,פרה
143,Bulle::N,бух,פר
144,Pferd::N,мөрн,סוס
145,Schaf::N,хөн,כבשה
146,Schwein::N,һаха,חזיר
147,Hund::N,ноха,כלב
148,Katze::N,мис,חתול
149,Bär::N,аю,דב
150,Eichhörnchen::N,кермн,סנאי
151,Elch::N,хандһа,דישון
152,Fuchs::N,арат,שועל
153,Hase::N,туула,ארנב
154,Maus::N,хулһн,עכבר
155,Wolf::N,чон,זאב
156,Vogel::N,шовун,צפור
157,Schwarm::N,зел,נחיל
158,Schwarm::N,зел,להקה
159,Huhn::N,така,תרנגלת
160,Hahn::N,эр така,תרנגול
161,Gans::N,һалун,אוז
162,Adler::N,һәрд,עיט
163,Ente::N,нуһсн,ברוז
164,Eule::N,һурвлһ,ינשוף
165,Kranich::N,тоһрун,עגור
166,Kranich::N,тоһрун,כרוכיה
167,Krähe::N,шаазһа,עורב
168,Kuckuck::N,эргин хуцдг,קוקיה
169,Schwan::N,хун,ברבור
170,Fisch::N,заһсн,דג
171,Barsch::N,шүрг,אוקונוס
172,Hecht::N,цурх,זאב הים
173,Schlange[Tier]::N,моһа,נחש
174,Wurm::N,өтн,תולעת
175,Spinne::N,аралҗн,עכביש
176,Ameise::N,шорһлҗн,נמלה
177,Laus::N,бөөсн,כנה
178,Mücke::N,бөкүн,יתוש
179,Fliege::N,батхн,זבוב
180,Schmetterling::N,эрвәкә,פרפר
181,Beere::N,бөөлҗрһн,ענבה
182,Apfel::N,альмн,תפוח
183,Pilz::N,теңгрин ки,פטריה
184,Zwiebel::N,мәңгрснә толһа,בצל
185,Saat::N,буудян экн,זרעים
186,Korn::N,экн,גרעין
187,Heu::N,өвсн,חציר
188,Schale::N,хальсн,קלפה
189,Grube::N,нүкн,בור
190,Grube::N,нүкн,שוחה
191,Falle::N,урх,מלכדת
192,Falle::N,хавх,מלכדת
193,Schlinge::N,бүтү,לולאה
194,Spur::N,мөр,עקבה
195,Asche::N,үмсн,אפר
196,Dreck::N,бальчг,זהמה
197,Eisen::N,төмр,ברזל
198,Gold::N,алтн,זהב
199,Silber::N,мөңгн,כסף
200,Silber::N,цаһан мөңгн,כסף
201,Kohle::N,нүүрсн,פחם
202,Glas::N,шил,זכוכית
203,Lehm::N,шавр,חרסית
204,Sand::N,элсн,חול
205,Mensch::N,күн,אדם
206,Mensch::N,күмн,אדם
207,Mann::N,эр,איש
208,Mann::N,эр,גבר
209,Frau::N,күүкд күн,אשה
210,Frau::N,күүкд күн,גברת
211,Kind::N,үрн,ילד
212,Junge::N,көвүн,ילד
213,Mädchen::N,бичкн күүкн,נערה
214,Familie::N,бүл,משפחה
215,Großvater::N,өвк эцк,סבא
216,Großvater::N,наһц эцк,סבא
217,Großmutter::N,эмг эк,סבתא
218,Großmutter::N,наһц эк,סבתא
219,Eltern::N,эк эцк хойр,הורים
220,Vater::N,эцк,אב
221,Mutter::N,эк,אם
222,Sohn::N,көвүн,בן
223,Tochter::N,күүкн,בת
224,Bruder::N,дү көвүн,אח
225,Schwester::N,эгч,אחות
226,Schwester::N,дү күүкн,אחות
227,Onkel::N,авһ,דוד
228,Onkel::N,наһцх,דוד
229,Tante::N,наһц эгч,דודה
230,Ehemann::N,залу,איש
231,Ehemann::N,залу,בעל
232,Ehefrau::N,гергн,אשה
233,Freude::N,байр,שמחה
234,Gelächter::N,инәдн,צחוק
235,Glück::N,җирһл,אשר
