,Concept_ID,lt,uz
0,Auge::N,akis,ko'z
1,Ohr::N,ausis,quloq
2,Nase::N,nosis,burun
3,Mund::N,burna,og'iz
4,Zahn::N,dantis,tish
5,Zunge::N,liežuvis,til
6,Lippe::N,lūpa,dudoq
7,Wange::N,žandas,bet
8,Wange::N,skruostas,bet
9,Gesicht::N,veidas,yuz
10,Stirn::N,kakta,manglay
11,Haar::N,plaukai,soch
12,Schnurrbart::N,ūsai,mo'ylov
13,Bart::N,barzda,soqol
14,Kinn::N,smakras,ängak
15,Kiefer[Anatomie]::N,žandikaulis,iyak
16,Kehle::N,gerklė,bo'g'iz
17,Hals::N,kaklas,bo'yin
18,Genick::N,sprandas,gardan
19,Kopf::N,galva,bosh
20,Rücken::N,nugara,orqa
21,Bauch::N,pilvas,qorin
22,Nabel::N,bamba,kindik
23,Busen::N,krūtinė,ämchak
24,Brust::N,krūtis,ko'krak
25,Schulter::N,petys,elka
26,Arm::N,ranka,bilak
27,Ellenbogen::N,alkūnė,tirsak
28,Hand::N,ranka,qo'l
29,Hand::N,plaštaka,qo'l
30,Handfläche::N,delnas,kaft
31,Handfläche::N,plaštaka,kaft
32,Finger::N,pirštas,barmoq
33,Fingernagel::N,nagas,tirnoq
34,Nagel[Anatomie]::N,nagas,tirnoq
35,Zeh::N,pirštas,oyoq barmog'i
36,Fuß::N,pėda,oyoq
37,Ferse::N,kulnas,tovon
38,Knie::N,kelis,tiz
39,Oberschenkel::N,kulšis,son
40,Oberschenkel::N,šlaunis,son
41,Bein::N,koja,oyoq
42,Körper::N,kūnas,badna
43,Haut::N,oda,teri
44,Blut::N,kraujas,qon
45,Ader::N,kraujagyslė,qon tomir
46,Sehne::N,sausgyslė,tomir
47,Knochen::N,kaulas,suyak
48,Gehirn::N,smegenys,miya
49,Herz::N,širdis,qalb
50,Magen::N,skrandis,oshqozon
51,Leber::N,kepenys,bag'ir
52,Atem::N,kvapas,dam
53,Hunger::N,badas,ochlik
54,Hunger::N,alkis,ochlik
55,Träne::N,ašara,yosh
56,Geschmack::N,skonis,tam
57,Geruch::N,kvapas,jid
58,Schlaf::N,miegas,uyqu
59,Traum::N,sapnas,tush
60,Himmel::N,dangus,osmon
61,Sonne::N,saulė,quyosh
62,Mond::N,mėnulis,oy
63,Stern::N,žvaigždė,yulduz
64,Luft::N,oras,havo
65,Wind::N,vėjas,el
66,Welle::N,banga,to'lqin
67,Welle::N,vilnis,to'lqin
68,Wasser::N,vanduo,suv
69,Stein::N,akmuo,tosh
70,Boden::N,žemė,tuproq
