,Concept_ID,kk,la
0,Auge::N,көз,oculus
1,Ohr::N,құлақ,auris
2,Nase::N,мұрын,nasus
3,Mund::N,ауыз,os
4,Zahn::N,тіс,dens
5,Zunge::N,тіл,lingua
6,Lippe::N,ерін,labrum
7,Wange::N,ұрт,gena
8,Gesicht::N,бет-аузы,vultus
9,Stirn::N,маңдай,frons
10,Haar::N,қыл,capillus
11,Schnurrbart::N,мұрт,barba labri superioris
12,Bart::N,сақал,barba
13,Kinn::N,иек,mentum
14,Kiefer[Anatomie]::N,жақ,mala
15,Kehle::N,алқым,iugulums
16,Hals::N,мойын,collum
17,Genick::N,желке,cervices
18,Kopf::N,кәллә,caput
19,Rücken::N,арқа,tergum
20,Bauch::N,қарын,venter
21,Nabel::N,кіндік,umbilicus
22,Busen::N,омырау,sinus
23,Brust::N,кеуде,pectus
24,Schulter::N,иық,umerus
25,Arm::N,қол,bracchium
26,Ellenbogen::N,шынтақ,cubitum
27,Hand::N,қол,manus
28,Handfläche::N,алақан,palma
29,Finger::N,саусақ,digitus
30,Fingernagel::N,тырнақ,unguiculus
31,Nagel[Anatomie]::N,тырнақ,unguis
32,Zeh::N,тырнақ,digitus
33,Zeh::N,тұяқ,digitus
34,Fuß::N,аяқ-басы,pes
35,Ferse::N,өкше,calx
36,Ferse::N,өкшелік,calx
37,Knie::N,тізе,genu
38,Oberschenkel::N,жамбас,femur
39,Bein::N,аяқ,crus
40,Körper::N,дене,corpus
41,Haut::N,тері,cutis
42,Haut::N,тері,pellis
43,Blut::N,қан,sanguis
44,Ader::N,көктамыр,vena
45,Ader::N,күретамыр,vena
46,Sehne::N,сіңір,nervus
47,Knochen::N,жілік,os
48,Gehirn::N,ми,cerebrum
49,Herz::N,жүрек,cor
50,Herz::N,жүрек,animus
51,Magen::N,асқазан,stomachus
52,Leber::N,бауыр,iecur
53,Atem::N,леп,spiritus
54,Hunger::N,ашаршылық,fames
55,Träne::N,жас,lacrima
56,Geschmack::N,дәм,sapor
57,Geschmack::N,дәм,gustus
58,Geschmack::N,татым,sapor
59,Geschmack::N,татым,gustus
60,Geschmack::N,талғам,sapor
61,Geschmack::N,талғам,gustus
62,Geruch::N,иіс,odor
63,Schlaf::N,ұйқы,somnus
64,Schlaf::N,ұйықтау,somnus
65,Traum::N,түс,somnium
66,Himmel::N,аспан,caelum
67,Himmel::N,көқ,caelum
68,Himmel::N,таңдай,caelum
69,Sonne::N,күн,sol
70,Mond::N,ай,luna
71,Stern::N,жұлдыз,sidus
72,Stern::N,жұлдыз,stella
73,Luft::N,әуе,aer
74,Wind::N,жел,ventus
75,Welle::N,толқын,unda
76,Wasser::N,су,aqua
77,Stein::N,тас,lapis
78,Boden::N,қыртыс,solum
79,Erde::N,топырақ,terra
80,Staub::N,шаң,pulvis
81,Rauch::N,түтін,fumus
82,Funke::N,ұшқын,scintilla
83,Feuer::N,алау,ignis
84,Licht::N,шұғыла,lux
85,Licht::N,шұғыла,lumen
86,Schatten::N,көлеңке,umbra
87,Wetter::N,ауа райы,caelum
88,Wetter::N,ауа райы,tempestas
89,Nebel::N,тұман,nebula
90,Wolke::N,бұлт,nubes
91,Regen::N,жаңбыр,imber
92,Regen::N,жаңбыр,pluvia
93,Schnee::N,қар,nix
94,Eis::N,мұз,glacies
95,Frost::N,суық,gelu
96,Kälte::N,ызғар,frigus
97,Kälte::N,суықтық,frigus
98,Hitze::N,аптап,calor
99,Hitze::N,аптап,aestus
100,Raureif::N,қырау,pruina
101,Regenbogen::N,кемпірқосақ,arcus
102,Donner::N,күн күркіреу,tonitrus
103,Strömung::N,ағын,fluctus
104,Tropfen::N,тамшы,gutta
105,Schaum::N,көбік,spuma
106,Schmutz::N,кір,sordes
107,Schmutz::N,кір,squalor
108,See::N,көл,lacus
109,Sumpf::N,саз,palus
110,Moor::N,саз,palus
111,Wiese::N,шалғын,pratum
112,Wald::N,орман,silva
113,Hügel::N,төбе,collis
114,Hügel::N,белес,collis
115,Hügel::N,белес-белес,collis
116,Anhöhe::N,дөң,specula
117,Anhöhe::N,адыр,specula
118,Anhöhe::N,қырат,specula
119,Berg::N,тау,mons
120,Gipfel::N,төбе,vertex
121,Höhle::N,үңгір,caverna
122,Höhle::N,үңгір,spelunca
123,Abhang::N,бауыр,declivum
124,Quelle::N,қайнар,fons
125,Bach::N,жылға,rivus
126,Fluss::N,өзен,flumen
127,Ufer::N,жиек,ripa
128,Küste::N,жиегі,litus
129,Küste::N,жағалау,litus
130,Festland::N,құрылық,continens
131,Meer::N,теңіз,mare
132,Bucht::N,шығанақ,sinus
133,Insel::N,арал,insula
134,Blume::N,гүл,flos
135,Gras::N,от,herba
136,Gras::N,от,gramen
137,Wurzel::N,түбір,radix
138,Baum::N,ағаш,arbor
139,Baum::N,дарақ,arbor
140,Stamm::N,сояу,truncus
141,Stamm::N,оқпан,truncus
142,Rinde::N,қабық,cortex
143,Ast::N,бұтақ,ramus
144,Zweig::N,шыбық,ramus
145,Blatt::N,жапырақ,folium
146,Birke::N,қайың,betulla
147,Kiefer[Baum]::N,қарағай,pinus
148,Weide[Baum]::N,тал,salix
149,Tanne::N,шырша,abies
150,Horn::N,мүйіз,cornu
151,Feder::N,қаламұш,penna
152,Fell::N,тері,pellis
153,Flügel::N,қанат,ala
154,Klaue::N,тырнақ,unguis
155,Kralle::N,аяқ,unguis
156,Schwanz::N,құйрық,cauda
157,Ei::N,жұмыртқа,ovum
158,Nest::N,ұя,nidus
159,Bau::N,жатақ,cavum
160,Bau::N,жатақ,latibulum
161,Tier::N,айуан,bestia
162,Tier::N,жануар,bestia
163,Herde::N,пада,grex
164,Kuh::N,сиыр,vacca
165,Bulle::N,өгіз,taurus
166,Pferd::N,жылқы,equus
167,Schaf::N,қой,ovis
168,Schwein::N,шошқа,sus
169,Schwein::N,шошқа,porcus
170,Hund::N,ит,canis
171,Katze::N,мысық,felis
172,Bär::N,аю,ursus
173,Eichhörnchen::N,тиін,sciurus
174,Elch::N,бұғы,alces
175,Fuchs::N,түлкі,vulpes
176,Hase::N,қоян,lepus
177,Maus::N,қаптесер,mus
178,Wolf::N,бөрі,lupus
179,Wolf::N,қасқыр,lupus
180,Vogel::N,құс,avis
181,Schwarm::N,топ,examen
182,Schwarm::N,үйір,examen
183,Huhn::N,тауық,gallina
184,Huhn::N,мекиен,gallina
185,Hahn::N,әтеш,gallus
186,Hahn::N,қораз,gallus
187,Gans::N,қаз,anser
188,Adler::N,бүркіт,aquila
189,Ente::N,үйрек,anas
190,Eule::N,жапалақ,ulula
191,Eule::N,жапалақ,noctua
192,Kranich::N,тырна,grus
193,Krähe::N,қарға,cornix
194,Kuckuck::N,көкек,cuculus
195,Schwan::N,аққу,olor
196,Schwan::N,аққу,cycnus
197,Fisch::N,балық,piscis
198,Barsch::N,алабұға,perca
199,Hecht::N,шортан,esox
200,Schlange[Tier]::N,жылан,serpens
201,Wurm::N,шұбалшаң,vermis
202,Spinne::N,өрмекші,aranea
203,Ameise::N,қүмырска,formica
204,Laus::N,бит,pediculus
