,Concept_ID,sl,kv
0,Auge::N,okó,син
1,Ohr::N,uhó,пель
2,Nase::N,nós,ныр
3,Mund::N,ústa,ӧм
4,Zahn::N,zób,пинь
5,Zunge::N,jêzik,кыв
6,Lippe::N,ústnica,тырп
7,Wange::N,líce,рожабан
8,Gesicht::N,oblíčje,бан
9,Stirn::N,čêlo,кымӧс
10,Haar::N,lás,юрси
11,Schnurrbart::N,bŕki,уссэз
12,Bart::N,bráda,тош
13,Kinn::N,bráda,тшӧка
14,Kiefer[Anatomie]::N,čeljúst,ан
15,Kehle::N,gŕlo,юан
16,Hals::N,vrát,юан
17,Genick::N,zatílnik,юр бӧр
18,Kopf::N,gláva,юр
19,Rücken::N,hrbèt,мышк
20,Bauch::N,trébuh,кынӧм
21,Nabel::N,pópek,гӧг
22,Busen::N,nédrja,морос
23,Brust::N,pŕsi,морос
24,Schulter::N,ráma,пельпон
25,Schulter::N,plêče,пельпон
26,Arm::N,rôka,ки
27,Ellenbogen::N,komólec,гырдзза
28,Hand::N,rôka,кикар
29,Handfläche::N,dlán,ки пыдӧс
30,Finger::N,pŕst,чунь
31,Fingernagel::N,nóht na rôki,гыж
32,Nagel[Anatomie]::N,nóht,гыж
33,Zeh::N,pŕst na nôgi,чунь
34,Fuß::N,nôga,кокпыдӧс
35,Ferse::N,pêta,кокдзир
36,Knie::N,koléno,пидзӧс
37,Oberschenkel::N,stêgno,лядьбей
38,Bein::N,nôga,кок
39,Körper::N,teló,вывтыр
40,Haut::N,kóža,кучик
41,Blut::N,krí,вир
42,Ader::N,žíla,сӧн
43,Sehne::N,kíta,жила
44,Knochen::N,kóst,коска
45,Gehirn::N,možgáni,вем
46,Herz::N,srcé,сьӧлӧм
47,Magen::N,želódec,жӧвдӧк
48,Leber::N,jétra,мус
49,Atem::N,díh,лолалӧм
50,Hunger::N,glád,тшыг
51,Träne::N,sólza,синва
52,Geschmack::N,okús,кӧр
53,Geruch::N,vónj,дук
54,Schlaf::N,sèn,он
55,Schlaf::N,spánec,он
56,Traum::N,sánje,вӧт
57,Himmel::N,nebó,небо
58,Sonne::N,sónce,шондi
59,Mond::N,lúna,тӧлiсь
60,Mond::N,mésec,тӧлiсь
61,Stern::N,zvézda,кӧдзыв
62,Luft::N,zràk,ру
63,Wind::N,véter,тӧв
64,Welle::N,vál,гы
65,Wasser::N,vôda,ва
66,Stein::N,kámen,из
67,Boden::N,tlà,му
68,Erde::N,pŕst,му
69,Erde::N,zêmlja,му
70,Staub::N,práh,бус
71,Rauch::N,dìm,тшын
72,Funke::N,ískra,бичир
73,Feuer::N,ôgenj,би
74,Licht::N,lúč,би
75,Schatten::N,sénca,вуджӧр
76,Wetter::N,vrême,погоддя
77,Nebel::N,meglà,туман
78,Wolke::N,oblák,кымӧр
79,Regen::N,dèž,зэр
80,Schnee::N,snég,лым
81,Eis::N,léd,йы
82,Frost::N,zmrzál,мороз
83,Kälte::N,mràz,кӧдзыт
84,Hitze::N,pripéka,ӧд
85,Raureif::N,ívje,кижа
86,Raureif::N,slána,кижа
87,Regenbogen::N,mávrica,енӧшка
88,Donner::N,gròm,гым
89,Strömung::N,strúja,визывтӧм
90,Tropfen::N,káplja,тёп
91,Schaum::N,péna,быг
92,Schmutz::N,nesnága,нять
93,See::N,jézero,ты
94,Sumpf::N,močvírje,арай
95,Moor::N,bárje,нюр
96,Wiese::N,trávnik,видз
97,Wald::N,lés,вӧр
98,Wald::N,gòzd,вӧр
99,Hügel::N,brég,мыльк
100,Hügel::N,goríca,мыльк
101,Anhöhe::N,gríč,вывтас
102,Anhöhe::N,gríč,вылынін
103,Anhöhe::N,višína,вывтас
104,Anhöhe::N,višína,вылынін
105,Berg::N,gôra,керӧс
106,Berg::N,planína,керӧс
107,Gipfel::N,vŕh,йыв
108,Höhle::N,jáma,нора
109,Höhle::N,votlína,нора
110,Abhang::N,pobóčje,покат
111,Quelle::N,izvír,больган
112,Bach::N,pôtok,шор
113,Fluss::N,réka,ю
114,Ufer::N,brég,берег
115,Küste::N,obála,берег
116,Küste::N,obréžje,берег
117,Festland::N,celína,му
118,Festland::N,kopnína,му
119,Meer::N,mórje,море
120,Bucht::N,zalív,курья
121,Insel::N,ôtok,
122,Blume::N,cvetlíca,цветок
123,Gras::N,tráva,турун
124,Wurzel::N,korenína,вуж
125,Baum::N,drevó,пу
126,Stamm::N,dêblo,мыр
127,Stamm::N,dêblo,кер
128,Rinde::N,lúbje,кач
129,Rinde::N,skórja,кач
130,Ast::N,véja,ув
131,Zweig::N,véja,ув
132,Blatt::N,líst,лист
133,Birke::N,bréza,кыдз
134,Kiefer[Baum]::N,bòr,пожум
135,Weide[Baum]::N,vŕba,бадь
136,Tanne::N,hója,кӧз
137,Horn::N,róg,сюр
138,Feder::N,peró,гӧн
139,Fell::N,kŕzno,кучик
140,Flügel::N,krílo,борд
141,Klaue::N,párkelj,гыж
142,Kralle::N,krémpelj,кабыр
143,Schwanz::N,rèp,бӧж
144,Ei::N,jájce,кольть
145,Nest::N,gnézdo,поз
146,Bau::N,brlòg,осьта
147,Bau::N,brlòg,нора
148,Tier::N,živál,зверь
149,Herde::N,čréda,гурт
150,Kuh::N,kráva,мӧс
151,Bulle::N,bìk,ӧшка
152,Pferd::N,kònj,вӧв
153,Schaf::N,ôvca,баля
154,Schwein::N,svínja,порсь
155,Hund::N,pès,пон
156,Katze::N,máčka,кань
157,Bär::N,mêdved,ош
158,Eichhörnchen::N,véverica,ур
159,Elch::N,lós,вӧр мӧс
160,Fuchs::N,lisíca,руч
161,Hase::N,zájec,кӧч
162,Maus::N,mìš,шыр
163,Wolf::N,vólk,кӧин
164,Vogel::N,ptìč,кай
165,Vogel::N,ptíca,кай
166,Schwarm::N,játa,стая
167,Schwarm::N,játa,чукӧр
168,Huhn::N,kokóš,курӧг
169,Hahn::N,petêlin,петух
170,Hahn::N,petêlin,ай курӧг
171,Gans::N,gós,дзодзог
172,Adler::N,ôrel,куч
173,Adler::N,ôrel,кутш
174,Ente::N,ráca,утка
175,Eule::N,sôva,тупка
176,Kranich::N,žerjàv,тури
177,Krähe::N,vrána,рака
178,Kuckuck::N,kúkavica,кӧк
179,Schwan::N,labód,юсь
180,Fisch::N,ríba,чери
181,Barsch::N,ostríž,ёкыш
182,Hecht::N,ščúka,сирпинь
183,Schlange[Tier]::N,káča,змей
184,Wurm::N,čr̀v,номыр
185,Wurm::N,glísta,номыр
186,Spinne::N,pájek,черань
187,Ameise::N,mrávlja,кӧдзывкар
188,Laus::N,úš,ляпа той
189,Mücke::N,komár,ном
190,Fliege::N,múha,гут
191,Schmetterling::N,metúlj,бабыв
192,Beere::N,jágoda,ягӧд
193,Apfel::N,jábolko,яблоко
194,Pilz::N,góba,тшак
195,Zwiebel::N,čebúla,грез
196,Saat::N,séme,кӧдзыс
197,Korn::N,zŕno,сю
198,Heu::N,senó,турун
199,Schale::N,lupína,кыш
200,Schale::N,lupína,киль
201,Grube::N,jáma,яма
202,Falle::N,pást,нальк
203,Falle::N,pást,кляпча
204,Schlinge::N,zánka,лӧч
205,Schlinge::N,pêtlja,лӧч
206,Spur::N,sléd,туй
207,Asche::N,pepél,пӧим
208,Dreck::N,bláto,нять
209,Eisen::N,želézo,кӧрт
210,Gold::N,zlató,зарни
211,Silber::N,srebró,язісь
212,Kohle::N,ógel,шом
213,Kohle::N,ógel,уголь
214,Glas::N,stêklo,стекло
215,Lehm::N,ílo,сёй
216,Sand::N,pések,лыа
217,Mensch::N,člôvek,морт
218,Mann::N,móž,мужик
219,Mann::N,môški,мужик
220,Frau::N,gospá,инька
221,Frau::N,žénska,инька
222,Kind::N,déte,кага
223,Kind::N,otròk,кага
224,Junge::N,fànt,зонка
225,Junge::N,déček,зонка
226,Mädchen::N,deklè,нывкаок
227,Mädchen::N,déklica,нывкаок
228,Familie::N,družína,семья
229,Großvater::N,dèd,дед
230,Großvater::N,dédek,дед
231,Großmutter::N,bábica,баб
232,Eltern::N,stárši,ай-мам
233,Vater::N,ôče,ай
234,Mutter::N,máma,мам
235,Sohn::N,sín,зон
236,Tochter::N,hčí,ныв
237,Tochter::N,hčérka,ныв
238,Bruder::N,bràt,вон
239,Schwester::N,sêstra,сой
240,Onkel::N,újec,дядь
241,Onkel::N,stríc,дядь
242,Tante::N,têta,айӧлӧн сой
243,Tante::N,têta,ичинь
244,Tante::N,strína,айӧлӧн сой
245,Tante::N,strína,ичинь
246,Ehemann::N,móž,жӧник
247,Ehemann::N,sopróg,жӧник
248,Ehefrau::N,žêna,инь
249,Ehefrau::N,sopróga,инь
250,Freude::N,rádost,гаж
251,Freude::N,rádost,радъялӧм
252,Freude::N,vesêlje,гаж
253,Freude::N,vesêlje,радъялӧм
254,Gelächter::N,sméh,сералӧм
255,Gelächter::N,grohòt,сералӧм
256,Glück::N,sréča,мичлун
257,Kummer::N,gorjé,шог
258,Wunsch::N,žêlja,мӧдӧм
259,Wunsch::N,žêlja,охотитӧм
260,Lust::N,poželênje,охота
261,Geist::N,dúša,лов
262,Gedanke::N,mísel,дума
263,Gedächtnis::N,pámet,тӧдвыв
264,Sinn::N,pomèn,ылӧс
265,Sinn::N,smísel,ылӧс
266,Grund::N,vzròk,мог
267,Wahrheit::N,resníca,правда
268,Gespräch::N,pogóvor,сёрни
269,Märchen::N,právljica,сказка
270,Erzählung::N,povést,висьт
271,Nachricht::N,sporočílo,юӧр
272,Nachricht::N,sporočílo,висьталӧм
273,Neuigkeit::N,novóst,новость
274,Name::N,imé,ним
275,Rätsel::N,ugánka,загадка
276,Rede::N,góvor,сёрни
277,Sprache::N,jêzik,кыв
278,Stimme::N,glás,голос
279,Wort::N,beséda,кыв
280,Zeichen::N,znák,пас
281,Ruf::N,klíc,чуксӧм
282,Ruf::N,klíc,чукӧстӧм
283,Lärm::N,hrúp,шум
284,Lärm::N,trúšč,шум
285,Laut::N,glás,шы
286,Ton::N,tón,гор
287,Lied::N,pésem,сьыланкыв
288,Ruhe::N,pokòj,спокой
289,Leute::N,ljudjé,йӧз
290,Volk::N,národ,йӧз
291,Volk::N,národ,народ
292,Arbeit::N,délo,удж
293,Gast::N,gòst,гӧсь
