,Concept_ID,sv,av
0,Auge::N,öga,
1,Ohr::N,öra,гӏин
2,Nase::N,näsa,мегӏер
3,Mund::N,mun,кӏал
4,Zahn::N,tand,гӏус
5,Zunge::N,tunga,мацӏ
6,Lippe::N,läpp,кӏветӏ
7,Wange::N,kind,гӏоно
8,Gesicht::N,syn,гьумер
9,Gesicht::N,ansikte,гьумер
10,Stirn::N,panna,нодо
11,Haar::N,hår,рас
12,Schnurrbart::N,mustasch,михъ
13,Bart::N,skägg,мегеж
14,Kinn::N,haka,нилъу
15,Kiefer[Anatomie]::N,käke,чанагъ
16,Kehle::N,strupe,щекъер
17,Hals::N,hals,габур
18,Genick::N,nacke,гъванща
19,Kopf::N,huvud,бетӏер
20,Rücken::N,rygg,мугъ
21,Bauch::N,buk,чехь
22,Bauch::N,mage,чехь
23,Nabel::N,navel,цӏину
24,Busen::N,barm,керен
25,Brust::N,bröst,керен
26,Schulter::N,skuldra,гъажазубетӏер
27,Arm::N,arm,гъеж
28,Ellenbogen::N,armbåge,гӏункӏрукь
29,Hand::N,hand,квер
30,Handfläche::N,handflata,огъохъат
31,Handfläche::N,handflata,жанисахъат
32,Finger::N,finger,килищ
33,Fingernagel::N,fingernagel,малъ
34,Nagel[Anatomie]::N,nagel,малъ
35,Zeh::N,tå,килищ
36,Fuß::N,fot,хӏетӏ
37,Fuß::N,fot,хӏетӏе
38,Ferse::N,häl,эгъе
39,Knie::N,knä,наку
40,Oberschenkel::N,lår,мачӏ
41,Bein::N,ben,бох
42,Körper::N,kropp,къаркъала
43,Haut::N,hud,тӏом
44,Haut::N,skinn,тӏом
45,Blut::N,blod,би
46,Ader::N,åder,бидурихь
47,Sehne::N,sena,
48,Knochen::N,ben,ракьа
49,Gehirn::N,hjärna,гӏадалнах
50,Herz::N,hjärta,ракӏ
51,Magen::N,mage,кванирукъ
52,Leber::N,lever,тӏул
53,Atem::N,anda,хӏухь
54,Atem::N,andedräkt,хӏухь
55,Hunger::N,svält,ракъи
56,Hunger::N,hunger,ракъи
57,Träne::N,tår,магӏу
58,Geschmack::N,smak,тату
59,Geruch::N,lukt,махӏ
60,Schlaf::N,sömn,макьу
61,Traum::N,dröm,макьу
62,Himmel::N,himmel,зоб
63,Sonne::N,sol,бакъ
64,Mond::N,måne,моцӏ
65,Stern::N,stjärna,цӏва
66,Luft::N,luft,гьава
67,Wind::N,vind,гьури
68,Welle::N,våg,карачел
69,Welle::N,bölja,карачел
70,Wasser::N,vatten,лъим
71,Stein::N,sten,гьецӏо
72,Boden::N,mark,ракь
73,Erde::N,jord,ракь
74,Erde::N,jord,дуниял
75,Staub::N,damm,хӏур
76,Rauch::N,rök,кӏкӏуй
77,Funke::N,gnista,
