,Concept_ID,eu,ka
0,Auge::N,begi,თვალი
1,Ohr::N,belarri,ყური
2,Nase::N,sudur,ცხვირი
3,Mund::N,aho,პირი
4,Zahn::N,hortz,კბილი
5,Zunge::N,mihi,ენა
6,Lippe::N,ezpain,ბაგე
7,Wange::N,masail,ლოყა
8,Gesicht::N,aurpegi,სახე
9,Stirn::N,bekoki,შუბლი
10,Haar::N,ile,თმა
11,Haar::N,bilo,თმა
12,Schnurrbart::N,bibote,ულვაში
13,Schnurrbart::N,sudurpeko,ულვაში
14,Bart::N,bizar,წვერი
15,Kinn::N,kokots,ნიკაპი
16,Kiefer[Anatomie]::N,masailezur,ყბა
17,Kehle::N,eztarri,ყელი
18,Hals::N,sama,ყელი
19,Hals::N,sama,კისერი
20,Genick::N,garondo,კეფა
21,Kopf::N,buru,თავი
22,Rücken::N,bizkar,ზურგი
23,Bauch::N,sabel,მუცელი
24,Nabel::N,zilbor,ჭიპი
25,Busen::N,titi,ძუძუ
26,Busen::N,ugatz,ძუძუ
27,Brust::N,bular,მკერდი
28,Schulter::N,besaburu,მხარი
29,Schulter::N,besaburu,მკლავი
30,Arm::N,beso,ხელი
31,Ellenbogen::N,ukondo,იდაყვი
32,Hand::N,esku,ხელი
33,Handfläche::N,ahur,ნები
34,Handfläche::N,ahur,ხელისგული
35,Finger::N,hatz,თითი
36,Fingernagel::N,azazkal,ფრჩხილი
37,Nagel[Anatomie]::N,azazkal,ფრჩხილი
38,Zeh::N,behatz,ფეხის თითი
39,Fuß::N,oin,ტერფი
40,Fuß::N,oin,ფეხისგული
41,Ferse::N,orpo,ქუსლი
42,Ferse::N,oinburu,ქუსლი
43,Knie::N,belaun,მუხლი
44,Oberschenkel::N,izter,ბარძაყი
45,Bein::N,zango,ფეხი
46,Körper::N,soin,ტანი
47,Körper::N,soin,სხეული
48,Haut::N,azal,კანი
49,Blut::N,odol,სისხლი
50,Ader::N,zain,ძარღვი
51,Sehne::N,gihar-zain,მყესი
52,Knochen::N,hezur,ძვალი
53,Gehirn::N,garun,ტვინი
54,Gehirn::N,burmuin,ტვინი
55,Herz::N,bihotz,გული
56,Magen::N,urdail,კუჭი
57,Leber::N,gibel,ღვიძლი
58,Atem::N,hats,სუნთქვა
59,Atem::N,arnasa,სუნთქვა
60,Hunger::N,gose,შიმშილი
61,Träne::N,malko,ცრემლი
62,Geschmack::N,dasta,გემო
63,Geruch::N,usain,სუნი
64,Schlaf::N,lo,ძილი
65,Traum::N,amets,სიზმარი
66,Himmel::N,zeru,ცა
67,Sonne::N,eguzki,მზე
68,Mond::N,ilargi,მთვარე
69,Stern::N,izar,ვარსკვლავი
70,Luft::N,aire,ჰაერი
71,Wind::N,haize,ქარი
72,Welle::N,uhin,ტალღა
73,Welle::N,olatu,ტალღა
74,Wasser::N,ur,წყალი
75,Stein::N,harri,ქვა
76,Boden::N,lur,მიწა
77,Boden::N,zoru,მიწა
78,Erde::N,lur,ნიადაგი
79,Staub::N,hauts,მტვერი
80,Rauch::N,ke,ბოლი
81,Rauch::N,ke,კვამლი
82,Funke::N,zirta,ნაკვესი
83,Funke::N,txinparta,ნაკვესი
84,Feuer::N,su,ცეცხლი
85,Licht::N,argi,შუქი
86,Licht::N,argi,სინათლე
87,Schatten::N,itzal,ლანდი
88,Schatten::N,itzal,ჩრდილი
89,Schatten::N,geriza,ლანდი
90,Schatten::N,geriza,ჩრდილი
91,Wetter::N,eguraldi,ამინდი
92,Nebel::N,laino,ნისლი
93,Wolke::N,hodei,ღრუბელი
94,Regen::N,euri,წვიმა
95,Schnee::N,elur,თოვლი
96,Eis::N,horma,თოში
97,Eis::N,horma,ყინული
98,Frost::N,izotzaldi,ყინვა
99,Kälte::N,hotz,სიცივე
100,Hitze::N,bero,სიცხე
101,Raureif::N,antzigar,ჭირხლი
102,Raureif::N,antzigar,თრთვილი
103,Regenbogen::N,ostadar,ცისარტყელა
104,Regenbogen::N,ortzadar,ცისარტყელა
105,Donner::N,ostots,ქუხილი
106,Donner::N,ihurtzuri,ქუხილი
107,Strömung::N,laster,დინება
108,Tropfen::N,xorta,წვეთი
109,Schaum::N,bits,ქაფი
110,Schaum::N,bits,დორბლი
111,Schmutz::N,lohi,ჭუჭყი
112,Schmutz::N,lohi,ტალახი
113,Schmutz::N,zikin,ჭუჭყი
114,Schmutz::N,zikin,ტალახი
115,See::N,laku,ტბა
116,See::N,aintzira,ტბა
117,Sumpf::N,zingira,ჭაობი
118,Moor::N,zohikaztegi,ტორფნარი
119,Wiese::N,larre,ველი
120,Wiese::N,larre,მდელო
121,Wiese::N,belardi,ველი
122,Wiese::N,belardi,მდელო
123,Wald::N,baso,ტყე
124,Wald::N,oihan,ტყე
125,Hügel::N,muino,ბორცვი
126,Hügel::N,pentoka,ბორცვი
127,Anhöhe::N,garai,მაღლობი
128,Anhöhe::N,goragune,მაღლობი
129,Berg::N,mendi,მთა
130,Gipfel::N,gain,მწვერვალი
131,Gipfel::N,tontor,მწვერვალი
132,Höhle::N,kobazulo,მღვიმე
133,Höhle::N,kobazulo,გამოქვებული
134,Abhang::N,aldapa,ფერდობი
135,Quelle::N,iturri,წყარო
136,Quelle::N,iturri,სათავე
137,Quelle::N,iturbegi,წყარო
138,Quelle::N,iturbegi,სათავე
139,Bach::N,lats,რუ
140,Bach::N,lats,ნაკადული
141,Bach::N,erreka,რუ
142,Bach::N,erreka,ნაკადული
143,Fluss::N,ibai,მდინარე
144,Fluss::N,uhaitz,მდინარე
