,Concept_ID,no,hy
0,Auge::N,øye,աչք
1,Ohr::N,øre,ականջ
2,Nase::N,nese,քիթ
3,Mund::N,munn,բերան
4,Zahn::N,tann,ատամ
5,Zunge::N,tunge,լեզու
6,Lippe::N,leppe,շրթունք
7,Wange::N,kinn,այտ
8,Wange::N,kinn,թուշ
9,Gesicht::N,fjes,դեմք
10,Gesicht::N,ansikt,դեմք
11,Stirn::N,panne,ճակատ
12,Haar::N,hår,մազ
13,Schnurrbart::N,bart,բեղ
14,Bart::N,skjegg,մորուք
15,Kinn::N,hake,կզակ
16,Kiefer[Anatomie]::N,kjeve,ծնոտ
17,Kehle::N,strupe,կոկորդ
18,Hals::N,hals,վիզ
19,Hals::N,hals,պարանոց
20,Genick::N,nakke,ծոծրակ
21,Kopf::N,hode,գլուխ
22,Rücken::N,rygg,մեջք
23,Bauch::N,buk,փոր
24,Bauch::N,buk,որովայն
25,Bauch::N,mage,փոր
26,Bauch::N,mage,որովայն
27,Nabel::N,navle,պորտ
28,Busen::N,barm,ծոց
29,Brust::N,bryst,կուրծք
30,Schulter::N,skulder,ուս
31,Arm::N,arm,թեւ
32,Arm::N,arm,բազուկ
33,Ellenbogen::N,albue,արմունկ
34,Hand::N,hånd,ձեռք
35,Handfläche::N,håndflate,ափ
36,Finger::N,finger,մատ
37,Fingernagel::N,fingernegl,եղունգ
38,Nagel[Anatomie]::N,negl,եղունգ
39,Zeh::N,tå,ոտքի մատ
40,Fuß::N,fot,ոտք
41,Ferse::N,hæl,գարշապար
42,Knie::N,kne,ծունկ
43,Oberschenkel::N,lår,ազդր
44,Bein::N,bein,ոտք
45,Körper::N,kropp,մարմին
46,Körper::N,legeme,մարմին
47,Haut::N,hud,մաշկ
48,Haut::N,skinn,մաշկ
49,Blut::N,blod,արյուն
50,Ader::N,åre,երակ
51,Sehne::N,sene,ջիղ
52,Sehne::N,sene,ձգտան
53,Knochen::N,bein,ոսկոր
54,Knochen::N,knokkel,ոսկոր
55,Gehirn::N,hjerne,խելք
56,Herz::N,hjerte,սիրտ
57,Magen::N,mage,ստամոքս
58,Leber::N,lever,լյարդ
59,Atem::N,pust,շունչ
60,Hunger::N,sult,քաղց
61,Träne::N,tåre,արտասուք
62,Geschmack::N,smak,համ
63,Geschmack::N,smak,բուրմունք
64,Geruch::N,lukt,հոտ
65,Geruch::N,lukt,բուրում
66,Schlaf::N,søvn,քուն
67,Traum::N,drøm,երազ
68,Himmel::N,himmel,երկինք
69,Sonne::N,sol,արեւ
70,Mond::N,måne,լուսին
71,Stern::N,stjerne,աստղ
72,Luft::N,luft,օդ
73,Wind::N,vind,քամի
74,Welle::N,bølge,ալիք
75,Wasser::N,vann,ջուր
76,Stein::N,stein,քար
77,Boden::N,bakke,գետին
78,Erde::N,jord,հող
79,Staub::N,støv,փոշի
80,Rauch::N,røyk,ծուխ
81,Funke::N,gnist,կայծ
82,Feuer::N,ild,կրակ
83,Feuer::N,ild,հրդեհ
84,Licht::N,lys,լույս
85,Schatten::N,skygge,ստվեր
86,Wetter::N,vær,եղանակ
87,Nebel::N,tåke,մեգ
88,Nebel::N,tåke,մառախուղ
89,Wolke::N,sky,ամպ
90,Regen::N,regn,անձրև
91,Schnee::N,snø,ձյուն
92,Eis::N,is,սառույց
93,Frost::N,frost,սառնամանիք
94,Kälte::N,kulde,դող
95,Hitze::N,hete,շոգ
96,Raureif::N,rimfrost,ցօղեղեամ
97,Regenbogen::N,regnbue,ծիածան
98,Donner::N,torden,որոտ
99,Strömung::N,strømning,հոսանք
100,Tropfen::N,dråpe,կաթիլ
101,Schaum::N,skum,փրփուր
102,Schmutz::N,søl,կեղտ
103,Schmutz::N,skitt,կեղտ
104,See::N,sjø,լիճ
105,Sumpf::N,sump,ճահիճ
106,Sumpf::N,myrlende,ճահիճ
107,Moor::N,myr,ճահիճ
108,Moor::N,myrhei,ճահիճ
109,Wiese::N,eng,մարգագետին
110,Wald::N,skog,անտառ
111,Hügel::N,haug,բլուր
112,Hügel::N,bakke,բլուր
113,Anhöhe::N,haug,բարձունք
114,Anhöhe::N,bakke,բարձունք
115,Berg::N,berg,լեռ
116,Berg::N,fjell,լեռ
117,Gipfel::N,topp,գագաթ
118,Gipfel::N,topp,կատար
119,Höhle::N,hule,քարայր
120,Abhang::N,li,լանջ
121,Abhang::N,li,զառիվայր
122,Abhang::N,skråning,լանջ
123,Abhang::N,skråning,զառիվայր
124,Quelle::N,kilde,աղբյուր
125,Bach::N,bekk,վտակ
126,Fluss::N,elv,գետ
127,Ufer::N,bredd,ծովափ
128,Küste::N,kyst,ափ
129,Küste::N,kyst,ծովափ
130,Festland::N,fastland,ցամաք
131,Meer::N,hav,ծով
132,Bucht::N,bukt,հաչիւն
133,Insel::N,øy,վղզի
134,Blume::N,blomst,ծաղիկ
135,Gras::N,gress,խոտ
136,Wurzel::N,rot,արմատ
137,Baum::N,tre,ծառ
138,Stamm::N,stamme,իրան
139,Rinde::N,bark,կեղեւ
140,Rinde::N,bark,հաչոց
141,Ast::N,gren,ճյուղ
142,Zweig::N,kvist,ճյուղ
143,Blatt::N,blad,տերեւ
144,Birke::N,bjørk,ցարասի
145,Kiefer[Baum]::N,furu,սոճի
146,Weide[Baum]::N,selje,ուռենի
