,Concept_ID,tr,ca
0,Auge::N,göz,ull
1,Ohr::N,kulak,orella
2,Nase::N,burun,nas
3,Mund::N,ağız,boca
4,Zahn::N,diş,dent
5,Zunge::N,dil,llēngua
6,Lippe::N,dudak,llavi
7,Wange::N,yanak,galta
8,Gesicht::N,yüz,cara
9,Stirn::N,alın,front
10,Haar::N,saç,cabēll
11,Schnurrbart::N,bıyık,bigoti
12,Bart::N,sakal,barba
13,Kinn::N,çene,mentó
14,Kinn::N,çene,barbeta
15,Kiefer[Anatomie]::N,çene,queix
16,Kiefer[Anatomie]::N,çene,mandíbula
17,Kehle::N,boğaz,gola
18,Kehle::N,boğaz,gorja
19,Hals::N,boyun,coll
20,Hals::N,gerdan,coll
21,Genick::N,ense,nuca
22,Kopf::N,baş,cap
23,Kopf::N,kafa,cap
24,Rücken::N,arka,esquena
25,Bauch::N,karın,panxa
26,Nabel::N,göbek,llombrígol
27,Busen::N,koyun,pit
28,Busen::N,koyun,mama
29,Brust::N,göğüs,pit
30,Schulter::N,omuz,espatlla
31,Arm::N,kol,braç
32,Ellenbogen::N,dirsek,colze
33,Hand::N,el,mà
34,Handfläche::N,avuç,palma
35,Handfläche::N,el ayası,palma
36,Finger::N,parmak,dit
37,Fingernagel::N,el tırnağı,ungla
38,Nagel[Anatomie]::N,tırnak,ungla
39,Zeh::N,ayak parmağı,dit del peu
40,Fuß::N,ayak,peu
41,Ferse::N,topuk,taló
42,Knie::N,diz,genoll
43,Oberschenkel::N,uyluk,cuixa
44,Bein::N,bacak,cama
45,Körper::N,vücut,cos
46,Haut::N,cilt,pell
47,Blut::N,kan,sang
48,Ader::N,damar,vena
49,Sehne::N,kiriş,tendó
50,Knochen::N,kemik,os
51,Gehirn::N,beyin,cervell
52,Herz::N,kalp,cor
53,Herz::N,yürek,cor
54,Magen::N,mide,estómac
55,Leber::N,karaciğer,fetge
56,Atem::N,nefes,alè
57,Atem::N,nefes,hàlit
58,Hunger::N,açlık,fam
59,Hunger::N,açlık,gana
60,Träne::N,gözyaşı,llàgrima
61,Geschmack::N,tat,gust
62,Geschmack::N,tat,sabor
63,Geschmack::N,lezzet,gust
64,Geschmack::N,lezzet,sabor
