,Concept_ID,az,mrj
0,Auge::N,göz,сӹнзӓ
1,Ohr::N,qulaq,пӹлӹш
2,Nase::N,burun,нер
3,Mund::N,ağız,ышма
4,Zahn::N,diş,пӱ
5,Zunge::N,dil,йӹлмӹ
6,Lippe::N,dodaq,тӹрвӹ
7,Wange::N,yanaq,шӹргӹ
8,Gesicht::N,üz,лицӓ
9,Stirn::N,alın,лепкӓ
10,Haar::N,saç,ӱп
11,Schnurrbart::N,bığ,öрш
12,Bart::N,saqqal,пандаш
13,Kinn::N,çənə,онгылаш
14,Kiefer[Anatomie]::N,çənə,пӱ арата
15,Kehle::N,boğaz,логер
16,Hals::N,boyun,шӱ
17,Genick::N,ənsə,ланга
18,Kopf::N,baş,вуй
19,Rücken::N,bel,туп
20,Bauch::N,qarın,мӹшкӹр
21,Nabel::N,göbək,кӹлӹмдӹ
22,Busen::N,məmə,цӹзӹ
23,Brust::N,döş,мел
24,Schulter::N,çiyin,ӹнгӹжӓ
25,Arm::N,qol,кид
26,Ellenbogen::N,dirsək,кӹнервуй
27,Hand::N,əl,лапа
28,Handfläche::N,ovuc,кид лапа
29,Finger::N,barmaq,парня
30,Fingernagel::N,barmaq dırnağı,кӹч
31,Nagel[Anatomie]::N,dırnak,кӹч
32,Zeh::N,ayaq barmağı,парня
33,Fuß::N,ayaq,ял лапа
34,Ferse::N,daban,ялгавал
35,Ferse::N,daban,ял кавал
36,Knie::N,diz,пылвуй
37,Oberschenkel::N,bud,ӓрдӹ
38,Bein::N,qıç,ял
39,Körper::N,əndam,монгыр
40,Haut::N,dəri,кавашты
41,Blut::N,qan,вӹр
42,Ader::N,damar,вӹршӓр
43,Sehne::N,vətər,кукшышӱн
44,Knochen::N,sümük,лу
45,Gehirn::N,beyin,вим
46,Herz::N,ürək,шӱм
47,Magen::N,mədə,шӱм
48,Leber::N,qara ciyər,мокш
49,Atem::N,nəfəs,шӱлӹш
50,Hunger::N,aclıq,шужымаш
51,Träne::N,göz yaşı,сӹнзӓвӹд
52,Geschmack::N,tam,тот
53,Geschmack::N,ləzzət,тот
54,Geruch::N,qoxu,пыш
55,Schlaf::N,yuxu,ом
56,Traum::N,röya,ом
57,Himmel::N,göy,пӹлгом
58,Himmel::N,səma,пӹлгом
59,Sonne::N,günəş,кечӹ
60,Mond::N,ay,тӹлзӹ
61,Stern::N,ulduz,шӹдӹр
62,Luft::N,hava,юж
63,Luft::N,hava,воздух
64,Wind::N,yel,мардеж
65,Wind::N,külək,мардеж
66,Welle::N,dalğa,ко
67,Welle::N,dalğa,коэ
68,Wasser::N,su,вӹд
69,Stein::N,daş,кӱ
70,Boden::N,yer,рок
71,Boden::N,zəmin,рок
72,Erde::N,yer torpaq,свет
73,Staub::N,toz,пырак
74,Rauch::N,tüstü,шӹкш
75,Funke::N,qığılcım,ип
76,Funke::N,qığılcım,тылип
77,Feuer::N,od,тыл
78,Licht::N,işıq,соты
79,Licht::N,işıq,валгыды
80,Schatten::N,kölgə,ӹмӹл
81,Wetter::N,hava,игечӹ
82,Nebel::N,duman,тӹтӹрӓ
83,Wolke::N,bulud,пӹл
84,Regen::N,yağış,юр
85,Regen::N,yağmur,юр
86,Schnee::N,qar,лым
87,Eis::N,buz,и
88,Frost::N,ayaz,ӱштӹ
89,Kälte::N,soyuq,ӱштӹ
90,Hitze::N,coşğunluq,шокшы
91,Raureif::N,qırov,пöрш
92,Regenbogen::N,göy qurşağı,шанавӹл
