,Concept_ID,fa,nl
0,Auge::N,چشم,oog
1,Ohr::N,گوش,oor
2,Nase::N,بینی,neus
3,Mund::N,دهان,mond
4,Zahn::N,دندان,tand
5,Zunge::N,زبان,tong
6,Lippe::N,لب,lip
7,Wange::N,لپ,wang
8,Gesicht::N,رو,gelaat
9,Gesicht::N,رو,gezicht
10,Gesicht::N,چهره,gelaat
11,Gesicht::N,چهره,gezicht
12,Stirn::N,پیشانی,voorhoofd
13,Haar::N,مو,haar
14,Schnurrbart::N,سبیل,snor
15,Bart::N,ریش,baard
16,Kinn::N,چانه,kin
17,Kiefer[Anatomie]::N,فک,kaak
18,Kiefer[Anatomie]::N,آرواره,kaak
19,Kehle::N,حلق,keel
20,Kehle::N,حلق,strot
21,Hals::N,گردن,hals
22,Genick::N,پشت گردن,nek
23,Kopf::N,سر,hoofd
24,Kopf::N,کله,hoofd
25,Rücken::N,پشت,rug
26,Bauch::N,شکم,buik
27,Nabel::N,ناف,navel
28,Busen::N,پستان,boezem
29,Brust::N,سینه,borst
30,Schulter::N,دوش,schouder
31,Schulter::N,شانه,schouder
32,Arm::N,بازو,arm
33,Ellenbogen::N,آرنج,elleboog
34,Hand::N,دست,hand
35,Handfläche::N,کف دست,handpalm
36,Finger::N,انگشت,vinger
37,Fingernagel::N,ناخن دست,nagel
38,Nagel[Anatomie]::N,ناخن,nagel
39,Zeh::N,انگشت پا,teen
40,Fuß::N,پا,voet
41,Ferse::N,پاشنه,hak
42,Ferse::N,پاشنه,hiel
43,Knie::N,زانو,knie
44,Oberschenkel::N,ران,dij
45,Bein::N,پا,been
46,Bein::N,لنگ,been
47,Körper::N,تن,lichaam
48,Körper::N,بدن,lichaam
49,Haut::N,پوست,huid
50,Blut::N,خون,bloed
51,Ader::N,رگ,ader
52,Sehne::N,زردپی,pees
53,Knochen::N,استخوان,bot
54,Knochen::N,استخوان,been
55,Knochen::N,استخوان,knook
56,Gehirn::N,مخ,hersenen
57,Gehirn::N,مغز,hersenen
58,Herz::N,دل,hart
59,Herz::N,قلب,hart
60,Magen::N,معده,maag
61,Leber::N,کبد,lever
62,Atem::N,نفس,adem
63,Hunger::N,گرسنگی,honger
64,Träne::N,اشک,traan
65,Geschmack::N,مزه,smaak
66,Geruch::N,بو,geur
67,Schlaf::N,خواب,slaap
68,Traum::N,رؤیا,droom
69,Himmel::N,فلک,hemel
70,Himmel::N,آسمان,hemel
71,Sonne::N,آفتاب,zon
72,Sonne::N,خورشید,zon
73,Mond::N,ماه,maan
74,Stern::N,ستاره,ster
75,Luft::N,هوا,lucht
76,Wind::N,باد,wind
77,Welle::N,موج,golf
78,Wasser::N,آب,water
79,Stein::N,سنگ,steen
80,Boden::N,زمین,grond
81,Erde::N,خاک,aarde
82,Erde::N,زمین,aarde
83,Staub::N,گرد,stof
84,Staub::N,غبار,stof
85,Rauch::N,دود,rook
86,Funke::N,جرقه,vonk
87,Feuer::N,آتش,vuur
88,Licht::N,نور,licht
89,Licht::N,روشنی,licht
90,Schatten::N,سایه,schaduw
91,Wetter::N,هوا,weer
92,Nebel::N,مه,mist
93,Nebel::N,مه,nevel
94,Wolke::N,ابر,wolk
95,Regen::N,باران,regen
96,Schnee::N,برف,sneeuw
97,Eis::N,یخ,ijs
98,Frost::N,یخبندان,vorst
99,Kälte::N,سرما,kou
100,Kälte::N,سرما,koude
101,Hitze::N,گرما,hitte
102,Hitze::N,حرارت,hitte
103,Raureif::N,برف ریزه,rijp
104,Regenbogen::N,رنگین‌کمان,regenboog
105,Donner::N,رعد,donder
106,Strömung::N,جریان,stroming
107,Tropfen::N,قطره,druppel
108,Schaum::N,کف,schuim
109,Schmutz::N,گل,vuil
110,Schmutz::N,کثافت,vuil
111,See::N,دریاچه,meer
112,Sumpf::N,مرداب,moeras
113,Sumpf::N,باتلاق,moeras
114,Moor::N,باتلاق,veen
115,Wiese::N,چمن,wei
116,Wiese::N,چمن,weide
117,Wald::N,جنگل,bos
118,Hügel::N,تل,heuvel
119,Hügel::N,تپه,heuvel
120,Anhöhe::N,بلندی,hoogte
121,Berg::N,کوه,berg
122,Gipfel::N,قله,top
123,Höhle::N,غار,hol
124,Abhang::N,سرازیری,helling
125,Quelle::N,چشمه,bron
126,Bach::N,نهر,beek
127,Fluss::N,رود,stroom
128,Ufer::N,ساحل,wal
129,Ufer::N,ساحل,oever
130,Ufer::N,کرانه,wal
131,Ufer::N,کرانه,oever
132,Küste::N,ساحل,kust
133,Festland::N,خشکی,vasteland
134,Meer::N,دریا,zee
135,Bucht::N,خلیج,baai
136,Bucht::N,خلیج,inham
137,Insel::N,جزیره,eiland
138,Blume::N,گل,bloem
139,Gras::N,علف,gras
140,Wurzel::N,ریشه,wortel
141,Baum::N,درخت,boom
142,Stamm::N,تنه,stam
143,Rinde::N,توژ,schors
144,Rinde::N,پوست,schors
145,Ast::N,شاخه,tak
146,Zweig::N,شاخه,twijg
147,Blatt::N,برگ,blad
148,Birke::N,غان,berk
149,Kiefer[Baum]::N,کاج,den
150,Weide[Baum]::N,بید,wilg
151,Tanne::N,صنوبر,spar
152,Horn::N,شاخ,hoorn
153,Feder::N,پر,veer
154,Feder::N,پر,pluim
155,Fell::N,خز,vel
156,Flügel::N,پر,vleugel
157,Flügel::N,بال,vleugel
158,Klaue::N,چنگ,klauw
159,Klaue::N,پنجه,klauw
160,Kralle::N,پنجه,klauw
161,Schwanz::N,دم,staart
162,Ei::N,تخم,ei
163,Nest::N,لانه,nest
164,Bau::N,بنا,hol
165,Bau::N,ساختمان,hol
166,Tier::N,هیوان,dier
167,Herde::N,رمه,kudde
168,Kuh::N,گاو,koe
169,Bulle::N,گاو نر,stier
170,Pferd::N,اسب,paard
171,Schaf::N,گوسفند,schaap
172,Schwein::N,خوک,varken
173,Hund::N,سگ,hond
174,Katze::N,گربه,kat
175,Bär::N,خرس,beer
176,Eichhörnchen::N,سنجاب,eekhoorntje
177,Elch::N,گوزن شمالی,eland
178,Fuchs::N,روباه,vos
179,Hase::N,خرگوش,haas
180,Maus::N,موش,muis
181,Wolf::N,گرگ,wolf
182,Vogel::N,پرنده,vogel
183,Schwarm::N,دسته,zwerm
184,Huhn::N,مرغ,kip
185,Huhn::N,مرغ,hoen
186,Hahn::N,خروس,haan
187,Gans::N,غاز,gans
188,Adler::N,عقاب,arend
189,Ente::N,اردک,eend
