,Concept_ID,ro,fa
0,Auge::N,ochi,چشم
1,Ohr::N,ureche,گوش
2,Nase::N,nas,بینی
3,Mund::N,gură,دهان
4,Zahn::N,dinte,دندان
5,Zunge::N,limbă,زبان
6,Lippe::N,buză,لب
7,Wange::N,bucă,لپ
8,Wange::N,obraz,لپ
9,Gesicht::N,față,رو
10,Gesicht::N,față,چهره
11,Gesicht::N,figură,رو
12,Gesicht::N,figură,چهره
13,Stirn::N,frunte,پیشانی
14,Haar::N,păr,مو
15,Schnurrbart::N,mustață,سبیل
16,Bart::N,barbă,ریش
17,Kinn::N,bărbie,چانه
18,Kiefer[Anatomie]::N,falcă,فک
19,Kiefer[Anatomie]::N,falcă,آرواره
20,Kehle::N,beregată,حلق
21,Hals::N,gât,گردن
22,Genick::N,ceafă,پشت گردن
23,Kopf::N,cap,سر
24,Kopf::N,cap,کله
25,Rücken::N,dos,پشت
26,Rücken::N,spate,پشت
27,Rücken::N,spinare,پشت
28,Bauch::N,burtă,شکم
29,Bauch::N,pântece,شکم
30,Nabel::N,buric,ناف
31,Busen::N,sân,پستان
32,Brust::N,piept,سینه
33,Schulter::N,umăr,دوش
34,Schulter::N,umăr,شانه
35,Schulter::N,spate,دوش
36,Schulter::N,spate,شانه
37,Arm::N,braț,بازو
38,Ellenbogen::N,cot,آرنج
39,Hand::N,mână,دست
40,Handfläche::N,palmă,کف دست
41,Finger::N,deget,انگشت
42,Fingernagel::N,unghie,ناخن دست
43,Nagel[Anatomie]::N,unghie,ناخن
44,Zeh::N,deget de la picior,انگشت پا
45,Fuß::N,picior,پا
46,Ferse::N,călcâi,پاشنه
47,Knie::N,genunchi,زانو
48,Oberschenkel::N,coapsă,ران
49,Bein::N,picior,پا
50,Bein::N,picior,لنگ
51,Körper::N,corp,تن
52,Körper::N,corp,بدن
53,Haut::N,piele,پوست
54,Blut::N,sânge,خون
55,Ader::N,vână,رگ
56,Ader::N,arteră,رگ
57,Sehne::N,tendon,زردپی
58,Knochen::N,os,استخوان
59,Gehirn::N,creier,مخ
60,Gehirn::N,creier,مغز
61,Herz::N,inimă,دل
62,Herz::N,inimă,قلب
63,Magen::N,stomac,معده
64,Leber::N,ficat,کبد
65,Atem::N,răsuflare,نفس
66,Atem::N,respirație,نفس
67,Hunger::N,foame,گرسنگی
68,Träne::N,lacrimă,اشک
69,Geschmack::N,gust,مزه
70,Geruch::N,miros,بو
71,Schlaf::N,somn,خواب
72,Traum::N,vis,رؤیا
73,Himmel::N,cer,فلک
74,Himmel::N,cer,آسمان
75,Sonne::N,soare,آفتاب
76,Sonne::N,soare,خورشید
77,Mond::N,lună,ماه
78,Stern::N,stea,ستاره
79,Luft::N,aer,هوا
80,Wind::N,vânt,باد
81,Welle::N,val,موج
82,Welle::N,undă,موج
83,Wasser::N,apă,آب
84,Stein::N,piatră,سنگ
85,Boden::N,sol,زمین
86,Boden::N,pământ,زمین
87,Erde::N,pământ,خاک
88,Erde::N,pământ,زمین
89,Staub::N,praf,گرد
90,Staub::N,praf,غبار
91,Rauch::N,fum,دود
92,Funke::N,scânteie,جرقه
93,Feuer::N,foc,آتش
94,Licht::N,lumină,نور
95,Licht::N,lumină,روشنی
96,Schatten::N,umbră,سایه
97,Wetter::N,timp,هوا
98,Wetter::N,vreme,هوا
99,Nebel::N,ceață,مه
100,Nebel::N,negură,مه
101,Wolke::N,nor,ابر
102,Regen::N,ploaie,باران
103,Schnee::N,zăpadă,برف
104,Eis::N,gheață,یخ
105,Frost::N,ger,یخبندان
106,Kälte::N,frig,سرما
107,Hitze::N,arșiță,گرما
108,Hitze::N,arșiță,حرارت
109,Hitze::N,căldură,گرما
110,Hitze::N,căldură,حرارت
111,Raureif::N,chiciură,برف ریزه
112,Regenbogen::N,curcubeu,رنگین‌کمان
113,Donner::N,tunet,رعد
114,Strömung::N,curent,جریان
115,Tropfen::N,picătură,قطره
116,Schaum::N,spumă,کف
117,Schmutz::N,murdărie,گل
118,Schmutz::N,murdărie,کثافت
119,See::N,lac,دریاچه
120,Sumpf::N,mlaștină,مرداب
121,Sumpf::N,mlaștină,باتلاق
122,Moor::N,bărăgan,باتلاق
123,Wiese::N,fânaț,چمن
124,Wiese::N,livadă,چمن
125,Wald::N,codru,جنگل
126,Wald::N,pădure,جنگل
127,Hügel::N,deal,تل
128,Hügel::N,deal,تپه
129,Hügel::N,movilă,تل
130,Hügel::N,movilă,تپه
131,Anhöhe::N,deal,بلندی
132,Anhöhe::N,ridicătură,بلندی
133,Berg::N,munte,کوه
134,Gipfel::N,pisc,قله
135,Höhle::N,peșteră,غار
136,Abhang::N,pantă,سرازیری
137,Abhang::N,versant,سرازیری
138,Quelle::N,izvor,چشمه
139,Bach::N,gârlă,نهر
140,Fluss::N,râu,رود
141,Fluss::N,fluviu,رود
142,Ufer::N,mal,ساحل
143,Ufer::N,mal,کرانه
144,Ufer::N,țărm,ساحل
145,Ufer::N,țărm,کرانه
146,Küste::N,coastă,ساحل
147,Festland::N,uscat,خشکی
148,Meer::N,mare,دریا
149,Bucht::N,golf,خلیج
150,Insel::N,insulă,جزیره
151,Blume::N,floare,گل
152,Gras::N,iarbă,علف
153,Wurzel::N,rădăcină,ریشه
154,Baum::N,copac,درخت
155,Baum::N,arbore,درخت
156,Stamm::N,tulpină,تنه
157,Rinde::N,scoarță,توژ
158,Rinde::N,scoarță,پوست
159,Ast::N,cracă,شاخه
160,Ast::N,creangă,شاخه
161,Zweig::N,ramură,شاخه
162,Zweig::N,creangă,شاخه
163,Blatt::N,frunză,برگ
164,Birke::N,mesteacăn,غان
165,Kiefer[Baum]::N,pin,کاج
166,Weide[Baum]::N,salcie,بید
167,Weide[Baum]::N,răchită,بید
168,Tanne::N,brad,صنوبر
169,Horn::N,corn,شاخ
170,Feder::N,pană,پر
171,Fell::N,piele,خز
172,Flügel::N,aripă,پر
173,Flügel::N,aripă,بال
174,Klaue::N,gheară,چنگ
175,Klaue::N,gheară,پنجه
176,Kralle::N,labă,پنجه
177,Kralle::N,gheară,پنجه
178,Schwanz::N,coadă,دم
179,Ei::N,ou,تخم
180,Nest::N,cuib,لانه
181,Bau::N,bârlog,بنا
182,Bau::N,bârlog,ساختمان
183,Bau::N,vizuină,بنا
184,Bau::N,vizuină,ساختمان
185,Tier::N,animal,هیوان
186,Herde::N,turmă,رمه
187,Herde::N,cireadă,رمه
188,Kuh::N,vacă,گاو
189,Bulle::N,taur,گاو نر
190,Pferd::N,cal,اسب
191,Schaf::N,oaie,گوسفند
192,Schwein::N,porc,خوک
193,Hund::N,câine,سگ
194,Katze::N,pisică,گربه
195,Bär::N,urs,خرس
196,Eichhörnchen::N,veveriță,سنجاب
197,Elch::N,elan,گوزن شمالی
198,Fuchs::N,vulpe,روباه
199,Hase::N,iepure,خرگوش
200,Maus::N,șoarece,موش
201,Wolf::N,lup,گرگ
202,Vogel::N,pasăre,پرنده
203,Schwarm::N,cârd,دسته
204,Huhn::N,găină,مرغ
205,Hahn::N,cocoș,خروس
206,Gans::N,gâscă,غاز
207,Adler::N,vultur,عقاب
208,Ente::N,rață,اردک
209,Ente::N,rață,مرغابی
210,Eule::N,bufniță,جغد
211,Kranich::N,cocor,درنا
212,Krähe::N,cioară,زاغ
213,Krähe::N,cioară,کلاغ
214,Kuckuck::N,cuc,فاخته
215,Schwan::N,lebădă,قو
216,Fisch::N,pește,ماهی
217,Barsch::N,biban,ماهی خاردار
218,Hecht::N,știucă,اردک ماهی
219,Schlange[Tier]::N,șarpe,مار
220,Wurm::N,vierme,کرم
221,Spinne::N,păianjen,عنکبوت
222,Ameise::N,furnică,مورچه
223,Laus::N,păduche,شپش
224,Mücke::N,țânțar,پشه
225,Fliege::N,muscă,مگس
226,Schmetterling::N,fluture,پروانه
227,Beere::N,boabă,گیله
228,Apfel::N,măr,سیب
229,Pilz::N,burete,قارچ
230,Pilz::N,ciupercă,قارچ
231,Zwiebel::N,ceapă,پیاز
232,Saat::N,semănătură,بذر
233,Korn::N,grâu,تخم
234,Korn::N,grâu,دانه
235,Heu::N,fân,علف خشک
236,Schale::N,coajă,پوست
237,Grube::N,groapă,گودال
238,Falle::N,cursă,دام
239,Falle::N,capcană,دام
240,Schlinge::N,laț,حلقه
241,Spur::N,dâră,رد
242,Asche::N,cenușă,خاکستر
243,Dreck::N,noroi,کثافت
244,Dreck::N,murdărie,کثافت
245,Eisen::N,fier,آهن
246,Gold::N,aur,زر
247,Gold::N,aur,طلا
248,Silber::N,argint,نقره
249,Kohle::N,cărbune,زغال
250,Glas::N,sticlă,شیشه
251,Lehm::N,lut,گل
252,Lehm::N,humă,گل
253,Sand::N,nisip,شن
254,Sand::N,nisip,ماسه
255,Mensch::N,om,آدم
256,Mensch::N,om,انسان
257,Mensch::N,persoană,آدم
258,Mensch::N,persoană,انسان
259,Mann::N,om,مرد
260,Mann::N,bărbat,مرد
261,Frau::N,femeie,زن
262,Kind::N,copil,بچه
263,Kind::N,copil,کودک
264,Junge::N,băiat,پسر
265,Junge::N,flăcău,پسر
266,Mädchen::N,fată,دختر
267,Familie::N,familie,فامیل
268,Familie::N,familie,خانواده
269,Großvater::N,bunic,پدربزرگ
270,Großvater::N,tată mare,پدربزرگ
271,Großmutter::N,bunică,مادر‌بزرگ
272,Großmutter::N,mamă mare,مادر‌بزرگ
273,Eltern::N,părinți,والدین
274,Eltern::N,părinți,پدر‌و‌مادر
275,Vater::N,tată,پدر
276,Vater::N,părinte,پدر
277,Mutter::N,mamă,مادر
278,Sohn::N,fiu,پسر
279,Sohn::N,fecior,پسر
280,Tochter::N,fiică,دختر
281,Bruder::N,frate,برادر
282,Schwester::N,soră,خواهر
283,Onkel::N,unchi,عمو
284,Onkel::N,unchi,دایی
285,Tante::N,mătușă,عمه
286,Tante::N,mătușă,خاله
287,Ehemann::N,soț,همسر
288,Ehemann::N,bărbat,همسر
289,Ehefrau::N,soție,همسر
290,Freude::N,bucurie,شادی
291,Gelächter::N,râset,خنده
292,Gelächter::N,râset,قاه‌قاه
293,Glück::N,fericire,اقبال
294,Kummer::N,mâhnire,غم
295,Kummer::N,mâhnire,غصه
296,Wunsch::N,dorință,آرزو
297,Wunsch::N,deziderat,آرزو
298,Lust::N,poftă,هوس
299,Lust::N,înclinare,هوس
300,Geist::N,duh,روح
301,Geist::N,minte,روح
302,Geist::N,suflet,روح
303,Gedanke::N,gând,فکر
304,Gedanke::N,cuget,فکر
305,Gedächtnis::N,memorie,حافظه
306,Verstand::N,minte,هوش
307,Verstand::N,intelect,هوش
308,Sinn::N,sens,معنا
309,Sinn::N,sens,مفهوم
310,Sinn::N,înțeles,معنا
311,Sinn::N,înțeles,مفهوم
312,Grund::N,cauză,سبب
313,Grund::N,cauză,دلیل
314,Grund::N,pricină,سبب
315,Grund::N,pricină,دلیل
316,Wahrheit::N,adevăr,حقیقت
317,Gespräch::N,convorbire,صحبت
318,Gespräch::N,convorbire,گفتگو
319,Gespräch::N,conversație,صحبت
320,Gespräch::N,conversație,گفتگو
321,Märchen::N,basm,قصه
322,Märchen::N,basm,افسانه
323,Märchen::N,poveste,قصه
324,Märchen::N,poveste,افسانه
325,Erzählung::N,poveste,داستان
326,Nachricht::N,veste,خبر
327,Neuigkeit::N,noutate,خبر تازه
328,Neuigkeit::N,actualitate,خبر تازه
329,Name::N,nume,اسم
330,Rätsel::N,ghicitoare,معما
331,Rede::N,discurs,سخن
332,Sprache::N,limbă,زبان
333,Sprache::N,limbaj,زبان
334,Stimme::N,glas,صدا
335,Wort::N,cuvânt,کلمه
336,Zeichen::N,semn,نشان
337,Zeichen::N,semn,علامت
338,Zeichen::N,semnal,نشان
339,Zeichen::N,semnal,علامت
340,Ruf::N,chemare,صدا
341,Lärm::N,zgomot,هیاهو
342,Lärm::N,tărăboi,هیاهو
343,Laut::N,sunet,صدا
344,Ton::N,ton,آهنگ
345,Lied::N,cântec,آواز
346,Lied::N,cântec,ترانه
347,Ruhe::N,odihnă,آرامش
348,Ruhe::N,liniște,آرامش
349,Leute::N,lume,مردم
350,Leute::N,oameni,مردم
351,Volk::N,popor,خلق
352,Volk::N,națiune,خلق
353,Arbeit::N,lucru,کار
354,Gast::N,musafir,مهمان
355,Geschenk::N,dar,هدیه
356,Geschenk::N,cadou,هدیه
357,Spiel::N,joc,بازی
358,Gesellschaft::N,societate,جمعیت
359,Hilfe::N,ajutor,کمک
360,Freund::N,amic,دوست
361,Freund::N,prieten,دوست
362,Kamerad::N,tovarăș,رفیق
363,Angelegenheit::N,afacere,امر
364,Angelegenheit::N,afacere,قضیه
365,Anzahl::N,număr,عده
366,Anzahl::N,număr,شمار
367,Anzahl::N,cantitate,عده
368,Anzahl::N,cantitate,شمار
369,Art::N,fel,نوع
370,Art::N,specie,نوع
371,Stück::N,bucată,تکه
372,Stück::N,bucată,قطعه
373,Teil::N,parte,بخش
374,Teil::N,parte,قسمت
375,Teil::N,porție,بخش
376,Teil::N,porție,قسمت
377,Hälfte::N,jumătate,نیم
378,Kreis::N,cerc,حلقه
379,Kreis::N,cerc,دایره
380,Kreuz::N,cruce,صلیب
381,Linie::N,linie,خط
382,Linie::N,linie,سطر
383,Strich::N,linie,خط
384,Strich::N,trăsătură,خط
385,Abstand::N,distanță,فاصله
386,Abstand::N,depărtare,فاصله
387,Entfernung::N,distanță,مسافت
388,Entfernung::N,depărtare,مسافت
389,Gegend::N,regiune,منطقه
390,Platz::N,loc,گنجایش
391,Ort::N,loc,جا
392,Ort::N,loc,محل
393,Ort::N,loc,مکان
394,Seite::N,latură,طرف
395,Mitte::N,centru,وسط
396,Mitte::N,centru,میان
397,Gegenstand::N,obiect,چیز
398,Sache::N,lucru,چیز
399,Sache::N,chestie,چیز
400,Rand::N,bordură,کنار
401,Rand::N,bordură,حاشیه
402,Kante::N,muchie,لبه
403,Kante::N,bordură,لبه
404,Ecke::N,colț,گوشه
405,Spitze::N,vârf,سر
406,Spitze::N,vârf,نوک
407,Spitze::N,creștet,سر
408,Spitze::N,creștet,نوک
409,Ende::N,capăt,ته
410,Ende::N,capăt,آخر
411,Loch::N,gaură,سوراخ
412,Winkel::N,colț,کنج
413,Muster::N,desen,نقش
414,Größe::N,mărime,قد
415,Größe::N,mărime,بزرگی
416,Länge::N,lungime,طول
417,Höhe::N,înălțime,بلندی
418,Gewicht::N,greutate,وزن
419,Menge::N,cantitate,مقدار
420,Menge::N,cantitate,اندازه
421,Haufen::N,grămadă,توده
422,Reihe::N,șir,ردیف
423,Reihe::N,rând,ردیف
424,Boot::N,barcă,قایق
425,Boot::N,luntre,قایق
426,Ruder::N,vâslă,پارو
427,Ruder::N,lopată,پارو
428,Schlitten::N,sanie,سورتمه
429,Ski::N,schi,اسکی
430,Lagerfeuer::N,foc de tabără,آتش
431,Last::N,povară,بار
432,Last::N,povară,سنگینی
433,Last::N,sarcină,بار
434,Last::N,sarcină,سنگینی
435,Gang::N,mers,راه رفتن
436,Gang::N,umblet,راه رفتن
437,Schritt::N,pas,قدم
438,Norden::N,nord,شمال
439,Norden::N,miazănoapte,شمال
440,Süden::N,sud,جنوب
441,Süden::N,miazăzi,جنوب
442,Westen::N,apus,غرب
443,Osten::N,est,شرق
444,Osten::N,răsărit,شرق
445,Holz::N,lemn,چوب
446,Brett::N,scândură,تخته
447,Platte::N,placă,صفحه
448,Stütze::N,proptea,تکیه
449,Stange::N,bară,میله
450,Stange::N,prăjină,میله
451,Stock::N,băț,چوب
452,Stock::N,baston,چوب
453,Stab::N,baston,عصا
454,Stab::N,prăjină,عصا
455,Rohr::N,tub,لوله
456,Rohr::N,țeavă,لوله
457,Haus::N,casă,منزل
458,Heim::N,casă,خانه
459,Heim::N,casă,کاشانه
460,Heim::N,cămin,خانه
461,Heim::N,cămin,کاشانه
462,Ofen::N,sobă,بخاری
463,Fußboden::N,podea,کف اتاق
464,Fußboden::N,dușumea,کف اتاق
465,Tisch::N,masă,میز
466,Stuhl::N,scaun,صندلی
467,Wiege::N,leagăn,گهواره
468,Bett::N,pat,تختخواب
469,Regal::N,rafturi,قفسه
470,Kiste::N,ladă,صندوق
471,Kiste::N,cutie,صندوق
472,Fenster::N,fereastră,پنجره
473,Tür::N,ușă,در
474,Tür::N,ușă,درب
475,Tor::N,poartă,دروازه
476,Zaun::N,gard,حصار
477,Dach::N,acoperiș,بام
478,Leiter::N,scară,نردبان
479,Besen::N,mătură,جارو
480,Spaten::N,cazma,بیل
481,Spaten::N,hârleț,بیل
482,Schaufel::N,lopată,بیل
483,Schaufel::N,lopată,پارو
484,Gabel::N,furculiță,چنگال
485,Löffel::N,lingură,قاشق
486,Messer::N,cuțit,کارد
487,Nagel::N,cui,میخ
488,Netz::N,plasă,تور
489,Netz::N,plasă,شبکه
