,Concept_ID,ml,fa
0,Auge::N,കണ്ണ്,چشم
1,Ohr::N,ചെവി,گوش
2,Nase::N,മൂക്ക്,بینی
3,Mund::N,വായ,دهان
4,Zahn::N,പല്ല്,دندان
5,Zunge::N,നാക്ക്,زبان
6,Lippe::N,ചുണ്ട്,لب
7,Wange::N,കവിൾത്തടം,لپ
8,Gesicht::N,മുഖം,رو
9,Gesicht::N,മുഖം,چهره
10,Stirn::N,നെറ്റി,پیشانی
11,Haar::N,തലമുടി,مو
12,Schnurrbart::N,മീശ,سبیل
13,Bart::N,താടിരോമം,ریش
14,Kinn::N,താടി,چانه
15,Kiefer[Anatomie]::N,താടിയെല്ല്,فک
16,Kiefer[Anatomie]::N,താടിയെല്ല്,آرواره
17,Kehle::N,കണ്ഠനാളം,حلق
18,Hals::N,കഴുത്ത്,گردن
19,Genick::N,പിടലി,پشت گردن
20,Kopf::N,തല,سر
21,Kopf::N,തല,کله
22,Rücken::N,മുതുക്,پشت
23,Bauch::N,നയറ്,شکم
24,Nabel::N,നാഭി,ناف
25,Busen::N,സ്തനം,پستان
26,Brust::N,സ്തനം,سینه
27,Schulter::N,തോൾ,دوش
28,Schulter::N,തോൾ,شانه
29,Arm::N,കൈ,بازو
30,Ellenbogen::N,കൈമുട്ട്,آرنج
31,Hand::N,കൈ,دست
32,Handfläche::N,ഉള്ളം കൈ,کف دست
33,Finger::N,വിരൽ,انگشت
34,Fingernagel::N,നഖം,ناخن دست
35,Nagel[Anatomie]::N,നഖം,ناخن
36,Zeh::N,കാൽവിരൽ,انگشت پا
37,Fuß::N,കാൽപ്പാദം,پا
38,Ferse::N,ഉപ്പൂറ്റി,پاشنه
39,Knie::N,കാൽമുട്ട്,زانو
40,Oberschenkel::N,തുട,ران
41,Bein::N,കാൽ,پا
42,Bein::N,കാൽ,لنگ
43,Körper::N,ശരീരം,تن
44,Körper::N,ശരീരം,بدن
45,Haut::N,ചർമ്മം,پوست
46,Blut::N,രക്തം,خون
47,Ader::N,ഞരമ്പ്,رگ
48,Sehne::N,സ്നായു,زردپی
49,Knochen::N,അസ്ഥി,استخوان
50,Gehirn::N,തലച്ചോറ്,مخ
51,Gehirn::N,തലച്ചോറ്,مغز
52,Herz::N,ഹൃദയം,دل
53,Herz::N,ഹൃദയം,قلب
54,Magen::N,വയർ,معده
55,Leber::N,കരൾ,کبد
56,Atem::N,ശ്വാസം,نفس
57,Hunger::N,വിശപ്പ്,گرسنگی
58,Träne::N,കണ്ണീർ,اشک
59,Geschmack::N,രുചി,مزه
60,Geruch::N,ഗന്ധം,بو
61,Schlaf::N,ഉറകും,خواب
62,Traum::N,സ്വപ്നം,رؤیا
63,Himmel::N,ആകാശം,فلک
64,Himmel::N,ആകാശം,آسمان
65,Sonne::N,സൂര്യൻ,آفتاب
66,Sonne::N,സൂര്യൻ,خورشید
67,Mond::N,ചന്ദ്രൻ,ماه
68,Stern::N,നക്ഷത്രം,ستاره
69,Luft::N,കാറ്റ്,هوا
70,Wind::N,കാറ്റ്,باد
71,Welle::N,തിരമാല,موج
72,Wasser::N,വെള്ളം,آب
73,Stein::N,ശില,سنگ
74,Stein::N,കല്ല്,سنگ
75,Boden::N,തറ,زمین
76,Boden::N,നിലം,زمین
77,Erde::N,മണ്ണ്,خاک
78,Erde::N,മണ്ണ്,زمین
79,Staub::N,പൊടി,گرد
80,Staub::N,പൊടി,غبار
81,Rauch::N,പുക,دود
82,Funke::N,തീപ്പൊരി,جرقه
83,Feuer::N,തീ,آتش
84,Licht::N,വിളക്ക്,نور
85,Licht::N,വിളക്ക്,روشنی
86,Licht::N,സൂര്യപ്രകാശം,نور
87,Licht::N,സൂര്യപ്രകാശം,روشنی
88,Schatten::N,തണൽ,سایه
89,Wetter::N,കാലാവസ്ഥ,هوا
90,Nebel::N,മൂടൽമഞ്ഞ്,مه
91,Wolke::N,മേഘം,ابر
92,Regen::N,മഴ,باران
93,Schnee::N,മഞ്ഞ്,برف
94,Eis::N,ഐസ്,یخ
95,Frost::N,മൂടൽമഞ്ഞ്,یخبندان
96,Kälte::N,തണുപ്പ്,سرما
97,Hitze::N,ചൂട്,گرما
98,Hitze::N,ചൂട്,حرارت
99,Raureif::N,കോടമഞ്ഞ്,برف ریزه
100,Regenbogen::N,മഴവില്ല്,رنگین‌کمان
101,Donner::N,ഇടി,رعد
102,Strömung::N,പ്രവാഹം,جریان
103,Tropfen::N,തുള്ളി,قطره
104,Schaum::N,നുര,کف
105,Schmutz::N,അഴുക്ക്,گل
106,Schmutz::N,അഴുക്ക്,کثافت
107,See::N,തടാകം,دریاچه
108,Sumpf::N,ചതുപ്പുനിലം,مرداب
109,Sumpf::N,ചതുപ്പുനിലം,باتلاق
110,Moor::N,പാഴ്നിലം,باتلاق
111,Wiese::N,പുൽത്തകിടി,چمن
112,Wald::N,വനം,جنگل
113,Wald::N,കാട്,جنگل
114,Hügel::N,കുന്ന്,تل
115,Hügel::N,കുന്ന്,تپه
116,Anhöhe::N,ഉയർന്ന ഭൂമി,بلندی
117,Berg::N,പർവ്വതം,کوه
118,Gipfel::N,ഉച്ചകോടി,قله
119,Höhle::N,ഗുഹ,غار
120,Abhang::N,ചരിവ്,سرازیری
121,Quelle::N,ഉറവിടം,چشمه
122,Bach::N,അരുവി,نهر
123,Fluss::N,നദി,رود
124,Ufer::N,തീരം,ساحل
125,Ufer::N,തീരം,کرانه
126,Küste::N,കടൽത്തീരം,ساحل
127,Festland::N,കര,خشکی
128,Meer::N,കടൽ,دریا
129,Bucht::N,ഉൾക്കടല്,خلیج
130,Insel::N,ദ്വീപ്,جزیره
131,Blume::N,പൂവ്,گل
132,Gras::N,പുല്ല്,علف
133,Wurzel::N,വേര്,ریشه
134,Baum::N,മരം,درخت
135,Stamm::N,തായ്ത്തടി,تنه
136,Rinde::N,പട്ട,توژ
137,Rinde::N,പട്ട,پوست
138,Ast::N,ശാഖ,شاخه
139,Zweig::N,ശാഖ,شاخه
140,Blatt::N,ഇല,برگ
141,Birke::N,പൂവരശ്,غان
142,Kiefer[Baum]::N,പൈൻമരം,کاج
143,Weide[Baum]::N,വില്ലോ,بید
144,Tanne::N,ദേവദാരു,صنوبر
145,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,شاخ
146,Feder::N,തൂവൽ,پر
147,Fell::N,മൃദുരോമം,خز
148,Flügel::N,ചിറക്,پر
149,Flügel::N,ചിറക്,بال
150,Klaue::N,നഖം,چنگ
151,Klaue::N,നഖം,پنجه
152,Kralle::N,നഖം,پنجه
153,Schwanz::N,വാൽ,دم
154,Ei::N,മുട്ട,تخم
155,Nest::N,കൂട്,لانه
156,Bau::N,മാളം,بنا
157,Bau::N,മാളം,ساختمان
158,Tier::N,മൃഗം,هیوان
159,Herde::N,കൂട്ടം,رمه
160,Kuh::N,പശു,گاو
161,Bulle::N,കാള,گاو نر
162,Pferd::N,കുതിര,اسب
163,Schaf::N,ആട്,گوسفند
164,Schwein::N,പന്നി,خوک
165,Hund::N,നായ്,سگ
166,Katze::N,പൂച്ച,گربه
167,Bär::N,കരടി,خرس
168,Eichhörnchen::N,അണ്ണാൻ,سنجاب
169,Elch::N,കടമാന്,گوزن شمالی
170,Fuchs::N,കുറുക്കൻ,روباه
171,Hase::N,മുയൽ,خرگوش
172,Maus::N,ചുണ്ടലി,موش
173,Wolf::N,ചെന്നായ,گرگ
174,Vogel::N,പക്ഷി,پرنده
175,Schwarm::N,കൂട്ടം,دسته
176,Huhn::N,കോഴി,مرغ
177,Hahn::N,പൂവൻകോഴി,خروس
178,Gans::N,അരയന്നം,غاز
179,Adler::N,കഴുകൻ,عقاب
180,Ente::N,താറാവ്,اردک
181,Ente::N,താറാവ്,مرغابی
182,Eule::N,മൂങ്ങ,جغد
183,Kranich::N,കൊക്ക്,درنا
184,Krähe::N,കാക്ക,زاغ
185,Krähe::N,കാക്ക,کلاغ
186,Kuckuck::N,കുയിൽ,فاخته
187,Schwan::N,അരയന്നം,قو
188,Fisch::N,മത്സ്യം,ماهی
189,Barsch::N,ഒരിനം മത്സ്യം,ماهی خاردار
190,Hecht::N,ഒരു മത്സ്യം,اردک ماهی
191,Schlange[Tier]::N,പാമ്പ്,مار
192,Wurm::N,വിര,کرم
193,Spinne::N,ചിലന്തി,عنکبوت
194,Ameise::N,ഉറുമ്പ്,مورچه
195,Laus::N,പേന്,شپش
196,Mücke::N,മശകം,پشه
197,Fliege::N,ഈച്ച,مگس
198,Schmetterling::N,ചിത്രശലഭം,پروانه
199,Beere::N,ബെറി,گیله
200,Apfel::N,ആപ്പിൾ,سیب
201,Pilz::N,കൂൺ,قارچ
202,Zwiebel::N,സവാള,پیاز
203,Saat::N,വിത്ത്,بذر
204,Korn::N,ധാന്യം,تخم
205,Korn::N,ധാന്യം,دانه
206,Heu::N,വയ്ക്കോൽ,علف خشک
207,Schale::N,തൊലി,پوست
208,Grube::N,കുഴി,گودال
209,Falle::N,കെണി,دام
210,Schlinge::N,കുടുക്ക്,حلقه
211,Spur::N,ചുവട്,رد
212,Asche::N,ചാരം,خاکستر
213,Dreck::N,അഴുക്ക്,کثافت
214,Eisen::N,ഇരുമ്പ്,آهن
215,Gold::N,സ്വർണ്ണം,زر
216,Gold::N,സ്വർണ്ണം,طلا
217,Silber::N,വെള്ളി,نقره
218,Kohle::N,കൽക്കരി,زغال
219,Glas::N,ഗ്ലാസ്,شیشه
220,Lehm::N,കളിമണ്ണ്,گل
221,Sand::N,മണൽ,شن
222,Sand::N,മണൽ,ماسه
223,Mensch::N,മനുഷ്യർ,آدم
224,Mensch::N,മനുഷ്യർ,انسان
225,Mann::N,പുരുഷൻ,مرد
226,Frau::N,സ്ത്രീ,زن
227,Kind::N,കുഞ്ഞ്,بچه
228,Kind::N,കുഞ്ഞ്,کودک
229,Junge::N,ആൺകുട്ടി,پسر
230,Mädchen::N,പെൺകുട്ടി,دختر
231,Familie::N,കുടുംബം,فامیل
232,Familie::N,കുടുംബം,خانواده
233,Großvater::N,അപ്പൂപ്പൻ,پدربزرگ
234,Großmutter::N,അമ്മുമ്മ,مادر‌بزرگ
235,Eltern::N,മാതാപിതാക്കള്,والدین
236,Eltern::N,മാതാപിതാക്കള്,پدر‌و‌مادر
237,Vater::N,അച്ഛൻ,پدر
238,Mutter::N,അമ്മ,مادر
239,Sohn::N,മകൻ,پسر
240,Tochter::N,മകൾ,دختر
241,Bruder::N,ചേട്ടൻ,برادر
242,Bruder::N,അനിയൻ,برادر
243,Schwester::N,ചേച്ചി,خواهر
244,Schwester::N,അനിയത്തി,خواهر
245,Onkel::N,അമ്മാവൻ,عمو
246,Onkel::N,അമ്മാവൻ,دایی
247,Tante::N,മാമി,عمه
248,Tante::N,മാമി,خاله
249,Ehemann::N,ഭർത്താവ്,همسر
250,Ehefrau::N,ഭാര്യ,همسر
251,Freude::N,ആഹ്ലാദം,شادی
252,Gelächter::N,ചിരിയുടെ ശബ്ദം,خنده
253,Gelächter::N,ചിരിയുടെ ശബ്ദം,قاه‌قاه
254,Glück::N,സന്തോഷം,اقبال
255,Glück::N,സന്തുഷ്ടി,اقبال
256,Kummer::N,ശോകം,غم
257,Kummer::N,ശോകം,غصه
258,Wunsch::N,ആഗ്രഹം,آرزو
259,Lust::N,ആഗ്രഹം,هوس
260,Geist::N,ചുറുചുറുക്ക്,روح
261,Gedanke::N,ചിന്ത,فکر
262,Gedächtnis::N,ഓർമ്മശക്തി,حافظه
263,Verstand::N,മനസ്സ്,هوش
264,Sinn::N,അർത്ഥം,معنا
265,Sinn::N,അർത്ഥം,مفهوم
266,Grund::N,കാരണം,سبب
267,Grund::N,കാരണം,دلیل
268,Wahrheit::N,സത്യം,حقیقت
269,Gespräch::N,സല്ലാപം,صحبت
270,Gespräch::N,സല്ലാപം,گفتگو
271,Märchen::N,യക്ഷിക്കഥ,قصه
272,Märchen::N,യക്ഷിക്കഥ,افسانه
273,Erzählung::N,കഥ,داستان
274,Nachricht::N,സന്ദേശം,خبر
275,Neuigkeit::N,വാർത്ത,خبر تازه
276,Name::N,പേര്,اسم
277,Rätsel::N,പ്രഹേളിക,معما
278,Rede::N,സംസാരം,سخن
279,Sprache::N,ഭാഷ,زبان
