,Concept_ID,bg,udm
0,Auge::N,око,син
1,Ohr::N,ухо,пель
2,Nase::N,нос,ныр
3,Mund::N,уста,ым
4,Zahn::N,зъб,пинь
5,Zunge::N,език,кыл
6,Lippe::N,устна,ымдур
7,Wange::N,буза,бам
8,Gesicht::N,лице,ымныр
9,Gesicht::N,образ,ымныр
10,Stirn::N,чело,кымес
11,Haar::N,коса,йырси
12,Haar::N,косъм,йырси
13,Schnurrbart::N,мустаци,мыйык
14,Bart::N,брада,туш
15,Kinn::N,брада,ангес
16,Kinn::N,брадичка,ангес
17,Kiefer[Anatomie]::N,челюст,ан
18,Kiefer[Anatomie]::N,челюст,анлы
19,Kehle::N,гърло,гульым
20,Hals::N,врат,чырты
21,Genick::N,тил,йырбер
22,Kopf::N,глава,йыр
23,Rücken::N,гръб,мыш
24,Bauch::N,корем,кӧт
25,Nabel::N,пъп,гогы
26,Busen::N,бозка,ноны
27,Brust::N,гръд,мӧля
28,Schulter::N,рамо,пельпум
29,Schulter::N,плещи,пельпум
30,Arm::N,ръка,суй
31,Ellenbogen::N,лакът,гырпум
32,Hand::N,ръка,ки
33,Hand::N,китка,ки
34,Handfläche::N,длан,ки пыдэс
35,Handfläche::N,длан,кырым пыдэс
36,Finger::N,пръст,чиньы
37,Fingernagel::N,нокът,гижы
38,Fingernagel::N,нокът,гиждӥнь
39,Nagel[Anatomie]::N,нокът,гижы
40,Zeh::N,пръст на крак,пыдчиньы
41,Fuß::N,крак,пыд
42,Fuß::N,нога,пыд
43,Ferse::N,пета,пыдбер
44,Knie::N,коляно,пыдес
45,Oberschenkel::N,бедро,макес
46,Bein::N,крак,пыд
47,Bein::N,нога,пыд
48,Körper::N,тяло,мугор
49,Körper::N,тяло,вылтыр
50,Haut::N,кожа,ку
51,Blut::N,кръв,вир
52,Ader::N,вена,вирсэр
53,Ader::N,артерия,вирсэр
54,Sehne::N,жила,вуж
55,Sehne::N,сухожилие,вуж
56,Knochen::N,кост,лы
57,Gehirn::N,мозък,вим
58,Herz::N,сърце,сюлэм
59,Magen::N,стомах,ӝуш
60,Leber::N,черен дроб,мус
61,Atem::N,дишане,лул
62,Atem::N,дишане,шокан
63,Hunger::N,глад,кӧтсюман
64,Träne::N,сълза,синкыли
65,Geschmack::N,вкус,шӧм
66,Geruch::N,миризма,зын
67,Schlaf::N,сън,вӧт
68,Traum::N,сън,уйвӧт
69,Himmel::N,небе,ин
70,Sonne::N,слънце,шунды
71,Mond::N,луна,толэзь
72,Mond::N,месец,толэзь
73,Stern::N,звезда,кизили
74,Luft::N,въздух,омыр
75,Wind::N,вятър,тӧл
76,Welle::N,вълна,тулкым
77,Wasser::N,вода,ву
78,Stein::N,камък,из
79,Boden::N,земя,музъем
80,Boden::N,почва,музъем
81,Erde::N,земя,му
82,Erde::N,почва,му
83,Staub::N,прах,пыль
84,Rauch::N,дим,ӵын
85,Rauch::N,пушек,ӵын
86,Funke::N,искра,гизьы
87,Feuer::N,огън,тыл
88,Licht::N,светлина,тыл
89,Schatten::N,сянка,вужер
90,Wetter::N,време,куазь
91,Nebel::N,мъгла,бус
92,Wolke::N,облак,пилем
93,Regen::N,дъжд,зор
94,Schnee::N,сняг,лымы
95,Eis::N,лед,йӧ
96,Frost::N,мраз,кезьыт
97,Kälte::N,студ,кезьыт
98,Hitze::N,жега,пӧсь
99,Hitze::N,горещина,пӧсь
100,Raureif::N,скреж,гӧр
101,Raureif::N,слана,гӧр
102,Regenbogen::N,дъга,вуюись
103,Donner::N,гръм,гудыри
104,Strömung::N,течение,бызён
105,Tropfen::N,капка,шапык
106,Schaum::N,пяна,шукы
107,Schmutz::N,кал,нӧд
108,Schmutz::N,кал,дэри
109,Schmutz::N,мръсотия,нӧд
110,Schmutz::N,мръсотия,дэри
111,See::N,езеро,ты
112,Sumpf::N,блато,нюр
113,Moor::N,мочурище,нюр
114,Wiese::N,ливада,возь
115,Wiese::N,ливада,возьвыл
116,Wald::N,гора,сик
117,Wald::N,гора,нюлэс
118,Hügel::N,рид,выр
119,Hügel::N,рид,вырйыл
120,Hügel::N,хълм,выр
121,Hügel::N,хълм,вырйыл
122,Anhöhe::N,могила,выр
123,Anhöhe::N,могила,вырйыл
124,Anhöhe::N,възвишение,выр
125,Anhöhe::N,възвишение,вырйыл
126,Berg::N,планина,гурезь
127,Gipfel::N,връх,йыл
128,Höhle::N,пещера,гу
129,Abhang::N,склон,бам
130,Abhang::N,стръмнина,бам
131,Quelle::N,извор,ошмес
132,Bach::N,поток,пичи шур
133,Fluss::N,река,шур
134,Ufer::N,бряг,ярдур
135,Küste::N,бряг,вудур
136,Küste::N,крайбрежие,вудур
137,Festland::N,суша,мувыр
138,Meer::N,море,зарезь
139,Bucht::N,залив,вукож
140,Insel::N,остров,вумуӵ
141,Insel::N,остров,шормуӵ
142,Blume::N,цвете,сяська
143,Gras::N,трева,турын
144,Wurzel::N,корен,выжы
145,Baum::N,дърво,пу
146,Stamm::N,стъбло,модос
147,Rinde::N,кора,сул
148,Ast::N,клон,ул
