,Concept_ID,sl,se
0,Auge::N,okó,tjelmie
1,Auge::N,okó,tjalmme
2,Auge::N,okó,čalbmi
3,Auge::N,okó,čalme
4,Auge::N,okó,čâ´lmm
5,Auge::N,okó,ча̄лльм
6,Ohr::N,uhó,bieljie
7,Ohr::N,uhó,biellje
8,Ohr::N,uhó,beallji
9,Ohr::N,uhó,pelji
10,Ohr::N,uhó,pe´llj
11,Ohr::N,uhó,пе̄лльй
12,Nase::N,nós,njuenie
13,Nase::N,nós,njunnje
14,Nase::N,nós,njunni
15,Nase::N,nós,njuṇe
16,Nase::N,nós,njuu´nn
17,Nase::N,nós,нюннҍ
18,Mund::N,ústa,njaelmie
19,Mund::N,ústa,njálmme
20,Mund::N,ústa,njálbmi
21,Mund::N,ústa,njälmi
22,Mund::N,ústa,njä´lmm
23,Mund::N,ústa,ня̄лльм
24,Zahn::N,zób,baenie
25,Zahn::N,zób,bádne
26,Zahn::N,zób,bátni
27,Zahn::N,zób,pääṇi
28,Zahn::N,zób,pää´nn
29,Zahn::N,zób,па̄ннҍ
30,Zunge::N,jêzik,njoektjeme
31,Zunge::N,jêzik,njuovtjav
32,Zunge::N,jêzik,njuovčča
33,Zunge::N,jêzik,njuovčâ
34,Zunge::N,jêzik,njuhččâm
35,Zunge::N,jêzik,нюхчем
36,Lippe::N,ústnica,bangseme
37,Lippe::N,ústnica,njálmmerabdda
38,Lippe::N,ústnica,bavssa
39,Lippe::N,ústnica,poovsâ
40,Lippe::N,ústnica,põõus
41,Lippe::N,ústnica,пэ̄кс
42,Wange::N,líce,skiehrie
43,Wange::N,líce,nierra
44,Wange::N,líce,muohtu
45,Wange::N,líce,nieṛâ
46,Wange::N,líce,njiõrr
47,Wange::N,líce,нӣрр
48,Gesicht::N,oblíčje,ååredæjja
49,Gesicht::N,oblíčje,muohto
50,Gesicht::N,oblíčje,muođut
51,Gesicht::N,oblíčje,ámadadju
52,Gesicht::N,oblíčje,muáđuh
53,Gesicht::N,oblíčje,muâđ
54,Gesicht::N,oblíčje,ка̄ссв
55,Stirn::N,čêlo,gaalloe
56,Stirn::N,čêlo,gállo
57,Stirn::N,čêlo,gállu
58,Stirn::N,čêlo,kállu
59,Stirn::N,čêlo,käll
60,Stirn::N,čêlo,вуэххьц
61,Haar::N,lás,voepte
62,Haar::N,lás,vuoppta
63,Haar::N,lás,vuokta
64,Haar::N,lás,vuop'tâ
65,Haar::N,lás,vuõpt
66,Haar::N,lás,вӯппт
67,Schnurrbart::N,bŕki,bijjie-skaavtjoe
68,Schnurrbart::N,bŕki,njunjevuolskávttjá
69,Schnurrbart::N,bŕki,seamu
70,Schnurrbart::N,bŕki,siämu
71,Schnurrbart::N,bŕki,ää´bben
72,Schnurrbart::N,bŕki,о̄а̄бпан
73,Bart::N,bráda,skaavtja
74,Bart::N,bráda,skaavtjoe
75,Bart::N,bráda,skávttjá
76,Bart::N,bráda,seamu
77,Bart::N,bráda,siämu
78,Bart::N,bráda,seäm
79,Bart::N,bráda,ся̄м
80,Kinn::N,bráda,gaejpie
81,Kinn::N,bráda,gájbbe
82,Kinn::N,bráda,gáibi
83,Kinn::N,bráda,käibi
84,Kinn::N,bráda,käi´bb
85,Kinn::N,bráda,ка̄ййп
86,Kiefer[Anatomie]::N,čeljúst,gaejpie
87,Kiefer[Anatomie]::N,čeljúst,oalol
88,Kiefer[Anatomie]::N,čeljúst,oaloldákte
89,Kiefer[Anatomie]::N,čeljúst,gáibi
90,Kiefer[Anatomie]::N,čeljúst,uá'lultähti
91,Kiefer[Anatomie]::N,čeljúst,vuâl'lõš
92,Kiefer[Anatomie]::N,čeljúst,вуаллнешш
93,Kehle::N,gŕlo,gealoe
94,Kehle::N,gŕlo,tjåttå
95,Kehle::N,gŕlo,njiello
96,Kehle::N,gŕlo,čotta
97,Kehle::N,gŕlo,čuudâ
98,Kehle::N,gŕlo,čoodd
99,Kehle::N,gŕlo,чонт
100,Kehle::N,gŕlo,кэ̄ҏс
101,Hals::N,vrát,tjeapohke
102,Hals::N,vrát,tjiebet
103,Hals::N,vrát,čeabet
104,Hals::N,vrát,čiäppát
105,Hals::N,vrát,čeäppat
106,Hals::N,vrát,ча̄пэх
107,Genick::N,zatílnik,tjovrese
108,Genick::N,zatílnik,nisske
109,Genick::N,zatílnik,niehkki
110,Genick::N,zatílnik,niski
111,Genick::N,zatílnik,niek'ki
112,Genick::N,zatílnik,nji´šǩǩmaadd
113,Genick::N,zatílnik,нышшькмоант
114,Kopf::N,gláva,åejjie
115,Kopf::N,gláva,oajvve
116,Kopf::N,gláva,oaivi
117,Kopf::N,gláva,uái'vi
118,Kopf::N,gláva,vuei´vv
119,Kopf::N,gláva,вуэййв
120,Rücken::N,hrbèt,rudtje
121,Rücken::N,hrbèt,hárddo
122,Rücken::N,hrbèt,tjavelk
123,Rücken::N,hrbèt,sealgi
124,Rücken::N,hrbèt,selgi
125,Rücken::N,hrbèt,čielgi
126,Rücken::N,hrbèt,seä´lǧǧ
127,Rücken::N,hrbèt,се̄лльк
128,Bauch::N,trébuh,tjåejjie
129,Bauch::N,trébuh,tjoajvve
130,Bauch::N,trébuh,čoavji
131,Bauch::N,trébuh,čuáv'ji
132,Bauch::N,trébuh,čåu´jj
133,Bauch::N,trébuh,чо̄ввьй
134,Nabel::N,pópek,naepie
135,Nabel::N,pópek,náhpe
136,Nabel::N,pópek,náhpi
137,Nabel::N,pópek,nääpi
138,Nabel::N,pópek,nää´pp
139,Nabel::N,pópek,на̄бпь
140,Busen::N,nédrja,boenge
141,Busen::N,nédrja,bållå
142,Busen::N,nédrja,čižži
143,Busen::N,nédrja,njamma
144,Busen::N,nédrja,njižže
145,Busen::N,nédrja,nje´ǯǯ
146,Busen::N,nédrja,раннҍт
147,Brust::N,pŕsi,mïelke
148,Brust::N,pŕsi,radde
149,Brust::N,pŕsi,mielgga
150,Brust::N,pŕsi,raddi
151,Brust::N,pŕsi,radde
152,Brust::N,pŕsi,râ´dd
153,Brust::N,pŕsi,раннҍт
154,Schulter::N,ráma,åelkie
155,Schulter::N,ráma,oalgge
156,Schulter::N,ráma,hárdu
157,Schulter::N,ráma,ärdee
158,Schulter::N,ráma,uál'gi
159,Schulter::N,ráma,a´rddi
160,Schulter::N,ráma,vuä´lǧǧ
161,Schulter::N,ráma,вуэллык
162,Schulter::N,plêče,åelkie
163,Schulter::N,plêče,oalgge
164,Schulter::N,plêče,hárdu
165,Schulter::N,plêče,ärdee
166,Schulter::N,plêče,uál'gi
167,Schulter::N,plêče,a´rddi
168,Schulter::N,plêče,vuä´lǧǧ
169,Schulter::N,plêče,вуэллык
170,Arm::N,rôka,gïete
171,Arm::N,rôka,giehta
172,Arm::N,rôka,giehta
173,Arm::N,rôka,kietâ
174,Arm::N,rôka,kie'tâkaaṿâ
175,Arm::N,rôka,ǩiõtt
176,Arm::N,rôka,кӣдт
177,Ellenbogen::N,komólec,gernjere
178,Ellenbogen::N,komólec,garŋŋel
179,Ellenbogen::N,komólec,gargŋil
180,Ellenbogen::N,komólec,käŋŋir
181,Ellenbogen::N,komólec,kõõnjâr
182,Ellenbogen::N,komólec,карьнэль
183,Hand::N,rôka,gïete
184,Hand::N,rôka,giehta
185,Hand::N,rôka,giehta
186,Hand::N,rôka,kietâ
187,Hand::N,rôka,ǩiõtt
188,Hand::N,rôka,кӣдт
189,Handfläche::N,dlán,gïeten-låapoe
190,Handfläche::N,dlán,giehtavuodo
191,Handfläche::N,dlán,tjårmmåvuodo
192,Handfläche::N,dlán,giehtaloahpu
193,Handfläche::N,dlán,kiämád
194,Handfläche::N,dlán,kuámmir
195,Handfläche::N,dlán,kuä´m'mer
196,Handfläche::N,dlán,ǩiõttǩeä´m'men
197,Handfläche::N,dlán,ко̄а̄ллдэгк
198,Handfläche::N,dlán,кӣдткоалдэгк
199,Finger::N,pŕst,soerme
200,Finger::N,pŕst,tjuvdde
201,Finger::N,pŕst,suorbma
202,Finger::N,pŕst,čuvde
203,Finger::N,pŕst,suor'mâ
204,Finger::N,pŕst,suõrmm
205,Finger::N,pŕst,це̄ххп
206,Fingernagel::N,nóht na rôki,gadtse
207,Fingernagel::N,nóht na rôki,guehpere
208,Fingernagel::N,nóht na rôki,gadtsa
209,Fingernagel::N,nóht na rôki,gazza
210,Fingernagel::N,nóht na rôki,kozzâ
211,Fingernagel::N,nóht na rôki,kõʒʒ
212,Fingernagel::N,nóht na rôki,кэ̄ннц
213,Nagel[Anatomie]::N,nóht,gadtse
214,Nagel[Anatomie]::N,nóht,guehpere
215,Nagel[Anatomie]::N,nóht,gadtsa
216,Nagel[Anatomie]::N,nóht,gazza
217,Nagel[Anatomie]::N,nóht,kozzâ
218,Nagel[Anatomie]::N,nóht,kõʒʒ
219,Nagel[Anatomie]::N,nóht,кэ̄ннц
220,Zeh::N,pŕst na nôgi,tjiehtjere
221,Zeh::N,pŕst na nôgi,juolggetjuvdde
222,Zeh::N,pŕst na nôgi,juolgesuorbma
223,Zeh::N,pŕst na nôgi,jyel'gisuor'mâ
224,Zeh::N,pŕst na nôgi,jue´lǧǧsuõrmm
