,Concept_ID,os,lbe
0,Auge::N,цӕст,я
1,Ohr::N,хъус,вичӏи
2,Nase::N,фындз,май
3,Mund::N,дзых,кьацӏ
4,Zahn::N,дӕндаг,ккарччи
5,Zunge::N,ӕвзаг,маз
6,Lippe::N,был,мурччи
7,Wange::N,рус,чӏав
8,Wange::N,уадул,чӏав
9,Wange::N,ӕхсӕрфарс,чӏав
10,Gesicht::N,цӕсгом,лажин
11,Stirn::N,ных,ненттабакӏ
12,Haar::N,хил,чӏара
13,Schnurrbart::N,рихи,ссирссилтту
14,Bart::N,зачъе,чӏири
15,Kinn::N,роцъо,лунттубакӏ
16,Kiefer[Anatomie]::N,ӕфсӕр,ххинчулул
17,Kehle::N,хъуыр,кьакьари
18,Hals::N,къубал,ссурссу
19,Genick::N,къӕбут,махъабакӏ
20,Kopf::N,сӕр,бакӏ
21,Rücken::N,фӕсонтӕ,ттиликӏ
22,Bauch::N,гуыбын,лякьа
23,Nabel::N,бикъ,цӏумуккутӏ
24,Busen::N,дзидзи,ккукку
25,Brust::N,риу,хъазам
26,Schulter::N,уӕхск,хъачӏ
27,Arm::N,цонг,ка
28,Ellenbogen::N,рæмбын,ссюрхъ
29,Hand::N,къух,бартка
30,Handfläche::N,армытъӕпӕн,хъат
31,Handfläche::N,армытъӕпӕн,битӏянхъ
32,Finger::N,ӕнруылдз,кӏисса
33,Fingernagel::N,ных,михь
34,Nagel[Anatomie]::N,ных,михь
35,Zeh::N,къух,кӏисса
36,Fuß::N,фад,чӏанччан
37,Ferse::N,зӕвӕт,никъа
38,Knie::N,уӕраг,ник
39,Oberschenkel::N,агъд,жира
40,Bein::N,зӕнг,ччан
41,Körper::N,буар,чурх
42,Haut::N,царм,бурчу
43,Blut::N,туг,оь
44,Ader::N,дадзин,тунну
45,Ader::N,тугдадзин,тунну
46,Sehne::N,хъиутæ,хьхьа
47,Sehne::N,нуар,хьхьа
48,Knochen::N,стӕг,ттаркӏ
49,Gehirn::N,магъз,ня
50,Herz::N,зӕрдӕ,дакӏ
51,Herz::N,зӕрдӕ,къюкӏ
52,Magen::N,ахсӕн,лякьа
53,Leber::N,игæр,
54,Atem::N,улӕфт,ссихӏ ласаву
55,Atem::N,улӕфт,ссихӏ бигьаву
56,Hunger::N,стонг,ккаши
57,Träne::N,цæссыг,макь
58,Geschmack::N,ад,тӏин
59,Geschmack::N,ад,тӏааьн
60,Geruch::N,смаг,кьанкь
61,Schlaf::N,хуыссӕг,шану
62,Traum::N,фын,макӏру
63,Himmel::N,арв,ссав
64,Himmel::N,уӕларв,ссав
65,Sonne::N,хур,баргъ
66,Mond::N,мӕй,барз
67,Stern::N,стъалы,цӏуку
