,Concept_ID,pt,pt
0,Auge::N,olho,olho
1,Ohr::N,orelha,orelha
2,Nase::N,nariz,nariz
3,Mund::N,boca,boca
4,Zahn::N,dente,dente
5,Zunge::N,língua,língua
6,Lippe::N,lábio,lábio
7,Wange::N,face,face
8,Gesicht::N,cara,cara
9,Gesicht::N,cara,rosto
10,Gesicht::N,rosto,cara
11,Gesicht::N,rosto,rosto
12,Stirn::N,testa,testa
13,Haar::N,cabelo,cabelo
14,Schnurrbart::N,bigode,bigode
15,Bart::N,barba,barba
16,Kinn::N,queixo,queixo
17,Kiefer[Anatomie]::N,maxila,maxila
18,Kiefer[Anatomie]::N,maxila,mandíbula
19,Kiefer[Anatomie]::N,mandíbula,maxila
20,Kiefer[Anatomie]::N,mandíbula,mandíbula
21,Kehle::N,garganta,garganta
22,Hals::N,colo,colo
23,Hals::N,colo,pescoço
24,Hals::N,pescoço,colo
25,Hals::N,pescoço,pescoço
26,Genick::N,nuca,nuca
27,Kopf::N,cabeça,cabeça
28,Rücken::N,dorso,dorso
29,Rücken::N,dorso,costas
30,Rücken::N,costas,dorso
31,Rücken::N,costas,costas
32,Bauch::N,ventre,ventre
33,Bauch::N,ventre,barriga
34,Bauch::N,barriga,ventre
35,Bauch::N,barriga,barriga
36,Nabel::N,umbigo,umbigo
37,Busen::N,seio,seio
38,Brust::N,peito,peito
39,Schulter::N,ombro,ombro
40,Arm::N,braço,braço
41,Ellenbogen::N,cotovelo,cotovelo
42,Hand::N,mão,mão
43,Handfläche::N,palma,palma
44,Handfläche::N,palma,palma da mão
45,Handfläche::N,palma da mão,palma
46,Handfläche::N,palma da mão,palma da mão
47,Finger::N,dedo,dedo
48,Fingernagel::N,unha,unha
49,Nagel[Anatomie]::N,unha,unha
50,Zeh::N,dedo do pé,dedo do pé
51,Fuß::N,pé,pé
52,Ferse::N,calcanhar,calcanhar
53,Knie::N,joelho,joelho
54,Oberschenkel::N,coxa,coxa
55,Bein::N,perna,perna
56,Körper::N,corpo,corpo
57,Haut::N,pele,pele
58,Blut::N,sangue,sangue
59,Ader::N,veia,veia
60,Sehne::N,tendão,tendão
61,Knochen::N,osso,osso
62,Gehirn::N,cérebro,cérebro
63,Herz::N,coração,coração
64,Magen::N,estômago,estômago
65,Leber::N,fígado,fígado
66,Atem::N,fôlego,fôlego
67,Hunger::N,fome,fome
68,Träne::N,lágrima,lágrima
69,Geschmack::N,gosto,gosto
70,Geruch::N,odor,odor
71,Geruch::N,odor,cheiro
72,Geruch::N,cheiro,odor
73,Geruch::N,cheiro,cheiro
74,Schlaf::N,sono,sono
75,Traum::N,sonho,sonho
76,Himmel::N,céu,céu
77,Sonne::N,sol,sol
78,Mond::N,lua,lua
79,Stern::N,estrela,estrela
80,Luft::N,ar,ar
81,Wind::N,vento,vento
82,Welle::N,onda,onda
83,Wasser::N,água,água
84,Stein::N,pedra,pedra
85,Boden::N,solo,solo
86,Erde::N,terra,terra
87,Staub::N,pó,pó
88,Rauch::N,fumo,fumo
89,Funke::N,faísca,faísca
90,Funke::N,faísca,centelha
91,Funke::N,centelha,faísca
92,Funke::N,centelha,centelha
93,Feuer::N,fogo,fogo
94,Licht::N,luz,luz
95,Schatten::N,sombra,sombra
96,Wetter::N,tempo,tempo
97,Nebel::N,nevoeiro,nevoeiro
98,Wolke::N,nuvem,nuvem
99,Regen::N,chuva,chuva
100,Schnee::N,neve,neve
101,Eis::N,gelo,gelo
102,Frost::N,gelo,gelo
103,Frost::N,gelo,geada
104,Frost::N,geada,gelo
105,Frost::N,geada,geada
106,Kälte::N,frio,frio
107,Hitze::N,ardor,ardor
108,Raureif::N,geada,geada
109,Regenbogen::N,arco-iris,arco-iris
110,Donner::N,trovão,trovão
111,Strömung::N,corrente,corrente
112,Tropfen::N,gota,gota
113,Schaum::N,espuma,espuma
114,Schmutz::N,sujidade,sujidade
115,Schmutz::N,sujidade,imundície
116,Schmutz::N,imundície,sujidade
117,Schmutz::N,imundície,imundície
118,See::N,lago,lago
119,Sumpf::N,charco,charco
120,Sumpf::N,charco,pântano
121,Sumpf::N,pântano,charco
122,Sumpf::N,pântano,pântano
123,Moor::N,pântano,pântano
124,Wiese::N,prado,prado
125,Wald::N,bosque,bosque
126,Wald::N,bosque,floresta
127,Wald::N,floresta,bosque
128,Wald::N,floresta,floresta
129,Hügel::N,colina,colina
130,Anhöhe::N,alto,alto
131,Anhöhe::N,alto,outeiro
132,Anhöhe::N,outeiro,alto
133,Anhöhe::N,outeiro,outeiro
134,Berg::N,monte,monte
135,Berg::N,monte,montanha
136,Berg::N,montanha,monte
137,Berg::N,montanha,montanha
138,Gipfel::N,pico,pico
139,Höhle::N,caverna,caverna
140,Abhang::N,encosta,encosta
141,Quelle::N,fonte,fonte
142,Bach::N,regato,regato
143,Bach::N,regato,ribeiro
144,Bach::N,ribeiro,regato
145,Bach::N,ribeiro,ribeiro
146,Fluss::N,rio,rio
147,Ufer::N,beira,beira
148,Küste::N,costa,costa
149,Festland::N,terra firme,terra firme
150,Meer::N,mar,mar
151,Bucht::N,baía,baía
152,Insel::N,ilha,ilha
153,Blume::N,flor,flor
154,Gras::N,erva,erva
155,Wurzel::N,raiz,raiz
156,Baum::N,árvore,árvore
157,Stamm::N,tronco,tronco
158,Rinde::N,casca,casca
159,Ast::N,ramo,ramo
160,Zweig::N,galho,galho
161,Blatt::N,folha,folha
162,Birke::N,bétula,bétula
163,Kiefer[Baum]::N,pinheiro,pinheiro
164,Weide[Baum]::N,salgueiro,salgueiro
165,Tanne::N,abeto,abeto
166,Horn::N,corno,corno
167,Horn::N,corno,chifre
168,Horn::N,chifre,corno
169,Horn::N,chifre,chifre
170,Feder::N,pena,pena
171,Fell::N,pele,pele
172,Flügel::N,asa,asa
173,Klaue::N,pata,pata
174,Kralle::N,unha,unha
175,Kralle::N,unha,garra
176,Kralle::N,garra,unha
177,Kralle::N,garra,garra
178,Schwanz::N,rabo,rabo
179,Schwanz::N,rabo,cauda
180,Schwanz::N,cauda,rabo
181,Schwanz::N,cauda,cauda
182,Ei::N,ovo,ovo
183,Nest::N,ninho,ninho
184,Bau::N,toca,toca
185,Bau::N,toca,covil
186,Bau::N,covil,toca
187,Bau::N,covil,covil
188,Tier::N,animal,animal
189,Herde::N,rebanho,rebanho
190,Kuh::N,vaca,vaca
191,Bulle::N,touro,touro
192,Pferd::N,cavalo,cavalo
193,Schaf::N,ovelha,ovelha
194,Schwein::N,porco,porco
195,Hund::N,cão,cão
196,Katze::N,gata,gata
197,Bär::N,urso,urso
198,Eichhörnchen::N,esquilo,esquilo
199,Elch::N,alce,alce
200,Fuchs::N,raposa,raposa
201,Hase::N,lebre,lebre
202,Maus::N,rato,rato
203,Wolf::N,lobo,lobo
204,Vogel::N,ave,ave
205,Vogel::N,ave,pássaro
206,Vogel::N,pássaro,ave
207,Vogel::N,pássaro,pássaro
208,Schwarm::N,bando,bando
209,Schwarm::N,bando,enxame
210,Schwarm::N,enxame,bando
211,Schwarm::N,enxame,enxame
212,Huhn::N,galinha,galinha
213,Hahn::N,galo,galo
214,Gans::N,ganso,ganso
215,Adler::N,águia,águia
216,Ente::N,pata,pata
217,Eule::N,mocho,mocho
218,Eule::N,mocho,coruja
219,Eule::N,coruja,mocho
220,Eule::N,coruja,coruja
221,Kranich::N,grou,grou
222,Krähe::N,gralha,gralha
223,Kuckuck::N,cuco,cuco
224,Schwan::N,cisne,cisne
225,Fisch::N,peixe,peixe
226,Barsch::N,perca,perca
227,Hecht::N,lúcio,lúcio
