,Concept_ID,kv,lt
0,Auge::N,син,akis
1,Ohr::N,пель,ausis
2,Nase::N,ныр,nosis
3,Mund::N,ӧм,burna
4,Zahn::N,пинь,dantis
5,Zunge::N,кыв,liežuvis
6,Lippe::N,тырп,lūpa
7,Wange::N,рожабан,žandas
8,Wange::N,рожабан,skruostas
9,Gesicht::N,бан,veidas
10,Stirn::N,кымӧс,kakta
11,Haar::N,юрси,plaukai
12,Schnurrbart::N,уссэз,ūsai
13,Bart::N,тош,barzda
14,Kinn::N,тшӧка,smakras
15,Kiefer[Anatomie]::N,ан,žandikaulis
16,Kehle::N,юан,gerklė
17,Hals::N,юан,kaklas
18,Genick::N,юр бӧр,sprandas
19,Kopf::N,юр,galva
20,Rücken::N,мышк,nugara
21,Bauch::N,кынӧм,pilvas
22,Nabel::N,гӧг,bamba
23,Busen::N,морос,krūtinė
24,Brust::N,морос,krūtis
25,Schulter::N,пельпон,petys
26,Arm::N,ки,ranka
27,Ellenbogen::N,гырдзза,alkūnė
28,Hand::N,кикар,ranka
29,Hand::N,кикар,plaštaka
30,Handfläche::N,ки пыдӧс,delnas
31,Handfläche::N,ки пыдӧс,plaštaka
32,Finger::N,чунь,pirštas
33,Fingernagel::N,гыж,nagas
34,Nagel[Anatomie]::N,гыж,nagas
35,Zeh::N,чунь,pirštas
36,Fuß::N,кокпыдӧс,pėda
37,Ferse::N,кокдзир,kulnas
38,Knie::N,пидзӧс,kelis
39,Oberschenkel::N,лядьбей,kulšis
40,Oberschenkel::N,лядьбей,šlaunis
41,Bein::N,кок,koja
42,Körper::N,вывтыр,kūnas
43,Haut::N,кучик,oda
44,Blut::N,вир,kraujas
45,Ader::N,сӧн,kraujagyslė
46,Sehne::N,жила,sausgyslė
47,Knochen::N,коска,kaulas
48,Gehirn::N,вем,smegenys
49,Herz::N,сьӧлӧм,širdis
50,Magen::N,жӧвдӧк,skrandis
51,Leber::N,мус,kepenys
52,Atem::N,лолалӧм,kvapas
53,Hunger::N,тшыг,badas
54,Hunger::N,тшыг,alkis
55,Träne::N,синва,ašara
56,Geschmack::N,кӧр,skonis
57,Geruch::N,дук,kvapas
58,Schlaf::N,он,miegas
59,Traum::N,вӧт,sapnas
60,Himmel::N,небо,dangus
61,Sonne::N,шондi,saulė
62,Mond::N,тӧлiсь,mėnulis
63,Stern::N,кӧдзыв,žvaigždė
64,Luft::N,ру,oras
65,Wind::N,тӧв,vėjas
66,Welle::N,гы,banga
67,Welle::N,гы,vilnis
68,Wasser::N,ва,vanduo
69,Stein::N,из,akmuo
70,Boden::N,му,žemė
71,Boden::N,му,dugnas
72,Erde::N,му,žemė
73,Staub::N,бус,dulkės
74,Rauch::N,тшын,dūmai
75,Funke::N,бичир,kibirkštis
76,Feuer::N,би,ugnis
77,Licht::N,би,šviesa
78,Schatten::N,вуджӧр,paūksmė
79,Wetter::N,погоддя,oras
80,Nebel::N,туман,migla
81,Nebel::N,туман,rūkas
82,Wolke::N,кымӧр,debesis
83,Regen::N,зэр,lietus
84,Schnee::N,лым,sniegas
85,Eis::N,йы,ledas
86,Frost::N,мороз,šalna
87,Kälte::N,кӧдзыт,šaltis
88,Hitze::N,ӧд,karštis
89,Raureif::N,кижа,šerkšnas
90,Regenbogen::N,енӧшка,vaivorykštė
91,Donner::N,гым,perkūnas
92,Donner::N,гым,griaustinis
93,Strömung::N,визывтӧм,tėkmė
94,Tropfen::N,тёп,lašas
95,Schaum::N,быг,putos
96,Schmutz::N,нять,purvas
97,See::N,ты,ežeras
98,Sumpf::N,арай,klampynė
99,Sumpf::N,арай,liūnas
100,Moor::N,нюр,pelkė
101,Wiese::N,видз,pieva
102,Wald::N,вӧр,miškas
103,Hügel::N,мыльк,kalva
104,Anhöhe::N,вывтас,kauburys
105,Anhöhe::N,вылынін,kauburys
106,Berg::N,керӧс,kalnas
107,Gipfel::N,йыв,viršūnė
108,Höhle::N,нора,ola
109,Abhang::N,покат,šlaitas
110,Abhang::N,покат,nuokalnė
111,Quelle::N,больган,versmė
112,Quelle::N,больган,šaltinis
113,Bach::N,шор,upelis
114,Fluss::N,ю,upė
115,Ufer::N,берег,krantas
116,Küste::N,берег,pajūris
117,Festland::N,му,sausuma
118,Meer::N,море,jūra
119,Bucht::N,курья,įlanka
120,Bucht::N,курья,užutekis
121,Blume::N,цветок,gėlė
122,Gras::N,турун,žolė
123,Wurzel::N,вуж,šaknis
124,Baum::N,пу,medis
125,Stamm::N,мыр,kamienas
126,Stamm::N,кер,kamienas
127,Rinde::N,кач,žievė
128,Ast::N,ув,šaka
129,Zweig::N,ув,šakelė
130,Blatt::N,лист,lapas
131,Birke::N,кыдз,beržas
132,Kiefer[Baum]::N,пожум,pušis
133,Weide[Baum]::N,бадь,karklas
134,Tanne::N,кӧз,eglė
135,Tanne::N,кӧз,kėnis
136,Horn::N,сюр,ragas
137,Feder::N,гӧн,plunksna
138,Fell::N,кучик,kailis
139,Flügel::N,борд,sparnas
140,Klaue::N,гыж,kanopa
141,Kralle::N,кабыр,nagas
142,Schwanz::N,бӧж,uodega
143,Ei::N,кольть,kiaušinis
144,Nest::N,поз,gūžta
145,Nest::N,поз,lizdas
146,Bau::N,осьта,ola
