,Concept_ID,kl,te
0,Auge::N,isi,కన్ను
1,Ohr::N,siut,చెవి
2,Mund::N,paaq,నోరు
3,Mund::N,qaneq,నోరు
4,Zahn::N,kigut,పల్లు
5,Zunge::N,oqaq,నాలుక
6,Lippe::N,qarloq,పెదవి
7,Wange::N,ersaq,చెంప
8,Gesicht::N,kiinaq,ముఖము
9,Stirn::N,qaaq,నుదురు
10,Haar::N,meqqoq,వెండ్రుక
11,Bart::N,umik,గడ్డము
12,Kinn::N,talloq,గడ్డము
13,Kiefer[Anatomie]::N,alleroq,దౌడ
14,Kehle::N,malaq,గొంతు
15,Hals::N,qungaseq,మెడ
16,Genick::N,pukusuk,మూపు
17,Kopf::N,niaqoq,తల
18,Rücken::N,qimerlut,వెన్ను
19,Bauch::N,naaq,కడుపు
20,Nabel::N,qalaseq,బొడ్డు
21,Busen::N,iviangeq,స్తనము
22,Brust::N,iviangeq,ఱొమ్ము
23,Schulter::N,ersik,భుజము
24,Schulter::N,assaqqoq,భుజము
25,Arm::N,taleq,చేయి
26,Ellenbogen::N,ikusik,మోచేయి
27,Hand::N,assak,చేయి
28,Handfläche::N,itumak,అరచేయు
29,Finger::N,inuak,చేతిప్రేలు
30,Fingernagel::N,kikiak,గోరు
31,Nagel[Anatomie]::N,kukik,గోరు
32,Zeh::N,isigak,కాలిప్రేలు
33,Ferse::N,kimmik,మడమ
34,Knie::N,seeqqoq,మోకాలు
35,Oberschenkel::N,uppat,తొడ
36,Oberschenkel::N,quttoraq,తొడ
37,Bein::N,isigak,కాలు
38,Körper::N,timi,కాయము
39,Haut::N,mattak,చర్మము
40,Blut::N,aak,రక్తము
41,Ader::N,taqaq,సిర
42,Sehne::N,ujalu,స్నాయువు
43,Sehne::N,ujaloq,స్నాయువు
44,Knochen::N,saanikut,ఎముక
45,Gehirn::N,qarasaq,మెదడు
46,Herz::N,uummat,హృదయము
47,Magen::N,aqajaroq,కడుపు
48,Leber::N,tinguk,కాలేయము
49,Atem::N,anerneq,ఉపిరి
50,Hunger::N,kaanneq,ఆకలి
51,Träne::N,qia,కన్నీటిచుక్క
52,Träne::N,qiak,కన్నీటిచుక్క
53,Geschmack::N,qilanaartuut,రుచి
54,Geruch::N,tipi,వాసన
55,Geruch::N,tipik,వాసన
56,Traum::N,sinnattoq,కల
57,Traum::N,sinnattugaq,కల
58,Himmel::N,qilak,ఆకాశము
59,Sonne::N,seqineq,సూర్యుడు
60,Mond::N,qaammat,చంద్రుడు
61,Stern::N,ulloriaq,నక్షత్రము
62,Luft::N,silaannaq,గాలి
63,Wind::N,anori,వీచుచున్నగాలి
64,Wind::N,anorsarik,వీచుచున్నగాలి
65,Welle::N,aalappaa,అల
66,Wasser::N,imeq,నీరు
67,Stein::N,ujarak,ఱాయి
68,Boden::N,nateq,నేల
69,Erde::N,issoq,మన్ను
70,Staub::N,pujualanerit,దుమ్ము
71,Staub::N,pujoralanerit,దుమ్ము
72,Rauch::N,iseq,పొగ
73,Rauch::N,pujoq,పొగ
74,Funke::N,illoorneq,అగ్నికణము
75,Feuer::N,inneq,అగ్ని
76,Licht::N,qaamaneq,కాంతి
77,Schatten::N,tarraq,నీడ
78,Wetter::N,sila,వాతావరణ స్థితి
79,Nebel::N,pujoq,పొగమంచు
80,Wolke::N,nuia,మేఘము
81,Regen::N,sialuk,వాన
82,Schnee::N,aput,హిమము
83,Eis::N,siku,మంచుగడ్డ
84,Frost::N,issi,పేరిన మంచు
85,Frost::N,issik,పేరిన మంచు
86,Kälte::N,issi,చలి
87,Hitze::N,kianneq,వేడిమి
88,Hitze::N,kiassuseq,వేడిమి
89,Raureif::N,kaneq,మంచు
90,Regenbogen::N,neriusaaq,ఇంద్రధనుస్సు
91,Donner::N,kalleq,ఉరుము
92,Tropfen::N,kuseriarneq,చుక్క
93,Schaum::N,qapuk,నురుగు
94,Schmutz::N,minguk,మైల
95,See::N,taseq,సరస్సు
96,Sumpf::N,maqulluk,చిత్తడినేల
97,Wiese::N,masarsuk,పచ్చిక బయలు
98,Hügel::N,qattuneq,చివ్నకొండ
99,Hügel::N,majuariaq,చివ్నకొండ
100,Hügel::N,majorajaaq,చివ్నకొండ
101,Hügel::N,qaqqannguaq,చివ్నకొండ
102,Berg::N,qaqqaq,పర్వతము
103,Höhle::N,qaarusuk,గుహ
104,Abhang::N,ippik,ఏటవాలు
105,Abhang::N,sivinganeq,ఏటవాలు
106,Abhang::N,sivingajaaq,ఏటవాలు
107,Abhang::N,kussangajaaq,ఏటవాలు
108,Bach::N,kuunnguaq,కాలువ
109,Fluss::N,kuuk,నది
110,Ufer::N,sissap sinaa,తీరము
111,Küste::N,sineriak,తీరము
112,Meer::N,imaq,సముద్రము
113,Bucht::N,ikeq,మరుగు
114,Bucht::N,kangerluk,మరుగు
115,Bucht::N,kangerliumaneq,మరుగు
116,Insel::N,qeqertaq,దీవి
117,Blume::N,naasoq,పుష్పము
118,Gras::N,ivigaq,పచ్చగడ్డి
119,Wurzel::N,niulutaq,వేరు
120,Baum::N,orpik,చెట్టు
121,Stamm::N,kanaartaq,చెట్టుబోదె
122,Rinde::N,ameraq,చెట్టుపట్ట
123,Ast::N,avalequt,కొమ్మ
124,Zweig::N,avalequt,చివుకు
125,Blatt::N,pilutaq,ఆకు
126,Birke::N,patitsit,తరహా చెట్టు
127,Weide[Baum]::N,palleq,జాతిచెట్టు
128,Tanne::N,orsuerneq,దేవదారుచెట్టు
129,Horn::N,nassuk,కొమ్ము
130,Feder::N,suluk,ఈక
131,Fell::N,ameq,తోలు
132,Flügel::N,suluk,ఱెక్క
133,Flügel::N,isaroq,ఱెక్క
134,Klaue::N,kukik,వంకరగోరు
135,Kralle::N,kukik,వంకరగోరు
136,Schwanz::N,pamioq,తోక
137,Schwanz::N,paperuusaq,తోక
138,Ei::N,mannik,గ్రుడ్డు
139,Nest::N,ullut,పక్షిగూడు
140,Bau::N,ini,గుహ
141,Tier::N,uumasoq,జంతువు
142,Herde::N,unguukkat,మంద
143,Kuh::N,ussik,ఆవు
144,Bulle::N,angukulak,గిత్త
145,Bulle::N,anguteralak,గిత్త
146,Bulle::N,angutikulooq,గిత్త
147,Schaf::N,sava,గొఱ్ఱె
148,Schwein::N,puuluki,పంది
149,Hund::N,qimmeq,కుక్క
150,Katze::N,puisaaq,పిల్లి
151,Bär::N,allaq,ఎలుగుబంటి
152,Eichhörnchen::N,sissinnguaq,ఉడుత
153,Fuchs::N,terianniaq,గుంటనక్క
154,Hase::N,ukaleq,కుందేలు
155,Maus::N,teriannguaq,చిట్టెలుక
156,Wolf::N,amaroq,తోడేలు
157,Vogel::N,timmiaq,పక్షి
158,Huhn::N,kukkukooq,కోడిపిల్ల
