,Concept_ID,lt,ro
0,Auge::N,akis,ochi
1,Ohr::N,ausis,ureche
2,Nase::N,nosis,nas
3,Mund::N,burna,gură
4,Zahn::N,dantis,dinte
5,Zunge::N,liežuvis,limbă
6,Lippe::N,lūpa,buză
7,Wange::N,žandas,bucă
8,Wange::N,žandas,obraz
9,Wange::N,skruostas,bucă
10,Wange::N,skruostas,obraz
11,Gesicht::N,veidas,față
12,Gesicht::N,veidas,figură
13,Stirn::N,kakta,frunte
14,Haar::N,plaukai,păr
15,Schnurrbart::N,ūsai,mustață
16,Bart::N,barzda,barbă
17,Kinn::N,smakras,bărbie
18,Kiefer[Anatomie]::N,žandikaulis,falcă
19,Kehle::N,gerklė,beregată
20,Hals::N,kaklas,gât
21,Genick::N,sprandas,ceafă
22,Kopf::N,galva,cap
23,Rücken::N,nugara,dos
24,Rücken::N,nugara,spate
25,Rücken::N,nugara,spinare
26,Bauch::N,pilvas,burtă
27,Bauch::N,pilvas,pântece
28,Nabel::N,bamba,buric
29,Busen::N,krūtinė,sân
30,Brust::N,krūtis,piept
31,Schulter::N,petys,umăr
32,Schulter::N,petys,spate
33,Arm::N,ranka,braț
34,Ellenbogen::N,alkūnė,cot
35,Hand::N,ranka,mână
36,Hand::N,plaštaka,mână
37,Handfläche::N,delnas,palmă
38,Handfläche::N,plaštaka,palmă
39,Finger::N,pirštas,deget
40,Fingernagel::N,nagas,unghie
41,Nagel[Anatomie]::N,nagas,unghie
42,Zeh::N,pirštas,deget de la picior
43,Fuß::N,pėda,picior
44,Ferse::N,kulnas,călcâi
45,Knie::N,kelis,genunchi
46,Oberschenkel::N,kulšis,coapsă
47,Oberschenkel::N,šlaunis,coapsă
48,Bein::N,koja,picior
49,Körper::N,kūnas,corp
50,Haut::N,oda,piele
51,Blut::N,kraujas,sânge
52,Ader::N,kraujagyslė,vână
53,Ader::N,kraujagyslė,arteră
54,Sehne::N,sausgyslė,tendon
55,Knochen::N,kaulas,os
56,Gehirn::N,smegenys,creier
57,Herz::N,širdis,inimă
58,Magen::N,skrandis,stomac
59,Leber::N,kepenys,ficat
60,Atem::N,kvapas,răsuflare
