,Concept_ID,te,ab
0,Auge::N,కన్ను,ала
1,Ohr::N,చెవి,алымҳа
2,Nase::N,ముక్కు,аҧынҵа
3,Mund::N,నోరు,аҧышə
4,Zahn::N,పల్లు,ахаҧыц
5,Zunge::N,నాలుక,абз
6,Lippe::N,పెదవి,ақьышə
7,Wange::N,చెంప,аӡамҩа
8,Gesicht::N,ముఖము,аҿы
9,Stirn::N,నుదురు,алахь
10,Haar::N,వెండ్రుక,ахəыц
11,Schnurrbart::N,మీసము,аҧаҵа
12,Bart::N,గడ్డము,ажакьа
13,Kinn::N,గడ్డము,ацламкəыгə
14,Kiefer[Anatomie]::N,దౌడ,ацламҳəа
15,Kehle::N,గొంతు,ахəда
16,Hals::N,మెడ,ахəда
17,Genick::N,మూపు,ахəдаџьал
18,Kopf::N,తల,ахы
19,Rücken::N,వెన్ను,азқəа
20,Bauch::N,కడుపు,амгəа
21,Nabel::N,బొడ్డు,аҷапан
22,Busen::N,స్తనము,агəыҧҳəы
23,Brust::N,ఱొమ్ము,агəышҧы
24,Schulter::N,భుజము,ажəҩахыр
25,Arm::N,చేయి,амахəар
26,Ellenbogen::N,మోచేయి,амашьхəылҵ
27,Hand::N,చేయి,анапы
28,Handfläche::N,అరచేయు,анапсаргəыҵа
29,Finger::N,చేతిప్రేలు,анацəа
30,Fingernagel::N,గోరు,анапхыц
31,Nagel[Anatomie]::N,గోరు,ашьапхыц
32,Zeh::N,కాలిప్రేలు,ашьацəа
33,Fuß::N,అడుగు,ашьапсыргəыҵа
34,Ferse::N,మడమ,ашьхəа
35,Knie::N,మోకాలు,ашьамхы
36,Oberschenkel::N,తొడ,ауаҭəа
37,Bein::N,కాలు,ашьапы
38,Körper::N,కాయము,ацəеижь
39,Haut::N,చర్మము,ацəа
40,Blut::N,రక్తము,ашьа
41,Ader::N,సిర,ада
42,Sehne::N,స్నాయువు,адаш
43,Knochen::N,ఎముక,абаҩ
44,Gehirn::N,మెదడు,ахшлыбаҩ
45,Gehirn::N,మెదడు,ахшыбаҩ
46,Herz::N,హృదయము,агəы
47,Magen::N,కడుపు,аца
48,Magen::N,కడుపు,ацар
49,Leber::N,కాలేయము,агəаҵəа
50,Atem::N,ఉపిరి,аҧсыҧлагаҩгара
51,Hunger::N,ఆకలి,амла
52,Träne::N,కన్నీటిచుక్క,алабжыш
53,Geschmack::N,రుచి,агьама
54,Geruch::N,వాసన,афҩы
55,Schlaf::N,నిద్ర,ацəа
56,Traum::N,కల,аҧхыӡ
57,Himmel::N,ఆకాశము,ажəҩан
58,Sonne::N,సూర్యుడు,амра
59,Mond::N,చంద్రుడు,амза
60,Stern::N,నక్షత్రము,аеҵəа
61,Luft::N,గాలి,аҳаир
62,Wind::N,వీచుచున్నగాలి,аҧша
63,Welle::N,అల,ацəқəырҧа
64,Wasser::N,నీరు,аӡы
65,Stein::N,ఱాయి,ахаҳə
