,Concept_ID,,it
201,Schale::N,,buccia
202,Grube::N,,cava
203,Grube::N,,fossa
204,Falle::N,,tràppola
205,Schlinge::N,,laccio
206,Spur::N,,traccia
207,Asche::N,,cenere
208,Dreck::N,,fango
209,Eisen::N,,ferro
210,Gold::N,,oro
211,Silber::N,,argento
212,Kohle::N,,carbone
213,Glas::N,,vetro
214,Lehm::N,,argilla
215,Sand::N,,arena
216,Sand::N,,sabbia
217,Mensch::N,,uomo
218,Mensch::N,,èssere umano
219,Mann::N,,uomo
220,Frau::N,,donna
221,Kind::N,,bambino
222,Junge::N,,ragazzo
223,Mädchen::N,,ragazza
224,Familie::N,,famiglia
225,Großvater::N,,nonno
226,Großmutter::N,,nonna
227,Eltern::N,,genitori
228,Vater::N,,padre
229,Mutter::N,,madre
230,Sohn::N,,figlio
231,Tochter::N,,figlia
232,Bruder::N,,fratello
233,Schwester::N,,sorella
234,Onkel::N,,zio
235,Tante::N,,zia
236,Ehemann::N,,marito
237,Ehefrau::N,,moglie
238,Freude::N,,gioia
239,Freude::N,,piacere
240,Gelächter::N,,risata
241,Glück::N,,felicità
242,Kummer::N,,afflizione
243,Wunsch::N,,desiderio
244,Lust::N,,voglia
245,Geist::N,,mente
246,Geist::N,,spìrito
247,Gedanke::N,,idea
248,Gedanke::N,,pensiero
249,Gedächtnis::N,,memoria
250,Verstand::N,,intelletto
251,Sinn::N,,senso
252,Sinn::N,,significato
253,Grund::N,,causa
254,Grund::N,,motivo
255,Grund::N,,ragione
256,Wahrheit::N,,verità
257,Gespräch::N,,discorso
258,Gespräch::N,,conversazione
259,Märchen::N,,fiaba
260,Märchen::N,,fàvola
261,Erzählung::N,,racconto
262,Erzählung::N,,narrazione
263,Nachricht::N,,messaggio
264,Neuigkeit::N,,notizia
265,Name::N,,nome
266,Rätsel::N,,indovinello
267,Rede::N,,discorso
268,Sprache::N,,lingua
269,Sprache::N,,linguaggio
270,Stimme::N,,voce
271,Wort::N,,parola
272,Zeichen::N,,segno
273,Zeichen::N,,segnale
274,Ruf::N,,chiamata
275,Lärm::N,,chiasso
276,Lärm::N,,strèpito
277,Laut::N,,suono
278,Ton::N,,tono
279,Lied::N,,canto
280,Lied::N,,canzone
281,Ruhe::N,,calma
282,Ruhe::N,,tranquillità
283,Leute::N,,gente
284,Volk::N,,pòpolo
285,Arbeit::N,,lavoro
286,Gast::N,,òspite
287,Gast::N,,invitato
288,Geschenk::N,,regalo
289,Spiel::N,,gioco
290,Gesellschaft::N,,compagnìa
291,Hilfe::N,,aiuto
292,Hilfe::N,,soccorso
293,Freund::N,,amico
294,Kamerad::N,,camerata
295,Angelegenheit::N,,affare
296,Angelegenheit::N,,faccenda
297,Anzahl::N,,nùmero
298,Anzahl::N,,quantità
299,Art::N,,tipo
300,Art::N,,specie
301,Stück::N,,pezzo
302,Teil::N,,parte
303,Hälfte::N,,metà
304,Kreis::N,,cìrcolo
305,Kreuz::N,,croce
306,Linie::N,,lìnea
307,Strich::N,,tratto
308,Abstand::N,,distanza
309,Entfernung::N,,distanza
310,Entfernung::N,,lontananza
311,Gegend::N,,regione
312,Platz::N,,posto
313,Platz::N,,spazio
314,Ort::N,,luogo
315,Ort::N,,località
316,Seite::N,,lato
317,Seite::N,,parte
318,Mitte::N,,mezzo
319,Mitte::N,,centro
320,Gegenstand::N,,oggetto
321,Sache::N,,cosa
322,Rand::N,,orlo
323,Rand::N,,bordo
324,Kante::N,,spìgolo
325,Ecke::N,,canto
326,Spitze::N,,punta
327,Ende::N,,capo
328,Ende::N,,estremità
329,Loch::N,,buco
330,Winkel::N,,àngolo
331,Muster::N,,disegno
332,Größe::N,,taglia
333,Größe::N,,grandezza
334,Länge::N,,lunghezza
