,Concept_ID,br,ce
0,Auge::N,lagad,бӏаьрг
1,Ohr::N,skouarn,лерг
2,Nase::N,fri,мара
3,Mund::N,genoù,бага
4,Zahn::N,dant,церг
5,Zunge::N,teod,мотт
6,Lippe::N,muzell,балда
7,Wange::N,chot,бесни
8,Gesicht::N,dremm,юьхь
9,Stirn::N,tal,хьаж
10,Haar::N,blev,мас
11,Schnurrbart::N,mourenn,мекх
12,Bart::N,barv,маж
13,Kinn::N,groñj,чӏениг
14,Kiefer[Anatomie]::N,javed,мочхал
15,Kehle::N,gouzoug,къамкъарг
16,Hals::N,gouzoug,ворта
17,Genick::N,choug,кӏесаркӏаг
18,Kopf::N,penn,корта
19,Rücken::N,kein,букъ
20,Bauch::N,kof,кийра
21,Nabel::N,begel,цӏонга
22,Busen::N,bronn,зударийн накха
23,Brust::N,bruched,накха
24,Schulter::N,skoaz,белш
25,Arm::N,brec'h,пхьарс
26,Ellenbogen::N,ilin,пхьаьрсан гола
27,Hand::N,dorn,куьг
28,Handfläche::N,palv,кераюкъ
29,Finger::N,biz,пӏелг
30,Fingernagel::N,ivin,мӏара
31,Nagel[Anatomie]::N,ivin,мӏара
32,Zeh::N,biz-troad,кога пӏелг
33,Fuß::N,troad,ког
34,Ferse::N,seul,кӏажа
35,Knie::N,glin,гола
36,Oberschenkel::N,morzhed,варе
37,Bein::N,gar,ког
38,Körper::N,korf,хӏума
39,Haut::N,kroc'hen,чкъор
40,Blut::N,gwad,цӏий
41,Ader::N,gwazhi,пха
42,Sehne::N,stir,хьорзам
43,Knochen::N,askorn,даьӏахк
44,Gehirn::N,empenn,хье
45,Herz::N,kalon,дог
46,Magen::N,stomog,зорх
47,Leber::N,avu,доӏах
48,Atem::N,anal,садеӏар
49,Hunger::N,naon,мацалла
50,Träne::N,daer,бӏаьрхи
51,Geschmack::N,blaz,чам
52,Geruch::N,c'hwezh,хьожа
53,Schlaf::N,kousked,наб
54,Traum::N,hune,гӏан
55,Himmel::N,oabl,стигал
56,Sonne::N,heol,малх
57,Mond::N,loar,бутт
58,Stern::N,steredenn,седа
59,Luft::N,aer,xӏаваъ
60,Wind::N,avel,мох
61,Welle::N,houlenn,тулгӏе
62,Wasser::N,dour,хи
63,Stein::N,maen,тӏулг
64,Boden::N,tachenn,цӏенкъа
65,Erde::N,douar,латта
66,Staub::N,poultr,чан
67,Rauch::N,moged,кӏур
68,Funke::N,ful,суй
69,Feuer::N,tan,цӏе
70,Licht::N,gouloù,серло
71,Schatten::N,disheol,ӏиндагӏ
72,Wetter::N,amzer,хенан хӏоттам
73,Nebel::N,brumenn,дохк
74,Wolke::N,koumoulenn,марха
75,Regen::N,glav,догӏа
76,Schnee::N,erc'h,ло
77,Eis::N,skorn,ша
78,Frost::N,rev,шело
79,Kälte::N,yen,шело
80,Hitze::N,tommder,йовхо
81,Raureif::N,frim,йис
82,Regenbogen::N,gwareg-ar-glav,стелаӏад
83,Donner::N,kurun,ткъес
84,Strömung::N,red,дӏаэхар
85,Strömung::N,red,дӏасалелар
86,Tropfen::N,bannac'h,тӏадам
87,Tropfen::N,takenn,тӏадам
88,Schaum::N,spoum,чопа
89,Schmutz::N,fank,хатт
90,See::N,lenn,ӏам
91,Sumpf::N,gwern,уьшал
92,Moor::N,taouarc'heg,уьшал
93,Wiese::N,prad,бай
94,Wald::N,koad,хьун
95,Hügel::N,torgenn,гу
96,Hügel::N,torgenn,шу
97,Hügel::N,torgenn,барз
98,Anhöhe::N,run,акъари
99,Berg::N,menez,лам
100,Gipfel::N,barr,бохь
101,Höhle::N,kav,хьех
102,Abhang::N,naou,басе
103,Quelle::N,feunteun,шовда
104,Bach::N,gwazh,татол
105,Fluss::N,stêr,хи
106,Ufer::N,ribl,хийист
107,Küste::N,aod,йист
108,Festland::N,douar,латта
109,Meer::N,mor,xӏорд
110,Bucht::N,mor-bihan,чож
111,Insel::N,enez,гӏайре
112,Blume::N,bleunienn,зезаг
113,Gras::N,geot,буц
114,Wurzel::N,gwrizienn,орам
115,Baum::N,gwezenn,дитт
116,Stamm::N,kef,гӏад
117,Stamm::N,kef,тайпа
118,Rinde::N,rusk,кевстиг
119,Ast::N,barr,га
120,Zweig::N,bod,га
121,Blatt::N,delienn,гӏа
122,Birke::N,bezvenn,дакх
123,Kiefer[Baum]::N,pinenn,бага
124,Weide[Baum]::N,halegenn,дак
125,Tanne::N,sapenn,база
126,Horn::N,korn,маӏа
127,Feder::N,pluñv,пелаг
128,Fell::N,kreoñ,цӏока
129,Flügel::N,askell,тӏам
130,Klaue::N,skilf,мӏара
131,Kralle::N,skilf,тlод
132,Schwanz::N,lost,цӏога
133,Ei::N,vi,xӏoa
134,Nest::N,neizh,бен
135,Bau::N,douarenn,lуьрг
136,Tier::N,loen,дийнат
137,Herde::N,tropell,жа
138,Kuh::N,buoc'h,етт
139,Bulle::N,tarv,сту
140,Pferd::N,marc'h,говр
141,Schaf::N,dañvad,жий
142,Schaf::N,dañvad,уьстагӏ
143,Schwein::N,pemoc'h,хьакха
144,Hund::N,ki,жӏаьла
145,Katze::N,kazh,цициг
146,Bär::N,arzh,ча
147,Eichhörnchen::N,gwiñver,тарсал
148,Elch::N,karv-dour,сай
149,Fuchs::N,louarn,цхьогал
150,Hase::N,gad,пхьагал
151,Maus::N,logodenn,дахка
152,Wolf::N,bleiz,борз
153,Vogel::N,labous,олхазар
154,Schwarm::N,nijad,
155,Huhn::N,yar,котам
156,Hahn::N,kilhog,нӏаьна
157,Hahn::N,kilhog,боргӏал
158,Gans::N,gwazenn,гӏаз
159,Adler::N,erer,aьрзу
160,Ente::N,houad,бад
161,Eule::N,toud,бухӏа
162,Kranich::N,garan,гӏаргӏули
163,Krähe::N,bran,къиг
164,Kuckuck::N,koukoug,aттйокх
165,Schwan::N,alarc'h,гӏургӏаз
166,Fisch::N,pesk,чӏара
167,Barsch::N,brell,окунь
168,Hecht::N,beked,гӏазкхийн чӏара
169,Schlange[Tier]::N,naer,лаьхьа
170,Wurm::N,preñv,нӏаьна
171,Spinne::N,kevnidenn,гезг
172,Ameise::N,merion,зингат
173,Laus::N,laouenn,меза
174,Laus::N,laouenn,гӏениг
175,Mücke::N,moustik,чуьрк
176,Fliege::N,kelienenn,моза
177,Schmetterling::N,balafenn,полла
178,Beere::N,hog,цӏазам
179,Apfel::N,aval,ӏаж
180,Pilz::N,kabell-touseg,жӏаьлин нускал
181,Zwiebel::N,ognonenn,xох
182,Saat::N,had,чlу
183,Korn::N,ed,буьртиг
184,Heu::N,foenn,йол
185,Schale::N,peliadur,пардо
186,Falle::N,pech,кӏело
187,Schlinge::N,krouglas,
188,Asche::N,ludu,чим
189,Dreck::N,fank,мода
190,Eisen::N,houarn,эчиг
191,Gold::N,aour,деши
192,Silber::N,arc'hant,дети
193,Kohle::N,glaou,кӏора
194,Glas::N,gwer,aнгали
195,Sand::N,traezh,гӏум
196,Mensch::N,den,адам
197,Mann::N,den,майра
198,Frau::N,maouez,зуда
199,Kind::N,bugel,бер
200,Junge::N,paotr,жимха
201,Mädchen::N,plac'h,жима йоӏ
202,Familie::N,familh,доьзал
203,Großvater::N,tad-kozh,ненада
204,Großmutter::N,mamm-gozh,денана
205,Eltern::N,kerent,да-нана
206,Vater::N,tad,да
207,Mutter::N,mamm,нана
208,Sohn::N,mab,кӏант
209,Tochter::N,merc'h,йоӏ
210,Bruder::N,breur,ваша
211,Schwester::N,c'hoar,йиша
212,Onkel::N,eontr,деваша
213,Tante::N,moereb,дейиша
214,Ehemann::N,gwaz,майра
215,Ehefrau::N,gwreg,зуда
216,Freude::N,levenez,самукъа
217,Freude::N,levenez,хазахетар
218,Gelächter::N,c'hoarzherezh,белам
219,Glück::N,chañs,ирс
220,Kummer::N,doan,бала
221,Wunsch::N,c'hoant,лаам
222,Lust::N,c'hoant,лаам
223,Geist::N,spered,са
224,Gedanke::N,soñj,ойла
225,Gedächtnis::N,eñvor,диццадалар
226,Verstand::N,skiant,хьекъал
227,Sinn::N,ster,маьӏна
228,Grund::N,kaoz,бахьана
229,Wahrheit::N,gwirionez,бакъдерг
230,Gespräch::N,kaozeadenn,къамел
231,Märchen::N,kaoz korriganez,туьйра
232,Erzählung::N,kontadenn,дийцар
233,Nachricht::N,keloù,хаам
234,Neuigkeit::N,kelaouenn,керланиг
235,Name::N,anv,цӏе
236,Rätsel::N,divinatez,хӏетал-метал
237,Rede::N,diskour,къамел
238,Sprache::N,yezh,мотт
239,Stimme::N,mouezh,aз
240,Wort::N,ger,дош
241,Zeichen::N,sin,билгало
242,Ruf::N,galv,кхайкхар
243,Lärm::N,trouz,гӏовгӏа
244,Ton::N,ton,aз
245,Lied::N,kanaouenn,илли
246,Ruhe::N,sioulded,тийналла
247,Leute::N,tud,нах
248,Volk::N,pobl,халкъ
249,Arbeit::N,labour,болх
250,Gast::N,kouviad,хьаша
251,Geschenk::N,prof,совгӏат
252,Spiel::N,c'hoari,ловзар
253,Gesellschaft::N,kompagnunezh,юкъаралла
254,Gesellschaft::N,kavandad,юкъаралла
255,Hilfe::N,sikour,гӏо
256,Freund::N,mignon,доттагl
257,Kamerad::N,kamarad,накъост
258,Angelegenheit::N,afer,гӏуллакх
259,Anzahl::N,niver,терахь
260,Art::N,sort,
261,Stück::N,tamm,юьхк
262,Teil::N,pezh,дакъа
263,Hälfte::N,hanterenn,ах
264,Kreis::N,kelc'h,го
265,Kreuz::N,kroaz,жӏара
266,Linie::N,linenn,сиз
267,Strich::N,tenn,сиз
268,Abstand::N,distok,юкъ
269,Entfernung::N,keid,
270,Entfernung::N,kehid,
271,Gegend::N,korn-bro,мeттиг
272,Platz::N,plasenn,майда
273,Ort::N,lec'h,меттиг
274,Seite::N,tu,aгӏo
275,Mitte::N,kreiz,юкъ
276,Gegenstand::N,tra,хӏума
277,Sache::N,tra,хӏума
278,Rand::N,kantenn,йист
279,Kante::N,kantenn,йист
280,Ecke::N,korn,са
281,Spitze::N,begell,ралла
282,Ende::N,dibenn,юьхьиг
283,Loch::N,toull,ӏуьрг
284,Muster::N,tresadenn,дагар
285,Muster::N,tresadenn,тӏамар
286,Größe::N,ment,барам
287,Länge::N,hirder,йохалла
288,Höhe::N,uhelder,локхалла
289,Gewicht::N,pouez,йозалла
290,Menge::N,bern,дукхалла
291,Haufen::N,bern,сал
292,Haufen::N,bern,оьла
293,Reihe::N,steud,рагӏ
294,Reihe::N,steud,могӏа
295,Boot::N,bag,кема
296,Ruder::N,roeñv,пийсиг
297,Schlitten::N,trainell,салаз
298,Ski::N,ski,когсалаз
299,Last::N,karg,дукъ
300,Gang::N,kerzh,лелар
301,Schritt::N,paz,гӏулч
302,Norden::N,norzh,къилбаседе
303,Norden::N,hanternoz,къилбаседе
304,Süden::N,su,къилбе
305,Süden::N,kreisteiz,къилбе
306,Westen::N,kuzh-heol,малхбузе
307,Osten::N,reter,малхбале
308,Osten::N,sav-heol,малхбале
309,Holz::N,koad,дечиг
310,Brett::N,plankenn,у
311,Platte::N,plakenn,у
312,Stütze::N,harp,гӏopтоp
313,Stange::N,sparl,гӏуркх
314,Stock::N,bazh,ӏаса
315,Stab::N,bazh,гӏаж
316,Rohr::N,tub,биргӏа
317,Rohr::N,korz,биргӏа
318,Haus::N,ti,цӏа
319,Heim::N,kêr,кхерч
320,Ofen::N,forn,кхерч
321,Fußboden::N,plañchod,цӏенкъа
322,Tisch::N,taol,шун
323,Stuhl::N,kador,гӏант
324,Wiege::N,kavell,ага
325,Bett::N,gwele,маьнга
326,Regal::N,estajerenn,терхи
327,Kiste::N,kased,яьшка
328,Fenster::N,prenestr,кор
