,Concept_ID,fr,fi
0,Auge::N,œil,silmä
1,Ohr::N,oreille,korva
2,Nase::N,nez,nenä
3,Mund::N,bouche,suu
4,Zahn::N,dent,hammas
5,Zunge::N,langue,kieli
6,Lippe::N,lèvre,huuli
7,Wange::N,joue,poski
8,Gesicht::N,face,naama
9,Gesicht::N,face,kasvot
10,Gesicht::N,visage,naama
11,Gesicht::N,visage,kasvot
12,Stirn::N,front,otsa
13,Haar::N,cheveu,hius
14,Haar::N,cheveu,tukka
15,Schnurrbart::N,moustache,viikset
16,Bart::N,barbe,parta
17,Kinn::N,menton,leuka
18,Kiefer[Anatomie]::N,mâchoire,leukaluu
19,Kehle::N,gorge,kurkku
20,Hals::N,cou,kaula
21,Genick::N,nuque,niska
22,Kopf::N,tête,pää
23,Rücken::N,dos,selkä
24,Bauch::N,ventre,maha
25,Bauch::N,ventre,vatsa
26,Nabel::N,nombril,napa
27,Busen::N,sein,rinta
28,Brust::N,poitrine,rinta
29,Schulter::N,épaule,olka
30,Schulter::N,épaule,hartia
31,Schulter::N,épaule,olkapää
32,Arm::N,bras,käsivarsi
33,Ellenbogen::N,coude,kyynärpää
34,Hand::N,main,käsi
35,Handfläche::N,paume,kämmen
36,Finger::N,doigt,sormi
37,Fingernagel::N,ongle,kynsi
38,Nagel[Anatomie]::N,ongle,kynsi
39,Zeh::N,orteil,varvas
40,Zeh::N,doigt de pied,varvas
41,Fuß::N,pied,jalka
42,Ferse::N,talon,kantapää
43,Knie::N,genou,polvi
44,Oberschenkel::N,cuisse,reisi
45,Bein::N,jambe,jalka
46,Körper::N,corps,keho
47,Körper::N,corps,ruumis
48,Haut::N,peau,iho
49,Blut::N,sang,veri
50,Ader::N,veine,suoni
51,Sehne::N,tendon,jänne
52,Knochen::N,os,luu
53,Gehirn::N,cerveau,aivot
54,Herz::N,cœur,sydän
55,Magen::N,estomac,maha
56,Magen::N,estomac,vatsa
57,Leber::N,foie,maksa
58,Atem::N,haleine,henki
59,Atem::N,haleine,hengitys
60,Hunger::N,faim,nälkä
61,Träne::N,larme,kyynel
62,Geschmack::N,goût,maku
63,Geschmack::N,saveur,maku
64,Geruch::N,odeur,haju
65,Schlaf::N,sommeil,uni
66,Traum::N,songe,uni
67,Himmel::N,ciel,taivas
68,Sonne::N,soleil,aurinko
69,Mond::N,lune,kuu
70,Stern::N,étoile,tähti
71,Luft::N,air,ilma
72,Wind::N,vent,tuuli
73,Welle::N,vague,aalto
74,Wasser::N,eau,vesi
75,Stein::N,pierre,kivi
76,Boden::N,sol,maa
77,Boden::N,sol,maaperä
78,Boden::N,terrain,maa
79,Boden::N,terrain,maaperä
80,Erde::N,terre,maa
81,Staub::N,poussière,pöly
82,Rauch::N,fumée,savu
83,Funke::N,étincelle,kipinä
84,Feuer::N,feu,tuli
85,Licht::N,lumière,valo
86,Schatten::N,ombre,varjo
87,Wetter::N,temps,sää
88,Nebel::N,brume,sumu
89,Nebel::N,brouillard,sumu
90,Wolke::N,nuage,pilvi
91,Regen::N,pluie,sade
92,Schnee::N,neige,lumi
93,Eis::N,glace,jää
94,Frost::N,gel,halla
95,Frost::N,gel,pakkanen
96,Frost::N,gelée,halla
97,Frost::N,gelée,pakkanen
98,Kälte::N,froid,vilu
99,Kälte::N,froid,kylmyys
100,Hitze::N,chaleur,helle
101,Hitze::N,chaleur,kuumuus
