,Concept_ID,kk,bg
0,Auge::N,көз,око
1,Ohr::N,құлақ,ухо
2,Nase::N,мұрын,нос
3,Mund::N,ауыз,уста
4,Zahn::N,тіс,зъб
5,Zunge::N,тіл,език
6,Lippe::N,ерін,устна
7,Wange::N,ұрт,буза
8,Gesicht::N,бет-аузы,лице
9,Gesicht::N,бет-аузы,образ
10,Stirn::N,маңдай,чело
11,Haar::N,қыл,коса
12,Haar::N,қыл,косъм
13,Schnurrbart::N,мұрт,мустаци
14,Bart::N,сақал,брада
15,Kinn::N,иек,брада
16,Kinn::N,иек,брадичка
17,Kiefer[Anatomie]::N,жақ,челюст
18,Kehle::N,алқым,гърло
19,Hals::N,мойын,врат
20,Genick::N,желке,тил
21,Kopf::N,кәллә,глава
22,Rücken::N,арқа,гръб
23,Bauch::N,қарын,корем
24,Nabel::N,кіндік,пъп
25,Busen::N,омырау,бозка
26,Brust::N,кеуде,гръд
27,Schulter::N,иық,рамо
28,Schulter::N,иық,плещи
29,Arm::N,қол,ръка
30,Ellenbogen::N,шынтақ,лакът
31,Hand::N,қол,ръка
32,Hand::N,қол,китка
33,Handfläche::N,алақан,длан
34,Finger::N,саусақ,пръст
35,Fingernagel::N,тырнақ,нокът
36,Nagel[Anatomie]::N,тырнақ,нокът
37,Zeh::N,тырнақ,пръст на крак
38,Zeh::N,тұяқ,пръст на крак
39,Fuß::N,аяқ-басы,крак
40,Fuß::N,аяқ-басы,нога
41,Ferse::N,өкше,пета
42,Ferse::N,өкшелік,пета
43,Knie::N,тізе,коляно
44,Oberschenkel::N,жамбас,бедро
45,Bein::N,аяқ,крак
46,Bein::N,аяқ,нога
47,Körper::N,дене,тяло
48,Haut::N,тері,кожа
49,Blut::N,қан,кръв
50,Ader::N,көктамыр,вена
51,Ader::N,көктамыр,артерия
52,Ader::N,күретамыр,вена
53,Ader::N,күретамыр,артерия
54,Sehne::N,сіңір,жила
55,Sehne::N,сіңір,сухожилие
56,Knochen::N,жілік,кост
57,Gehirn::N,ми,мозък
58,Herz::N,жүрек,сърце
59,Magen::N,асқазан,стомах
60,Leber::N,бауыр,черен дроб
61,Atem::N,леп,дишане
62,Hunger::N,ашаршылық,глад
63,Träne::N,жас,сълза
64,Geschmack::N,дәм,вкус
65,Geschmack::N,татым,вкус
66,Geschmack::N,талғам,вкус
67,Geruch::N,иіс,миризма
68,Schlaf::N,ұйқы,сън
69,Schlaf::N,ұйықтау,сън
70,Traum::N,түс,сън
71,Himmel::N,аспан,небе
72,Himmel::N,көқ,небе
73,Himmel::N,таңдай,небе
74,Sonne::N,күн,слънце
75,Mond::N,ай,луна
76,Mond::N,ай,месец
