,Concept_ID,ku,ro
0,Auge::N,çav,ochi
1,Ohr::N,guh,ureche
2,Nase::N,bêvil,nas
3,Mund::N,dev,gură
4,Zahn::N,didan,dinte
5,Zunge::N,ziman,limbă
6,Lippe::N,lêv,buză
7,Wange::N,dêm,bucă
8,Wange::N,dêm,obraz
9,Wange::N,hinarik,bucă
10,Wange::N,hinarik,obraz
11,Gesicht::N,rû,față
12,Gesicht::N,rû,figură
13,Stirn::N,enî,frunte
14,Haar::N,por,păr
15,Schnurrbart::N,simbêl,mustață
16,Bart::N,rih,barbă
17,Kinn::N,zenî,bărbie
18,Kiefer[Anatomie]::N,arguşk,falcă
19,Kehle::N,qirik,beregată
20,Hals::N,stû,gât
21,Hals::N,qirik,gât
22,Genick::N,stû,ceafă
23,Kopf::N,serî,cap
24,Rücken::N,pişt,dos
25,Rücken::N,pişt,spate
26,Rücken::N,pişt,spinare
27,Bauch::N,ûr,burtă
28,Bauch::N,ûr,pântece
29,Bauch::N,zik,burtă
30,Bauch::N,zik,pântece
31,Nabel::N,navik,buric
32,Busen::N,sîng,sân
33,Brust::N,sîng,piept
34,Schulter::N,mil,umăr
35,Schulter::N,mil,spate
36,Arm::N,çepil,braț
37,Ellenbogen::N,enîşk,cot
38,Hand::N,dest,mână
39,Handfläche::N,kefadest,palmă
40,Finger::N,tilî,deget
41,Fingernagel::N,neynuk,unghie
42,Nagel[Anatomie]::N,bizmar,unghie
43,Zeh::N,tilî linga,deget de la picior
44,Fuß::N,ling,picior
45,Ferse::N,pahnî,călcâi
46,Knie::N,kabok,genunchi
47,Oberschenkel::N,rahn,coapsă
48,Bein::N,çip,picior
49,Körper::N,laş,corp
50,Körper::N,gowde,corp
51,Haut::N,çerm,piele
52,Blut::N,xwîn,sânge
53,Ader::N,reh,vână
54,Ader::N,reh,arteră
55,Sehne::N,reh,tendon
56,Knochen::N,hestî,os
57,Gehirn::N,mêjî,creier
58,Herz::N,dil,inimă
59,Magen::N,navêş,stomac
60,Leber::N,kezeb,ficat
61,Atem::N,hilm,răsuflare
62,Atem::N,hilm,respirație
63,Hunger::N,birçîtî,foame
64,Träne::N,hêstir,lacrimă
65,Geschmack::N,tam,gust
66,Geruch::N,bêhn,miros
67,Schlaf::N,xew,somn
68,Traum::N,xewn,vis
69,Himmel::N,ezman,cer
70,Sonne::N,roj,soare
71,Mond::N,heyv,lună
72,Stern::N,stêrk,stea
73,Luft::N,ba,aer
74,Wind::N,ba,vânt
75,Welle::N,şewl,val
76,Welle::N,şewl,undă
77,Wasser::N,av,apă
78,Stein::N,kevir,piatră
79,Boden::N,herd,sol
80,Boden::N,herd,pământ
81,Erde::N,ax,pământ
82,Staub::N,toz,praf
83,Rauch::N,dû,fum
84,Funke::N,çirûşk,scânteie
85,Feuer::N,agir,foc
86,Licht::N,ronahî,lumină
87,Schatten::N,sî,umbră
88,Wetter::N,hewa,timp
89,Wetter::N,hewa,vreme
90,Nebel::N,mij,ceață
91,Nebel::N,mij,negură
92,Wolke::N,ewr,nor
93,Regen::N,baran,ploaie
94,Schnee::N,berf,zăpadă
95,Eis::N,qeşa,gheață
96,Frost::N,xûsik,ger
97,Kälte::N,serma,frig
98,Hitze::N,germayî,arșiță
99,Hitze::N,germayî,căldură
100,Raureif::N,şext,chiciură
101,Regenbogen::N,heftreng,curcubeu
102,Donner::N,gire-gir,tunet
103,Strömung::N,şewl,curent
104,Tropfen::N,dilop,picătură
105,Schaum::N,kef,spumă
106,Schmutz::N,gemar,murdărie
107,See::N,gol,lac
108,Sumpf::N,hezek,mlaștină
109,Moor::N,mafêl,bărăgan
110,Wiese::N,sûrik,fânaț
111,Wiese::N,sûrik,livadă
112,Wald::N,çiya,codru
113,Wald::N,çiya,pădure
114,Wald::N,daristan,codru
115,Wald::N,daristan,pădure
116,Hügel::N,gir,deal
117,Hügel::N,gir,movilă
118,Anhöhe::N,sere gir,deal
119,Anhöhe::N,sere gir,ridicătură
120,Berg::N,kaş,munte
121,Gipfel::N,sere gir,pisc
122,Höhle::N,şikeft,peșteră
123,Abhang::N,kaş,pantă
124,Abhang::N,kaş,versant
125,Quelle::N,kanî,izvor
126,Bach::N,çem,gârlă
127,Fluss::N,çem,râu
128,Fluss::N,çem,fluviu
129,Fluss::N,rûbar,râu
130,Fluss::N,rûbar,fluviu
131,Ufer::N,kevî,mal
132,Ufer::N,kevî,țărm
133,Küste::N,berav,coastă
134,Festland::N,bejahî,uscat
135,Meer::N,behr,mare
136,Bucht::N,derav,golf
137,Insel::N,girav,insulă
138,Blume::N,kulînk,floare
139,Gras::N,giha,iarbă
140,Wurzel::N,reh,rădăcină
141,Baum::N,dar,copac
142,Baum::N,dar,arbore
143,Stamm::N,bavik,tulpină
144,Rinde::N,qaqil,scoarță
145,Ast::N,gulî,cracă
146,Ast::N,gulî,creangă
147,Zweig::N,şax,ramură
148,Zweig::N,şax,creangă
149,Blatt::N,pel,frunză
150,Birke::N,dara sipî,mesteacăn
151,Kiefer[Baum]::N,dara bî,pin
152,Weide[Baum]::N,dara belalûk,salcie
153,Weide[Baum]::N,dara belalûk,răchită
154,Tanne::N,merx,brad
155,Horn::N,strô,corn
156,Feder::N,pîrtîk,pană
157,Fell::N,heyar,piele
158,Flügel::N,per,aripă
159,Klaue::N,napîk,gheară
160,Kralle::N,dinik,labă
161,Kralle::N,dinik,gheară
162,Kralle::N,dirnax,labă
163,Kralle::N,dirnax,gheară
164,Schwanz::N,dûv,coadă
165,Ei::N,hêk,ou
166,Nest::N,hêlîn,cuib
167,Bau::N,avahî,bârlog
168,Bau::N,avahî,vizuină
169,Tier::N,heywan,animal
170,Herde::N,hoz,turmă
171,Herde::N,hoz,cireadă
172,Kuh::N,çêlek,vacă
173,Bulle::N,ga,taur
174,Pferd::N,hesp,cal
175,Schaf::N,mîh,oaie
176,Schwein::N,beraz,porc
177,Hund::N,seh,câine
178,Katze::N,pişîk,pisică
179,Bär::N,hirç,urs
180,Eichhörnchen::N,pilûr,veveriță
181,Elch::N,pazkovî,elan
182,Fuchs::N,rovî,vulpe
183,Hase::N,kîroşk,iepure
184,Maus::N,mişk,șoarece
185,Wolf::N,gur,lup
