,Concept_ID,mrj,de
0,Auge::N,сӹнзӓ,Auge
1,Ohr::N,пӹлӹш,Ohr
2,Nase::N,нер,Nase
3,Mund::N,ышма,Mund
4,Zahn::N,пӱ,Zahn
5,Zunge::N,йӹлмӹ,Zunge
6,Lippe::N,тӹрвӹ,Lippe
7,Wange::N,шӹргӹ,Wange
8,Gesicht::N,лицӓ,Gesicht
9,Stirn::N,лепкӓ,Stirn
10,Haar::N,ӱп,Haar
11,Schnurrbart::N,öрш,Schnurrbart
12,Bart::N,пандаш,Bart
13,Kinn::N,онгылаш,Kinn
14,Kiefer[Anatomie]::N,пӱ арата,Kiefer
15,Kehle::N,логер,Kehle
16,Hals::N,шӱ,Hals
17,Genick::N,ланга,Genick
18,Kopf::N,вуй,Kopf
19,Rücken::N,туп,Rücken
20,Bauch::N,мӹшкӹр,Bauch
21,Nabel::N,кӹлӹмдӹ,Nabel
22,Busen::N,цӹзӹ,Busen
23,Brust::N,мел,Brust
24,Schulter::N,ӹнгӹжӓ,Schulter
25,Arm::N,кид,Arm
26,Ellenbogen::N,кӹнервуй,Ellenbogen
27,Hand::N,лапа,Hand
28,Handfläche::N,кид лапа,Handfläche
29,Finger::N,парня,Finger
30,Fingernagel::N,кӹч,Fingernagel
31,Nagel[Anatomie]::N,кӹч,Nagel
32,Zeh::N,парня,Zeh
33,Fuß::N,ял лапа,Fuß
34,Ferse::N,ялгавал,Ferse
35,Ferse::N,ял кавал,Ferse
36,Knie::N,пылвуй,Knie
37,Oberschenkel::N,ӓрдӹ,Oberschenkel
38,Bein::N,ял,Bein
39,Körper::N,монгыр,Körper
40,Haut::N,кавашты,Haut
41,Blut::N,вӹр,Blut
42,Ader::N,вӹршӓр,Ader
43,Sehne::N,кукшышӱн,Sehne
44,Knochen::N,лу,Knochen
45,Gehirn::N,вим,Gehirn
46,Herz::N,шӱм,Herz
47,Magen::N,шӱм,Magen
48,Leber::N,мокш,Leber
49,Atem::N,шӱлӹш,Atem
50,Hunger::N,шужымаш,Hunger
51,Träne::N,сӹнзӓвӹд,Träne
52,Geschmack::N,тот,Geschmack
53,Geruch::N,пыш,Geruch
54,Schlaf::N,ом,Schlaf
55,Traum::N,ом,Traum
56,Himmel::N,пӹлгом,Himmel
57,Sonne::N,кечӹ,Sonne
58,Mond::N,тӹлзӹ,Mond
59,Stern::N,шӹдӹр,Stern
60,Luft::N,юж,Luft
61,Luft::N,воздух,Luft
62,Wind::N,мардеж,Wind
63,Welle::N,ко,Welle
64,Welle::N,коэ,Welle
65,Wasser::N,вӹд,Wasser
66,Stein::N,кӱ,Stein
67,Boden::N,рок,Boden
68,Erde::N,свет,Erde
69,Staub::N,пырак,Staub
70,Rauch::N,шӹкш,Rauch
71,Funke::N,ип,Funke
72,Funke::N,тылип,Funke
73,Feuer::N,тыл,Feuer
74,Licht::N,соты,Licht
75,Licht::N,валгыды,Licht
76,Schatten::N,ӹмӹл,Schatten
77,Wetter::N,игечӹ,Wetter
78,Nebel::N,тӹтӹрӓ,Nebel
79,Wolke::N,пӹл,Wolke
80,Regen::N,юр,Regen
81,Schnee::N,лым,Schnee
82,Eis::N,и,Eis
83,Frost::N,ӱштӹ,Frost
84,Kälte::N,ӱштӹ,Kälte
85,Hitze::N,шокшы,Hitze
86,Raureif::N,пöрш,Raureif
87,Regenbogen::N,шанавӹл,Regenbogen
88,Donner::N,хӹдӹртӹш,Donner
89,Strömung::N,йогы,Strömung
90,Tropfen::N,капльы,Tropfen
91,Tropfen::N,капльык,Tropfen
92,Schaum::N,шонг,Schaum
93,Schmutz::N,лявӹрӓ,Schmutz
94,See::N,йӓр,See
95,Sumpf::N,лӱкӹ,Sumpf
96,Moor::N,куп,Moor
97,Wiese::N,алык,Wiese
98,Wald::N,шӹргӹ,Wald
99,Hügel::N,пӱгӹрикӓ,Hügel
100,Anhöhe::N,кӱкшикӓ,Anhöhe
101,Berg::N,кырык,Berg
102,Gipfel::N,неркӓ,Gipfel
103,Höhle::N,ы́раж,Höhle
104,Abhang::N,полом,Abhang
105,Quelle::N,вӹдсӹнзӓ,Quelle
106,Bach::N,ӓнгӹр,Bach
107,Fluss::N,вӹд,Fluss
108,Ufer::N,сир,Ufer
109,Küste::N,сир,Küste
110,Festland::N,мӱлӓндӹ,Festland
111,Meer::N,тангыж,Meer
112,Bucht::N,вӹдъял,Bucht
113,Insel::N,острок,Insel
114,Blume::N,пеледӹш,Blume
115,Gras::N,шуды,Gras
116,Wurzel::N,важ,Wurzel
117,Baum::N,пушӓнгӹ,Baum
118,Stamm::N,пушӓнгӹ тӹнг,Stamm
119,Rinde::N,каргыж,Rinde
120,Ast::N,укш,Ast
121,Zweig::N,укш,Zweig
122,Blatt::N,листӹ,Blatt
123,Birke::N,куги,Birke
124,Kiefer[Baum]::N,йӓктӹ,Kiefer
125,Weide[Baum]::N,уа,Weide
126,Tanne::N,кож,Tanne
127,Horn::N,шур,Horn
128,Feder::N,пын,Feder
129,Fell::N,кавашты,Fell
130,Flügel::N,шылдыр,Flügel
131,Klaue::N,кӹч,Klaue
132,Kralle::N,лапа,Kralle
133,Schwanz::N,пач,Schwanz
134,Ei::N,мыны,Ei
135,Nest::N,пӹжӓш,Nest
136,Bau::N,ыраж,Bau
137,Tier::N,во́льык,Tier
138,Herde::N,кӹтö,Herde
139,Kuh::N,ышкал,Kuh
140,Bulle::N,ӱшкӱж,Bulle
141,Pferd::N,имни,Pferd
142,Schaf::N,шарык,Schaf
143,Schwein::N,сасна,Schwein
144,Hund::N,пи,Hund
145,Katze::N,коти,Katze
146,Bär::N,мöскӓ,Bär
147,Eichhörnchen::N,ур,Eichhörnchen
148,Elch::N,шарды,Elch
