,Concept_ID,te,sk
0,Auge::N,కన్ను,oko
1,Ohr::N,చెవి,ucho
2,Nase::N,ముక్కు,nos
3,Mund::N,నోరు,ústa
4,Zahn::N,పల్లు,zub
5,Zunge::N,నాలుక,jazyk
6,Lippe::N,పెదవి,pera
7,Wange::N,చెంప,líce
8,Gesicht::N,ముఖము,tvár
9,Gesicht::N,ముఖము,obličaj
10,Stirn::N,నుదురు,čelo
11,Haar::N,వెండ్రుక,vlas
12,Schnurrbart::N,మీసము,fúzy
13,Bart::N,గడ్డము,brada
14,Kinn::N,గడ్డము,brada
15,Kiefer[Anatomie]::N,దౌడ,čeľusť
16,Kehle::N,గొంతు,hrdlo
17,Hals::N,మెడ,krk
18,Genick::N,మూపు,väzy
19,Kopf::N,తల,hlava
20,Rücken::N,వెన్ను,chrbát
21,Bauch::N,కడుపు,brucho
22,Nabel::N,బొడ్డు,pupok
23,Busen::N,స్తనము,prsia
24,Brust::N,ఱొమ్ము,hruď
25,Schulter::N,భుజము,plece
26,Arm::N,చేయి,rameno
27,Ellenbogen::N,మోచేయి,lakeť
28,Hand::N,చేయి,ruka
29,Handfläche::N,అరచేయు,dlaň
30,Finger::N,చేతిప్రేలు,prst
31,Fingernagel::N,గోరు,necht
32,Nagel[Anatomie]::N,గోరు,necht
33,Zeh::N,కాలిప్రేలు,prst na nohe
34,Fuß::N,అడుగు,noha
35,Ferse::N,మడమ,päta
36,Knie::N,మోకాలు,koleno
37,Oberschenkel::N,తొడ,stehno
38,Bein::N,కాలు,noha
39,Körper::N,కాయము,telo
40,Haut::N,చర్మము,koža
41,Blut::N,రక్తము,krv
42,Ader::N,సిర,žila
43,Sehne::N,స్నాయువు,šľacha
44,Knochen::N,ఎముక,kosť
45,Gehirn::N,మెదడు,mozog
46,Herz::N,హృదయము,srdce
47,Magen::N,కడుపు,žalúdok
48,Leber::N,కాలేయము,pečeň
49,Atem::N,ఉపిరి,dych
50,Hunger::N,ఆకలి,hlad
51,Träne::N,కన్నీటిచుక్క,slza
52,Geschmack::N,రుచి,chuť
53,Geruch::N,వాసన,pach
54,Schlaf::N,నిద్ర,spánok
55,Traum::N,కల,sen
56,Himmel::N,ఆకాశము,nebo
57,Sonne::N,సూర్యుడు,slnko
58,Mond::N,చంద్రుడు,mesiac
59,Stern::N,నక్షత్రము,hviezda
60,Luft::N,గాలి,vzduch
61,Wind::N,వీచుచున్నగాలి,vietor
62,Welle::N,అల,vlna
63,Wasser::N,నీరు,voda
64,Stein::N,ఱాయి,kameň
65,Boden::N,నేల,zem
66,Boden::N,నేల,pôda
67,Erde::N,మన్ను,zem
68,Staub::N,దుమ్ము,prach
69,Rauch::N,పొగ,dym
70,Funke::N,అగ్నికణము,iskra
71,Feuer::N,అగ్ని,oheň
72,Licht::N,కాంతి,svetlo
73,Schatten::N,నీడ,tieň
74,Wetter::N,వాతావరణ స్థితి,počasie
75,Nebel::N,పొగమంచు,hmla
76,Wolke::N,మేఘము,oblak
77,Wolke::N,మేఘము,mračno
78,Regen::N,వాన,dážď
79,Schnee::N,హిమము,sneh
80,Eis::N,మంచుగడ్డ,ľad
81,Frost::N,పేరిన మంచు,mráz
82,Kälte::N,చలి,zima
83,Kälte::N,చలి,chlad
84,Hitze::N,వేడిమి,horúčava
85,Raureif::N,మంచు,srieň
86,Raureif::N,మంచు,inovať
87,Regenbogen::N,ఇంద్రధనుస్సు,dúha
88,Donner::N,ఉరుము,hrom
89,Strömung::N,ప్రవాహము,prúdenie
90,Tropfen::N,చుక్క,kvapka
91,Schaum::N,నురుగు,pena
92,Schmutz::N,మైల,špina
93,Schmutz::N,మైల,nečistota
94,See::N,సరస్సు,jazero
95,Sumpf::N,చిత్తడినేల,bahno
96,Moor::N,చిత్తడినేల,močiar
97,Wiese::N,పచ్చిక బయలు,lúka
98,Wald::N,అడవి,les
99,Wald::N,అడవి,hora
100,Hügel::N,చివ్నకొండ,vŕšok
101,Anhöhe::N,కొండ,výšina
102,Anhöhe::N,కొండ,vyvýšenina
103,Berg::N,పర్వతము,hora
104,Gipfel::N,శిఖరము,vrchol
105,Höhle::N,గుహ,jaskyňa
106,Abhang::N,ఏటవాలు,úbočie
107,Quelle::N,మూలము,prameň
108,Bach::N,కాలువ,potok
109,Fluss::N,నది,rieka
110,Ufer::N,తీరము,breh
111,Küste::N,తీరము,pobrežie
112,Festland::N,భూమి,pevnina
113,Meer::N,సముద్రము,more
114,Bucht::N,మరుగు,záliv
115,Bucht::N,మరుగు,zátoka
116,Insel::N,దీవి,ostrov
117,Blume::N,పుష్పము,kvet
118,Blume::N,పుష్పము,kvetina
119,Gras::N,పచ్చగడ్డి,tráva
120,Wurzel::N,వేరు,koreň
121,Baum::N,చెట్టు,strom
122,Stamm::N,చెట్టుబోదె,kmeň
123,Rinde::N,చెట్టుపట్ట,kôra
124,Ast::N,కొమ్మ,konár
125,Zweig::N,చివుకు,vetva
126,Blatt::N,ఆకు,list
127,Birke::N,తరహా చెట్టు,breza
128,Kiefer[Baum]::N,దేవదారు చెట్టు,sosna
129,Kiefer[Baum]::N,దేవదారు చెట్టు,borovica
130,Weide[Baum]::N,జాతిచెట్టు,vŕba
131,Tanne::N,దేవదారుచెట్టు,jedľa
132,Horn::N,కొమ్ము,roh
133,Feder::N,ఈక,pero
134,Fell::N,తోలు,koža
135,Fell::N,తోలు,kožušina
136,Flügel::N,ఱెక్క,krídlo
137,Klaue::N,వంకరగోరు,paznecht
138,Kralle::N,వంకరగోరు,pazúr
139,Schwanz::N,తోక,chvost
140,Ei::N,గ్రుడ్డు,vajce
141,Ei::N,గ్రుడ్డు,vajíčko
142,Nest::N,పక్షిగూడు,hniezdo
143,Bau::N,గుహ,nora
144,Tier::N,జంతువు,zviera
145,Herde::N,మంద,stádo
146,Kuh::N,ఆవు,krava
147,Bulle::N,గిత్త,býk
148,Pferd::N,గుఱ్ఱము,kôň
149,Schaf::N,గొఱ్ఱె,ovca
150,Schwein::N,పంది,sviňa
151,Hund::N,కుక్క,pes
152,Katze::N,పిల్లి,mačka
153,Bär::N,ఎలుగుబంటి,medveď
154,Eichhörnchen::N,ఉడుత,veverička
155,Elch::N,కణంజు,los
156,Fuchs::N,గుంటనక్క,líška
157,Hase::N,కుందేలు,zajac
158,Maus::N,చిట్టెలుక,myš
159,Wolf::N,తోడేలు,vlk
160,Vogel::N,పక్షి,vták
161,Schwarm::N,గుంపు,roj
162,Huhn::N,కోడిపిల్ల,kurča
163,Huhn::N,కోడిపిల్ల,sliepka
164,Hahn::N,కోడివుంజు,kohút
165,Gans::N,ఆడుబాతు,hus
166,Adler::N,గ్రద్ద,orol
167,Ente::N,పాట్టిబాతు,kačka
168,Ente::N,పాట్టిబాతు,kačica
169,Eule::N,గ్రుడ్లగూబ,sova
170,Kranich::N,కొంగ,žeriav
171,Krähe::N,కాకి,vrana
172,Kuckuck::N,కోయల,kukučka
173,Schwan::N,హంస,labuť
174,Fisch::N,చేప,ryba
175,Barsch::N,ఒకచేఁప,ostriež
176,Hecht::N,గండుమీను,šťuka
177,Schlange[Tier]::N,పాము,had
178,Wurm::N,పురుగు,červ
179,Spinne::N,సాలె పురుగు,pavúk
180,Ameise::N,చీమ,mravec
181,Laus::N,పేను,voš
182,Mücke::N,చీకటీగ,komár
183,Fliege::N,ఈగ,mucha
184,Schmetterling::N,సీతాకోకచిలుక,motýľ
185,Beere::N,కాయ,bobuľa
186,Apfel::N,ఆపిల్ పండు,jablko
187,Pilz::N,కుక్కగొడుగు,hríb
188,Zwiebel::N,నీరుల్లి,cibuľa
189,Saat::N,విత్తనము,osivo
190,Korn::N,గింజ,zrno
191,Heu::N,ఎండుగడ్డి,seno
192,Schale::N,పొట్టు,šupa
193,Schale::N,పొట్టు,škrupina
194,Grube::N,గొయ్యి,jama
195,Falle::N,బోను,pasca
196,Falle::N,బోను,klepec
197,Schlinge::N,ఉరి,slučka
198,Spur::N,జాడ,stopa
199,Asche::N,బూడిద,popol
200,Dreck::N,ముఱికి,kal
201,Dreck::N,ముఱికి,blato
202,Eisen::N,ఇనుము,železo
203,Gold::N,బంగారము,zlato
204,Silber::N,వెండి,striebro
205,Kohle::N,నేలబొగ్గు,uhlie
206,Glas::N,గాజు,sklo
207,Lehm::N,బంకమన్ను,íl
208,Lehm::N,బంకమన్ను,hlina
209,Sand::N,ఇసుక,piesok
210,Mensch::N,నరుడు,človek
211,Mann::N,పురుమడు,muž
212,Mann::N,పురుమడు,chlap
213,Frau::N,ఆడుది,žena
214,Kind::N,బిడ్డ,dieťa
215,Junge::N,బాలుడు,chlapec
216,Mädchen::N,బాలిక,dievka
217,Familie::N,కుటుంబము,rodina
218,Großvater::N,తాత,dedo
219,Großvater::N,తాత,starý otec
220,Großmutter::N,అయ్యమ్మ,babička
221,Großmutter::N,అయ్యమ్మ,stará mať
222,Eltern::N,తల్లితండ్రులు,rodičia
223,Vater::N,తండ్రి,otec
224,Mutter::N,తల్లి,mať
225,Mutter::N,తల్లి,matka
226,Sohn::N,కొడుకు,syn
227,Tochter::N,కూతురు,dcéra
228,Bruder::N,పోదరుడు,brat
229,Schwester::N,సోదరి,sestra
230,Onkel::N,మేనమామ,ujo
231,Onkel::N,మేనమామ,strýko
232,Tante::N,మేనత్త,teta
233,Tante::N,మేనత్త,tetka
234,Tante::N,పినతల్లి,teta
235,Tante::N,పినతల్లి,tetka
236,Ehemann::N,భర్త,muž
237,Ehemann::N,భర్త,manžel
238,Ehefrau::N,భార్య,žena
239,Ehefrau::N,భార్య,manželka
240,Freude::N,సంతోషము,radosť
241,Gelächter::N,నవ్వు,smiech
242,Glück::N,సంతోషము,šťastie
243,Kummer::N,దుఃఖము,žiaľ
244,Kummer::N,దుఃఖము,zármutok
245,Wunsch::N,కోరిక,prianie
246,Lust::N,కోరిక,chuť
247,Geist::N,ఆత్మ,duch
248,Gedanke::N,ఆలోచన,myšlienka
249,Gedächtnis::N,జ్ఞాపకము,pamäť
250,Verstand::N,మనస్సు,rozum
251,Sinn::N,అర్థము,zmysel
252,Grund::N,కారణము,dôvod
253,Grund::N,కారణము,príčina
254,Wahrheit::N,సత్యము,pravda
255,Gespräch::N,పంభాషణ,reč
256,Gespräch::N,పంభాషణ,rozhovor
257,Märchen::N,అద్భుతకథ,rozprávka
258,Erzählung::N,కథ,poviedka
259,Nachricht::N,వార్త,správa
260,Neuigkeit::N,వార్త,novinka
261,Name::N,పేరు,meno
262,Rätsel::N,చిక్కు,záhada
263,Rätsel::N,చిక్కు,hádanka
264,Rede::N,ఉపన్యాసము,reč
265,Sprache::N,భాష,reč
266,Sprache::N,భాష,jazyk
267,Stimme::N,కంరథ్సని,hlas
268,Wort::N,మాట,slovo
269,Zeichen::N,గుర్తు,znak
270,Ruf::N,పిలువు,volanie
271,Ruf::N,పిలువు,zavolanie
272,Lärm::N,సందడి,hluk
273,Lärm::N,సందడి,hurhaj
274,Laut::N,ధ్వని,zvuk
275,Ton::N,స్వరము,tón
276,Ton::N,స్వరము,zvuk
277,Lied::N,పాట,pieseň
278,Ruhe::N,గాలిలేమి,pokoj
279,Leute::N,జనులు,ľudia
280,Volk::N,జాతి,ľud
281,Volk::N,జాతి,národ
282,Arbeit::N,పని,práca
283,Arbeit::N,పని,robota
284,Gast::N,అతిధి,hosť
285,Geschenk::N,దానము,dar
286,Spiel::N,ఆట,hra
287,Gesellschaft::N,జట్టు,spoločnosť
288,Hilfe::N,సాహాయ్యము,pomoc
289,Freund::N,స్నేహితుడు,priateľ
290,Kamerad::N,చెలికాడు,kamarát
291,Angelegenheit::N,విషయము,vec
292,Angelegenheit::N,విషయము,záležitosť
293,Anzahl::N,లెక్క,počet
294,Anzahl::N,లెక్క,množstvo
295,Art::N,జాతి,druh
296,Stück::N,తునుక,kus
297,Stück::N,తునుక,kúsok
298,Teil::N,భాగము,časť
299,Hälfte::N,సగము,polka
300,Hälfte::N,సగము,polovica
301,Kreis::N,వృత్తము,kruh
302,Kreuz::N,సిలువ,kríž
303,Linie::N,గీత,línia
304,Strich::N,గీత,čiara
305,Abstand::N,సందు,vzdialenosť
306,Entfernung::N,దూరము,vzdialenosť
307,Gegend::N,విస్తీర్ణము,kraj
308,Gegend::N,విస్తీర్ణము,krajina
309,Platz::N,ఎడము,miesto
310,Ort::N,స్థలము,miesto
311,Seite::N,ప్రక్క,bok
312,Seite::N,ప్రక్క,strana
313,Mitte::N,నడిమి,stred
314,Gegenstand::N,పద్దు,predmet
315,Sache::N,వస్తువు,vec
316,Rand::N,అంచు,kraj
317,Rand::N,అంచు,okraj
318,Kante::N,అంచు,hrana
319,Ecke::N,మూల,roh
320,Spitze::N,మొన,hrot
321,Spitze::N,మొన,špička
322,Ende::N,కొన,koniec
323,Loch::N,రంధ్రము,diera
324,Winkel::N,కోణము,kút
325,Muster::N,మాదిరి,vzor
326,Muster::N,మాదిరి,vzorka
327,Größe::N,పరిమాణము,veľkosť
328,Länge::N,పొడుగు,dĺžka
329,Höhe::N,పొడుగు,výška
330,Gewicht::N,భారము,váha
331,Menge::N,మొత్తము,množstvo
332,Haufen::N,రాశి,hŕba
333,Reihe::N,వరుస,rad
334,Boot::N,పడవ,čln
335,Ruder::N,అడక,veslo
336,Schlitten::N,సరవండ్లు,sane
337,Ski::N,స్కీ,lyža
338,Lagerfeuer::N,నెగడు,táborák
339,Last::N,బరువు,ťarcha
340,Last::N,బరువు,bremeno
341,Gang::N,నడక,chôdza
342,Schritt::N,అడుగు,krok
343,Norden::N,ఉత్తరదిక్కు,sever
344,Süden::N,దక్షిణము,juh
345,Westen::N,పడమర,západ
346,Osten::N,తూర్పు,východ
347,Holz::N,కొయ్య,drevo
348,Brett::N,పలక,doska
349,Platte::N,పలక,doska
350,Platte::N,పలక,platňa
351,Stütze::N,వాల్సేడ్లు,opora
352,Stange::N,స్తంభము,tyč
353,Stock::N,కఱ్ఱ,palica
354,Stab::N,కఱ్ఱ,palica
355,Rohr::N,గొట్టము,rúra
356,Haus::N,ఇల్లు,dom
357,Heim::N,స్వగృహము,domov
358,Ofen::N,పొయ్యి,pec
359,Ofen::N,పొయ్యి,kachle
360,Fußboden::N,నేల,dlážka
361,Fußboden::N,నేల,podlaha
362,Tisch::N,మేజా,stôl
363,Stuhl::N,కుర్చీ,stolička
364,Wiege::N,ఉయ్యాల,kolíska
365,Bett::N,పడక,lôžko
366,Bett::N,పడక,posteľ
367,Bett::N,మంచం,lôžko
368,Bett::N,మంచం,posteľ
369,Regal::N,అటక,regál
370,Regal::N,అటక,polica
371,Kiste::N,వెట్టె,debna
372,Fenster::N,కిటికి,okno
373,Fenster::N,కిటికి,oblok
374,Tür::N,ద్వారము,dvere
375,Tor::N,ద్వారము,vráta
376,Zaun::N,కంచె,plot
377,Zaun::N,కంచె,ohrada
378,Dach::N,ఇంటివైకప్పు,krov
379,Dach::N,ఇంటివైకప్పు,strecha
380,Leiter::N,నిచ్చెన,rebrík
381,Leiter::N,నిచ్చెన,rebrina
382,Besen::N,చీపురుకట్ట,metla
383,Spaten::N,పాఱ,rýľ
384,Schaufel::N,పాఱ,lopata
385,Gabel::N,ముండ్లగరిటె,vidlička
386,Löffel::N,గరిటె,lyžica
387,Messer::N,కత్తి,nôž
388,Nagel::N,మేకు,klinec
389,Netz::N,వల,sieť
390,Haken::N,కొక్కెము,hák
391,Haken::N,కొక్కెము,háčik
392,Griff::N,పిడి,rukoväť
393,Schloss::N,తాళము,zámka
394,Bild::N,చిత్రము,obraz
395,Figur::N,రూపము,figúra
396,Puppe::N,బొమ్మ,bábka
397,Puppe::N,బొమ్మ,bábika
398,Beutel::N,సంచి,vrece
399,Beutel::N,సంచి,vrecko
400,Bündel::N,మూట,uzlík
401,Bündel::N,మూట,zväzok
402,Tasche::N,సంచి,taška
403,Tasche::N,సంచి,kabelka
404,Eimer::N,చేద,vedro
405,Deckel::N,మూత,vrchnák
406,Deckel::N,మూత,pokrývka
407,Geschirr::N,వంటకాలు,nádoba
408,Sack::N,గోనెసంచి,mech
409,Sack::N,గోనెసంచి,vrece
410,Tasse::N,గిన్నె,šálka
411,Topf::N,కుండ,hrniec
412,Kessel::N,నీరుకాచుపాత్ర,kotol
413,Essen::N,ఆహారము,jedlo
414,Nahrung::N,ఆహారము,strava
415,Nahrung::N,ఆహారము,potrava
416,Speise::N,ఆహారము,jedlo
417,Fleisch::N,మాంసము,mäso
418,Getreide::N,ధాన్యము,obilie
419,Brei::N,గుజ్జు,kaša
420,Brot::N,రొట్టె,chlieb
421,Scheibe::N,బద్ద,kotúč
422,Scheibe::N,బద్ద,krajec
423,Fett::N,క్రొవ్వు,tuk
424,Fett::N,క్రొవ్వు,masť
425,Butter::N,వెన్న,maslo
426,Öl::N,నూనె,olej
427,Salz::N,ఉప్పు,soľ
428,Suppe::N,చారు,polievka
429,Honig::N,తెనె,med
430,Milch::N,పాలు,mlieko
431,Tee::N,తేనీరు,čaj
432,Leder::N,బాగుచేసివతోలు,koža
433,Wolle::N,ఉన్ని,vlna
434,Stoff::N,బట్ట,súkno
435,Nadel::N,సూది,ihla
436,Faden::N,దారము,niť
437,Faden::N,దారము,vlákno
438,Knopf::N,బొత్తాము,gombík
439,Knoten::N,ముడి,uzol
440,Farbe::N,రంగు,farba
441,Kleidung::N,బట్టలు,šaty
442,Kleidung::N,బట్టలు,šatstvo
443,Hemd::N,చొక్కాయ,košeľa
444,Kragen::N,మాల,golier
445,Ärmel::N,చొక్కాయచెయ్యి,rukáv
446,Hose::N,ఇజారు,nohavice
447,Gürtel::N,పటకా,pás
448,Gürtel::N,పటకా,opasok
449,Mütze::N,టోపి,čiapka
450,Schuh::N,పాదరక్ష,obuv
451,Schuh::N,పాదరక్ష,topánka
452,Stiefel::N,బూటు,čižma
453,Ring::N,ఉంగరము,prsteň
454,Band::N,నాడా,stuha
455,Kamm::N,దువ్వెన,hrebeň
456,Spiegel::N,అద్దము,zrkadlo
457,Riemen::N,వాడా,remeň
458,Schnur::N,దారము,šnúra
459,Leine::N,వారు,vodidlo
460,Decke::N,కంబళి,deka
461,Decke::N,కంబళి,prikrývka
462,Kissen::N,తలగడ,poduška
463,Tuch::N,బట్ట,šatka
464,Handtuch::N,తువాలు,uterák
465,Kraft::N,బలము,moc
466,Stärke::N,శక్తి,sila
467,Gesundheit::N,ఆరోగ్యము,zdravie
468,Krankheit::N,రోగము,nemoc
469,Krankheit::N,రోగము,choroba
470,Schmerz::N,నొప్పి,bolesť
471,Wunde::N,గాయము,rana
472,Fieber::N,జ్వరము,horúčka
473,Arznei::N,మందు,liek
474,Brücke::N,వంతెన,most
475,Brunnen::N,బావి,studňa
476,Brunnen::N,కూపము,studňa
477,Brunnen::N,నుయ్యి,studňa
478,Weide::N,పచ్చికబయలు,pastva
479,Pfad::N,కాలిత్రోవ,chodník
480,Weg::N,మార్గము,cesta
481,Straße::N,బాట,hradská
482,Dorf::N,గ్రామము,dedina
483,Stadt::N,పట్టణము,mesto
484,Brief::N,జాబు,list
485,Buch::N,పుస్తకము,kniha
486,Buchstabe::N,అక్షరము,litera
487,Buchstabe::N,అక్షరము,písmeno
488,Zeitung::N,వార్తాపత్రిక,noviny
489,Leben::N,ప్రాణము,život
490,Tod::N,మరణము,smrť
491,Grab::N,సమాధి,hrob
492,Kirche::N,క్రెస్తవులగుడి,kostol
493,Sünde::N,పాపము,hriech
494,Gott::N,దేవుడు,boh
495,Arbeiter::N,పనిపాటుచేశేవాడు,robotník
496,Arbeiter::N,పనిపాటుచేశేవాడు,pracnovík
497,Chef::N,యజమానుడు,šéf
498,Chef::N,యజమానుడు,riaditeľ
499,Meister::N,కళాకారుడు,majster
500,Arzt::N,వైద్యుడు,lekár
501,Lehrer::N,ఉపాధ్యాయుడు,učiteľ
