,Concept_ID,fi,lv
0,Auge::N,silmä,син
1,Auge::N,silmä,acs
2,Ohr::N,korva,пель
3,Ohr::N,korva,auss
4,Nase::N,nenä,ныр
5,Nase::N,nenä,deguns
6,Mund::N,suu,вом
7,Mund::N,suu,mute
8,Zahn::N,hammas,пинь
9,Zahn::N,hammas,zobs
10,Zunge::N,kieli,кыв
11,Zunge::N,kieli,mēle
12,Lippe::N,huuli,вом дор
13,Lippe::N,huuli,lūpa
14,Wange::N,poski,бан
15,Wange::N,poski,vaigs
16,Gesicht::N,naama,чужӧм
17,Gesicht::N,naama,seja
18,Gesicht::N,naama,ģīmis
19,Gesicht::N,kasvot,чужӧм
20,Gesicht::N,kasvot,seja
21,Gesicht::N,kasvot,ģīmis
22,Stirn::N,otsa,плеш
23,Stirn::N,otsa,кымӧс
24,Stirn::N,otsa,piere
25,Haar::N,hius,си
26,Haar::N,hius,юрси
27,Haar::N,hius,mats
28,Haar::N,tukka,си
29,Haar::N,tukka,юрси
30,Haar::N,tukka,mats
31,Schnurrbart::N,viikset,ус
32,Schnurrbart::N,viikset,пыртсим
33,Schnurrbart::N,viikset,ūsas
34,Bart::N,parta,тош
35,Bart::N,parta,bārda
36,Kinn::N,leuka,тшӧка
37,Kinn::N,leuka,zods
38,Kinn::N,leuka,smakrs
39,Kiefer[Anatomie]::N,leukaluu,черлы
40,Kiefer[Anatomie]::N,leukaluu,алака лы
41,Kiefer[Anatomie]::N,leukaluu,вомкӧтш лы
42,Kiefer[Anatomie]::N,leukaluu,žoklis
43,Kehle::N,kurkku,голя
44,Kehle::N,kurkku,rīkle
45,Hals::N,kaula,сьылі
46,Hals::N,kaula,kakls
47,Genick::N,niska,юрбӧр
48,Genick::N,niska,балябӧж
49,Genick::N,niska,sprands
50,Kopf::N,pää,юр
51,Kopf::N,pää,galva
52,Rücken::N,selkä,мыш
53,Rücken::N,selkä,mugura
54,Bauch::N,maha,рушку
55,Bauch::N,maha,vēders
56,Bauch::N,vatsa,рушку
57,Bauch::N,vatsa,vēders
58,Nabel::N,napa,гӧг
59,Nabel::N,napa,naba
60,Busen::N,rinta,морӧс
61,Busen::N,rinta,krūts
62,Brust::N,rinta,морӧс
63,Brust::N,rinta,krūts
64,Schulter::N,olka,пельпом
65,Schulter::N,olka,plecs
66,Schulter::N,hartia,пельпом
67,Schulter::N,hartia,plecs
68,Schulter::N,olkapää,пельпом
69,Schulter::N,olkapää,plecs
70,Arm::N,käsivarsi,ки
71,Arm::N,käsivarsi,roka
72,Arm::N,käsivarsi,delms
73,Ellenbogen::N,kyynärpää,гырддза
74,Ellenbogen::N,kyynärpää,elkonis
75,Hand::N,käsi,ки
76,Hand::N,käsi,roka
77,Hand::N,käsi,plauksta
78,Handfläche::N,kämmen,ки пыдӧс
79,Handfläche::N,kämmen,delna
80,Handfläche::N,kämmen,plauksta
81,Finger::N,sormi,чунь
82,Finger::N,sormi,pirksts
83,Fingernagel::N,kynsi,гыж
84,Fingernagel::N,kynsi,nags
85,Nagel[Anatomie]::N,kynsi,гыж
86,Nagel[Anatomie]::N,kynsi,nags
87,Zeh::N,varvas,кок чунь
88,Zeh::N,varvas,pirksts
89,Fuß::N,jalka,кок
90,Fuß::N,jalka,kāja
91,Ferse::N,kantapää,кокбӧр
92,Ferse::N,kantapää,papēdis
93,Knie::N,polvi,пидзӧс
94,Knie::N,polvi,celis
95,Oberschenkel::N,reisi,лядьвей
96,Oberschenkel::N,reisi,бек
97,Oberschenkel::N,reisi,ciska
98,Oberschenkel::N,reisi,augšstilbs
99,Bein::N,jalka,кок
100,Bein::N,jalka,kāja
101,Körper::N,keho,туша
102,Körper::N,keho,вывтыр
103,Körper::N,keho,miesa
104,Körper::N,keho,ķermenis
105,Körper::N,ruumis,туша
106,Körper::N,ruumis,вывтыр
107,Körper::N,ruumis,miesa
108,Körper::N,ruumis,ķermenis
109,Haut::N,iho,ку
110,Haut::N,iho,āda
111,Blut::N,veri,вир
112,Blut::N,veri,asins
113,Ader::N,suoni,сӧн
114,Ader::N,suoni,asinsvads
115,Sehne::N,jänne,вез
116,Sehne::N,jänne,dzīsla
117,Knochen::N,luu,лы
118,Knochen::N,luu,kauls
119,Gehirn::N,aivot,вем
120,Gehirn::N,aivot,smadzenes
121,Herz::N,sydän,сьӧлӧм
122,Herz::N,sydän,sirds
123,Magen::N,maha,кынӧм
124,Magen::N,maha,kuņģis
125,Magen::N,vatsa,кынӧм
126,Magen::N,vatsa,kuņģis
127,Leber::N,maksa,мус
128,Leber::N,maksa,aknas
129,Atem::N,henki,лов
130,Atem::N,henki,elpa
131,Atem::N,hengitys,лов
132,Atem::N,hengitys,elpa
133,Hunger::N,nälkä,тшыг
134,Hunger::N,nälkä,bads
135,Hunger::N,nälkä,izsalkums
136,Träne::N,kyynel,синва
137,Träne::N,kyynel,asara
138,Geschmack::N,maku,кӧр
139,Geschmack::N,maku,чӧсмӧс
140,Geschmack::N,maku,garša
141,Geruch::N,haju,зын
142,Geruch::N,haju,дук
143,Geruch::N,haju,smaka
144,Schlaf::N,uni,узьӧм
145,Schlaf::N,uni,miegs
146,Traum::N,uni,вӧт
147,Traum::N,uni,вӧтасьӧм
148,Traum::N,uni,sapnis
149,Himmel::N,taivas,енэж
150,Himmel::N,taivas,debess
151,Sonne::N,aurinko,шонді
152,Sonne::N,aurinko,saule
153,Mond::N,kuu,тӧлысь
154,Mond::N,kuu,mēness
155,Stern::N,tähti,кодзув
156,Stern::N,tähti,zvaigzne
157,Luft::N,ilma,сынӧд
158,Luft::N,ilma,gaiss
159,Wind::N,tuuli,тӧв
160,Wind::N,tuuli,vējš
161,Welle::N,aalto,гы
162,Welle::N,aalto,vilnis
163,Wasser::N,vesi,ва
164,Wasser::N,vesi,ūdens
165,Stein::N,kivi,из
166,Stein::N,kivi,akmens
167,Boden::N,maa,му
168,Boden::N,maa,augsne
169,Boden::N,maaperä,му
170,Boden::N,maaperä,augsne
171,Erde::N,maa,му
172,Erde::N,maa,му-ва
173,Erde::N,maa,zeme
174,Staub::N,pöly,бус
175,Staub::N,pöly,putekļi
176,Rauch::N,savu,тшын
177,Rauch::N,savu,dūmi
178,Funke::N,kipinä,кинь
179,Funke::N,kipinä,би кинь
180,Funke::N,kipinä,dzirkstele
181,Feuer::N,tuli,би
182,Feuer::N,tuli,uguns
183,Licht::N,valo,югӧр
184,Licht::N,valo,gaisma
185,Schatten::N,varjo,вуджӧр
186,Schatten::N,varjo,ēna
