,Concept_ID,cs,ro
0,Auge::N,oko,ochi
1,Ohr::N,ucho,ureche
2,Nase::N,nos,nas
3,Mund::N,pusa,gură
4,Zahn::N,zub,dinte
5,Zunge::N,jazyk,limbă
6,Lippe::N,ret,buză
7,Wange::N,tvář,bucă
8,Wange::N,tvář,obraz
9,Gesicht::N,obličej,față
10,Gesicht::N,obličej,figură
11,Stirn::N,čelo,frunte
12,Haar::N,vlas,păr
13,Haar::N,vlasy,păr
14,Schnurrbart::N,kníry,mustață
15,Bart::N,vousy,barbă
16,Kinn::N,brada,bărbie
17,Kiefer[Anatomie]::N,čelist,falcă
18,Kehle::N,hrdlo,beregată
19,Hals::N,krk,gât
20,Genick::N,týl,ceafă
21,Kopf::N,hlava,cap
22,Rücken::N,záda,dos
23,Rücken::N,záda,spate
24,Rücken::N,záda,spinare
25,Rücken::N,hřbet,dos
26,Rücken::N,hřbet,spate
27,Rücken::N,hřbet,spinare
28,Bauch::N,břicho,burtă
29,Bauch::N,břicho,pântece
30,Nabel::N,pupek,buric
31,Busen::N,ňadra,sân
32,Brust::N,prsa,piept
33,Schulter::N,plece,umăr
34,Schulter::N,plece,spate
35,Schulter::N,rameno,umăr
36,Schulter::N,rameno,spate
37,Arm::N,ruka,braț
38,Ellenbogen::N,loket,cot
39,Hand::N,ruka,mână
40,Handfläche::N,dlaň,palmă
41,Finger::N,prst,deget
42,Fingernagel::N,nehet,unghie
43,Nagel[Anatomie]::N,nehet,unghie
44,Zeh::N,prst u nohy,deget de la picior
45,Fuß::N,noha,picior
46,Ferse::N,pata,călcâi
47,Knie::N,koleno,genunchi
48,Oberschenkel::N,stehno,coapsă
49,Bein::N,noha,picior
50,Körper::N,tělo,corp
51,Haut::N,kůže,piele
52,Blut::N,krev,sânge
53,Ader::N,céva,vână
54,Ader::N,céva,arteră
55,Sehne::N,šlacha,tendon
56,Knochen::N,kost,os
57,Gehirn::N,mozek,creier
58,Herz::N,srdce,inimă
59,Magen::N,žaludek,stomac
60,Leber::N,játra,ficat
61,Atem::N,dech,răsuflare
62,Atem::N,dech,respirație
63,Hunger::N,hlad,foame
64,Träne::N,slza,lacrimă
65,Geschmack::N,vkus,gust
66,Geruch::N,vůně,miros
67,Geruch::N,zápach,miros
68,Schlaf::N,spánek,somn
69,Traum::N,sen,vis
70,Himmel::N,nebe,cer
71,Sonne::N,slunce,soare
72,Mond::N,měsíc,lună
73,Stern::N,hvězda,stea
74,Luft::N,vzduch,aer
75,Wind::N,vítr,vânt
76,Welle::N,vlna,val
77,Welle::N,vlna,undă
78,Wasser::N,voda,apă
79,Stein::N,kámen,piatră
80,Boden::N,půda,sol
81,Boden::N,půda,pământ
82,Erde::N,země,pământ
83,Staub::N,prach,praf
84,Rauch::N,dým,fum
85,Rauch::N,kouř,fum
86,Funke::N,jiskra,scânteie
87,Feuer::N,oheň,foc
88,Licht::N,světlo,lumină
89,Schatten::N,stín,umbră
90,Wetter::N,počasí,timp
91,Wetter::N,počasí,vreme
92,Nebel::N,mlha,ceață
93,Nebel::N,mlha,negură
94,Wolke::N,mrak,nor
95,Wolke::N,oblak,nor
96,Regen::N,déšť,ploaie
97,Schnee::N,sníh,zăpadă
98,Eis::N,led,gheață
99,Frost::N,mráz,ger
100,Kälte::N,chlad,frig
101,Hitze::N,horko,arșiță
102,Hitze::N,horko,căldură
103,Raureif::N,jinovatka,chiciură
104,Regenbogen::N,duha,curcubeu
105,Donner::N,hrom,tunet
106,Strömung::N,proudění,curent
107,Tropfen::N,kapka,picătură
108,Schaum::N,pěna,spumă
109,Schmutz::N,špína,murdărie
110,See::N,jezero,lac
111,Sumpf::N,močál,mlaștină
112,Sumpf::N,bažina,mlaștină
113,Moor::N,bažina,bărăgan
114,Moor::N,slatina,bărăgan
115,Wiese::N,louka,fânaț
116,Wiese::N,louka,livadă
117,Wald::N,les,codru
118,Wald::N,les,pădure
119,Hügel::N,kopec,deal
120,Hügel::N,kopec,movilă
121,Anhöhe::N,pahorek,deal
122,Anhöhe::N,pahorek,ridicătură
123,Berg::N,hora,munte
124,Gipfel::N,vrchol,pisc
125,Höhle::N,jeskyně,peșteră
126,Abhang::N,svah,pantă
127,Abhang::N,svah,versant
128,Abhang::N,stráň,pantă
129,Abhang::N,stráň,versant
130,Quelle::N,pramen,izvor
131,Bach::N,potok,gârlă
132,Fluss::N,řeka,râu
133,Fluss::N,řeka,fluviu
134,Ufer::N,břeh,mal
135,Ufer::N,břeh,țărm
136,Küste::N,pobřeží,coastă
137,Festland::N,souš,uscat
138,Festland::N,pevnina,uscat
139,Meer::N,moře,mare
140,Bucht::N,záliv,golf
141,Bucht::N,zátoka,golf
142,Insel::N,ostrov,insulă
143,Blume::N,květina,floare
144,Gras::N,tráva,iarbă
145,Wurzel::N,kořen,rădăcină
146,Baum::N,strom,copac
147,Baum::N,strom,arbore
148,Stamm::N,kmen,tulpină
149,Rinde::N,kůra,scoarță
150,Ast::N,větev,cracă
151,Ast::N,větev,creangă
152,Zweig::N,větev,ramură
153,Zweig::N,větev,creangă
154,Blatt::N,lupen,frunză
155,Birke::N,bříza,mesteacăn
156,Kiefer[Baum]::N,sosna,pin
157,Kiefer[Baum]::N,borovice,pin
158,Weide[Baum]::N,vrba,salcie
159,Weide[Baum]::N,vrba,răchită
160,Tanne::N,jedle,brad
161,Horn::N,roh,corn
162,Feder::N,pero,pană
163,Fell::N,srst,piele
164,Flügel::N,křídlo,aripă
165,Klaue::N,dráp,gheară
166,Klaue::N,pazneht,gheară
167,Kralle::N,dráp,labă
168,Kralle::N,dráp,gheară
169,Schwanz::N,ocas,coadă
170,Ei::N,vejce,ou
171,Nest::N,hnízdo,cuib
172,Bau::N,nora,bârlog
173,Bau::N,nora,vizuină
174,Tier::N,zvíře,animal
175,Herde::N,stádo,turmă
176,Herde::N,stádo,cireadă
177,Kuh::N,kráva,vacă
178,Bulle::N,býk,taur
179,Pferd::N,kůň,cal
180,Schaf::N,ovce,oaie
181,Schwein::N,vepř,porc
182,Schwein::N,prase,porc
183,Hund::N,pes,câine
184,Katze::N,kočka,pisică
185,Bär::N,medvěd,urs
186,Eichhörnchen::N,veverka,veveriță
187,Elch::N,los,elan
188,Fuchs::N,liška,vulpe
189,Hase::N,zajíc,iepure
190,Maus::N,myš,șoarece
191,Wolf::N,vlk,lup
192,Vogel::N,pták,pasăre
193,Schwarm::N,roj,cârd
194,Schwarm::N,hejno,cârd
195,Huhn::N,kuře,găină
196,Huhn::N,slepice,găină
197,Hahn::N,kohout,cocoș
198,Gans::N,husa,gâscă
199,Adler::N,orel,vultur
200,Ente::N,kachna,rață
201,Eule::N,sova,bufniță
202,Kranich::N,jeřáb,cocor
203,Krähe::N,vrána,cioară
204,Kuckuck::N,kukačka,cuc
205,Schwan::N,labuť,lebădă
206,Fisch::N,ryba,pește
207,Barsch::N,okoun,biban
208,Hecht::N,štika,știucă
