,Concept_ID,ru,myv
0,Auge::N,глаз,сельме
1,Ohr::N,ухо,пиле
2,Nase::N,нос,судо
3,Mund::N,рот,курго
4,Zahn::N,зуб,пей
5,Zunge::N,язык,кель
6,Lippe::N,губа,турва
7,Wange::N,щека,чамабока
8,Wange::N,щека,чамаумарь
9,Gesicht::N,лицо,чама
10,Stirn::N,лоб,коня
11,Haar::N,волос,черь
12,Haar::N,волосы,черь
13,Schnurrbart::N,ус,ус
14,Schnurrbart::N,ус,муюк
15,Schnurrbart::N,усы,ус
16,Schnurrbart::N,усы,муюк
17,Bart::N,борода,сакал
18,Kinn::N,подбородок,уло
19,Kiefer[Anatomie]::N,челюсть,пейпакар
20,Kiefer[Anatomie]::N,челюсть,пейловажа
21,Kehle::N,горло,кирьгапарь
22,Hals::N,шея,кирьга
23,Genick::N,затылок,човонь
24,Kopf::N,голова,пря
25,Rücken::N,спина,копорь
26,Bauch::N,живот,пеке
27,Nabel::N,пупок,почо
28,Busen::N,женская грудь,поте
29,Brust::N,грудь,меште
30,Schulter::N,плечо,лавтов
31,Arm::N,рука,кедь
32,Ellenbogen::N,локоть,кенерепакарь
33,Hand::N,кисть,кедь
34,Handfläche::N,ладонь,кедькуншка
35,Handfläche::N,ладонь,кедьлапушка
36,Finger::N,палец,сур
37,Fingernagel::N,ноготь,кенже
38,Nagel[Anatomie]::N,ноготь,кенже
39,Zeh::N,палец,пильге сур
40,Fuß::N,ступня,пильге
41,Ferse::N,пята,кочкаря
42,Ferse::N,пятка,кочкаря
43,Knie::N,колено,эле
44,Knie::N,колено,эзне
45,Knie::N,колено,кумажа
46,Oberschenkel::N,бедро,качо
47,Bein::N,нога,пильге
48,Körper::N,тело,рунго
49,Haut::N,кожа,киське
50,Blut::N,кровь,верь
51,Ader::N,вена,сан
52,Ader::N,сосуд,сан
53,Sehne::N,жила,коське сан
54,Sehne::N,тетива,коське сан
55,Sehne::N,сухожилие,коське сан
56,Knochen::N,кость,пакарь
57,Gehirn::N,мозг,удем
58,Herz::N,сердце,седей
59,Magen::N,желудок,пеке
60,Leber::N,печень,максо
61,Atem::N,дух,лексема
62,Atem::N,дух,оймень таргсема
63,Atem::N,дыхание,лексема
64,Atem::N,дыхание,оймень таргсема
65,Hunger::N,голод,вачочи
66,Träne::N,слеза,селведь
67,Geschmack::N,вкус,тансть
68,Geruch::N,запах,чине
69,Schlaf::N,сон,удома
70,Traum::N,сновидение,он
71,Himmel::N,небо,менель
72,Sonne::N,солнце,чи
73,Mond::N,луна,ков
74,Stern::N,звезда,теште
75,Luft::N,воздух,кошт
76,Wind::N,ветер,варма
77,Welle::N,волна,толкун
78,Wasser::N,вода,ведь
79,Stein::N,камень,кев
80,Boden::N,почва,мода
81,Erde::N,земля,мастор
82,Staub::N,пыль,пуль
83,Rauch::N,дым,качамо
84,Funke::N,искра,сятко
85,Feuer::N,огонь,тол
86,Licht::N,свет,валдо
87,Schatten::N,тень,сулей
88,Schatten::N,тень,сулейкс
89,Wetter::N,погода,ушо
90,Nebel::N,туман,сув
91,Wolke::N,облако,пель
92,Regen::N,дождь,пиземс
93,Schnee::N,снег,лов
94,Eis::N,лед,эй
95,Frost::N,мороз,кельме
96,Kälte::N,холод,якшамо
97,Hitze::N,жара,пси
98,Raureif::N,иней,лекш
99,Regenbogen::N,радуга,пурьгинечирьке
100,Regenbogen::N,радуга,пурьгинеёнкс
101,Donner::N,гром,пурьгине
102,Strömung::N,течение,чудема
103,Strömung::N,течение,чудевкс
104,Tropfen::N,капля,петнявкс
105,Schaum::N,пена,чов
106,Schmutz::N,грязь,рудаз
107,See::N,озеро,эрьке
108,Sumpf::N,топь,чей
109,Moor::N,болото,чей
110,Wiese::N,луг,луга
111,Wald::N,лес,вирь
112,Hügel::N,холм,губорь
113,Hügel::N,холм,пандыне
114,Anhöhe::N,возвышенность,губорь
115,Anhöhe::N,возвышенность,пандыне
