,Concept_ID,az,he
0,Auge::N,göz,עין
1,Ohr::N,qulaq,אזן
2,Nase::N,burun,אף
3,Nase::N,burun,חטם
4,Mund::N,ağız,פה
5,Zahn::N,diş,שן
6,Zunge::N,dil,לשון
7,Lippe::N,dodaq,שפה
8,Wange::N,yanaq,לחי
9,Gesicht::N,üz,פנים
10,Stirn::N,alın,מצח
11,Haar::N,saç,שערה
12,Schnurrbart::N,bığ,שפם
13,Bart::N,saqqal,זקן
14,Kinn::N,çənə,סנטר
15,Kiefer[Anatomie]::N,çənə,לסת
16,Kehle::N,boğaz,גרון
17,Hals::N,boyun,צואר
18,Genick::N,ənsə,ערף
19,Kopf::N,baş,ראש
20,Rücken::N,bel,גב
21,Bauch::N,qarın,בטן
22,Nabel::N,göbək,טבור
23,Busen::N,məmə,שד
24,Brust::N,döş,חזה
25,Schulter::N,çiyin,כתף
26,Arm::N,qol,זרוע
27,Ellenbogen::N,dirsək,מרפק
28,Hand::N,əl,יד
29,Handfläche::N,ovuc,כף יד
30,Finger::N,barmaq,אצבע
31,Fingernagel::N,barmaq dırnağı,צפרן
32,Nagel[Anatomie]::N,dırnak,צפרן
33,Zeh::N,ayaq barmağı,אצבע
34,Fuß::N,ayaq,רגל
35,Ferse::N,daban,עקב
36,Knie::N,diz,ברך
37,Oberschenkel::N,bud,ירך
38,Bein::N,qıç,רגל
39,Körper::N,əndam,גוף
40,Haut::N,dəri,עור
41,Blut::N,qan,דם
42,Ader::N,damar,וריד
43,Sehne::N,vətər,גיד
44,Knochen::N,sümük,עצם
45,Gehirn::N,beyin,מוח
46,Herz::N,ürək,לב
47,Magen::N,mədə,קבה
48,Leber::N,qara ciyər,כבד
49,Atem::N,nəfəs,נשימה
50,Hunger::N,aclıq,רעב
51,Träne::N,göz yaşı,דמעה
52,Geschmack::N,tam,טעם
53,Geschmack::N,ləzzət,טעם
54,Geruch::N,qoxu,ריח
55,Schlaf::N,yuxu,שנה
56,Traum::N,röya,חלום
57,Himmel::N,göy,שמים
58,Himmel::N,səma,שמים
59,Sonne::N,günəş,שמש
60,Mond::N,ay,ירח
61,Stern::N,ulduz,כוכב
62,Luft::N,hava,אויר
63,Wind::N,yel,רוח
64,Wind::N,külək,רוח
65,Welle::N,dalğa,גל
66,Wasser::N,su,מים
67,Stein::N,daş,אבן
68,Boden::N,yer,קרקע
69,Boden::N,zəmin,קרקע
70,Erde::N,yer torpaq,אדמה
71,Staub::N,toz,אבק
72,Rauch::N,tüstü,עשן
73,Funke::N,qığılcım,ניצוץ
74,Feuer::N,od,אש
75,Licht::N,işıq,אור
76,Schatten::N,kölgə,צל
77,Wetter::N,hava,מזג אויר
78,Nebel::N,duman,ערפל
79,Wolke::N,bulud,ענן
80,Regen::N,yağış,גשם
81,Regen::N,yağmur,גשם
82,Schnee::N,qar,שלג
83,Eis::N,buz,קרח
84,Frost::N,ayaz,צנה
85,Kälte::N,soyuq,קר
86,Hitze::N,coşğunluq,חם
87,Raureif::N,qırov,כפור
88,Regenbogen::N,göy qurşağı,קשת
89,Donner::N,göy gurultusu,רעם
90,Strömung::N,axın,זרימה
91,Tropfen::N,damcı,טפה
92,Schaum::N,köpük,קצף
93,Schmutz::N,çamır,לכלוך
94,See::N,göl,אגם
95,Sumpf::N,bataqlıq,בצה
96,Moor::N,bataqlıq,בצה
97,Wiese::N,çəmən,מרעה
98,Wald::N,meşə,יער
99,Hügel::N,təpə,תל
100,Anhöhe::N,təpə,מעלה
101,Berg::N,dağ,הר
102,Gipfel::N,zirvə,פסגה
103,Höhle::N,mağara,מערה
104,Abhang::N,yamac,מדרון
105,Abhang::N,yamac,שפוע
106,Quelle::N,bulaq,מעין
107,Bach::N,kiçik çay,נחל
108,Fluss::N,çay,נהר
109,Ufer::N,kənar,גדה
110,Küste::N,sahil,חוף
111,Festland::N,materik,יבשה
112,Meer::N,dəniz,ים
113,Bucht::N,körfəz,מפרץ
114,Insel::N,ada,אי
115,Blume::N,çiçək,פרח
116,Gras::N,ot,דשא
117,Wurzel::N,kök,שרש
118,Baum::N,ağac,עץ
119,Stamm::N,gövdə,גזע
