,Concept_ID,mn,kk
0,Auge::N,нүд,көз
1,Ohr::N,чих,құлақ
2,Nase::N,хамар,мұрын
3,Mund::N,ам,ауыз
4,Zahn::N,шүд,тіс
5,Zunge::N,хэл,тіл
6,Lippe::N,уруул,ерін
7,Wange::N,хацар,ұрт
8,Gesicht::N,царай,бет-аузы
9,Gesicht::N,нүүр,бет-аузы
10,Stirn::N,дух,маңдай
11,Haar::N,үс,қыл
12,Schnurrbart::N,дээд сахал,мұрт
13,Schnurrbart::N,живэр сахал,мұрт
14,Bart::N,сахал,сақал
15,Kinn::N,эрүү,иек
16,Kiefer[Anatomie]::N,эрүү,жақ
17,Kehle::N,хоолой,алқым
18,Hals::N,хүзүү,мойын
19,Genick::N,шил,желке
20,Genick::N,хүзүү,желке
21,Kopf::N,толгой,кәллә
22,Rücken::N,ар,арқа
23,Rücken::N,нуруу,арқа
24,Bauch::N,хэвлий,қарын
25,Bauch::N,гэдэс,қарын
26,Nabel::N,хүйс,кіндік
27,Busen::N,хөх,омырау
28,Brust::N,цээж,кеуде
29,Schulter::N,мөр,иық
30,Schulter::N,бугалга,иық
31,Arm::N,гар,қол
32,Ellenbogen::N,тохой,шынтақ
33,Hand::N,гар,қол
34,Hand::N,алга,қол
35,Handfläche::N,алга,алақан
36,Finger::N,хуруу,саусақ
37,Fingernagel::N,хурууны хумс,тырнақ
38,Nagel[Anatomie]::N,хумс,тырнақ
39,Zeh::N,хуруу,тырнақ
40,Zeh::N,хуруу,тұяқ
41,Fuß::N,хөл,аяқ-басы
42,Ferse::N,өсгий,өкше
43,Ferse::N,өсгий,өкшелік
44,Knie::N,өвдөг,тізе
45,Oberschenkel::N,гуя,жамбас
46,Bein::N,хөл,аяқ
47,Körper::N,бие,дене
48,Haut::N,арьс,тері
49,Blut::N,цус,қан
50,Ader::N,судас,көктамыр
51,Ader::N,судас,күретамыр
52,Sehne::N,бүлх,сіңір
53,Sehne::N,шандас,сіңір
54,Knochen::N,яс,жілік
55,Gehirn::N,тархи,ми
56,Herz::N,зүрх,жүрек
57,Magen::N,ходоод,асқазан
58,Leber::N,элэг,бауыр
59,Atem::N,амьсгаа,леп
60,Hunger::N,өлсгөлөн,ашаршылық
