,Concept_ID,lt,ady
0,Auge::N,akis,нэ
1,Ohr::N,ausis,тхьакӏу́м
2,Nase::N,nosis,пэ
3,Mund::N,burna,жэ
4,Zahn::N,dantis,цэ
5,Zunge::N,liežuvis,бзэгу
6,Lippe::N,lūpa,ӏупшӏэ́
7,Wange::N,žandas,нэкӏу́шъу
8,Wange::N,skruostas,нэкӏу́шъу
9,Gesicht::N,veidas,нэ́гу
10,Stirn::N,kakta,натӏэ́
11,Haar::N,plaukai,шъхьацы́
12,Schnurrbart::N,ūsai,
13,Bart::N,barzda,жакӏэ́
14,Kinn::N,smakras,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,žandikaulis,жэпкъы́
16,Kehle::N,gerklė,чый
17,Hals::N,kaklas,пшъэ
18,Genick::N,sprandas,шъхьэпхэтыку
19,Kopf::N,galva,шъхьэ́
20,Rücken::N,nugara,кӏыбы́
21,Bauch::N,pilvas,ныбэ́
22,Nabel::N,bamba,
23,Busen::N,krūtinė,бгъэ́
24,Brust::N,krūtis,бгъэ́
25,Schulter::N,petys,блыпкъ
26,Arm::N,ranka,ӏэ
27,Ellenbogen::N,alkūnė,ӏэнтэ́гъу
28,Hand::N,ranka,ӏэтхьэцу
29,Hand::N,plaštaka,ӏэтхьэцу
30,Handfläche::N,delnas,ӏэ́гу
31,Handfläche::N,plaštaka,ӏэ́гу
32,Finger::N,pirštas,ӏэхъуа́мб
33,Fingernagel::N,nagas,ӏэбжъа́н
34,Nagel[Anatomie]::N,nagas,ӏэбжъа́н
35,Zeh::N,pirštas,ӏэхъуа́мб
36,Fuß::N,pėda,лъэгу
37,Ferse::N,kulnas,лъэдакъэ
38,Knie::N,kelis,лъагуа́ндж
39,Oberschenkel::N,kulšis,ко
40,Oberschenkel::N,šlaunis,ко
41,Bein::N,koja,лъакъо́
42,Körper::N,kūnas,пкъышъол
43,Haut::N,oda,кӏы́шъу
44,Blut::N,kraujas,лъы
45,Ader::N,kraujagyslė,льытф
46,Sehne::N,sausgyslė,фэ
47,Knochen::N,kaulas,къупшъхьэ́
48,Gehirn::N,smegenys,куцӏы
49,Herz::N,širdis,гу
50,Magen::N,skrandis,мышкӏу
51,Leber::N,kepenys,шӏу
52,Atem::N,kvapas,къэщэныр
53,Hunger::N,badas,гъаблэ́
54,Hunger::N,alkis,гъаблэ́
55,Träne::N,ašara,нэпсы
56,Geschmack::N,skonis,ӏэшӏугъа́кӏ
57,Geruch::N,kvapas,мэ
58,Schlaf::N,miegas,пчыхьы́пӏ
59,Traum::N,sapnas,пчыхьы́пӏ
60,Himmel::N,dangus,уашъо́
61,Sonne::N,saulė,тыгъэ
62,Mond::N,mėnulis,мазэ
63,Stern::N,žvaigždė,жъуагъо́
64,Luft::N,oras,жьы
65,Wind::N,vėjas,жьыбгъэ́
66,Welle::N,banga,ор
67,Welle::N,banga,оры
68,Welle::N,vilnis,ор
69,Welle::N,vilnis,оры
70,Wasser::N,vanduo,псы
71,Stein::N,akmuo,мыжъо́
72,Boden::N,žemė,чӏ́ыгу
73,Boden::N,dugnas,чӏ́ыгу
74,Erde::N,žemė,чӏ́ыгу
75,Staub::N,dulkės,сап
76,Rauch::N,dūmai,ӏугъо́
77,Funke::N,kibirkštis,мэшӏуа́ч
78,Feuer::N,ugnis,машӏо́
79,Licht::N,šviesa,нэфы
80,Licht::N,šviesa,нэфын
81,Schatten::N,paūksmė,жьау́
82,Schatten::N,paūksmė,ныбжьыкъу
83,Wetter::N,oras,
84,Nebel::N,migla,пща́гъу
85,Nebel::N,rūkas,пща́гъу
86,Wolke::N,debesis,ошъуапщэ
87,Regen::N,lietus,ощхы
88,Schnee::N,sniegas,осы́
89,Eis::N,ledas,мылы
90,Frost::N,šalna,
91,Kälte::N,šaltis,чъыӏэ́
92,Hitze::N,karštis,фэба́е
93,Raureif::N,šerkšnas,
94,Regenbogen::N,vaivorykštė, лэгъупэкъо́пс
95,Donner::N,perkūnas,шыблэ́
96,Donner::N,griaustinis,шыблэ́
97,Strömung::N,tėkmė,ток
98,Tropfen::N,lašas,ткӏопс
99,Tropfen::N,lašas,гъуаткӏу
100,Schaum::N,putos,тхъурбэ
101,Schmutz::N,purvas,псынжъы
102,See::N,ežeras,хыку́м
103,See::N,ežeras,псыхъура́й
104,Sumpf::N,klampynė,орыжъ
105,Sumpf::N,liūnas,орыжъ
106,Moor::N,pelkė,орыжъ
107,Wiese::N,pieva,хъупӏэ́
108,Wiese::N,pieva,мэкъупӏ
109,Wald::N,miškas,мэзы́
110,Hügel::N,kalva,ӏуашъхь
111,Anhöhe::N,kauburys,чӏыӏэтыгъ
112,Berg::N,kalnas,къушъхьэ́
113,Gipfel::N,viršūnė,шыгу
114,Höhle::N,ola,гъочӏэгъ
115,Abhang::N,šlaitas,чапэ
116,Abhang::N,nuokalnė,чапэ
117,Quelle::N,versmė,псынэчэ́чъ
118,Quelle::N,šaltinis,псынэчэ́чъ
119,Bach::N,upelis,псышкуашку
120,Fluss::N,upė,псыхъо́
121,Ufer::N,krantas,нэпкъы
122,Küste::N,pajūris,ӏушъо
123,Festland::N,sausuma,чӏл́ыгу
124,Meer::N,jūra,хы
125,Bucht::N,įlanka,хыблыгу
126,Bucht::N,užutekis,хыблыгу
127,Insel::N,sala,хыгъэхъу́н
128,Blume::N,gėlė,къэгъа́гь
129,Gras::N,žolė,уцы́
130,Wurzel::N,šaknis,лъапсэ́
131,Baum::N,medis,чъыгы́
132,Stamm::N,kamienas,пкъы
133,Rinde::N,žievė,пхъашъо́
134,Ast::N,šaka,куамэ
135,Zweig::N,šakelė,къутамэ́
136,Blatt::N,lapas,тхьап
137,Birke::N,beržas,пчэн
138,Kiefer[Baum]::N,pušis,сэснэй
139,Weide[Baum]::N,karklas,пце́л
140,Tanne::N,eglė,ель
141,Tanne::N,kėnis,ель
142,Horn::N,ragas,бжъэ
143,Feder::N,plunksna,къамӏы́й
144,Fell::N,kailis,шъо
145,Flügel::N,sparnas,тамэ́
146,Klaue::N,kanopa,лъэбжъа́н
147,Kralle::N,nagas,лъакъо
148,Schwanz::N,uodega,кӏэ
149,Ei::N,kiaušinis,кӏэнкӏэ́
150,Nest::N,gūžta,набгъо́
151,Nest::N,lizdas,набгъо́
152,Bau::N,ola,гъу
153,Bau::N,ola,бы
154,Tier::N,gyvūnas,псэу́шъхь
155,Herde::N,banda,ӏэхъогъу
156,Herde::N,kaimenė,ӏэхъогъу
157,Kuh::N,karvė,чэмы́
158,Bulle::N,bulius,цу
159,Pferd::N,arklys,шы
160,Schaf::N,avis,мэлы́
161,Schwein::N,kiaulė,къо
162,Hund::N,šuo,бьэ
163,Katze::N,katė,чэты́у
164,Bär::N,lokys,мышъэ́
165,Eichhörnchen::N,voveraitė,цызэ́
166,Elch::N,briedis,лось
167,Fuchs::N,lapė,баджэ́
168,Hase::N,kiškas,тхьакӏумкӏы́хь
169,Maus::N,pelė,цыгъо́
170,Wolf::N,vilkas,тыгъу́жъ
171,Vogel::N,paukštis,бзы́у
172,Schwarm::N,spiečius,отэр
173,Huhn::N,višta,чэты́
174,Hahn::N,gaidys,атакъэ́
175,Gans::N,žąsis,къа́з
176,Adler::N,erelis,
177,Ente::N,antis,псычэ́т
178,Eule::N,pelėda,тыгъурыгъу
179,Kranich::N,gervė,къэрэ́у
180,Krähe::N,varna,къолэ́жъ
181,Kuckuck::N,gegužė,куку́у
182,Schwan::N,gulbė,
183,Fisch::N,žuvis,пцэжъы́й
184,Barsch::N,ešerys,тхыкъэц
185,Hecht::N,lydeka,лэнд
186,Schlange[Tier]::N,gyvatė,блэ́
187,Wurm::N,kirmėlė,хьамлыу
188,Spinne::N,voras,бэдж
189,Ameise::N,skruzdė,къамзэ́гу
190,Laus::N,utėlė,цӏэ
191,Mücke::N,uodas,аргъо́й
192,Fliege::N,musė,бадзэ́
193,Schmetterling::N,drugys,хьампӏыра́шъу
