,Concept_ID,ab,eu
0,Auge::N,ала,begi
1,Ohr::N,алымҳа,belarri
2,Nase::N,аҧынҵа,sudur
3,Mund::N,аҧышə,aho
4,Zahn::N,ахаҧыц,hortz
5,Zunge::N,абз,mihi
6,Lippe::N,ақьышə,ezpain
7,Wange::N,аӡамҩа,masail
8,Gesicht::N,аҿы,aurpegi
9,Stirn::N,алахь,bekoki
10,Haar::N,ахəыц,ile
11,Haar::N,ахəыц,bilo
12,Schnurrbart::N,аҧаҵа,bibote
13,Schnurrbart::N,аҧаҵа,sudurpeko
14,Bart::N,ажакьа,bizar
15,Kinn::N,ацламкəыгə,kokots
16,Kiefer[Anatomie]::N,ацламҳəа,masailezur
17,Kehle::N,ахəда,eztarri
18,Hals::N,ахəда,sama
19,Genick::N,ахəдаџьал,garondo
20,Kopf::N,ахы,buru
21,Rücken::N,азқəа,bizkar
22,Bauch::N,амгəа,sabel
23,Nabel::N,аҷапан,zilbor
24,Busen::N,агəыҧҳəы,titi
25,Busen::N,агəыҧҳəы,ugatz
26,Brust::N,агəышҧы,bular
27,Schulter::N,ажəҩахыр,besaburu
28,Arm::N,амахəар,beso
29,Ellenbogen::N,амашьхəылҵ,ukondo
30,Hand::N,анапы,esku
31,Handfläche::N,анапсаргəыҵа,ahur
32,Finger::N,анацəа,hatz
33,Fingernagel::N,анапхыц,azazkal
34,Nagel[Anatomie]::N,ашьапхыц,azazkal
35,Zeh::N,ашьацəа,behatz
36,Fuß::N,ашьапсыргəыҵа,oin
37,Ferse::N,ашьхəа,orpo
38,Ferse::N,ашьхəа,oinburu
39,Knie::N,ашьамхы,belaun
40,Oberschenkel::N,ауаҭəа,izter
41,Bein::N,ашьапы,zango
42,Körper::N,ацəеижь,soin
43,Haut::N,ацəа,azal
44,Blut::N,ашьа,odol
45,Ader::N,ада,zain
46,Sehne::N,адаш,gihar-zain
47,Knochen::N,абаҩ,hezur
48,Gehirn::N,ахшлыбаҩ,garun
49,Gehirn::N,ахшлыбаҩ,burmuin
50,Gehirn::N,ахшыбаҩ,garun
51,Gehirn::N,ахшыбаҩ,burmuin
52,Herz::N,агəы,bihotz
53,Magen::N,аца,urdail
54,Magen::N,ацар,urdail
55,Leber::N,агəаҵəа,gibel
56,Atem::N,аҧсыҧлагаҩгара,hats
57,Atem::N,аҧсыҧлагаҩгара,arnasa
58,Hunger::N,амла,gose
59,Träne::N,алабжыш,malko
60,Geschmack::N,агьама,dasta
61,Geruch::N,афҩы,usain
62,Schlaf::N,ацəа,lo
63,Traum::N,аҧхыӡ,amets
64,Himmel::N,ажəҩан,zeru
65,Sonne::N,амра,eguzki
66,Mond::N,амза,ilargi
67,Stern::N,аеҵəа,izar
68,Luft::N,аҳаир,aire
69,Wind::N,аҧша,haize
70,Welle::N,ацəқəырҧа,uhin
71,Welle::N,ацəқəырҧа,olatu
72,Wasser::N,аӡы,ur
73,Stein::N,ахаҳə,harri
74,Boden::N,адгьыл,lur
75,Boden::N,адгьыл,zoru
76,Erde::N,адгьыл,lur
77,Staub::N,асаба,hauts
78,Rauch::N,алҩа,ke
79,Funke::N,акəиц,zirta
80,Funke::N,акəиц,txinparta
81,Funke::N,ацҧхь,zirta
82,Funke::N,ацҧхь,txinparta
83,Feuer::N,амца,su
84,Licht::N,алашара,argi
85,Schatten::N,ашəшьыра,itzal
86,Schatten::N,ашəшьыра,geriza
87,Wetter::N,амш,eguraldi
88,Nebel::N,анаҟəа,laino
89,Wolke::N,аҧсҭҳəа,hodei
90,Regen::N,ақəа,euri
91,Schnee::N,асы,elur
92,Eis::N,аҵаа,horma
93,Frost::N,аҵаа,izotzaldi
94,Kälte::N,ахьҭа,hotz
95,Hitze::N,ашоура,bero
96,Raureif::N,аҵааҧшқа,antzigar
97,Regenbogen::N,ацəаҟəа,ostadar
98,Regenbogen::N,ацəаҟəа,ortzadar
99,Donner::N,адыд,ostots
100,Donner::N,адыд,ihurtzuri
101,Strömung::N,аиасра,laster
102,Strömung::N,амҩасра,laster
103,Tropfen::N,ацəыкəбар,xorta
104,Schaum::N,ашəах,bits
105,Schmutz::N,алымт,lohi
106,Schmutz::N,алымт,zikin
107,See::N,аӡиа,laku
108,See::N,аӡиа,aintzira
109,Sumpf::N,аӡмах,zingira
110,Wiese::N,адəы,larre
111,Wiese::N,адəы,belardi
112,Wald::N,абна,baso
113,Wald::N,абна,oihan
114,Hügel::N,ахəы,muino
115,Hügel::N,ахəы,pentoka
116,Anhöhe::N,аҳаракыра,garai
117,Anhöhe::N,аҳаракыра,goragune
118,Berg::N,ашьха,mendi
119,Gipfel::N,ацəқəа,gain
120,Gipfel::N,ацəқəа,tontor
121,Höhle::N,аҳаҧы,kobazulo
122,Abhang::N,анаара,aldapa
123,Quelle::N,аҵҵырҭа,iturri
124,Quelle::N,аҵҵырҭа,iturbegi
125,Bach::N,акəараҷҷа,lats
126,Bach::N,акəараҷҷа,erreka
127,Fluss::N,аӡиас,ibai
128,Fluss::N,аӡиас,uhaitz
129,Ufer::N,ахықə,bazter
130,Küste::N,ахықə,itsasalde
131,Festland::N,абарра,lehor
132,Meer::N,амшын,itsaso
