,Concept_ID,is,et
0,Auge::N,auga,silm
1,Ohr::N,eyra,kõrv
2,Nase::N,nef,nina
3,Mund::N,munnur,suu
4,Zahn::N,tönn,hammas
5,Zunge::N,tunga,keel
6,Lippe::N,vör,huul
7,Wange::N,kinn,põsk
8,Wange::N,vangi,põsk
9,Gesicht::N,andlit,nägu
10,Stirn::N,enni,otsmik
11,Haar::N,hár,juus
12,Schnurrbart::N,yfirskegg,vurrud
13,Schnurrbart::N,yfirskegg,vuntsid
14,Bart::N,skegg,habe
15,Kinn::N,haka,lõug
16,Kiefer[Anatomie]::N,kjálki,lõualuu
17,Kiefer[Anatomie]::N,skoltur,lõualuu
18,Kehle::N,kverk,kõri
19,Hals::N,háls,kael
20,Genick::N,hnakki,kukal
21,Kopf::N,höfuð,pea
22,Rücken::N,hryggur,selg
23,Bauch::N,kviður,kõht
24,Nabel::N,nafli,naba
25,Busen::N,barmur,rind
26,Brust::N,brjóst,rind
27,Schulter::N,öxl,õlg
28,Arm::N,armur,käsivars
29,Ellenbogen::N,olnbogi,küünarnukk
30,Hand::N,hönd,käsi
31,Handfläche::N,lófi,pihk
32,Finger::N,fingur,sõrm
33,Fingernagel::N,fingurnögl,küüs
34,Nagel[Anatomie]::N,nögl,küüs
35,Zeh::N,tá,varvas
36,Fuß::N,fótur,jalg
37,Ferse::N,hæll,kand
38,Knie::N,kné,põlv
39,Oberschenkel::N,læri,reis
40,Bein::N,fótleggur,jalg
41,Körper::N,búkur,ihu
42,Körper::N,búkur,keha
43,Körper::N,líkami,ihu
44,Körper::N,líkami,keha
45,Haut::N,húð,nahk
46,Haut::N,skinn,nahk
47,Blut::N,blóð,veri
48,Ader::N,æð,veen
49,Sehne::N,sin,kõõlus
50,Knochen::N,bein,luu
51,Gehirn::N,heili,aju
52,Herz::N,hjarta,süda
53,Magen::N,magi,magu
54,Leber::N,lifur,maks
55,Atem::N,andi,hingeõhk
56,Atem::N,andi,hingamine
57,Atem::N,andardráttur,hingeõhk
58,Atem::N,andardráttur,hingamine
59,Hunger::N,hungur,nälg
60,Träne::N,tár,pisar
61,Geschmack::N,smekkur,maitse
62,Geruch::N,lykt,lõhn
63,Schlaf::N,svefn,uni
64,Traum::N,draumur,unenägu
65,Himmel::N,himinn,taevas
66,Sonne::N,sól,päike
67,Mond::N,tungl,kuu
68,Stern::N,stjarna,täht
69,Luft::N,loft,õhk
70,Wind::N,vindur,tuul
71,Welle::N,alda,laine
72,Welle::N,bylgja,laine
73,Wasser::N,vatn,vesi
74,Stein::N,steinn,kivi
75,Boden::N,botn,maa
76,Boden::N,botn,pinnas
77,Erde::N,jörð,maa
78,Staub::N,ryk,põrm
79,Staub::N,duft,põrm
80,Rauch::N,reykur,suits
81,Funke::N,neisti,säde
82,Feuer::N,eldur,tuli
83,Licht::N,ljós,valgus
84,Schatten::N,skuggi,vari
85,Wetter::N,veður,ilm
86,Nebel::N,þoka,udu
87,Wolke::N,ský,pilv
88,Regen::N,regn,sadu
89,Schnee::N,snjór,lumi
90,Eis::N,ís,jää
91,Frost::N,frost,pakane
92,Kälte::N,kuldi,külm
93,Kälte::N,kuldi,külmus
94,Hitze::N,hiti,kuumus
95,Hitze::N,hiti,palavus
96,Raureif::N,hrím,härmatis
97,Regenbogen::N,regnbogi,vikerkaar
98,Donner::N,þruma,kõu
99,Donner::N,þruma,müristamine
100,Strömung::N,straumur,voolus
101,Strömung::N,straumur,jõevool
102,Tropfen::N,dropi,tilk
103,Schaum::N,froða,vaht
104,Schmutz::N,óhreinindi,pori
105,Schmutz::N,óhreinindi,mustus
106,See::N,stöðuvatn,järv
107,Sumpf::N,fen,soo
108,Moor::N,mýri,raba
109,Wiese::N,engi,aas
110,Wiese::N,engi,nurm
111,Wald::N,skógur,mets
112,Hügel::N,hæð,küngas
113,Hügel::N,hóll,küngas
114,Anhöhe::N,hæð,küngas
115,Anhöhe::N,hóll,küngas
116,Berg::N,fell,mägi
117,Berg::N,fjall,mägi
118,Gipfel::N,tindur,mäetipp
119,Höhle::N,hellir,koobas
120,Abhang::N,hlíð,nõlvak
121,Abhang::N,brekka,nõlvak
122,Quelle::N,lind,allikas
123,Quelle::N,uppspretta,allikas
124,Bach::N,lækur,oja
125,Fluss::N,á,jõgi
126,Fluss::N,fljót,jõgi
127,Ufer::N,árbakki,kallas
128,Ufer::N,sjávarbakki,kallas
129,Küste::N,strönd,rannik
130,Festland::N,meginland,mander
131,Festland::N,meginland,maismaa
132,Meer::N,haf,meri
133,Meer::N,sjór,meri
134,Bucht::N,vík,laht
135,Insel::N,eyja,saar
136,Blume::N,blóm,lill
137,Gras::N,gras,rohi
138,Wurzel::N,rót,juur
139,Baum::N,tré,puu
140,Stamm::N,stofn,tüvi
141,Rinde::N,börkur,koor
142,Ast::N,grein,oks
143,Zweig::N,angi,oks
144,Zweig::N,kvistur,oks
145,Blatt::N,blað,leht
146,Birke::N,birki,kask
147,Kiefer[Baum]::N,fura,mänd
148,Weide[Baum]::N,víðir,paju
149,Tanne::N,greni,nulg
150,Horn::N,horn,sarv
151,Feder::N,fjöður,sulg
152,Fell::N,skinn,karvkate
153,Fell::N,skinn,karusnahk
154,Flügel::N,vængur,tiib
155,Flügel::N,vængur,tiivik
156,Klaue::N,kló,küüs
157,Kralle::N,kló,küünis
158,Schwanz::N,rófa,saba
