,Concept_ID,no,no
0,Auge::N,øye,øye
1,Ohr::N,øre,øre
2,Nase::N,nese,nese
3,Mund::N,munn,munn
4,Zahn::N,tann,tann
5,Zunge::N,tunge,tunge
6,Lippe::N,leppe,leppe
7,Wange::N,kinn,kinn
8,Gesicht::N,fjes,fjes
9,Gesicht::N,fjes,ansikt
10,Gesicht::N,ansikt,fjes
11,Gesicht::N,ansikt,ansikt
12,Stirn::N,panne,panne
13,Haar::N,hår,hår
14,Schnurrbart::N,bart,bart
15,Bart::N,skjegg,skjegg
16,Kinn::N,hake,hake
17,Kiefer[Anatomie]::N,kjeve,kjeve
18,Kehle::N,strupe,strupe
19,Hals::N,hals,hals
20,Genick::N,nakke,nakke
21,Kopf::N,hode,hode
22,Rücken::N,rygg,rygg
23,Bauch::N,buk,buk
24,Bauch::N,buk,mage
25,Bauch::N,mage,buk
26,Bauch::N,mage,mage
27,Nabel::N,navle,navle
28,Busen::N,barm,barm
29,Brust::N,bryst,bryst
30,Schulter::N,skulder,skulder
31,Arm::N,arm,arm
32,Ellenbogen::N,albue,albue
33,Hand::N,hånd,hånd
34,Handfläche::N,håndflate,håndflate
35,Finger::N,finger,finger
36,Fingernagel::N,fingernegl,fingernegl
37,Nagel[Anatomie]::N,negl,negl
38,Zeh::N,tå,tå
39,Fuß::N,fot,fot
40,Ferse::N,hæl,hæl
41,Knie::N,kne,kne
42,Oberschenkel::N,lår,lår
43,Bein::N,bein,bein
44,Körper::N,kropp,kropp
45,Körper::N,kropp,legeme
46,Körper::N,legeme,kropp
47,Körper::N,legeme,legeme
48,Haut::N,hud,hud
49,Haut::N,hud,skinn
50,Haut::N,skinn,hud
51,Haut::N,skinn,skinn
52,Blut::N,blod,blod
53,Ader::N,åre,åre
54,Sehne::N,sene,sene
55,Knochen::N,bein,bein
56,Knochen::N,bein,knokkel
57,Knochen::N,knokkel,bein
58,Knochen::N,knokkel,knokkel
59,Gehirn::N,hjerne,hjerne
60,Herz::N,hjerte,hjerte
61,Magen::N,mage,mage
62,Leber::N,lever,lever
63,Atem::N,pust,pust
64,Hunger::N,sult,sult
65,Träne::N,tåre,tåre
66,Geschmack::N,smak,smak
67,Geruch::N,lukt,lukt
68,Schlaf::N,søvn,søvn
69,Traum::N,drøm,drøm
70,Himmel::N,himmel,himmel
71,Sonne::N,sol,sol
72,Mond::N,måne,måne
73,Stern::N,stjerne,stjerne
74,Luft::N,luft,luft
75,Wind::N,vind,vind
76,Welle::N,bølge,bølge
77,Wasser::N,vann,vann
78,Stein::N,stein,stein
79,Boden::N,bakke,bakke
80,Erde::N,jord,jord
81,Staub::N,støv,støv
82,Rauch::N,røyk,røyk
83,Funke::N,gnist,gnist
84,Feuer::N,ild,ild
85,Licht::N,lys,lys
86,Schatten::N,skygge,skygge
87,Wetter::N,vær,vær
88,Nebel::N,tåke,tåke
89,Wolke::N,sky,sky
90,Regen::N,regn,regn
91,Schnee::N,snø,snø
92,Eis::N,is,is
93,Frost::N,frost,frost
94,Kälte::N,kulde,kulde
95,Hitze::N,hete,hete
96,Raureif::N,rimfrost,rimfrost
