,Concept_ID,se,pt
0,Auge::N,tjelmie,olho
1,Auge::N,tjalmme,olho
2,Auge::N,čalbmi,olho
3,Auge::N,čalme,olho
4,Auge::N,čâ´lmm,olho
5,Auge::N,ча̄лльм,olho
6,Ohr::N,bieljie,orelha
7,Ohr::N,biellje,orelha
8,Ohr::N,beallji,orelha
9,Ohr::N,pelji,orelha
10,Ohr::N,pe´llj,orelha
11,Ohr::N,пе̄лльй,orelha
12,Nase::N,njuenie,nariz
13,Nase::N,njunnje,nariz
14,Nase::N,njunni,nariz
15,Nase::N,njuṇe,nariz
16,Nase::N,njuu´nn,nariz
17,Nase::N,нюннҍ,nariz
18,Mund::N,njaelmie,boca
19,Mund::N,njálmme,boca
20,Mund::N,njálbmi,boca
21,Mund::N,njälmi,boca
22,Mund::N,njä´lmm,boca
23,Mund::N,ня̄лльм,boca
24,Zahn::N,baenie,dente
25,Zahn::N,bádne,dente
26,Zahn::N,bátni,dente
27,Zahn::N,pääṇi,dente
28,Zahn::N,pää´nn,dente
29,Zahn::N,па̄ннҍ,dente
30,Zunge::N,njoektjeme,língua
31,Zunge::N,njuovtjav,língua
32,Zunge::N,njuovčča,língua
33,Zunge::N,njuovčâ,língua
34,Zunge::N,njuhččâm,língua
35,Zunge::N,нюхчем,língua
36,Lippe::N,bangseme,lábio
37,Lippe::N,njálmmerabdda,lábio
38,Lippe::N,bavssa,lábio
39,Lippe::N,poovsâ,lábio
40,Lippe::N,põõus,lábio
41,Lippe::N,пэ̄кс,lábio
42,Wange::N,skiehrie,face
43,Wange::N,nierra,face
44,Wange::N,muohtu,face
45,Wange::N,nieṛâ,face
46,Wange::N,njiõrr,face
47,Wange::N,нӣрр,face
48,Gesicht::N,ååredæjja,cara
49,Gesicht::N,ååredæjja,rosto
50,Gesicht::N,muohto,cara
51,Gesicht::N,muohto,rosto
52,Gesicht::N,muođut,cara
53,Gesicht::N,muođut,rosto
54,Gesicht::N,ámadadju,cara
55,Gesicht::N,ámadadju,rosto
56,Gesicht::N,muáđuh,cara
57,Gesicht::N,muáđuh,rosto
58,Gesicht::N,muâđ,cara
59,Gesicht::N,muâđ,rosto
60,Gesicht::N,ка̄ссв,cara
61,Gesicht::N,ка̄ссв,rosto
62,Stirn::N,gaalloe,testa
63,Stirn::N,gállo,testa
64,Stirn::N,gállu,testa
65,Stirn::N,kállu,testa
66,Stirn::N,käll,testa
67,Stirn::N,вуэххьц,testa
68,Haar::N,voepte,cabelo
69,Haar::N,vuoppta,cabelo
70,Haar::N,vuokta,cabelo
71,Haar::N,vuop'tâ,cabelo
72,Haar::N,vuõpt,cabelo
73,Haar::N,вӯппт,cabelo
74,Schnurrbart::N,bijjie-skaavtjoe,bigode
75,Schnurrbart::N,njunjevuolskávttjá,bigode
76,Schnurrbart::N,seamu,bigode
77,Schnurrbart::N,siämu,bigode
78,Schnurrbart::N,ää´bben,bigode
79,Schnurrbart::N,о̄а̄бпан,bigode
80,Bart::N,skaavtja,barba
81,Bart::N,skaavtjoe,barba
82,Bart::N,skávttjá,barba
83,Bart::N,seamu,barba
84,Bart::N,siämu,barba
85,Bart::N,seäm,barba
86,Bart::N,ся̄м,barba
87,Kinn::N,gaejpie,queixo
88,Kinn::N,gájbbe,queixo
89,Kinn::N,gáibi,queixo
90,Kinn::N,käibi,queixo
91,Kinn::N,käi´bb,queixo
92,Kinn::N,ка̄ййп,queixo
93,Kiefer[Anatomie]::N,gaejpie,maxila
94,Kiefer[Anatomie]::N,gaejpie,mandíbula
95,Kiefer[Anatomie]::N,oalol,maxila
96,Kiefer[Anatomie]::N,oalol,mandíbula
97,Kiefer[Anatomie]::N,oaloldákte,maxila
98,Kiefer[Anatomie]::N,oaloldákte,mandíbula
99,Kiefer[Anatomie]::N,gáibi,maxila
100,Kiefer[Anatomie]::N,gáibi,mandíbula
101,Kiefer[Anatomie]::N,uá'lultähti,maxila
