,Concept_ID,vep,ba
0,Auge::N,sil'm,күҙ
1,Ohr::N,korv,ҡолаҡ
2,Nase::N,nena,танау
3,Mund::N,su,ауыҙ
4,Zahn::N,pi,теш
5,Zahn::N,hambaz,теш
6,Zunge::N,kel',тел
7,Lippe::N,hul',ирен
8,Wange::N,modpolišk,яцаҡтар
9,Gesicht::N,mod,бит
10,Stirn::N,oc,маңлай
11,Haar::N,tuk,сәс
12,Haar::N,hibuz,сәс
13,Schnurrbart::N,habinod,мылтыҡ
14,Bart::N,bard,һаҡал
15,Kinn::N,löug,эйэк
16,Kiefer[Anatomie]::N,hambazlu,яңаҡ һөйәге
17,Kehle::N,kurk,тамаҡ
18,Hals::N,kagl,муйын
19,Genick::N,tagarai,соңҡа
20,Kopf::N,pä,баш
21,Rücken::N,sel'g,арҡа
22,Bauch::N,vac,ҡорһаҡ
23,Bauch::N,koht,ҡорһаҡ
24,Nabel::N,naba,кендек
25,Busen::N,niža,күкрәк
26,Brust::N,rind,түш
27,Schulter::N,oug,яурын
28,Arm::N,käzi,ҡул
29,Ellenbogen::N,künambruz,терһәк
30,Hand::N,käzi,ҡул
31,Hand::N,käzi,ҡул суғы
32,Hand::N,käzitera,ҡул
33,Hand::N,käzitera,ҡул суғы
34,Handfläche::N,kämen,ус төбө
35,Finger::N,sor'm,бармаҡ
36,Fingernagel::N,künz',тырнаҡ
37,Nagel[Anatomie]::N,künz',тырнаҡ
38,Zeh::N,barbaz,бармаҡ
39,Fuß::N,jaug,табан
40,Ferse::N,kand,үксә
41,Knie::N,komb,тубыҡ
42,Knie::N,pol'v,тубыҡ
43,Oberschenkel::N,riiže,сандыр
44,Bein::N,jaug,аяҡ
45,Körper::N,hibj,тән
46,Haut::N,nahk,тире
47,Blut::N,čak,ҡан
48,Blut::N,veri,ҡан
49,Ader::N,son',тамыр
50,Sehne::N,jände,һеңер
51,Sehne::N,jände,тарамыш
52,Knochen::N,lu,һойәк
53,Gehirn::N,aivod,мейе
54,Herz::N,südäin,йорәк
55,Magen::N,südäikoht,ашҡаҙан
56,Leber::N,maks,бауыр
57,Atem::N,hengaiduz,һулыш
58,Hunger::N,näl'g,аслыҡ
59,Träne::N,kündal',күҙ иәше
60,Geschmack::N,magu,тәм
61,Geruch::N,haju,еҫ
62,Schlaf::N,uni,йоҡлау
63,Traum::N,unikuva,төш
64,Himmel::N,taivaz,күк
65,Sonne::N,päiväine,ҡояш
66,Mond::N,kudmaine,ай
67,Stern::N,tähtaz,йондоҙ
68,Luft::N,il'm,һауа
69,Wind::N,döl,ел
70,Wind::N,tullei,ел
71,Welle::N,ald,тулҡын
72,Welle::N,laineh,тулҡын
73,Wasser::N,vezi,һыу
74,Stein::N,kivi,таш
75,Boden::N,ma,тупраҡ
76,Boden::N,pohj,тупраҡ
77,Erde::N,ma,балсҡ
78,Staub::N,pölü,туҙан
79,Rauch::N,savu,төтөн
80,Funke::N,kibin,осҡон
81,Feuer::N,lämoi,ут
82,Licht::N,vauktuz,яҡтылыҡ
83,Schatten::N,pil'vez,күләгә
84,Schatten::N,kuvahaine,күләгә
85,Wetter::N,sä,һауа торошо
86,Nebel::N,sumeg,төман
87,Wolke::N,pil'v,болот
88,Regen::N,vihm,ямғыр
89,Schnee::N,lumi,ҡар
90,Eis::N,jä,боҙ
91,Frost::N,hala,һалҡын
92,Frost::N,pakaine,һалҡын
93,Kälte::N,vilu,һыуыҡ
94,Hitze::N,räk,томра
95,Hitze::N,räk,эҫелек
96,Raureif::N,hüde,ҡырау
97,Regenbogen::N,jumalanbembel',йәйғор
98,Donner::N,juru,күк күкрәү
99,Donner::N,jumalanjuru,күк күкрәү
100,Strömung::N,joksmuz,ағым
101,Tropfen::N,tilkuine,тамсы
102,Schaum::N,vaht,күбек
103,Schmutz::N,redu,батҡаҡ
104,Schmutz::N,pačak,батҡаҡ
105,See::N,järv,күл
106,Sumpf::N,so,һаҙлык
107,Moor::N,so,һаҙ
108,Wiese::N,nit,болон
109,Wald::N,mec,урман
110,Hügel::N,kukaz,түбә
111,Anhöhe::N,kukaz,түбә
112,Anhöhe::N,kukaz,ҡалҡыулыҡ
113,Berg::N,mägi,тау
114,Gipfel::N,ladv,түбә
115,Höhle::N,mägionduz,мәмерйә
116,Abhang::N,paute,ипкен
117,Quelle::N,lähte,шишмә
118,Bach::N,oja,шишмә
119,Fluss::N,jogi,йылға
120,Ufer::N,rand,яр
121,Küste::N,randišt,яр буйы
122,Festland::N,kuivma,ҡоро ер
123,Meer::N,meri,диңгез
124,Bucht::N,laht,бухта
125,Insel::N,sar',үтрау
126,Blume::N,änik,сәскә
127,Gras::N,hein,үлән
128,Wurzel::N,jur',тамыр
129,Baum::N,pu,ағас
130,Stamm::N,tüvi,олон
131,Stamm::N,tüvi,көбәк
132,Rinde::N,kor',ҡабыҡ
133,Ast::N,oks,ботаҡ
134,Zweig::N,oks,ботаҡ
135,Zweig::N,oks,тармаҡ
136,Zweig::N,barb,ботаҡ
137,Zweig::N,barb,тармаҡ
138,Blatt::N,lehtez,япраҡ
139,Birke::N,koiv,ҡайын
140,Kiefer[Baum]::N,pedai,ҡарғай
141,Weide[Baum]::N,raid,тал
142,Tanne::N,kuz',шыршы
143,Horn::N,sar'v,мөғөҙ
144,Feder::N,höuneh,ҡауырһын
145,Fell::N,nahk,тире
