,Concept_ID,vep,xal
0,Auge::N,sil'm,нүдн
1,Ohr::N,korv,чикн
2,Nase::N,nena,хамр
3,Mund::N,su,амн
4,Zahn::N,pi,шүдн
5,Zahn::N,hambaz,шүдн
6,Zunge::N,kel',келн
7,Lippe::N,hul',урл
8,Wange::N,modpolišk,халх
9,Gesicht::N,mod,нүр
10,Stirn::N,oc,маңна
11,Haar::N,tuk,үсн
12,Haar::N,hibuz,үсн
13,Schnurrbart::N,habinod,сахл
14,Bart::N,bard,сахл
15,Bart::N,bard,өргнә сахл
16,Kinn::N,löug,өргн
17,Kiefer[Anatomie]::N,hambazlu,өргн
18,Kehle::N,kurk,хол
19,Hals::N,kagl,күзүн
20,Genick::N,tagarai,гиҗг
21,Kopf::N,pä,толһа
22,Rücken::N,sel'g,нурһн
23,Bauch::N,vac,гесн
24,Bauch::N,koht,гесн
25,Nabel::N,naba,киисн
26,Busen::N,niža,көкн
27,Brust::N,rind,чееҗ
28,Schulter::N,oug,ээм
29,Arm::N,käzi,һар
30,Ellenbogen::N,künambruz,тоха
31,Hand::N,käzi,баһлцг
32,Hand::N,käzitera,баһлцг
33,Handfläche::N,kämen,альхн
34,Finger::N,sor'm,хурһн
35,Finger::N,sor'm,һарин хурһн
36,Fingernagel::N,künz',хумсн
37,Nagel[Anatomie]::N,künz',хумсн
38,Zeh::N,barbaz,хурһн
39,Zeh::N,barbaz,көлин хурһн
40,Fuß::N,jaug,тавг
41,Ferse::N,kand,өскә
42,Knie::N,komb,өвдг
43,Knie::N,pol'v,өвдг
44,Oberschenkel::N,riiže,һуй
45,Bein::N,jaug,көл
46,Körper::N,hibj,махмуд
47,Haut::N,nahk,арсн
48,Blut::N,čak,цусн
49,Blut::N,veri,цусн
50,Ader::N,son',судцн
51,Sehne::N,jände,шүрүсн
52,Knochen::N,lu,ясн
53,Gehirn::N,aivod,экн
54,Herz::N,südäin,зүркн
55,Magen::N,südäikoht,гесн
56,Leber::N,maks,элкн
57,Atem::N,hengaiduz,әмсхл
58,Hunger::N,näl'g,харһнлһн
59,Träne::N,kündal',нульмсн
60,Geschmack::N,magu,амтн
61,Geruch::N,haju,үнр
62,Schlaf::N,uni,нөр
63,Traum::N,unikuva,зүүдн
64,Himmel::N,taivaz,теңгр
65,Sonne::N,päiväine,нарн
66,Mond::N,kudmaine,сар
67,Stern::N,tähtaz,одн
68,Luft::N,il'm,аһар
69,Wind::N,döl,салькн
70,Wind::N,tullei,салькн
71,Welle::N,ald,дольган
72,Welle::N,laineh,дольган
73,Wasser::N,vezi,усн
74,Stein::N,kivi,чолун
75,Boden::N,ma,Һазр
76,Boden::N,pohj,Һазр
77,Erde::N,ma,Һазр
78,Staub::N,pölü,тоосн
79,Rauch::N,savu,утан
80,Funke::N,kibin,очн
81,Feuer::N,lämoi,һал
82,Licht::N,vauktuz,герл
83,Schatten::N,pil'vez,сүүдр
84,Schatten::N,kuvahaine,сүүдр
85,Wetter::N,sä,теңгр
86,Nebel::N,sumeg,будн
87,Wolke::N,pil'v,үүлн
88,Regen::N,vihm,хур
89,Schnee::N,lumi,цасн
90,Eis::N,jä,мөсн
91,Frost::N,hala,киитн
92,Frost::N,pakaine,киитн
93,Kälte::N,vilu,киитн
94,Hitze::N,räk,халун
95,Raureif::N,hüde,цаң
96,Raureif::N,hüde,кирү
97,Regenbogen::N,jumalanbembel',солңһ
98,Donner::N,juru,оһтрһун дун
99,Donner::N,jumalanjuru,оһтрһун дун
100,Strömung::N,joksmuz,урсхл
101,Tropfen::N,tilkuine,дусал
102,Schaum::N,vaht,көөсн
103,Schmutz::N,redu,кир
104,Schmutz::N,pačak,кир
105,See::N,järv,нур
106,Sumpf::N,so,унул
107,Moor::N,so,улм
108,Wiese::N,nit,хадлһн
109,Wald::N,mec,ө-модн
110,Hügel::N,kukaz,толһа
111,Anhöhe::N,kukaz,хамр
112,Berg::N,mägi,уул
113,Gipfel::N,ladv,ора
114,Höhle::N,mägionduz,хадин көндә
115,Abhang::N,paute,ташу
116,Quelle::N,lähte,булг
117,Bach::N,oja,һооҗур
118,Fluss::N,jogi,һол
119,Ufer::N,rand,көвә
120,Küste::N,randišt,көвә
121,Küste::N,randišt,теңгсин көвә
122,Festland::N,kuivma,хүүрә һазр
123,Meer::N,meri,теңгс
124,Bucht::N,laht,цекә
125,Bucht::N,laht,теңгсин цекә
126,Insel::N,sar',арл
127,Blume::N,änik,цецг
128,Gras::N,hein,ноһан
129,Wurzel::N,jur',уңг
130,Baum::N,pu,модн
131,Stamm::N,tüvi,шилв
132,Stamm::N,tüvi,һол модн
133,Rinde::N,kor',көрсн
134,Ast::N,oks,ац
135,Zweig::N,oks,ац
136,Zweig::N,barb,ац
137,Blatt::N,lehtez,хамтхасн
138,Birke::N,koiv,хусм модн
139,Kiefer[Baum]::N,pedai,шар харһа
140,Weide[Baum]::N,raid,удн
141,Tanne::N,kuz',җөөлн цаһан модн
142,Horn::N,sar'v,өвр
143,Feder::N,höuneh,өрвлг
144,Fell::N,nahk,арсн
145,Flügel::N,suug,җивр
146,Klaue::N,künz',хумсн
147,Kralle::N,künz',тавг
148,Schwanz::N,händ,сүл
149,Ei::N,muna,өндгн
150,Nest::N,peza,үр
151,Bau::N,uru,нүкн
152,Tier::N,živat,мал
153,Herde::N,kogo,сүрг мал
154,Kuh::N,lehm,үкр
155,Bulle::N,härg,бух
156,Pferd::N,hebo,мөрн
157,Schaf::N,lambaz,хөн
158,Schwein::N,siga,һаха
159,Hund::N,koir,ноха
160,Katze::N,kaži,мис
161,Bär::N,kondi,аю
162,Eichhörnchen::N,orav,кермн
163,Elch::N,hirb',хандһа
164,Fuchs::N,reboi,арат
165,Hase::N,jäniš,туула
166,Maus::N,hir',хулһн
167,Wolf::N,händikaz,чон
168,Vogel::N,lind,шовун
169,Schwarm::N,parveh,зел
170,Huhn::N,kana,така
171,Hahn::N,kukoi,эр така
172,Gans::N,hanh',һалун
173,Adler::N,orl,һәрд
174,Ente::N,sorz,нуһсн
175,Eule::N,hir'pulo,һурвлһ
