,Concept_ID,pl,la
0,Auge::N,oko,oculus
1,Ohr::N,ucho,auris
2,Nase::N,nos,nasus
3,Mund::N,usta,os
4,Zahn::N,ząb,dens
5,Zunge::N,język,lingua
6,Lippe::N,warga,labrum
7,Wange::N,policzek,gena
8,Gesicht::N,twarz,vultus
9,Stirn::N,czoło,frons
10,Haar::N,włos,capillus
11,Haar::N,włosy,capillus
12,Schnurrbart::N,wąsy,barba labri superioris
13,Bart::N,broda,barba
14,Kinn::N,podbródek,mentum
15,Kiefer[Anatomie]::N,czeluść,mala
16,Kehle::N,gardło,iugulums
17,Hals::N,szyja,collum
18,Genick::N,kark,cervices
19,Kopf::N,głowa,caput
20,Rücken::N,plecy,tergum
21,Rücken::N,grzbiet,tergum
22,Bauch::N,brzuch,venter
23,Nabel::N,pępek,umbilicus
24,Busen::N,biust,sinus
25,Brust::N,pierś,pectus
26,Schulter::N,bark,umerus
27,Schulter::N,ramię,umerus
28,Arm::N,ręka,bracchium
29,Arm::N,ramię,bracchium
30,Ellenbogen::N,łokieć,cubitum
31,Hand::N,dłoń,manus
32,Handfläche::N,dłoń,palma
33,Finger::N,palec,digitus
34,Fingernagel::N,paznokieć,unguiculus
35,Nagel[Anatomie]::N,paznokieć,unguis
36,Zeh::N,palec,digitus
37,Fuß::N,stopa,pes
38,Ferse::N,pięta,calx
39,Knie::N,kolano,genu
40,Oberschenkel::N,udo,femur
41,Bein::N,noga,crus
42,Körper::N,ciało,corpus
43,Haut::N,skóra,cutis
44,Haut::N,skóra,pellis
45,Blut::N,krew,sanguis
46,Ader::N,żyła,vena
47,Sehne::N,ścięgno,nervus
48,Knochen::N,kość,os
49,Gehirn::N,mózg,cerebrum
50,Herz::N,serce,cor
51,Herz::N,serce,animus
52,Magen::N,żołądek,stomachus
53,Leber::N,wątroba,iecur
54,Atem::N,dech,spiritus
55,Atem::N,oddech,spiritus
56,Hunger::N,głód,fames
57,Träne::N,łza,lacrima
58,Geschmack::N,smak,sapor
59,Geschmack::N,smak,gustus
60,Geruch::N,woń,odor
61,Geruch::N,zapach,odor
62,Schlaf::N,sen,somnus
63,Traum::N,sen,somnium
64,Himmel::N,niebo,caelum
65,Sonne::N,słońce,sol
66,Mond::N,księżyc,luna
67,Stern::N,gwiazda,sidus
68,Stern::N,gwiazda,stella
69,Luft::N,powietrze,aer
70,Wind::N,wiatr,ventus
71,Welle::N,fala,unda
72,Wasser::N,woda,aqua
73,Stein::N,kamień,lapis
74,Boden::N,grunt,solum
75,Erde::N,ziemia,terra
76,Staub::N,pył,pulvis
77,Staub::N,kurz,pulvis
78,Rauch::N,dym,fumus
79,Funke::N,iskra,scintilla
80,Feuer::N,ogień,ignis
81,Licht::N,światło,lux
82,Licht::N,światło,lumen
83,Schatten::N,cień,umbra
84,Wetter::N,pogoda,caelum
85,Wetter::N,pogoda,tempestas
86,Nebel::N,mgła,nebula
87,Wolke::N,obłok,nubes
88,Wolke::N,chmura,nubes
89,Regen::N,deszcz,imber
