,Concept_ID,ko,cs
0,Auge::N,눈,oko
1,Ohr::N,귀,ucho
2,Nase::N,코,nos
3,Mund::N,입,pusa
4,Zahn::N,이,zub
5,Zunge::N,혀,jazyk
6,Lippe::N,입술,ret
7,Wange::N,뺨,tvář
8,Gesicht::N,얼굴,obličej
9,Stirn::N,이마,čelo
10,Haar::N,털,vlas
11,Haar::N,털,vlasy
12,Schnurrbart::N,윗수몀,kníry
13,Schnurrbart::N,코밑수염,kníry
14,Bart::N,수엄,vousy
15,Kinn::N,아래턱,brada
16,Kiefer[Anatomie]::N,턱,čelist
17,Kehle::N,인후,hrdlo
18,Hals::N,목,krk
19,Genick::N,먹덜이,týl
20,Kopf::N,머리,hlava
21,Rücken::N,든,záda
22,Rücken::N,든,hřbet
23,Bauch::N,배,břicho
24,Nabel::N,배꼽,pupek
25,Busen::N,가슴속,ňadra
26,Brust::N,가슴,prsa
27,Schulter::N,어깨,plece
28,Schulter::N,어깨,rameno
29,Arm::N,팔,ruka
30,Ellenbogen::N,팔쿰치,loket
31,Hand::N,손,ruka
32,Handfläche::N,손바닥,dlaň
33,Finger::N,속가락,prst
34,Fingernagel::N,손톱,nehet
35,Nagel[Anatomie]::N,손톱,nehet
36,Zeh::N,발가락,prst u nohy
37,Fuß::N,발,noha
38,Ferse::N,발꿈치,pata
39,Knie::N,무릎,koleno
40,Oberschenkel::N,허벅다리,stehno
41,Bein::N,다리,noha
42,Körper::N,구간,tělo
43,Haut::N,살갗,kůže
44,Blut::N,피,krev
45,Ader::N,정맥,céva
46,Sehne::N,현,šlacha
47,Knochen::N,뼈,kost
48,Gehirn::N,뇌,mozek
49,Gehirn::N,뇌수,mozek
50,Herz::N,염통,srdce
51,Magen::N,위,žaludek
52,Leber::N,간,játra
53,Atem::N,기식,dech
54,Hunger::N,공복,hlad
55,Träne::N,눈물,slza
56,Geschmack::N,기호,vkus
57,Geruch::N,냄새,vůně
58,Geruch::N,냄새,zápach
59,Schlaf::N,수면,spánek
60,Traum::N,쿰,sen
61,Himmel::N,하늘,nebe
62,Sonne::N,해,slunce
63,Mond::N,달,měsíc
64,Stern::N,별,hvězda
65,Luft::N,동준,vzduch
66,Luft::N,가스채,vzduch
67,Wind::N,바람,vítr
68,Welle::N,물결,vlna
69,Wasser::N,물,voda
70,Stein::N,돌,kámen
71,Boden::N,바닥,půda
72,Erde::N,흙,země
73,Staub::N,먼지,prach
74,Rauch::N,연기,dým
75,Rauch::N,연기,kouř
76,Funke::N,불티,jiskra
77,Feuer::N,불,oheň
78,Licht::N,불,světlo
79,Schatten::N,어스레함,stín
80,Wetter::N,기상,počasí
81,Nebel::N,안개,mlha
82,Wolke::N,구름,mrak
83,Wolke::N,구름,oblak
84,Regen::N,비,déšť
85,Schnee::N,눈,sníh
86,Eis::N,얼음,led
87,Frost::N,혹한,mráz
88,Kälte::N,추위,chlad
89,Kälte::N,차가움,chlad
90,Hitze::N,고온,horko
91,Hitze::N,더위,horko
92,Regenbogen::N,무지개,duha
93,Donner::N,뇌명,hrom
94,Strömung::N,유동,proudění
95,Tropfen::N,물방울,kapka
96,Schaum::N,포말,pěna
97,Schmutz::N,때,špína
98,See::N,호수,jezero
99,Sumpf::N,습지,močál
100,Sumpf::N,습지,bažina
101,Moor::N,저습지,bažina
102,Moor::N,저습지,slatina
103,Wiese::N,목초지,louka
104,Wald::N,숲,les
105,Hügel::N,언덕,kopec
106,Anhöhe::N,언덕,pahorek
107,Berg::N,산,hora
108,Gipfel::N,졀졍,vrchol
109,Höhle::N,공동,jeskyně
110,Abhang::N,몰매,svah
111,Abhang::N,몰매,stráň
112,Quelle::N,근원,pramen
113,Bach::N,내,potok
114,Fluss::N,강,řeka
115,Ufer::N,강변,břeh
116,Ufer::N,바닷가,břeh
117,Küste::N,해변,pobřeží
118,Küste::N,해변가,pobřeží
119,Festland::N,본토,souš
120,Festland::N,본토,pevnina
121,Meer::N,바다,moře
122,Bucht::N,협만,záliv
123,Bucht::N,협만,zátoka
124,Insel::N,섬,ostrov
125,Blume::N,꽃,květina
126,Gras::N,풀,tráva
127,Wurzel::N,뿌리,kořen
128,Baum::N,나무,strom
129,Stamm::N,대,kmen
130,Rinde::N,나무껍질,kůra
131,Ast::N,가지,větev
132,Zweig::N,가지,větev
133,Blatt::N,잎,lupen
134,Birke::N,자작나무,bříza
135,Kiefer[Baum]::N,소나무,sosna
136,Kiefer[Baum]::N,소나무,borovice
137,Weide[Baum]::N,쉬양버들,vrba
138,Tanne::N,전나무,jedle
139,Horn::N,뿔,roh
140,Feder::N,깃털,pero
141,Fell::N,피혁모피,srst
142,Flügel::N,날개,křídlo
143,Klaue::N,갈고리 발톺,dráp
144,Klaue::N,갈고리 발톺,pazneht
145,Kralle::N,발툭,dráp
146,Schwanz::N,꼬리,ocas
147,Ei::N,알,vejce
148,Nest::N,보금자리,hnízdo
149,Bau::N,굴,nora
150,Tier::N,짐승,zvíře
151,Herde::N,가축의떼,stádo
152,Kuh::N,암소,kráva
153,Bulle::N,황소,býk
154,Pferd::N,말,kůň
155,Schaf::N,양,ovce
156,Schwein::N,돼지,vepř
157,Schwein::N,돼지,prase
158,Hund::N,개,pes
159,Katze::N,고양이,kočka
160,Bär::N,콤,medvěd
161,Eichhörnchen::N,다람쥐,veverka
162,Elch::N,고라니,los
163,Fuchs::N,여우,liška
164,Hase::N,토끼,zajíc
165,Maus::N,쥐,myš
166,Wolf::N,늑대,vlk
167,Vogel::N,새,pták
168,Schwarm::N,뗴,roj
169,Schwarm::N,뗴,hejno
170,Huhn::N,암탉,kuře
171,Huhn::N,암탉,slepice
172,Hahn::N,수탉,kohout
173,Gans::N,거위,husa
174,Adler::N,수리,orel
175,Ente::N,오리,kachna
176,Eule::N,부엉이,sova
177,Kranich::N,두루미,jeřáb
178,Krähe::N,까마귀,vrána
179,Kuckuck::N,뻐꾸기,kukačka
180,Schwan::N,배조,labuť
181,Fisch::N,물고기,ryba
182,Barsch::N,농어,okoun
183,Hecht::N,에속스,štika
184,Schlange[Tier]::N,뱀,had
185,Wurm::N,벌레,červ
186,Spinne::N,거미,pavouk
187,Ameise::N,개미,mravenec
188,Laus::N,이,veš
189,Mücke::N,모기,komár
190,Fliege::N,날기,moucha
191,Schmetterling::N,나비,motýl
192,Beere::N,장과,bobule
193,Apfel::N,사과,jablko
194,Pilz::N,고방이,houba
195,Zwiebel::N,양파,cibule
196,Saat::N,씨,osivo
197,Korn::N,알맹이,zrno
198,Heu::N,건초,seno
199,Schale::N,피상,slupka
200,Schale::N,피상,skořápka
201,Falle::N,함정,past
202,Falle::N,함정,léčka
203,Schlinge::N,올가미,smyčka
204,Schlinge::N,멜빵붕대,smyčka
205,Spur::N,발지국,stopa
206,Asche::N,재,popel
207,Dreck::N,똥,špína
208,Dreck::N,오물,špína
209,Eisen::N,쇠,železo
210,Eisen::N,철,železo
211,Gold::N,항금,zlato
212,Silber::N,은,stříbro
213,Kohle::N,슻,uhlí
214,Glas::N,유리,sklo
215,Lehm::N,찰흙,jíl
216,Lehm::N,찰흙,hlína
217,Sand::N,모래,písek
218,Mensch::N,사람,člověk
219,Mann::N,남자,muž
220,Frau::N,여자,žena
221,Kind::N,아이,dítě
222,Junge::N,소녁,hoch
223,Junge::N,소녁,chlapec
224,Mädchen::N,소녀,děvče
225,Familie::N,가족,rodina
226,Großvater::N,할아버지,děd
227,Großvater::N,할아버지,dědeček
228,Großmutter::N,할머니,babička
229,Eltern::N,어버오,rodiče
230,Vater::N,아버지,otec
231,Mutter::N,어머니,matka
232,Sohn::N,아들,syn
233,Tochter::N,딸기,dcera
234,Bruder::N,형제,bratr
235,Schwester::N,누이,sestra
236,Onkel::N,백부,strýc
237,Tante::N,아주머니,teta
238,Ehemann::N,남편,choť
239,Ehemann::N,남편,manžel
240,Ehefrau::N,아내,choť
241,Ehefrau::N,아내,manželka
242,Freude::N,기쁨,radost
243,Gelächter::N,웃음,smích
244,Glück::N,즐거움,štěstí
245,Kummer::N,슬픔,žal
246,Kummer::N,슬픔,trápení
247,Wunsch::N,소망,přání
248,Geist::N,할기,duch
249,Gedanke::N,상념,myšlenka
250,Gedächtnis::N,기억,paměť
251,Verstand::N,분별,rozum
252,Verstand::N,지능,rozum
253,Sinn::N,센스,smysl
254,Grund::N,까닭,důvod
255,Wahrheit::N,참,pravda
256,Wahrheit::N,진실,pravda
257,Gespräch::N,대화,rozhovor
258,Märchen::N,동화,pohádka
259,Erzählung::N,이야기,povídka
260,Neuigkeit::N,뉴스,novina
261,Neuigkeit::N,뉴스,novinka
262,Name::N,이름,jméno
263,Rätsel::N,수수께끼,hádanka
264,Rede::N,연설,řeč
265,Rede::N,연설,proslov
266,Sprache::N,말,řeč
267,Sprache::N,말,jazyk
268,Stimme::N,목소리,hlas
269,Wort::N,낱말,slovo
270,Zeichen::N,신호,znamení
271,Ruf::N,부름,zavolání
272,Lärm::N,소동,hluk
273,Laut::N,음성,zvuk
274,Ton::N,목소리,tón
275,Lied::N,노래,píseň
276,Ruhe::N,쉼,klid
277,Ruhe::N,쉼,pokoj
278,Leute::N,사람들,lidé
279,Volk::N,국중,národ
