,Concept_ID,br,mn
0,Auge::N,lagad,нүд
1,Ohr::N,skouarn,чих
2,Nase::N,fri,хамар
3,Mund::N,genoù,ам
4,Zahn::N,dant,шүд
5,Zunge::N,teod,хэл
6,Lippe::N,muzell,уруул
7,Wange::N,chot,хацар
8,Gesicht::N,dremm,царай
9,Gesicht::N,dremm,нүүр
10,Stirn::N,tal,дух
11,Haar::N,blev,үс
12,Schnurrbart::N,mourenn,дээд сахал
13,Schnurrbart::N,mourenn,живэр сахал
14,Bart::N,barv,сахал
15,Kinn::N,groñj,эрүү
16,Kiefer[Anatomie]::N,javed,эрүү
17,Kehle::N,gouzoug,хоолой
18,Hals::N,gouzoug,хүзүү
19,Genick::N,choug,шил
20,Genick::N,choug,хүзүү
21,Kopf::N,penn,толгой
22,Rücken::N,kein,ар
23,Rücken::N,kein,нуруу
24,Bauch::N,kof,хэвлий
25,Bauch::N,kof,гэдэс
26,Nabel::N,begel,хүйс
27,Busen::N,bronn,хөх
28,Brust::N,bruched,цээж
29,Schulter::N,skoaz,мөр
30,Schulter::N,skoaz,бугалга
31,Arm::N,brec'h,гар
32,Ellenbogen::N,ilin,тохой
33,Hand::N,dorn,гар
34,Hand::N,dorn,алга
35,Handfläche::N,palv,алга
36,Finger::N,biz,хуруу
37,Fingernagel::N,ivin,хурууны хумс
38,Nagel[Anatomie]::N,ivin,хумс
39,Zeh::N,biz-troad,хуруу
40,Fuß::N,troad,хөл
41,Ferse::N,seul,өсгий
42,Knie::N,glin,өвдөг
43,Oberschenkel::N,morzhed,гуя
44,Bein::N,gar,хөл
45,Körper::N,korf,бие
46,Haut::N,kroc'hen,арьс
47,Blut::N,gwad,цус
48,Ader::N,gwazhi,судас
49,Sehne::N,stir,бүлх
50,Sehne::N,stir,шандас
51,Knochen::N,askorn,яс
52,Gehirn::N,empenn,тархи
53,Herz::N,kalon,зүрх
54,Magen::N,stomog,ходоод
55,Leber::N,avu,элэг
56,Atem::N,anal,амьсгаа
57,Hunger::N,naon,өлсгөлөн
58,Träne::N,daer,нулимс
59,Geschmack::N,blaz,амт
60,Geruch::N,c'hwezh,үнэр
61,Schlaf::N,kousked,нойр
62,Traum::N,hune,зүүд
63,Himmel::N,oabl,тэнгэр
64,Himmel::N,oabl,огторгуй
65,Sonne::N,heol,нар
66,Mond::N,loar,сар
67,Stern::N,steredenn,од
68,Luft::N,aer,агаар
69,Wind::N,avel,салхи
70,Welle::N,houlenn,долгио
71,Welle::N,houlenn,давалгаа
72,Wasser::N,dour,ус
73,Stein::N,maen,чулуу
74,Boden::N,tachenn,хөрс
75,Erde::N,douar,газар
76,Erde::N,douar,шороо
77,Staub::N,poultr,тоос
78,Rauch::N,moged,утаа
79,Funke::N,ful,оч
80,Feuer::N,tan,гал
81,Licht::N,gouloù,гэрэл
82,Licht::N,gouloù,гэгээ
83,Schatten::N,disheol,сүүдэр
84,Wetter::N,amzer,тэнгэр
85,Wetter::N,amzer,цаг уур
86,Nebel::N,brumenn,будан
87,Wolke::N,koumoulenn,үүл
88,Regen::N,glav,бороо
89,Schnee::N,erc'h,цас
90,Eis::N,skorn,мөс
91,Frost::N,rev,хүйт
92,Kälte::N,yen,хүйт
93,Hitze::N,tommder,халуун
94,Raureif::N,frim,цан
95,Raureif::N,frim,хяруу
96,Regenbogen::N,gwareg-ar-glav,солонго
97,Donner::N,kurun,тэнгэрийн дуу
98,Strömung::N,red,урсгал
99,Tropfen::N,bannac'h,дусал
100,Tropfen::N,takenn,дусал
101,Schaum::N,spoum,хөөс
102,Schmutz::N,fank,хир
103,Schmutz::N,fank,шавхай
104,See::N,lenn,нуур
105,Sumpf::N,gwern,намаг
106,Sumpf::N,gwern,балчиг
107,Moor::N,taouarc'heg,хүлрийн намаг
108,Wiese::N,prad,нуга
109,Wald::N,koad,ой
110,Hügel::N,torgenn,болдог
111,Anhöhe::N,run,гүвээ
112,Berg::N,menez,уул
113,Gipfel::N,barr,орой
114,Gipfel::N,barr,оргил
115,Höhle::N,kav,агуй
116,Abhang::N,naou,хүр
117,Quelle::N,feunteun,булаг
118,Bach::N,gwazh,горхи
119,Fluss::N,stêr,гол
120,Fluss::N,stêr,мөрөн
121,Ufer::N,ribl,эрэг
122,Küste::N,aod,эрэг
123,Festland::N,douar,хуурай газар
124,Meer::N,mor,далай
125,Meer::N,mor,тэнгис
126,Bucht::N,mor-bihan,булан
127,Bucht::N,mor-bihan,далайн тохой
128,Insel::N,enez,арал
129,Blume::N,bleunienn,цэцэг
130,Gras::N,geot,өвс
131,Gras::N,geot,ногоо
132,Wurzel::N,gwrizienn,үндэс
133,Baum::N,gwezenn,мод
134,Stamm::N,kef,иш
135,Stamm::N,kef,гуалин
136,Rinde::N,rusk,холтос
137,Ast::N,barr,гишүү
138,Zweig::N,bod,салаа
139,Blatt::N,delienn,навч
140,Birke::N,bezvenn,хус
141,Kiefer[Baum]::N,pinenn,нарс
142,Weide[Baum]::N,halegenn,уд
143,Weide[Baum]::N,halegenn,бургас
144,Tanne::N,sapenn,гачуур
145,Horn::N,korn,эвэр
146,Feder::N,pluñv,өд
147,Fell::N,kreoñ,арьс
148,Flügel::N,askell,жигүүр
149,Flügel::N,askell,далавч
150,Klaue::N,skilf,савар
151,Klaue::N,skilf,хумс
152,Kralle::N,skilf,савар
153,Schwanz::N,lost,сүүл
154,Ei::N,vi,өндөг
155,Nest::N,neizh,үүр
156,Bau::N,douarenn,нүх
157,Bau::N,douarenn,элүү
158,Tier::N,loen,амьтан
159,Tier::N,loen,адгуус
160,Herde::N,tropell,сүрэг
161,Kuh::N,buoc'h,үнээ
162,Bulle::N,tarv,бух
163,Pferd::N,marc'h,морь
164,Pferd::N,marc'h,адуу
165,Schaf::N,dañvad,хонь
166,Schwein::N,pemoc'h,гахай
167,Hund::N,ki,нохой
168,Katze::N,kazh,муур
169,Katze::N,kazh,мигуй
170,Bär::N,arzh,баавгай
171,Eichhörnchen::N,gwiñver,хэрэм
172,Elch::N,karv-dour,хандгай
173,Fuchs::N,louarn,үнэг
174,Hase::N,gad,туулай
175,Maus::N,logodenn,хулгана
176,Wolf::N,bleiz,чоно
177,Vogel::N,labous,шувуу
178,Schwarm::N,nijad,сүрэг
179,Huhn::N,yar,тахиа
180,Hahn::N,kilhog,эр тахиа
181,Gans::N,gwazenn,галуу
182,Adler::N,erer,бүргэд
183,Ente::N,houad,нугас
184,Eule::N,toud,ууль
185,Kranich::N,garan,тогоруу
186,Krähe::N,bran,хэрээ
187,Kuckuck::N,koukoug,хөхөө
188,Schwan::N,alarc'h,хун
189,Fisch::N,pesk,загас
190,Barsch::N,brell,алгана
191,Hecht::N,beked,цурхай
192,Schlange[Tier]::N,naer,могой
193,Wurm::N,preñv,өт
194,Wurm::N,preñv,хорхой
195,Spinne::N,kevnidenn,аалз
196,Ameise::N,merion,шоргоолж
197,Laus::N,laouenn,бөөс
198,Mücke::N,moustik,шумуул
199,Fliege::N,kelienenn,ялаа
200,Schmetterling::N,balafenn,эрвээхэй
201,Beere::N,hog,жимсгэнэ
202,Apfel::N,aval,алим
203,Pilz::N,kabell-touseg,мөөг
204,Zwiebel::N,ognonenn,сонгино
205,Saat::N,had,тариа
206,Korn::N,ed,үр
207,Korn::N,ed,мөхлөг
208,Heu::N,foenn,өвс
209,Schale::N,peliadur,хальс
210,Falle::N,pech,хавх
211,Falle::N,pech,занга
212,Schlinge::N,krouglas,урхи
213,Asche::N,ludu,үнс
214,Dreck::N,fank,хир
215,Eisen::N,houarn,төмөр
216,Gold::N,aour,алт
217,Silber::N,arc'hant,мөнгө
218,Kohle::N,glaou,нүүрс
219,Glas::N,gwer,шил
220,Sand::N,traezh,элс
221,Mensch::N,den,хүн
222,Mann::N,den,эр
223,Mann::N,den,эрэгтэй
224,Frau::N,maouez,эмэгтэй
225,Frau::N,maouez,хатагтай
226,Kind::N,bugel,хүүхэд
227,Junge::N,paotr,хүү
228,Mädchen::N,plac'h,охин
229,Mädchen::N,plac'h,бүсгүй
230,Familie::N,familh,айл
231,Großvater::N,tad-kozh,өвгөн аав
232,Großmutter::N,mamm-gozh,эмэг эх
233,Großmutter::N,mamm-gozh,эмгээ
234,Eltern::N,kerent,эцэг эх
235,Vater::N,tad,аав
236,Vater::N,tad,эцэг
237,Mutter::N,mamm,эх
238,Mutter::N,mamm,ээж
239,Sohn::N,mab,хүү
240,Tochter::N,merc'h,охин
241,Bruder::N,breur,ах
242,Bruder::N,breur,дүү
243,Schwester::N,c'hoar,эгч
244,Schwester::N,c'hoar,охин дүү
245,Onkel::N,eontr,авга ах
246,Onkel::N,eontr,нагац ах
247,Tante::N,moereb,авга эгч
248,Tante::N,moereb,нагац эгч
249,Ehemann::N,gwaz,нөхөр
250,Ehefrau::N,gwreg,эхнэр
251,Ehefrau::N,gwreg,гэргий
252,Freude::N,levenez,баяр
253,Freude::N,levenez,баясгалан
254,Gelächter::N,c'hoarzherezh,инээдэм
255,Glück::N,chañs,жаргалан
256,Kummer::N,doan,гаслан
257,Wunsch::N,c'hoant,ерөөл
258,Lust::N,c'hoant,дур
259,Lust::N,c'hoant,хүсэл
260,Geist::N,spered,оюун
261,Gedanke::N,soñj,сэтгэл
262,Gedächtnis::N,eñvor,ой
263,Gedächtnis::N,eñvor,цээж
264,Verstand::N,skiant,ухаан
265,Sinn::N,ster,утга
266,Grund::N,kaoz,учир
267,Wahrheit::N,gwirionez,үнэн
268,Gespräch::N,kaozeadenn,яриа
269,Märchen::N,kaoz korriganez,явган үлгэр
270,Erzählung::N,kontadenn,тууж
271,Nachricht::N,keloù,мэдээ
272,Neuigkeit::N,kelaouenn,сонин
273,Name::N,anv,нэр
274,Rätsel::N,divinatez,оньсого
275,Rede::N,diskour,хэлсэн үг
276,Sprache::N,yezh,хэл
277,Stimme::N,mouezh,дуу
278,Wort::N,ger,үг
279,Zeichen::N,sin,тамга
280,Zeichen::N,sin,тэмдэг
281,Ruf::N,galv,дуудлага
282,Lärm::N,trouz,шуугиан
283,Lärm::N,trouz,чимээ
284,Ton::N,ton,авиа
285,Ton::N,ton,аялгуу
286,Lied::N,kanaouenn,дуу
287,Ruhe::N,sioulded,энх
288,Ruhe::N,sioulded,тайван
289,Leute::N,tud,хүмүүс
290,Volk::N,pobl,улс
291,Arbeit::N,labour,ажил
292,Arbeit::N,labour,хөдөлмөр
293,Gast::N,kouviad,зочин
294,Gast::N,kouviad,айлчин
295,Geschenk::N,prof,бэлэг
296,Spiel::N,c'hoari,наадам
297,Spiel::N,c'hoari,тоглоом
298,Gesellschaft::N,kompagnunezh,хамт байх
299,Gesellschaft::N,kavandad,хамт байх
300,Hilfe::N,sikour,тусламж
301,Freund::N,mignon,найз
302,Freund::N,mignon,нөхөр
303,Kamerad::N,kamarad,хань
304,Kamerad::N,kamarad,нөхөр
305,Angelegenheit::N,afer,хэрэг
306,Anzahl::N,niver,тоо
307,Art::N,sort,төрөл
308,Art::N,sort,янз
309,Stück::N,tamm,хэсэг
310,Teil::N,pezh,хувь
311,Teil::N,pezh,хэсэг
312,Hälfte::N,hanterenn,хагас
313,Kreis::N,kelc'h,тойрог
314,Kreis::N,kelc'h,хүрээ
315,Kreuz::N,kroaz,загалмай
316,Linie::N,linenn,шугам
317,Strich::N,tenn,зураас
318,Abstand::N,distok,зай
319,Entfernung::N,keid,зай
320,Entfernung::N,keid,хол ойр
321,Entfernung::N,kehid,зай
322,Entfernung::N,kehid,хол ойр
323,Gegend::N,korn-bro,хавь
324,Gegend::N,korn-bro,газар
325,Platz::N,plasenn,зай
326,Platz::N,plasenn,завсар
327,Ort::N,lec'h,газар
328,Ort::N,lec'h,байр
329,Seite::N,tu,тал
330,Seite::N,tu,этгээд
331,Mitte::N,kreiz,төв
332,Mitte::N,kreiz,дунд
333,Gegenstand::N,tra,юм
334,Sache::N,tra,үйл
335,Sache::N,tra,хэрэг
336,Rand::N,kantenn,зах
337,Rand::N,kantenn,хөвөө
338,Kante::N,kantenn,ирмэг
339,Ecke::N,korn,өнцөг
340,Spitze::N,begell,үзүүр
341,Ende::N,dibenn,зах
342,Ende::N,dibenn,үзүүр
343,Loch::N,toull,цоорхой
344,Loch::N,toull,онгорхой
345,Muster::N,tresadenn,хээ
346,Muster::N,tresadenn,угалз
347,Größe::N,ment,хэмжээ
348,Länge::N,hirder,урт
349,Höhe::N,uhelder,өндөр
350,Gewicht::N,pouez,жин
351,Menge::N,bern,тоо
352,Haufen::N,bern,бөөн
353,Reihe::N,steud,эгнээ
354,Boot::N,bag,завь
355,Ruder::N,roeñv,сэлүүр
356,Schlitten::N,trainell,чарга
357,Ski::N,ski,цана
358,Last::N,karg,ачаа
359,Gang::N,kerzh,явдал
360,Schritt::N,paz,алхам
361,Norden::N,norzh,умар
362,Norden::N,hanternoz,умар
363,Süden::N,su,урд
364,Süden::N,su,өмнө
365,Süden::N,kreisteiz,урд
366,Süden::N,kreisteiz,өмнө
367,Westen::N,kuzh-heol,өрнө
368,Westen::N,kuzh-heol,баруун
369,Osten::N,reter,зүүн
370,Osten::N,reter,дорно
371,Osten::N,sav-heol,зүүн
372,Osten::N,sav-heol,дорно
373,Holz::N,koad,мод
374,Brett::N,plankenn,банз
375,Platte::N,plakenn,хавтан
376,Stütze::N,harp,тулгуур
377,Stütze::N,harp,тулга
378,Stange::N,sparl,сургааг
379,Stock::N,bazh,саваа
380,Stab::N,bazh,таяг
381,Rohr::N,tub,хоолой
382,Rohr::N,korz,хоолой
383,Haus::N,ti,гэр
384,Haus::N,ti,байшин
385,Heim::N,kêr,гэр
386,Ofen::N,forn,зуух
387,Ofen::N,forn,пийшин
388,Fußboden::N,plañchod,шал
389,Tisch::N,taol,ширээ
390,Stuhl::N,kador,сандал
