,Concept_ID,ko,da
0,Auge::N,눈,øje
1,Ohr::N,귀,øre
2,Nase::N,코,næse
3,Mund::N,입,mund
4,Zahn::N,이,tand
5,Zunge::N,혀,tunge
6,Lippe::N,입술,læbe
7,Wange::N,뺨,kind
8,Gesicht::N,얼굴,ansigt
9,Stirn::N,이마,pande
10,Haar::N,털,hår
11,Schnurrbart::N,윗수몀,overskæg
12,Schnurrbart::N,코밑수염,overskæg
13,Bart::N,수엄,skæg
14,Kinn::N,아래턱,hage
15,Kiefer[Anatomie]::N,턱,kæbe
16,Kehle::N,인후,strube
17,Hals::N,목,hals
18,Genick::N,먹덜이,nakke
19,Kopf::N,머리,hoved
20,Rücken::N,든,ryg
21,Bauch::N,배,mave
22,Nabel::N,배꼽,navle
23,Busen::N,가슴속,barm
24,Brust::N,가슴,bryst
25,Schulter::N,어깨,skulder
26,Arm::N,팔,arm
27,Ellenbogen::N,팔쿰치,albue
28,Hand::N,손,hånd
29,Handfläche::N,손바닥,håndflade
30,Finger::N,속가락,finger
31,Fingernagel::N,손톱,fingernegl
32,Nagel[Anatomie]::N,손톱,negl
33,Zeh::N,발가락,tå
34,Fuß::N,발,fod
35,Ferse::N,발꿈치,hæl
36,Knie::N,무릎,knæ
37,Oberschenkel::N,허벅다리,lår
38,Bein::N,다리,ben
39,Körper::N,구간,krop
40,Körper::N,구간,legeme
41,Haut::N,살갗,hud
42,Blut::N,피,blod
43,Ader::N,정맥,åre
44,Sehne::N,현,sene
45,Knochen::N,뼈,ben
46,Gehirn::N,뇌,hjerne
47,Gehirn::N,뇌수,hjerne
48,Herz::N,염통,hjerte
49,Magen::N,위,mave
50,Leber::N,간,lever
51,Atem::N,기식,ånde
52,Hunger::N,공복,sult
53,Träne::N,눈물,tåre
54,Geschmack::N,기호,smag
55,Geruch::N,냄새,lugt
56,Schlaf::N,수면,søvn
57,Traum::N,쿰,drøm
58,Himmel::N,하늘,himmel
59,Sonne::N,해,sol
60,Mond::N,달,måne
61,Stern::N,별,stjerne
62,Luft::N,동준,luft
63,Luft::N,가스채,luft
64,Wind::N,바람,vind
65,Welle::N,물결,bølge
66,Wasser::N,물,vand
67,Stein::N,돌,sten
68,Boden::N,바닥,jord
69,Erde::N,흙,jord
70,Staub::N,먼지,støv
71,Rauch::N,연기,røg
72,Funke::N,불티,gnist
73,Feuer::N,불,ild
74,Licht::N,불,lys
75,Schatten::N,어스레함,skygge
76,Wetter::N,기상,vejr
77,Nebel::N,안개,tåge
78,Wolke::N,구름,sky
79,Regen::N,비,regn
80,Schnee::N,눈,sne
81,Eis::N,얼음,is
82,Frost::N,혹한,frost
83,Kälte::N,추위,kulde
84,Kälte::N,차가움,kulde
85,Hitze::N,고온,hede
86,Hitze::N,더위,hede
87,Regenbogen::N,무지개,regnbue
88,Donner::N,뇌명,torden
89,Strömung::N,유동,strømning
90,Tropfen::N,물방울,dråbe
91,Schaum::N,포말,skum
92,Schmutz::N,때,snavs
93,See::N,호수,sø
94,Sumpf::N,습지,sump
95,Moor::N,저습지,mose
96,Wiese::N,목초지,eng
97,Wald::N,숲,skov
98,Hügel::N,언덕,høj
99,Hügel::N,언덕,bakke
100,Anhöhe::N,언덕,høj
101,Anhöhe::N,언덕,bakke
102,Berg::N,산,bjerg
103,Gipfel::N,졀졍,top
104,Höhle::N,공동,hule
105,Abhang::N,몰매,skrænt
106,Abhang::N,몰매,skråning
107,Quelle::N,근원,kilde
108,Bach::N,내,bæk
109,Fluss::N,강,flod
110,Ufer::N,강변,bred
111,Ufer::N,바닷가,bred
112,Küste::N,해변,kyst
113,Küste::N,해변가,kyst
114,Festland::N,본토,fastland
115,Meer::N,바다,hav
116,Bucht::N,협만,bugt
117,Insel::N,섬,ø
118,Blume::N,꽃,blomst
119,Gras::N,풀,græs
120,Wurzel::N,뿌리,rod
121,Baum::N,나무,træ
122,Stamm::N,대,stamme
123,Rinde::N,나무껍질,bark
124,Ast::N,가지,gren
125,Zweig::N,가지,kvist
126,Blatt::N,잎,blad
127,Birke::N,자작나무,birk
128,Kiefer[Baum]::N,소나무,fyrretræ
129,Weide[Baum]::N,쉬양버들,piletræ
130,Tanne::N,전나무,gran
131,Horn::N,뿔,horn
132,Feder::N,깃털,fjer
133,Fell::N,피혁모피,skind
134,Flügel::N,날개,vinge
135,Klaue::N,갈고리 발톺,klov
136,Kralle::N,발툭,klo
137,Schwanz::N,꼬리,hale
138,Ei::N,알,æg
139,Nest::N,보금자리,rede
140,Bau::N,굴,bo
141,Tier::N,짐승,dyr
142,Herde::N,가축의떼,flok
143,Kuh::N,암소,ko
144,Bulle::N,황소,tyr
145,Pferd::N,말,hest
146,Schaf::N,양,får
147,Schwein::N,돼지,gris
148,Hund::N,개,hund
149,Katze::N,고양이,kat
150,Bär::N,콤,bjørn
151,Eichhörnchen::N,다람쥐,egern
152,Elch::N,고라니,elg
153,Fuchs::N,여우,ræv
154,Hase::N,토끼,hare
155,Maus::N,쥐,mus
156,Wolf::N,늑대,ulv
157,Vogel::N,새,fugl
158,Schwarm::N,뗴,sværm
159,Huhn::N,암탉,høne
160,Hahn::N,수탉,hane
161,Gans::N,거위,gås
162,Adler::N,수리,ørn
163,Ente::N,오리,and
164,Eule::N,부엉이,ugle
165,Kranich::N,두루미,trane
166,Krähe::N,까마귀,krage
167,Kuckuck::N,뻐꾸기,gøg
168,Schwan::N,배조,svane
169,Fisch::N,물고기,fisk
170,Barsch::N,농어,aborre
171,Hecht::N,에속스,gedde
172,Schlange[Tier]::N,뱀,slange
173,Wurm::N,벌레,orm
174,Spinne::N,거미,edderkop
175,Ameise::N,개미,myre
176,Laus::N,이,lus
177,Mücke::N,모기,myg
178,Fliege::N,날기,flue
179,Schmetterling::N,나비,sommerfugl
180,Beere::N,장과,bær
181,Apfel::N,사과,æble
182,Pilz::N,고방이,svamp
183,Zwiebel::N,양파,løg
184,Saat::N,씨,sæd
185,Korn::N,알맹이,korn
186,Heu::N,건초,hø
187,Schale::N,피상,skræl
188,Falle::N,함정,fælde
